MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Threeseasonporch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YearSold,SaleType,SaleCondition,SalePrice
Two_Story_1946_and_Newer,Residential_Low_Density,75.0,10000.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Above_Average,Average,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,Typical,Typical,PConc,Good,Typical,No,Unf,7.0,Unf,0.0,763.0,763.0,GasA,Good,Y,SBrkr,763.0,892.0,0.0,1655.0,0,0,2,1,3,1,Typical,7,Typ,1,Typical,Attchd,Fin,2,440.0,Typical,Typical,Paved,157.0,84.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,4,2010,WD ,Normal,175900
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0.0,7980.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Above_Average,Good,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Typical,Good,PConc,Good,Typical,No,ALQ,1.0,Unf,0.0,233.0,1168.0,GasA,Excellent,Y,SBrkr,1187.0,0.0,0.0,1187.0,1,0,2,0,3,1,Typical,6,Typ,0,No_Fireplace,Attchd,Fin,2,420.0,Typical,Typical,Paved,483.0,21.0,0.0,0.0,0.0,0.0,No_Pool,Good_Privacy,Shed,500.0,3,2010,WD ,Normal,185000
Two_Story_1946_and_Newer,Residential_Low_Density,63.0,8402.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Above_Average,Average,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,Typical,Typical,PConc,Good,Typical,No,Unf,7.0,Unf,0.0,789.0,789.0,GasA,Good,Y,SBrkr,789.0,676.0,0.0,1465.0,0,0,2,1,3,1,Typical,7,Typ,1,Good,Attchd,Fin,2,393.0,Typical,Typical,Paved,0.0,75.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,5,2010,WD ,Normal,180400
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,85.0,10176.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Good,Average,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,Typical,Typical,PConc,Good,Typical,Gd,GLQ,3.0,Unf,0.0,663.0,1300.0,GasA,Good,Y,SBrkr,1341.0,0.0,0.0,1341.0,1,0,1,1,2,1,Good,5,Typ,1,Poor,Attchd,Unf,2,506.0,Typical,Typical,Paved,192.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,2,2010,WD ,Normal,171500
One_Story_PUD_1946_and_Newer,Residential_Low_Density,0.0,6820.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,0.0,Good,Typical,PConc,Good,Typical,Av,GLQ,3.0,BLQ,1120.0,0.0,1488.0,GasA,Typical,Y,SBrkr,1502.0,0.0,0.0,1502.0,1,0,1,1,1,1,Good,4,Typ,0,No_Fireplace,Attchd,RFn,2,528.0,Typical,Typical,Paved,0.0,54.0,0.0,0.0,140.0,0.0,No_Pool,No_Fence,None,0.0,6,2010,WD ,Normal,212000
Two_Story_1946_and_Newer,Residential_Low_Density,47.0,53504.0,Pave,No_Alley_Access,Moderately_Irregular,HLS,AllPub,CulDSac,Mod,Stone_Brook,Norm,Norm,OneFam,Two_Story,Very_Good,Average,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,Excellent,Typical,PConc,Good,Typical,Gd,ALQ,1.0,Unf,0.0,234.0,1650.0,GasA,Excellent,Y,SBrkr,1690.0,1589.0,0.0,3279.0,1,0,3,1,4,1,Excellent,12,Mod,1,Good,BuiltIn,Fin,3,841.0,Typical,Typical,Paved,503.0,36.0,0.0,0.0,210.0,0.0,No_Pool,No_Fence,None,0.0,6,2010,WD ,Normal,538000
One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,152.0,12134.0,Pave,No_Alley_Access,Slightly_Irregular,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,OneFam,One_and_Half_Fin,Very_Good,Good,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Good,Typical,Wood,Good,Typical,Av,GLQ,3.0,Unf,0.0,132.0,559.0,GasA,Good,Y,SBrkr,1080.0,672.0,0.0,1752.0,0,0,2,0,4,1,Typical,8,Typ,0,No_Fireplace,Basment,RFn,2,492.0,Typical,Typical,Paved,325.0,12.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,6,2010,WD ,Normal,164000
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,88.0,11394.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Stone_Brook,Norm,Norm,OneFam,One_Story,Excellent,Poor,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,Good,Typical,PConc,Excellent,Typical,Av,GLQ,3.0,Unf,0.0,411.0,1856.0,GasA,Excellent,Y,SBrkr,1856.0,0.0,0.0,1856.0,1,0,1,1,1,1,Excellent,8,Typ,1,Excellent,Attchd,Fin,3,834.0,Typical,Typical,Paved,113.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,6,2010,New,Partial,394432
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,140.0,19138.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Below_Average,Average,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,Typical,Typical,CBlock,Typical,Typical,No,LwQ,4.0,Unf,0.0,744.0,864.0,GasA,Excellent,Y,SBrkr,864.0,0.0,0.0,864.0,0,0,1,0,2,1,Typical,4,Typ,0,No_Fireplace,Detchd,Unf,2,400.0,Typical,Typical,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,6,2010,WD ,Normal,141000
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,85.0,13175.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,Typical,Typical,CBlock,Good,Typical,No,ALQ,1.0,Rec,163.0,589.0,1542.0,GasA,Typical,Y,SBrkr,2073.0,0.0,0.0,2073.0,1,0,2,0,3,1,Typical,7,Min1,2,Typical,Attchd,Unf,2,500.0,Typical,Typical,Paved,349.0,0.0,0.0,0.0,0.0,0.0,No_Pool,Minimum_Privacy,None,0.0,2,2010,WD ,Normal,210000
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,105.0,11751.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,Typical,Typical,CBlock,Good,Typical,No,BLQ,2.0,Unf,0.0,1139.0,1844.0,GasA,Excellent,Y,SBrkr,1844.0,0.0,0.0,1844.0,0,0,2,0,3,1,Typical,7,Typ,1,Typical,Attchd,RFn,2,546.0,Typical,Typical,Paved,0.0,122.0,0.0,0.0,0.0,0.0,No_Pool,Minimum_Privacy,None,0.0,1,2010,COD,Normal,190000
Split_Foyer,Residential_Low_Density,85.0,10625.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,SFoyer,Good,Above_Average,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,Typical,Typical,CBlock,Good,Typical,Gd,GLQ,3.0,LwQ,168.0,0.0,1053.0,GasA,Typical,Y,SBrkr,1173.0,0.0,0.0,1173.0,1,0,2,0,3,1,Good,6,Typ,2,Typical,Attchd,RFn,2,528.0,Typical,Typical,Paved,0.0,120.0,0.0,0.0,0.0,0.0,No_Pool,Minimum_Privacy,None,0.0,1,2010,WD ,Family,170000
Two_Story_1946_and_Newer,Floating_Village_Residential,0.0,7500.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,Two_Story,Good,Average,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,Good,Typical,PConc,Good,Typical,No,GLQ,3.0,Unf,0.0,281.0,814.0,GasA,Excellent,Y,SBrkr,814.0,860.0,0.0,1674.0,1,0,2,1,3,1,Good,7,Typ,0,No_Fireplace,Attchd,RFn,2,663.0,Typical,Typical,Paved,0.0,96.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,1,2010,WD ,Normal,216000
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0.0,11241.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Good,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1.0,Unf,0.0,426.0,1004.0,GasA,Excellent,Y,SBrkr,1004.0,0.0,0.0,1004.0,1,0,1,0,2,1,Typical,5,Typ,1,Typical,Attchd,Fin,2,480.0,Typical,Typical,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,Shed,700.0,3,2010,WD ,Normal,149000
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0.0,12537.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Above_Average,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,Typical,Typical,CBlock,Typical,Typical,No,GLQ,3.0,Unf,0.0,344.0,1078.0,GasA,Excellent,Y,SBrkr,1078.0,0.0,0.0,1078.0,1,0,1,1,3,1,Typical,6,Typ,1,Fair,Attchd,Fin,2,500.0,Typical,Typical,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,4,2010,WD ,Normal,149900
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,65.0,8450.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Above_Average,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,Typical,Typical,CBlock,Typical,Typical,No,BLQ,2.0,Unf,0.0,281.0,1056.0,GasA,Excellent,Y,SBrkr,1056.0,0.0,0.0,1056.0,1,0,1,0,3,1,Typical,6,Typ,1,Fair,Attchd,Unf,1,304.0,Typical,Typical,Paved,0.0,85.0,184.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,7,2010,WD ,Normal,142000
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70.0,8400.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Below_Average,Average,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1.0,Rec,78.0,0.0,882.0,GasA,Typical,Y,SBrkr,882.0,0.0,0.0,882.0,1,0,1,0,2,1,Typical,4,Typ,0,No_Fireplace,Attchd,Fin,2,525.0,Typical,Typical,Paved,240.0,0.0,0.0,0.0,0.0,0.0,No_Pool,Minimum_Privacy,None,0.0,4,2010,WD ,Normal,126000
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70.0,10500.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Below_Average,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1.0,Unf,0.0,432.0,864.0,GasA,Typical,Y,SBrkr,864.0,0.0,0.0,864.0,0,0,1,0,3,1,Typical,5,Typ,1,Poor,No_Garage,No_Garage,0,0.0,No_Garage,No_Garage,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,4,2010,ConLI,Normal,115000
One_Story_PUD_1946_and_Newer,Residential_High_Density,26.0,5858.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,FR2,Gtl,North_Ames,Norm,Norm,TwnhsE,One_Story,Good,Average,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,Good,Typical,PConc,Good,Typical,No,GLQ,3.0,BLQ,0.0,354.0,1405.0,GasA,Excellent,Y,SBrkr,1337.0,0.0,0.0,1337.0,1,0,2,0,2,1,Good,5,Typ,1,Fair,Attchd,Fin,2,511.0,Typical,Typical,Paved,203.0,68.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,6,2010,WD ,Normal,184000
Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21.0,1680.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Above_Average,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6.0,Unf,0.0,327.0,483.0,GasA,Typical,Y,SBrkr,483.0,504.0,0.0,987.0,0,0,1,1,2,1,Typical,5,Typ,0,No_Fireplace,Detchd,Unf,1,264.0,Typical,Typical,Paved,275.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,2,2010,COD,Normal,96000
Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21.0,1680.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Average,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6.0,Unf,0.0,225.0,525.0,GasA,Typical,Y,SBrkr,525.0,567.0,0.0,1092.0,0,0,1,1,3,1,Typical,6,Typ,0,No_Fireplace,Detchd,Unf,1,320.0,Typical,Typical,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,3,2010,WD ,Normal,105500
Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21.0,1680.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Above_Average,Average,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,Typical,Typical,CBlock,Typical,Typical,No,Unf,7.0,Unf,0.0,525.0,525.0,GasA,Typical,Y,SBrkr,525.0,567.0,0.0,1092.0,0,0,1,1,3,1,Typical,6,Typ,0,No_Fireplace,Detchd,Unf,1,264.0,Typical,Typical,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,3,2010,WD ,Family,88000
One_Story_PUD_1946_and_Newer,Residential_Low_Density,53.0,4043.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northpark_Villa,Norm,Norm,TwnhsE,One_Story,Above_Average,Average,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,Typical,Typical,CBlock,Good,Typical,No,ALQ,1.0,Unf,0.0,709.0,1069.0,GasA,Typical,Y,SBrkr,1069.0,0.0,0.0,1069.0,0,0,2,0,2,1,Typical,4,Typ,1,Fair,Attchd,RFn,2,440.0,Typical,Typical,Paved,0.0,55.0,0.0,0.0,165.0,0.0,No_Pool,No_Fence,None,0.0,7,2010,WD ,Normal,127500
Two_Story_PUD_1946_and_Newer,Residential_Low_Density,24.0,2280.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,Northpark_Villa,Norm,Norm,Twnhs,Two_Story,Above_Average,Above_Average,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1.0,Unf,0.0,341.0,855.0,GasA,Typical,Y,SBrkr,855.0,601.0,0.0,1456.0,0,0,2,1,3,1,Good,6,Typ,1,Typical,Attchd,Unf,2,440.0,Typical,Typical,Paved,173.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,6,2010,WD ,Normal,149900
One_Story_PUD_1946_and_Newer,Residential_Low_Density,24.0,2280.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,Northpark_Villa,Norm,Norm,Twnhs,One_Story,Good,Above_Average,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,Typical,Typical,CBlock,Good,Typical,No,Unf,7.0,Unf,0.0,836.0,836.0,GasA,Excellent,Y,SBrkr,836.0,0.0,0.0,836.0,0,0,1,0,2,1,Typical,4,Typ,0,No_Fireplace,Attchd,Unf,1,308.0,Typical,Typical,Paved,0.0,30.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,6,2010,WD ,Normal,120000
Two_Story_PUD_1946_and_Newer,Residential_Low_Density,24.0,2280.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northpark_Villa,Norm,Norm,Twnhs,Two_Story,Above_Average,Average,1978,1978,Gable,CompShg,Plywood,Brk Cmn,None,0.0,Typical,Typical,CBlock,Good,Typical,No,ALQ,1.0,Unf,0.0,544.0,855.0,GasA,Fair,Y,SBrkr,855.0,601.0,0.0,1456.0,0,0,2,1,3,1,Typical,7,Typ,1,Typical,Attchd,Unf,2,440.0,Typical,Typical,Paved,26.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,7,2010,WD ,Normal,146000
Two_Story_1946_and_Newer,Residential_Low_Density,102.0,12858.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,Two_Story,Excellent,Average,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Excellent,Typical,PConc,Excellent,Typical,No,Unf,7.0,Unf,0.0,1590.0,1590.0,GasA,Excellent,Y,SBrkr,1627.0,707.0,0.0,2334.0,0,0,2,1,3,1,Excellent,10,Typ,1,Good,Attchd,Fin,3,751.0,Typical,Typical,Paved,144.0,133.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,1,2010,New,Partial,376162
