%
% Complex Data
%

@RELATION complex

@ATTRIBUTE time REAL
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE th REAL
@ATTRIBUTE left_motor REAL
@ATTRIBUTE right_motor REAL
@ATTRIBUTE sonar1 REAL
@ATTRIBUTE sonar2 REAL
@ATTRIBUTE sonar3 REAL
@ATTRIBUTE sonar4 REAL
@ATTRIBUTE sonar5 REAL
@ATTRIBUTE sonar6 REAL
@ATTRIBUTE sonar7 REAL
@ATTRIBUTE sonar8 REAL
@ATTRIBUTE sonar9 REAL
@ATTRIBUTE sonar10 REAL
@ATTRIBUTE sonar11 REAL
@ATTRIBUTE sonar12 REAL
@ATTRIBUTE sonar13 REAL
@ATTRIBUTE sonar14 REAL
@ATTRIBUTE sonar15 REAL
@ATTRIBUTE sonar16 REAL

@DATA
4.329, 710.525, -377.815, -46.9342, 140.00, 239.00, 5000, 1730, 3659, 4421, 5000, 2921, 933, 2798, 2589, 1885, 1978, 2405, 2122, 1808, 1775, 5000
4.431, 723.620, -391.880, -45.9674, 239.00, 140.00, 5000, 4508, 3614, 4312, 5000, 2927, 1375, 2898, 2676, 1899, 1972, 2366, 2184, 1838, 1784, 2570
4.531, 736.715, -405.945, -43.9459, 239.00, 140.00, 5000, 4506, 3572, 4210, 5000, 2937, 2171, 3005, 2771, 1915, 1968, 2331, 2250, 1869, 1795, 2519
4.631, 750.780, -418.555, -41.9244, 239.00, 140.00, 5000, 4508, 3533, 4114, 5000, 2949, 2807, 3121, 2875, 1934, 1966, 2300, 2320, 1902, 1808, 2472
4.733, 778.910, -444.745, -45.9674, 140.00, 239.00, 5000, 1665, 3557, 4245, 5000, 2873, 1930, 2974, 2753, 1954, 2029, 2433, 2248, 1892, 1838, 5000
4.833, 791.520, -458.810, -46.9342, 140.00, 239.00, 5000, 1649, 3575, 4320, 5000, 2838, 1574, 2909, 2699, 1966, 2063, 2506, 2218, 762, 1856, 5000
4.934, 805.585, -473.845, -47.9889, 175.00, 224.00, 5000, 1634, 3576, 4348, 5000, 2815, 1510, 2889, 2686, 1979, 2087, 2552, 2214, 774, 1873, 5000
5.036, 818.680, -487.910, -47.9889, 193.00, 186.00, 5000, 1582, 3560, 4326, 5000, 2801, 1623, 2912, 2707, 1991, 2099, 2564, 2234, 788, 1887, 5000
5.136, 831.775, -501.975, -46.9342, 218.00, 161.00, 5000, 1610, 3528, 4253, 5000, 2797, 1972, 2977, 2766, 2005, 2100, 2544, 2277, 808, 1898, 5000
5.236, 857.965, -529.620, -43.9459, 239.00, 140.00, 5000, 1591, 3444, 4050, 5000, 2813, 2700, 3196, 2960, 2037, 2088, 2466, 2412, 855, 1918, 5000
5.338, 872.515, -543.685, -42.9791, 224.00, 175.00, 5000, 1579, 3418, 3996, 5000, 2810, 2684, 3265, 3023, 2054, 2095, 2460, 2456, 874, 1932, 5000
5.439, 886.580, -556.780, -44.9127, 140.00, 239.00, 5000, 1560, 3428, 4058, 5000, 2773, 2676, 3185, 2956, 2063, 2127, 2528, 2417, 877, 1946, 5000
5.539, 900.645, -570.845, -45.9674, 140.00, 239.00, 5000, 1543, 3442, 4125, 5000, 2738, 2670, 3112, 2895, 2074, 2161, 2601, 2381, 881, 1963, 5000
5.640, 913.740, -583.940, -47.9889, 140.00, 239.00, 5000, 3289, 3459, 4200, 5000, 2705, 2344, 3044, 2839, 2086, 2197, 2679, 2350, 887, 1983, 5000
5.740, 926.835, -598.975, -48.9557, 140.00, 239.00, 5000, 3274, 3480, 4282, 3077, 2674, 1997, 2982, 2788, 2099, 2234, 2762, 2321, 1120, 2004, 5000
5.841, 950.600, -627.590, -52.9987, 140.00, 239.00, 5000, 3254, 3533, 5000, 2945, 2619, 1564, 2870, 2698, 2130, 2318, 2946, 2274, 1888, 2054, 5000
5.942, 963.695, -643.595, -52.9987, 178.00, 221.00, 5000, 3244, 3540, 5000, 2907, 2599, 1525, 2856, 2688, 2145, 2345, 3001, 2276, 2031, 2076, 5000
6.043, 974.850, -659.600, -52.9987, 193.00, 186.00, 5000, 3232, 3525, 5000, 2893, 2584, 1587, 2875, 2706, 2156, 2355, 3011, 2295, 2047, 2091, 5000
6.144, 986.975, -674.635, -51.9440, 221.00, 158.00, 5000, 3218, 3486, 5000, 2902, 2575, 1779, 2930, 2755, 2164, 2349, 2975, 2335, 2048, 2098, 5000
6.244, 997.645, -689.670, -50.9772, 239.00, 140.00, 5000, 3203, 3433, 5000, 2932, 2571, 2131, 3016, 2830, 2172, 2331, 2911, 2392, 1732, 2103, 5000
6.344, 1022.865, -718.770, -46.9342, 239.00, 140.00, 5000, 3182, 3339, 4043, 5000, 2572, 2529, 3210, 3002, 2194, 2305, 2801, 2518, 1350, 2116, 5000
6.446, 1036.930, -733.805, -46.9342, 221.00, 178.00, 5000, 3170, 3311, 3986, 5000, 2565, 2510, 3269, 3056, 2208, 2308, 2788, 2559, 1323, 2128, 5000
6.547, 1049.540, -747.870, -47.9889, 140.00, 239.00, 5000, 3153, 3328, 4059, 5000, 2534, 2505, 3199, 2997, 2221, 2346, 2872, 2525, 1597, 2149, 5000
6.647, 1062.635, -762.905, -49.9225, 140.00, 239.00, 5000, 3140, 3349, 5000, 5000, 2505, 2503, 3134, 2943, 2234, 2386, 2960, 2495, 1955, 2171, 5000
6.748, 1074.760, -776.970, -51.9440, 140.00, 239.00, 5000, 3128, 3373, 5000, 2808, 2478, 2341, 3073, 2894, 2249, 2429, 3055, 2468, 2176, 2197, 5000
6.848, 1086.885, -791.520, -52.9987, 140.00, 239.00, 5000, 3121, 3401, 5000, 2748, 2452, 2091, 3018, 2848, 2267, 2474, 3157, 2445, 2180, 2224, 5000
6.949, 1110.650, -824.985, -53.9655, 200.00, 200.00, 5000, 3100, 3396, 5000, 2693, 2416, 2066, 3015, 2850, 2293, 2516, 3235, 2462, 2207, 2264, 5000
7.050, 1122.775, -840.990, -53.9655, 200.00, 200.00, 5000, 3088, 3383, 5000, 2675, 2400, 2115, 3029, 2864, 2305, 2529, 3251, 2480, 2224, 2281, 5000
7.151, 1133.930, -856.995, -52.9987, 218.00, 161.00, 5000, 3073, 3348, 5000, 2679, 2389, 2316, 3080, 2910, 2313, 2522, 3215, 2519, 2244, 2289, 5000
7.252, 1145.570, -872.515, -52.9987, 200.00, 200.00, 5000, 3061, 3333, 5000, 2663, 2373, 2379, 3098, 2927, 2325, 2535, 3229, 2538, 2261, 2305, 5000
7.353, 1158.665, -888.520, -52.9987, 200.00, 200.00, 5000, 3049, 3320, 5000, 2645, 2357, 2402, 3113, 2942, 2337, 2548, 3245, 2556, 2277, 2321, 5000
7.453, 1182.915, -920.530, -52.9987, 200.00, 200.00, 5000, 3025, 3294, 5000, 2609, 2325, 2369, 755, 2973, 2361, 2574, 3278, 2592, 2309, 2354, 5000
7.553, 1194.555, -936.535, -52.9987, 200.00, 200.00, 5000, 3013, 3281, 5000, 2591, 2308, 2353, 677, 2988, 2373, 2587, 3295, 2610, 2325, 2370, 5000
7.654, 1206.680, -952.540, -52.9987, 200.00, 200.00, 5000, 3001, 3268, 5000, 2573, 2293, 2337, 692, 3002, 2385, 2600, 3311, 2628, 2341, 2387, 5000
7.755, 1218.805, -968.545, -52.9987, 200.00, 200.00, 5000, 2989, 3254, 5000, 2555, 2277, 2321, 707, 3018, 2397, 2613, 3328, 2645, 2357, 2403, 5000
7.855, 1231.900, -985.520, -52.9987, 200.00, 200.00, 5000, 2977, 3242, 5000, 2537, 2260, 2304, 722, 3033, 2409, 2626, 3344, 2663, 2373, 2420, 5000
7.956, 1243.540, -1001.525, -52.9987, 200.00, 200.00, 5000, 2965, 3228, 5000, 2519, 2244, 2288, 737, 3048, 2421, 2639, 3361, 2682, 2390, 2436, 5000
8.106, 1267.790, -1033.535, -52.9987, 200.00, 200.00, 4975, 2940, 3202, 5000, 2484, 2212, 2255, 768, 3078, 2445, 2665, 3394, 2717, 2422, 2468, 5000
8.207, 1279.915, -1049.540, -52.9987, 200.00, 200.00, 4960, 2928, 3189, 5000, 2466, 2196, 2239, 783, 3093, 2458, 2678, 3410, 2735, 2438, 2485, 5000
8.308, 1304.650, -1081.550, -52.9987, 200.00, 200.00, 4930, 2904, 3163, 5000, 2430, 2164, 2206, 813, 790, 2481, 2704, 3443, 2771, 2470, 2517, 5000
8.410, 1315.805, -1097.555, -51.9440, 214.00, 165.00, 4972, 2891, 3131, 5000, 2433, 2153, 2183, 839, 680, 2490, 2698, 3409, 2812, 2491, 2526, 5000
8.609, 1339.570, -1127.625, -48.9557, 239.00, 140.00, 5000, 2865, 3037, 5000, 5000, 2145, 2129, 921, 723, 2508, 2660, 3268, 2946, 2550, 2531, 5000
8.709, 1352.665, -1141.690, -46.9342, 239.00, 140.00, 5000, 2855, 2995, 3626, 5000, 2144, 2106, 966, 758, 2521, 2645, 3206, 3020, 2583, 2537, 5000
8.809, 1365.760, -1155.755, -45.9674, 239.00, 140.00, 5000, 2847, 2955, 3532, 5000, 2146, 2085, 1016, 795, 2536, 2633, 3151, 3098, 2537, 2545, 5000
8.911, 1392.920, -1182.915, -42.9791, 239.00, 140.00, 5000, 2837, 2883, 3363, 5000, 2155, 2050, 1128, 881, 2575, 2618, 3055, 3271, 2132, 2565, 5000
9.011, 1406.985, -1195.525, -40.9575, 239.00, 140.00, 5000, 2834, 2851, 3286, 5000, 2163, 2036, 1192, 931, 2599, 2614, 3015, 3367, 1984, 2578, 5000
9.112, 1421.535, -1208.620, -38.9360, 239.00, 140.00, 5000, 2834, 2822, 3214, 5000, 2174, 2023, 1261, 985, 2625, 2613, 2978, 3469, 1860, 2592, 5000
9.212, 1435.600, -1220.745, -37.9692, 239.00, 140.00, 5000, 2836, 2794, 3147, 5000, 2186, 2013, 1337, 1045, 2654, 2615, 2946, 3579, 1756, 2608, 5000
9.362, 1466.640, -1243.540, -34.9809, 239.00, 140.00, 5000, 2821, 2746, 3024, 5000, 2221, 1999, 1512, 1183, 2721, 2625, 2891, 3732, 1716, 2647, 5000
9.464, 1482.645, -1254.695, -32.9594, 239.00, 140.00, 5000, 2586, 2724, 2968, 5000, 2242, 1995, 1614, 1264, 2759, 2635, 2870, 3649, 1757, 2669, 5000
9.564, 1498.650, -1264.880, -30.9379, 239.00, 140.00, 5000, 2389, 2705, 2915, 5000, 5000, 1994, 1726, 1354, 711, 2646, 2851, 3573, 3054, 2692, 5000
9.664, 1514.655, -1274.580, -29.9711, 239.00, 140.00, 5000, 2224, 2688, 2866, 5000, 5000, 1994, 1851, 1455, 735, 2660, 2836, 3504, 3119, 2718, 5000
9.766, 1531.630, -1284.765, -30.9379, 140.00, 239.00, 5000, 2450, 2673, 2880, 5000, 5000, 1974, 1789, 1417, 745, 2679, 2886, 3617, 1822, 2712, 5000
9.866, 1548.605, -1294.950, -32.9594, 140.00, 239.00, 5000, 2720, 2659, 2897, 5000, 5000, 1956, 1733, 1384, 755, 2699, 2940, 3737, 1801, 2708, 5000
9.966, 1564.610, -1304.650, -34.9809, 140.00, 239.00, 5000, 2745, 2649, 2917, 5000, 2154, 1938, 1683, 1354, 766, 2722, 2998, 3867, 1783, 2708, 5000
10.067, 1579.645, -1315.805, -35.9477, 140.00, 239.00, 5000, 2708, 2640, 2941, 5000, 2112, 1922, 1637, 1327, 778, 2747, 3059, 3812, 1983, 2709, 5000
10.167, 1595.650, -1326.960, -37.9692, 140.00, 239.00, 5000, 2674, 2635, 2968, 5000, 2073, 1908, 1596, 1303, 2815, 2774, 3124, 3721, 2173, 2714, 5000
10.268, 1610.685, -1338.600, -38.9360, 140.00, 239.00, 5000, 2643, 2631, 2999, 5000, 2036, 1894, 1558, 1282, 2816, 2803, 3193, 3639, 2391, 2721, 5000
10.370, 1625.720, -1350.725, -37.9692, 239.00, 140.00, 5000, 2644, 2605, 2934, 5000, 2047, 1884, 1644, 1352, 820, 2804, 3157, 3754, 2251, 2738, 5000
10.470, 1640.755, -1362.850, -35.9477, 239.00, 140.00, 5000, 2646, 2580, 2874, 5000, 2061, 1876, 1739, 1429, 840, 2807, 3126, 3876, 2131, 2756, 5000
10.621, 1671.795, -1385.645, -38.9360, 140.00, 239.00, 1265, 2582, 2571, 2930, 5000, 1986, 1848, 1652, 1376, 862, 2864, 3262, 3701, 2561, 2768, 5000
10.722, 1686.830, -1397.770, -40.9575, 140.00, 239.00, 1167, 2554, 2570, 2963, 5000, 1951, 1835, 1615, 1354, 874, 2896, 3338, 3624, 2830, 2777, 5000
10.872, 1700.895, -1410.865, -42.9791, 140.00, 239.00, 1219, 2529, 2570, 3001, 5000, 1919, 1825, 1580, 1334, 895, 2931, 3417, 3555, 2930, 2790, 5000
10.973, 1714.960, -1423.960, -43.9459, 140.00, 239.00, 1275, 2506, 2575, 3043, 5000, 1888, 1815, 1548, 1315, 2889, 2967, 3503, 3492, 2916, 2806, 5000
11.074, 1742.605, -1450.635, -46.9342, 140.00, 239.00, 1402, 2469, 2590, 3141, 5000, 1831, 1798, 1492, 1283, 2907, 3049, 3692, 3383, 2896, 2845, 1157
11.176, 1755.700, -1464.700, -45.9674, 239.00, 140.00, 1375, 2460, 2554, 3057, 5000, 1830, 1778, 1556, 1335, 2924, 3034, 3626, 3468, 2933, 2852, 1160
11.276, 1768.795, -1478.765, -43.9459, 239.00, 140.00, 1351, 2453, 2520, 2979, 5000, 1831, 1760, 1624, 1391, 952, 3022, 3567, 3559, 2972, 2860, 1240
11.377, 1782.860, -1491.860, -42.9791, 239.00, 140.00, 1328, 2448, 2488, 2905, 5000, 1834, 1744, 1699, 1453, 967, 3013, 3513, 3656, 3015, 2871, 1265
11.528, 1796.925, -1504.955, -43.9459, 140.00, 239.00, 1387, 2425, 2491, 2945, 5000, 1804, 1734, 1664, 1431, 980, 3051, 3600, 3591, 3000, 2887, 1168
11.629, 1810.990, -1517.565, -45.9674, 140.00, 239.00, 1451, 2405, 2497, 2990, 5000, 1775, 1725, 1632, 1411, 992, 3091, 3694, 3532, 2987, 2905, 1219
11.729, 1823.600, -1531.630, -46.9342, 140.00, 239.00, 1520, 2388, 2506, 3039, 5000, 1748, 1717, 1601, 1393, 1006, 3134, 3793, 2171, 2978, 2927, 1275
11.830, 1836.695, -1545.695, -48.9557, 140.00, 239.00, 1596, 2373, 2517, 5000, 5000, 1723, 1710, 1574, 1377, 1020, 3180, 3900, 2145, 2972, 2951, 1337
11.930, 1849.790, -1560.730, -50.9772, 140.00, 239.00, 1679, 2360, 2531, 5000, 5000, 1699, 1704, 1548, 1362, 3014, 3229, 4014, 2140, 2969, 2979, 1404
12.081, 1873.555, -1590.800, -53.9655, 140.00, 239.00, 1867, 2342, 2567, 5000, 5000, 1654, 1695, 1502, 1336, 3050, 3337, 4269, 2505, 2971, 3043, 1560
12.183, 1884.710, -1605.835, -51.9440, 239.00, 140.00, 1818, 2327, 2523, 5000, 5000, 1645, 1668, 1553, 1377, 3054, 3306, 4168, 2383, 2999, 3040, 1528
12.283, 1896.835, -1620.870, -50.9772, 239.00, 140.00, 1773, 2313, 2480, 5000, 5000, 1638, 1643, 1608, 1422, 1081, 3279, 4076, 2276, 3030, 3040, 1499
12.383, 1908.960, -1635.905, -48.9557, 239.00, 140.00, 1731, 2302, 2441, 5000, 5000, 1632, 1620, 1668, 1471, 1091, 3255, 3992, 2249, 3063, 3041, 1472
12.485, 1921.570, -1650.940, -50.9772, 140.00, 239.00, 1818, 2289, 2454, 5000, 5000, 1608, 1613, 1640, 1454, 1106, 3305, 4108, 2326, 3059, 3069, 1544
12.585, 1933.695, -1664.520, -51.9440, 140.00, 239.00, 1913, 2279, 2470, 5000, 5000, 1586, 1608, 1614, 1439, 1121, 3358, 4233, 2486, 3059, 3100, 1623
12.685, 1945.820, -1679.555, -53.9655, 140.00, 239.00, 2018, 2271, 2489, 5000, 5000, 1565, 1604, 1590, 1424, 1137, 3415, 4368, 2666, 3061, 5000, 1710
12.786, 1956.975, -1695.560, -54.9323, 140.00, 239.00, 2133, 2265, 2511, 5000, 5000, 1544, 1601, 1568, 1412, 1153, 3476, 4362, 2869, 3066, 5000, 1806
12.936, 1977.830, -1727.570, -58.9753, 140.00, 239.00, 2400, 2261, 2564, 5000, 4920, 1507, 1597, 1528, 1390, 3190, 3610, 4170, 3326, 3085, 5000, 2031
13.038, 1987.530, -1743.575, -59.9422, 140.00, 239.00, 2557, 2262, 2596, 5000, 1596, 1490, 1596, 1510, 1380, 3218, 3684, 4086, 3305, 3098, 5000, 2164
13.139, 1997.715, -1760.550, -58.9753, 239.00, 140.00, 2463, 2242, 2542, 5000, 4885, 1474, 1562, 1551, 1412, 3210, 3632, 4214, 3361, 3117, 5000, 2094
13.239, 2007.900, -1776.555, -56.9538, 239.00, 140.00, 2378, 2222, 2491, 5000, 4926, 1460, 1530, 1595, 1447, 1211, 3586, 4350, 3200, 3139, 5000, 2032
13.340, 2017.600, -1792.560, -54.9323, 239.00, 140.00, 2302, 2204, 2443, 5000, 4972, 1447, 1500, 1642, 1486, 1214, 3543, 4498, 3014, 3162, 5000, 1976
13.441, 2028.755, -1808.565, -56.9538, 140.00, 239.00, 2436, 2200, 2468, 5000, 4892, 1429, 1498, 1620, 1473, 1232, 3609, 4393, 3254, 3170, 5000, 2089
13.541, 2039.910, -1824.570, -58.9753, 140.00, 239.00, 2562, 2199, 2495, 5000, 4817, 1411, 1495, 1600, 1461, 1250, 3680, 4299, 3430, 3181, 5000, 2216
13.642, 2049.610, -1840.575, -59.9422, 140.00, 239.00, 2508, 2200, 2526, 5000, 4747, 1394, 1494, 1581, 1451, 1269, 3754, 4212, 3408, 3194, 5000, 2357
13.742, 2058.825, -1857.550, -61.9637, 140.00, 239.00, 2458, 2204, 2560, 5000, 1459, 1378, 1494, 1563, 1441, 3311, 3834, 4133, 3389, 3211, 5000, 2516
13.842, 2067.555, -1874.525, -62.9305, 140.00, 239.00, 2412, 2210, 2598, 5000, 1428, 1363, 1495, 1547, 1433, 3345, 3920, 4062, 3374, 3231, 1282, 2526
13.944, 2076.770, -1891.985, -61.9637, 239.00, 140.00, 2438, 2186, 2539, 5000, 1424, 1344, 1457, 1583, 1461, 1307, 3855, 4176, 3425, 3245, 1436, 2560
14.094, 2095.685, -1925.935, -58.9753, 239.00, 140.00, 2497, 2144, 2432, 5000, 4710, 1311, 1390, 1665, 1526, 1306, 3742, 4431, 3537, 3281, 5000, 2406
14.196, 2105.870, -1942.910, -57.9206, 218.00, 181.00, 2502, 2129, 2404, 5000, 4713, 1295, 1367, 1690, 1548, 1313, 3730, 4501, 3572, 3299, 5000, 2395
14.296, 2116.540, -1959.885, -57.9206, 200.00, 200.00, 2489, 2118, 2392, 5000, 4695, 1278, 1349, 1703, 1561, 1324, 3742, 4523, 3590, 3316, 5000, 2427
14.397, 2127.695, -1976.860, -57.9206, 200.00, 200.00, 2477, 2108, 2380, 5000, 4676, 1261, 1331, 1715, 1573, 1335, 3754, 4546, 3609, 3333, 5000, 2459
14.497, 2137.880, -1993.835, -57.9206, 200.00, 200.00, 2464, 2097, 2368, 5000, 4658, 1244, 1313, 1728, 1586, 1345, 3766, 4569, 3627, 3350, 5000, 2491
14.647, 2159.705, -2028.755, -57.9206, 200.00, 200.00, 2439, 2075, 2344, 5000, 4622, 1210, 1278, 1753, 1611, 1367, 3790, 4615, 3664, 3384, 1396, 2555
14.749, 2170.860, -2045.730, -57.9206, 200.00, 200.00, 2426, 2064, 2332, 5000, 4603, 1193, 1260, 1765, 1624, 1378, 3802, 4637, 3682, 3401, 1414, 2568
14.850, 2180.560, -2062.705, -57.9206, 200.00, 200.00, 2414, 2054, 2320, 5000, 4585, 1176, 1242, 1778, 1636, 1388, 3814, 4660, 3700, 3418, 1432, 2556
14.950, 2191.715, -2079.680, -57.9206, 200.00, 200.00, 2401, 2043, 2308, 5000, 4567, 1159, 1224, 1791, 1649, 1399, 3827, 4683, 3718, 3435, 1428, 2543
15.050, 2202.870, -2096.655, -57.9206, 200.00, 200.00, 2389, 2032, 2296, 5000, 4549, 1142, 1207, 1803, 1661, 1410, 3838, 4706, 3737, 3452, 1467, 2530
