% Dataset from Smoothing Methods in Statistics 
% (ftp stat.cmu.edu/datasets)
%
% Simonoff, J.S. (1996). Smoothing Methods in Statistics. New York: Springer-Verlag.
%

@relation quake

@attribute focal_depth integer
@attribute latitude real
@attribute longitude real
@attribute richter real

@data
127,-19.38,169.13,6.1
45,19.36,122.06,5.8
5,-15.36,-173.30,5.8
101,-11.43,166.37,6.2
60,-17.62,-71.27,5.8
40,-60.59,-25.50,5.9
50,33.38,140.97,6.5
52,33.48,141.05,5.9
12,-18.94,-173.72,5.9
54,33.45,141.00,5.8
181,-28.25,-178.27,6.1
29,-3.74,131.39,5.9
37,33.60,141.38,5.9
72,40.84,141.98,5.9
52,-6.79,-76.76,6.1
43,51.27,-179.21,6.0
135,49.05,153.60,6.2
33,-45.10,166.68,5.8
43,56.14,-157.14,6.0
124,48.04,153.13,5.8
40,43.33,146.03,5.9
479,-25.69,179.58,6.1
33,-49.35,164.09,6.2
1,-16.05,-173.00,5.9
376,-7.47,125.56,6.1
33,-53.52,159.08,5.9
21,42.09,84.58,5.8
11,28.39,52.78,6.0
0,0.99,-28.30,6.0
48,24.10,122.44,5.8
91,53.95,-166.82,5.8
116,-31.40,-110.99,5.8
29,23.60,121.55,6.1
38,13.38,120.34,6.4
413,-5.13,154.23,6.0
30,5.22,-100.32,5.9
46,-15.94,167.53,6.3
14,35.16,23.56,5.9
38,-4.21,152.71,5.8
565,-17.82,-178.79,5.8
342,-27.74,-178.99,5.8
36,16.61,122.19,5.9
208,-17.76,-175.06,6.1
45,-11.05,116.97,6.1
39,-30.34,-71.58,5.9
336,3.86,124.26,6.2
27,53.25,-166.78,5.8
66,-7.12,155.87,5.9
47,36.28,69.69,5.9
31,50.10,-129.30,5.8
29,56.77,-135.91,6.2
19,30.71,141.82,5.8
92,2.35,127.56,5.8
47,49.13,155.97,5.8
10,-11.10,162.17,5.9
20,-16.66,-172.01,5.8
45,51.34,-179.29,5.8
43,-6.29,144.46,5.9
26,-6.04,152.90,6.3
22,-6.05,152.63,5.8
53,-5.15,134.09,6.1
573,49.47,147.08,5.9
115,-33.49,-179.40,5.9
0,73.39,54.65,6.3
122,-14.99,167.30,5.8
51,29.41,130.64,6.1
45,35.94,73.33,6.2
64,-11.78,166.31,6.1
154,1.90,128.20,5.9
49,-19.89,169.08,6.1
107,-2.52,119.22,5.8
0,71.42,-10.39,5.9
48,-15.35,-175.60,5.9
75,37.96,22.38,5.8
30,-20.36,168.89,5.8
20,15.23,-96.26,6.0
23,-9.93,119.60,5.8
0,19.55,-70.22,5.8
33,-6.22,131.15,6.0
33,-6.56,131.30,5.9
7,-30.91,-68.21,5.8
10,-16.47,-172.17,5.8
632,7.46,123.77,6.0
119,1.81,127.45,5.8
35,52.89,-162.98,6.0
33,-8.79,124.98,6.3
63,27.48,128.57,6.0
2,-7.33,146.83,5.8
0,49.91,78.85,6.1
37,-20.03,168.91,6.0
22,23.87,121.61,5.9
111,38.33,73.17,5.9
0,-6.72,154.53,5.8
73,6.41,126.62,6.0
62,33.34,140.82,6.7
0,-1.52,136.67,6.1
0,49.97,78.95,6.0
16,44.68,149.37,5.9
83,-7.00,155.81,5.9
139,-7.50,127.83,6.0
159,-4.35,153.45,6.9
61,-30.51,-71.08,5.9
147,-39.02,175.23,6.4
24,-14.66,166.41,6.0
38,-6.88,150.03,6.3
90,-12.10,166.52,6.0
112,-0.14,124.00,5.9
48,18.53,-102.93,6.1
508,28.22,139.30,5.9
214,-22.53,-66.19,6.0
5,31.33,100.49,5.9
35,31.50,100.33,5.9
42,22.27,121.52,5.9
53,-19.16,168.69,5.8
41,-61.10,-38.01,6.2
62,50.51,156.58,6.0
24,54.73,161.70,5.9
25,6.32,127.38,5.9
56,-3.01,139.08,5.8
62,50.78,157.19,6.0
11,2.18,126.65,5.9
193,-19.41,169.39,5.9
44,13.41,122.87,5.9
33,2.09,126.55,5.9
51,29.30,130.41,5.9
146,4.70,-75.67,6.1
39,7.00,91.33,5.8
38,-15.81,167.24,5.8
15,-9.81,119.29,5.8
46,50.86,157.43,6.1
20,4.96,-78.12,6.4
19,-59.38,-26.12,6.0
9,20.05,-155.16,5.9
15,-10.01,150.20,6.0
33,2.25,126.74,5.8
48,-1.46,99.80,5.8
0,-6.34,151.18,5.8
23,-6.26,151.86,5.8
0,53.97,-163.71,6.1
1,24.31,93.52,5.8
33,-54.00,159.35,5.8
91,-10.31,161.42,6.2
0,-6.73,154.81,5.8
55,-7.27,156.14,5.9
33,53.61,161.38,5.9
44,51.27,-179.38,5.8
0,44.98,-125.87,5.8
41,43.12,145.74,6.5
39,42.92,146.39,5.8
11,42.65,146.08,6.0
0,-5.88,151.86,6.5
26,43.28,146.43,6.3
19,43.14,146.89,5.8
45,19.11,121.19,5.8
10,43.01,146.66,5.8
56,43.28,145.81,5.9
30,57.86,-137.42,6.2
56,12.21,125.29,6.0
0,57.99,-138.04,6.1
22,35.16,86.40,5.9
49,36.45,141.05,5.8
373,-24.83,-179.19,5.9
0,49.94,78.85,6.1
203,-14.33,167.29,6.1
33,-16.22,-173.08,6.0
44,43.38,146.46,5.9
109,-4.50,144.10,5.9
346,-31.38,-179.38,6.0
33,57.09,-154.12,5.8
55,-7.22,156.08,5.9
75,18.25,-96.58,6.6
77,-0.15,-17.97,5.8
45,-37.27,179.32,5.9
43,7.15,84.33,5.8
552,42.48,131.05,5.8
0,73.32,54.97,6.8
64,9.20,126.19,5.8
128,-7.02,-76.19,5.8
542,9.23,123.92,5.9
33,-4.40,-102.10,6.0
33,-4.37,-102.04,6.0
33,-54.97,146.25,5.8
0,70.80,53.42,5.9
567,41.93,130.99,6.3
56,35.67,140.64,5.9
33,-32.98,-71.87,5.8
33,-61.05,-21.70,6.2
28,-14.34,167.06,5.9
32,0.52,-29.47,5.9
56,19.42,-104.98,6.0
517,-21.95,-63.65,6.1
0,70.80,53.92,6.9
48,-2.96,139.34,5.9
7,-25.98,-67.72,5.8
18,51.52,-175.27,5.8
60,49.99,156.33,5.9
270,-31.20,-179.47,5.8
62,49.99,156.31,5.9
56,38.98,141.93,6.1
45,53.61,160.49,5.9
124,-15.18,167.43,6.2
23,-35.59,-74.54,5.8
42,43.25,146.75,5.8
26,-19.90,169.66,5.9
0,50.03,79.02,5.8
52,51.38,-177.85,5.8
42,-9.52,119.39,6.0
191,-20.61,-176.32,5.9
517,-23.88,180.00,6.2
13,-14.56,166.80,6.3
43,-15.13,166.91,6.2
41,-14.92,166.48,5.8
10,-15.37,166.54,5.8
83,-22.49,-68.26,6.6
92,-12.28,-76.30,6.1
24,-38.84,46.43,5.9
