%
% !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
%
% Attributes 2,4, and 6 deleted. Midrange price treated as the class 
% attribute.
%
% As used by Kilpatrick, D. & Cameron-Jones, M. (1998). Numeric prediction
% using instance-based learning with encoding length selection. In Progress
% in Connectionist-Based Information Systems. Singapore: Springer-Verlag.
%
% !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
%
% NAME:  1993 New Car Data
% TYPE:  Sample  
% SIZE:  93 observations, 26 variables
% 
% DESCRIPTIVE ABSTRACT:
% Specifications are given for 93 new car models for the 1993 year.
% Several measures are given to evaluate price, mpg ratings, engine size,
% body size, and features.
% 
% SOURCES:
% _Consumer Reports:  The 1993 Cars - Annual Auto Issue_ (April 1993), 
% Yonkers, NY: Consumers Union.
% _PACE New Car & Truck 1993 Buying Guide_ (1993), Milwaukee, WI: Pace
% Publications Inc.
% 
% VARIABLE DESCRIPTIONS:
% Line 1
% Columns
%  1 - 14  Manufacturer
% 15 - 29  Model
% 30 - 36  Type
%              Small, Sporty, Compact, Midsize, Large - as defined in the
%              _Consumer Reports_ article
% 38 - 41  Minimum Price (in $1,000) - Price for basic version of this model
% 43 - 46  Midrange Price (in $1,000) - Average of Min and Max prices
% 48 - 51  Maximum Price (in $1,000) - Price for a premium version
% 53 - 54  City MPG (miles per gallon by EPA rating)
% 56 - 57  Highway MPG
% 59 - 59  Air Bags standard
%              0 = none, 1 = driver only, 2 = driver & passenger
% 61 - 61  Drive train type
%              0 = rear wheel drive
%              1 = front wheel drive
%              2 = all wheel drive
% 63 - 63  Number of cylinders
% 65 - 67  Engine size (liters)
% 69 - 71  Horsepower (maximum)
% 73 - 76  RPM (revs per minute at maximum horsepower)
% 
% Line 2
% Columns
%  1 -  4  Engine revolutions per mile (in highest gear)
%  6 -  6  Manual transmission available
%              0 = No, 1 = Yes
%  8 - 11  Fuel tank capacity (gallons)
% 13 - 13  Passenger capacity (persons)
% 15 - 17  Length    (inches)
% 19 - 21  Wheelbase (inches)
% 23 - 24  Width     (inches)
% 26 - 27  U-turn space (feet)
% 29 - 32  Rear seat room (inches)
% 34 - 35  Luggage capacity (cu. ft.)
% 37 - 40  Weight (pounds)
% 42 - 42  Domestic?
%              0 = non-U.S. manufacturer, 1 = U.S. manufacturer
% 
% Values are aligned and delimited by blanks.
% Missing values are denoted with *.
% There are two data lines for each case.
% 
% SPECIAL NOTES:
% The only missing values are for CYLINDERS in the rotary engine Mazda
% RX-7, REAR SEAT room for the two-seaters (Corvette and RX-7), and
% LUGGAGE capacity for the vans and two-seaters.
% 
% WEIGHT is taken from the _Consumer Reports_ data and includes a full
% fuel tank, automatic transmission (if available), and air conditioning.
% 
% STORY BEHIND THE DATA:
% Cars were selected at random from among 1993 passenger car models that
% were listed in both the _Consumer Reports_ issue and the _PACE Buying
% Guide_.  Pickup trucks and Sport/Utility vehicles were eliminated due
% to incomplete information in the _Consumer Reports_ source.  Duplicate
% models (e.g., Dodge Shadow and Plymouth Sundance) were listed at most
% once.
% 
% A similar dataset for 1989 model cars appeared as one of the sample
% datasets shipped with the _Student Edition of Execustat_ (PWS-KENT
% 1990).
% 
% Further description can be found in the "Datasets and Stories" article
% "1993 New Car Data" in the _Journal of Statistics Education_ (Lock 1993).
% Send the message
% 
%      send jse/v1n1/datasets.lock
% 
% to the address archive@jse.stat.ncsu.edu
% 
% PEDAGOGICAL NOTES:
% This is a multi-purpose dataset that can be used at many points in an
% introductory course.  It includes many good numeric variables and
% several options for dividing the cars up into groups.  Students tend to
% be familiar with most of the variables (and specific car models).  They
% can anticipate and pose explanations for many of the relationships to
% be found in the data, although some surprises may be encountered.  One
% can easily find examples of pairs of variables that demonstrate strong
% or weak, positive or negative associations.  PRICE and MPG variables
% tend to be popular choices as "dependent" variables.  Basic graphs will
% often reveal unusual data values (like the price for a Mercedes-Benz).
% 
% REFERENCES:
% Lock, R. H. (1993), "1993 New Car Data," _Journal of Statistics
%    Education_, 1, No. 1.
% _Student Edition of Execustat_ (1990), Boston, MA: PWS-KENT 
%    Publishing Co.
% 
% SUBMITTED BY:
% Robin H. Lock
% Mathematics Department
% St. Lawrence University
% Canton, NY  13617
% (315) 379-5960
% rlock@stlawu.bitnet
% 

@relation 'auto93.names'
@attribute Manufacturer { Acura, Audi, BMW, Buick, Cadillac, Chevrolet, Chrysler, Dodge, Eagle, Ford, Geo, Honda, Hyundai, Infiniti, Lexus, Lincoln, Mazda, Mercedes-Benz, Mercury, Mitsubishi, Nissan, Oldsmobile, Plymouth, Pontiac, Saab, Saturn, Subaru, Suzuki, Toyota, Volkswagen, Volvo}
@attribute Type { Small, Midsize, Compact, Large, Sporty, Van}
@attribute City_MPG real
@attribute Highway_MPG real
@attribute Air_Bags_standard { 0, 2, 1}
@attribute Drive_train_type { 1, 0, 2}
@attribute Number_of_cylinders real
@attribute Engine_size real
@attribute Horsepower real
@attribute RPM real
@attribute Engine_revolutions_per_mile real
@attribute Manual_transmission_available { 1, 0}
@attribute Fuel_tank_capacity real
@attribute Passenger_capacity real
@attribute Length real
@attribute Wheelbase real
@attribute Width real
@attribute U-turn_space real
@attribute Rear_seat_room real
@attribute Luggage_capacity real
@attribute Weight real
@attribute Domestic { 0, 1}
@attribute class real
@data
Pontiac,Sporty,19,28,2,0,6,3.4,160,4600,1805,1,15.5,4,196,101,75,43,25,13,3240,1,17.7
Pontiac,Midsize,19,27,0,1,6,3.4,200,5000,1890,1,16.5,5,195,108,72,41,28.5,16,3450,1,18.5
Pontiac,Large,19,28,2,1,6,3.8,170,4800,1565,0,18,6,177,111,74,43,30.5,18,3495,1,24.4
Saab,Compact,20,26,1,1,4,2.1,140,6000,2910,1,18,5,184,99,67,37,26.5,14,2775,0,28.7
Saturn,Small,28,38,1,1,4,1.9,85,5000,2145,1,12.8,5,176,102,68,40,26.5,12,2495,1,11.1
Subaru,Small,33,37,0,2,3,1.2,73,5600,2875,1,9.2,4,146,90,60,32,23.5,10,2045,0,8.4
Subaru,Small,25,30,0,2,4,1.8,90,5200,3375,1,15.9,5,175,97,65,35,27.5,15,2490,0,10.9
Subaru,Compact,23,30,1,2,4,2.2,130,5600,2330,1,15.9,5,179,102,67,37,27,14,3085,0,19.5
Suzuki,Small,39,43,0,1,3,1.3,70,6000,3360,1,10.6,4,161,93,63,34,27.5,10,1965,0,8.6
Toyota,Small,32,37,1,1,4,1.5,82,5200,3505,1,11.9,5,162,94,65,36,24,11,2055,0,9.8
Toyota,Sporty,25,32,1,1,4,2.2,135,5400,2405,1,15.9,4,174,99,69,39,23,13,2950,0,18.4
Toyota,Midsize,22,29,1,1,4,2.2,130,5400,2340,1,18.5,5,188,103,70,38,28.5,15,3030,0,18.2
Toyota,Van,18,22,1,2,4,2.4,138,5000,2515,1,19.8,7,187,113,71,41,35,?,3785,0,22.7
Volkswagen,Small,25,33,0,1,4,1.8,81,5500,2550,1,12.4,4,163,93,63,34,26,10,2240,0,9.1
Volkswagen,Van,17,21,0,1,5,2.5,109,4500,2915,1,21.1,7,187,115,72,38,34,?,3960,0,19.7
Volkswagen,Compact,21,30,0,1,4,2,134,5800,2685,1,18.5,5,180,103,67,35,31.5,14,2985,0,20
Volkswagen,Sporty,18,25,0,1,6,2.8,178,5800,2385,1,18.5,4,159,97,66,36,26,15,2810,0,23.3
Volvo,Compact,21,28,1,0,4,2.3,114,5400,2215,1,15.8,5,190,104,67,37,29.5,14,2985,0,22.7
Volvo,Midsize,20,28,2,1,5,2.4,168,6200,2310,1,19.3,5,184,105,69,38,30,15,3245,0,26.7
