% Data from StatLib (ftp stat.cmu.edu/datasets)
%
% These data are those collected in a cloud-seeding experiment in Tasmania
% between mid-1964 and January 1971.   Their analysis, using regression
% techniques and permutation tests, is discussed in:
% 
%       Miller, A.J., Shaw, D.E., Veitch, L.G. & Smith, E.J. (1979).
%       `Analyzing the results of a cloud-seeding experiment in Tasmania',
%       Communications in Statistics - Theory & Methods, vol.A8(10),
%       1017-1047.
% 
% The rainfalls are period rainfalls in inches.   TE and TW are the east and
% west target areas respectively, while NC, SC and NWC are the corresponding
% rainfalls in the north, south and north-west control areas respectively.
% S = seeded, U = unseeded.
%
% Rain in eastern target region is being treated
% as the class attribute. (Attribute for rain
% in the western target region has been deleted.)

@relation cloud

@attribute period integer
@attribute seeded { S, U}
@attribute season { AUTUMN, WINTER, SPRING, SUMMER}
@attribute NC real
@attribute SC real
@attribute NWC real
@attribute TE real

@data
128,S,SPRING,2.12,2.77,4.44,2.09
129,U,SUMMER,1.38,2.11,3.01,1.59
130,S,SUMMER,0.21,1.41,0.8,0.66
131,U,SUMMER,0.48,0.59,0.68,0.68
132,S,SUMMER,0.01,0.65,0.48,0.46
133,S,SUMMER,0.15,0.13,0.42,0.22
134,U,SUMMER,1.32,0.57,1.54,1.11
135,S,SUMMER,2.26,1.04,1.27,1.76
136,U,SUMMER,5.95,3.97,5.37,5.12
171,U,AUTUMN,0.19,0.28,0.7,0.12
172,S,AUTUMN,0.31,0.23,0.83,0.37
173,S,AUTUMN,1.44,3.14,0.86,4.97
174,U,AUTUMN,0.3,0.72,1.38,0.57
175,S,AUTUMN,0.11,0.14,0.58,0.13
176,U,AUTUMN,3.66,1.84,5.36,2.47
177,U,AUTUMN,1.14,0.81,2.09,1.01
178,S,AUTUMN,1.3,0.34,2.45,0.55
179,S,WINTER,0.05,0.38,0.9,0.24
180,U,WINTER,1.84,1.73,2.33,2.36
181,S,WINTER,4.24,1.67,5.48,2.35
182,U,WINTER,1.99,1.9,3.67,2.23
183,U,WINTER,2.44,1.52,4.01,1.16
184,S,WINTER,2.21,2.36,3.25,1.63
185,S,WINTER,0.8,2.25,2.79,1.08
186,U,WINTER,9.42,3.6,7.84,6
187,S,SPRING,2.74,3.03,6.39,2.67
188,U,SPRING,0,0.19,0.06,0.36
189,S,SPRING,0.96,0.64,1.24,0.58
190,U,SPRING,1.38,1.86,2.91,1.36
191,S,SPRING,1.22,2.28,1.58,1.17
192,U,SPRING,2.46,2.47,2.39,2.37
193,S,SPRING,0.05,0.02,0.09,0.02
194,U,SPRING,0.61,0.87,1.35,0.92
