% Data from StatLib (ftp stat.cmu.edu/datasets)
%
% The data consist of annual observations on the level of strike volume
% (days lost due to industrial disputes per 1000 wage salary earners),
% and their covariates in 18 OECD countries from 1951-1985. The average
% level and variance of strike volume varies across countries. The data
% distribution also features a long right tail and several large
% outliers. The 7 data fields include the following variables: (1)
% country code; (2) year; (3) strike volume; (4) unemployment; (5)
% inflation; (6) parliamentary representation of social democratic and
% labor parties; and (7) a time-invariant measure of union
% centralization. 
%
% These data were analyzed in the forthcoming paper by Bruce Western,
% "Vague Theory and Model Uncertainty in Macrosociology," which is to
% appear in Sociological Methodology.
%
% Permission is given by the author to freely use and resdistribute
% these data.
%
% Strike volume treated as the class attribute.

@relation strike

@attribute country { 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18}
@attribute year real
@attribute unemployment real
@attribute inflation real
@attribute representation real
@attribute centralization real
@attribute volume real

@data
6,1965,1.4,4.8,20,0.75,11
6,1966,1.5,3.9,31,0.75,80
6,1967,2.9,5.6,31,0.75,211
6,1968,3.8,9.2,31,0.75,186
6,1969,2.8,2.2,31,0.75,104
6,1970,1.9,2.7,26,0.75,100
6,1971,2.2,6.5,26,0.75,143
6,1972,2.5,7.1,27.5,0.75,1632
6,1973,2.3,11,27.5,0.75,272
6,1974,1.7,16.7,27.5,0.75,239
6,1975,2.2,17.8,27.5,0.75,155
6,1976,3.8,14.4,27,0.75,684
6,1977,5.8,12.7,27,0.75,1310
6,1978,7.2,7.8,27,0.75,73
6,1979,5.9,7.5,26,0.75,131
6,1980,4.6,11.6,26,0.75,836
6,1981,5.1,12,26,0.75,337
6,1982,5.8,9.6,26,0.75,105
6,1983,6.1,8.4,28.5,0.75,361
6,1984,4.9,7.1,28.5,0.75,754
6,1985,4.8,5.9,28.5,0.75,84
7,1951,0.6,17.7,49.3,0,299
7,1952,0.7,12,49.3,0,146
7,1953,0.9,-1.9,49.3,0,807
7,1954,1.6,0.4,49.3,0,119
7,1955,1.5,1,49.3,0,251
7,1956,1.1,4.3,56.6,0,114
7,1957,0.8,-0.8,56.6,0,324
7,1958,0.9,15.3,56.6,0,88
7,1959,1.3,5.7,16.6,0,151
7,1960,1.2,4.2,16.6,0,82
7,1961,1.1,2.4,16.6,0,198
7,1962,1.1,5.2,16.6,0,142
7,1963,1.2,5.1,32.4,0,434
7,1964,0.9,3.2,32.4,0,176
7,1965,1.2,2.7,32.4,0,69
7,1966,1.2,2.6,32.4,0,174
7,1967,1.6,2.8,41,0,282
7,1968,2.6,4.6,19.1,0,7000
7,1969,2.3,6.1,19.1,0,143
7,1970,2.4,5.9,19.1,0,109
7,1971,2.6,5.5,19.1,0,271
7,1972,2.7,6.2,19.1,0,228
7,1973,2.6,7.3,36.9,0,232
7,1974,2.8,13.7,36.9,0,197
7,1975,4.1,11.8,36.9,0,227
7,1976,4.4,9.6,36.9,0,235
7,1977,4.9,9.4,36.9,0,139
7,1978,5.2,9.1,41.7,0,118
7,1979,5.9,10.8,41.7,0,179
7,1980,6.3,13.3,41.7,0,86
7,1981,7.4,13.4,68.4,0,82
7,1982,8.1,11.8,68.4,0,127
7,1983,8.3,9.6,68.4,0,74
7,1984,9.7,7.4,68.4,0,75
7,1985,10.2,5.8,68.4,0,41
8,1951,6.4,7.7,36.3,0.25,112
8,1952,6.1,2.1,36.3,0.25,29
8,1953,5.5,-1.9,36.3,0.25,95
8,1954,5.2,0.2,31,0.25,98
8,1955,3.9,1.7,31,0.25,50
8,1956,3.1,2.6,31,0.25,89
8,1957,2.7,2.1,31,0.25,59
8,1958,2.7,2.1,34,0.25,43
8,1959,1.9,1,34,0.25,3
8,1960,0.9,1.5,34,0.25,2
8,1961,0.6,2.3,34,0.25,3
8,1962,0.6,2.9,38.1,0.25,22
8,1963,0.7,3,38.1,0.25,88
8,1964,0.6,2.4,38.1,0.25,1
8,1965,0.5,3.2,38.1,0.25,2
8,1966,0.6,3.6,40.7,0.25,1
8,1967,1.7,1.6,40.7,0.25,19
8,1968,1.2,1.6,40.7,0.25,1
8,1969,0.7,1.9,40.7,0.25,12
8,1970,0.6,3.4,45.2,0.25,4
8,1971,0.7,5.2,45.2,0.25,203
8,1972,0.9,5.5,45.2,0.25,3
8,1973,1,7,46.4,0.25,25
8,1974,2.1,7,46.4,0.25,48
8,1975,4,5.9,46.4,0.25,3
8,1976,4,4.3,46.4,0.25,25
8,1977,3.9,3.7,43.2,0.25,1
8,1978,3.7,2.7,43.2,0.25,197
8,1979,3.3,4.1,43.2,0.25,22
8,1980,3.3,5.4,43.2,0.25,6
8,1981,4.6,6.3,43.9,0.25,3
8,1982,6.7,5.3,43.9,0.25,1
8,1983,8.2,3.3,38.8,0.25,2
8,1984,8.2,2.4,38.8,0.25,260
8,1985,8.3,2.2,38.8,0.25,2
9,1951,7.3,7.9,10.88,0.5,773
9,1952,9.1,9.2,10.88,0.5,752
9,1953,9.6,5,10.88,0.5,117
9,1954,8.1,0,12.92,0.5,95
9,1955,6.8,2.6,12.92,0.5,336
9,1956,7.7,4.3,12.92,0.5,70
9,1957,9.2,4.1,8.16,0.5,135
9,1958,8.6,4.5,8.16,0.5,187
9,1959,8,0,8.16,0.5,181
9,1960,6.7,0.4,8.16,0.5,115
9,1961,5.7,2.7,11.11,0.5,589
9,1962,5.7,4.2,11.11,0.5,160
9,1963,6.1,2.5,11.11,0.5,354
9,1964,4.7,6.7,11.11,0.5,794
9,1965,4.6,5,15.27,0.5,796
9,1966,4.7,3.1,15.27,0.5,1129
9,1967,5,3.2,15.27,0.5,262
9,1968,5.3,4.7,15.27,0.5,574
9,1969,5,7.4,12.5,0.5,1304
9,1970,5.8,8.2,12.5,0.5,1405
9,1971,5.5,9,12.5,0.5,379
9,1972,6.2,8.7,12.5,0.5,284
9,1973,5.7,11.4,13.19,0.5,277
9,1974,5.3,17,13.19,0.5,720
9,1975,7.3,20.9,13.19,0.5,390
9,1976,9,18,13.19,0.5,1032
9,1977,8.8,13.6,11.48,0.5,571
9,1978,8.2,7.6,11.48,0.5,765
9,1979,7.1,13.2,11.48,0.5,1752
9,1980,7.3,18.2,11.48,0.5,480
9,1981,9.9,20.4,9.04,0.5,503
9,1982,11.4,17.1,9.04,0.5,504
9,1983,14,10.5,9.64,0.5,382
9,1984,15.6,8.6,9.64,0.5,472
9,1985,17,5.4,9.64,0.5,521
10,1951,8.8,14.3,37.5,0.25,437
10,1952,9.5,1.9,37.5,0.25,337
10,1953,10,1.4,40.2,0.25,545
10,1954,8.7,2.4,40.2,0.25,493
10,1955,7.5,2.3,40.2,0.25,511
10,1956,9.3,3.4,40.2,0.25,372
10,1957,7.4,1.1,40.2,0.25,407
10,1958,6.4,3.2,41.4,0.25,363
10,1959,5.4,0,41.4,0.25,792
10,1960,4,2.1,41.4,0.25,483
10,1961,3.4,2,41.4,0.25,803
10,1962,4.4,5,41.4,0.25,1799
10,1963,3.8,6.7,40.2,0.25,888
10,1964,4.2,6.3,40.2,0.25,1256
10,1965,5.3,4.2,40.2,0.25,557
10,1966,5.7,2.4,40.2,0.25,1163
10,1967,5.3,1.3,40.2,0.25,675
10,1968,5.6,1.2,42.5,0.25,719
10,1969,5.6,2.6,42.5,0.25,2875
10,1970,5.3,5,42.5,0.25,1566
10,1971,5.3,4.9,42.5,0.25,1098
10,1972,6.3,5.7,42.7,0.25,1437
10,1973,6.2,10.8,42.7,0.25,1698
10,1974,5.3,19.1,42.7,0.25,1381
10,1975,5.8,17,42.7,0.25,1918
10,1976,6.6,16.7,48.6,0.25,1774
10,1977,7,18.5,48.6,0.25,1149
10,1978,7.1,12,48.6,0.25,702
10,1979,7.6,14.8,48.6,0.25,1870
10,1980,7.5,21.3,48.6,0.25,1108
10,1981,7.8,19.5,48.6,0.25,705
10,1982,8.4,16.5,48.6,0.25,1245
10,1983,9.3,14.6,47.8,0.25,945
10,1984,9.7,10.8,47.8,0.25,591
10,1985,9.9,9.2,47.8,0.25,257
11,1951,1.1,16.5,17.8,0.125,439
11,1952,1.2,5,23.6,0.125,1061
11,1953,1.3,6.6,29.8,0.125,286
11,1954,1.7,6.5,29.8,0.125,249
11,1955,1.8,-1,34.1,0.125,215
11,1956,1.7,0,34.1,0.125,262
11,1957,1.4,3.3,34.1,0.125,300
11,1958,1.4,-0.4,35.8,0.125,306
11,1959,1.5,1,35.8,0.125,279
11,1960,1.1,3.6,35.3,0.125,216
11,1961,1,5.4,35.3,0.125,259
11,1962,1.3,6.8,35.3,0.125,216
11,1963,1.2,7.7,36.8,0.125,105
11,1964,1.2,3.8,36.8,0.125,115
11,1965,1.2,6.6,36.8,0.125,197
11,1966,1.3,5.1,36.8,0.125,9
11,1967,1.3,4,36,0.125,60
11,1968,1.2,5.4,36,0.125,90
11,1969,1.1,5.2,27.8,0.125,114
11,1970,1.1,7.7,27.8,0.125,118
11,1971,1.2,6.3,27.8,0.125,177
11,1972,1.4,4.9,35.6,0.125,149
11,1973,1.3,11.6,35.6,0.125,127
11,1974,1.4,23.2,35.6,0.125,266
11,1975,1.9,11.8,35.6,0.125,220
11,1976,2,9.4,33.1,0.125,88
11,1977,2,8.2,33.1,0.125,40
11,1978,2.2,4.2,33.1,0.125,36
11,1979,2.1,3.7,35.3,0.125,24
11,1980,2,7.7,32.9,0.125,25
11,1981,2.2,5,32.9,0.125,14
11,1982,2.4,2.7,32.9,0.125,13
11,1983,2.6,1.9,34.1,0.125,12
11,1984,2.7,2.3,34.1,0.125,8
11,1985,2.6,2,34.1,0.125,6
12,1951,2.4,11.9,35,0.75,24
12,1952,3.5,0,36,0.75,11
12,1953,2.5,0,36,0.75,10
12,1954,1.8,4,36,0.75,20
12,1955,1.3,1.9,36,0.75,44
12,1956,0.9,1.9,38,0.75,68
12,1957,1.2,6.1,38,0.75,2
12,1958,2.3,2.2,35.3,0.75,12
12,1959,1.8,1.1,35.3,0.75,4
12,1960,1.1,2.3,35.3,0.75,142
12,1961,0.8,1.3,35.3,0.75,7
12,1962,0.5,2.3,35.3,0.75,3
12,1963,0.6,3.3,34,0.75,11
12,1964,0.5,5.8,34,0.75,12
12,1965,0.5,5.8,34,0.75,15
12,1966,0.8,5.8,34,0.75,3
12,1967,1.6,3.5,30.7,0.75,2
12,1968,1.4,3.7,30.7,0.75,4
12,1969,1,7.4,30.7,0.75,6
12,1970,1,3.7,30.7,0.75,66
12,1971,1.3,7.5,31.3,0.75,25
12,1972,2.2,7.8,31.3,0.75,33
12,1973,2.2,8,34.7,0.75,141
12,1974,2.7,9.6,34.7,0.75,2
12,1975,5.2,10.2,34.7,0.75,0
12,1976,5.5,9.1,34.7,0.75,3
12,1977,5.3,6.5,37.3,0.75,57
12,1978,5.3,4.1,37.3,0.75,1
12,1979,5.4,4.2,37.3,0.75,68
12,1980,6,6.5,37.3,0.75,13
12,1981,8.6,6.8,33.3,0.75,5
12,1982,11.4,5.9,33.3,0.75,49
12,1983,13.7,2.8,35.3,0.75,26
12,1984,14.1,3.3,35.3,0.75,6
12,1985,12.8,2.2,35.3,0.75,19
13,1951,0,11.1,37.5,0.375,2462
13,1952,0,7.8,37.5,0.375,58
13,1953,0,4.8,37.5,0.375,38
13,1954,0.1,4.5,43.8,0.375,39
13,1955,0,2.6,43.8,0.375,97
13,1956,0.1,3.5,43.8,0.375,43
13,1957,0.4,2,51.2,0.375,49
13,1958,0.4,4.4,51.2,0.375,32
13,1959,1.2,3.7,51.2,0.375,49
13,1960,0.6,0.8,42.5,0.375,58
13,1961,0.3,1.8,42.5,0.375,59
13,1962,0.1,2.7,42.5,0.375,141
13,1963,0.1,1.9,43.8,0.375,80
13,1964,0.1,3.4,43.8,0.375,93
13,1965,0.1,3.4,43.8,0.375,29
13,1966,0.1,2.8,43.8,0.375,128
13,1967,0.1,6.1,43.8,0.375,174
13,1968,0.8,4.3,43.8,0.375,166
13,1969,0.3,4.9,46.4,0.375,171
13,1970,0.2,6.6,46.4,0.375,327
13,1971,0.2,10.5,46.4,0.375,191
13,1972,0.4,6.9,63.2,0.375,152
13,1973,0.2,8.1,63.2,0.375,300
13,1974,0.1,11.1,63.2,0.375,198
13,1975,0.2,14.6,36.8,0.375,225
13,1976,0.4,17,36.8,0.375,501
13,1977,0.3,14.4,36.8,0.375,437
13,1978,1.7,12,43.5,0.375,372
13,1979,1.9,13.7,43.5,0.375,373
13,1980,2.2,17.2,43.5,0.375,362
13,1981,3.6,15.4,46.7,0.375,354
13,1982,3.5,16.2,46.7,0.375,294
13,1983,5.6,7.4,46.7,0.375,324
13,1984,5.7,6.2,59,0.375,363
13,1985,4.1,15.4,59,0.375,632
14,1951,0.8,16.1,56.7,0.875,37
14,1952,1,8.8,56.7,0.875,127
14,1953,0.9,1.9,56.7,0.875,41
14,1954,0.8,4.6,53.3,0.875,104
14,1955,0.9,1.1,53.3,0.875,106
14,1956,1,3.6,53.3,0.875,946
14,1957,1.6,2.8,53.3,0.875,26
14,1958,1.5,4.9,52.7,0.875,59
14,1959,1.1,2.2,52.7,0.875,46
14,1960,0.9,0.4,52.7,0.875,2
14,1961,1,2.5,52.7,0.875,400
14,1962,1,5.3,50.7,0.875,76
14,1963,1.2,2.6,50.7,0.875,210
14,1964,1.1,5.7,50.7,0.875,1
14,1965,0.9,4.3,50.7,0.875,8
14,1966,0.8,3.3,46.7,0.875,5
14,1967,0.7,4.4,46.7,0.875,4
14,1968,1.1,3.5,46.7,0.875,12
14,1969,1,3.1,46.7,0.875,19
14,1970,0.8,10.6,49.3,0.875,39
14,1971,0.8,6.3,49.3,0.875,7
14,1972,1.7,7.2,49.3,0.875,9
14,1973,1.5,7.4,49.3,0.875,8
14,1974,1.5,9.4,52,0.875,227
14,1975,2.3,11.7,52,0.875,9
14,1976,1.8,9.2,52,0.875,90
14,1977,1.5,9,52,0.875,16
14,1978,1.8,8.2,52,0.875,39
14,1979,1.9,4.8,52,0.875,4
14,1980,1.7,10.9,52,0.875,63
14,1981,2,13.6,52,0.875,17
14,1982,2.6,11.4,46.7,0.875,167
14,1983,3.3,8.4,46.7,0.875,3
14,1984,3,6.3,46.7,0.875,61
14,1985,2.5,5.7,46.7,0.875,37
15,1951,1.8,15.8,52.2,0.875,217
15,1952,2.4,7.7,52.2,0.875,32
15,1953,2.8,1.6,50,0.875,237
15,1954,2.6,0.8,50,0.875,10
15,1955,2.5,3.1,50,0.875,63
15,1956,1.5,4.5,50,0.875,2
15,1957,1.9,4.4,48.5,0.875,21
15,1958,2.5,4.4,50.2,0.875,6
15,1959,2,0.8,50.2,0.875,9
15,1960,1.8,4.1,50.2,0.875,7
15,1961,1.7,2.2,51.3,0.875,1
15,1962,1.5,4.8,51.3,0.875,2
15,1963,1.7,2.9,51.3,0.875,8
15,1964,1.6,3.4,51.3,0.875,11
15,1965,1.2,5,51.9,0.875,1
15,1966,1.6,6.4,51.9,0.875,109
15,1967,2.1,4.3,51.9,0.875,0
15,1968,2.2,1.9,51.9,0.875,0
15,1969,1.9,2.7,54.9,0.875,34
15,1970,1.5,7,54.9,0.875,45
15,1971,2.5,7.4,51.4,0.875,242
15,1972,2.7,6,51.4,0.875,3
15,1973,2.5,6.7,51.4,0.875,3
15,1974,2,9.9,50,0.875,16
15,1975,1.6,9.8,50,0.875,98
15,1976,1.6,10.3,50,0.875,7
15,1977,1.8,11.5,48.4,0.875,23
15,1978,2.2,9.9,48.4,0.875,10
15,1979,2.1,7.2,48.4,0.875,7
15,1980,2,13.7,49.9,0.875,1150
15,1981,2.5,12.1,49.9,0.875,54
15,1982,3.1,8.6,49.9,0.875,0
15,1983,3.5,8.9,53.3,0.875,9
15,1984,3.1,8,53.3,0.875,8
15,1985,2.8,7.4,53.3,0.875,127
16,1951,0.8,4.8,28.4,0.5,5
16,1952,0.9,2.5,27.6,0.5,7
16,1953,0.9,-0.6,27.6,0.5,35
16,1954,0.8,0.7,27.6,0.5,15
16,1955,0.5,0.9,27.6,0.5,1
16,1956,0.6,1.5,29.1,0.5,1
16,1957,0.4,2,29.1,0.5,0
16,1958,0.4,1.8,29.1,0.5,1
16,1959,0.4,-0.7,29.1,0.5,1
16,1960,0,1.4,27.6,0.5,1
16,1961,0,1.9,27.6,0.5,0
16,1962,0,4.3,27.6,0.5,1
16,1963,0,3.4,27.6,0.5,32
16,1964,0,3.1,28.5,0.5,2
16,1965,0,3.4,28.5,0.5,0
16,1966,0,4.8,28.5,0.5,0
16,1967,0,4,28.5,0.5,1
16,1968,0,2.4,28,0.5,1
16,1969,0,2.5,28,0.5,0
16,1970,0,3.6,28,0.5,1
16,1971,0,6.6,28,0.5,3
16,1972,0,6.7,25.5,0.5,1
16,1973,0,8.8,25.5,0.5,0
16,1974,0,9.8,25.5,0.5,1
16,1975,0.4,6.7,25.5,0.5,1
16,1976,0.7,1.7,29.5,0.5,8
16,1977,0.4,1.3,29.5,0.5,2
16,1978,0.3,1.1,29.5,0.5,2
16,1979,0.3,3.7,29.5,0.5,1
16,1980,0.2,4,27,0.5,2
16,1981,0.2,6.5,27,0.5,0
16,1982,0.4,5.7,27,0.5,0
16,1983,0.9,3,27,0.5,2
16,1984,1.1,2.9,24,0.5,0
16,1985,0.9,3.4,24,0.5,0
17,1951,0.9,9.7,47.2,0.375,81
17,1952,1.4,6.1,47.2,0.375,86
17,1953,1.3,1.9,47.2,0.375,104
17,1954,1,1.9,47.2,0.375,114
17,1955,0.8,3.1,44,0.375,173
17,1956,0.9,4.2,44,0.375,95
17,1957,1.1,2.4,44,0.375,380
17,1958,1.7,2.9,44,0.375,158
17,1959,1.7,0.7,41,0.375,239
17,1960,1.3,1,41,0.375,135
17,1961,1.1,3.6,41,0.375,134
17,1962,1.6,4.1,41,0.375,252
17,1963,2,2.1,41,0.375,76
17,1964,1.4,3.2,50.3,0.375,100
17,1965,1.2,4.8,50.3,0.375,127
17,1966,1.1,3.9,57.8,0.375,103
17,1967,2,2.4,57.8,0.375,122
17,1968,2.1,4.7,57.8,0.375,207
17,1969,2,5.5,57.8,0.375,303
17,1970,2.2,6.4,45.7,0.375,488
17,1971,2.8,9.4,45.7,0.375,612
17,1972,3.1,7.1,45.7,0.375,1080
17,1973,2.2,9.2,45.7,0.375,317
17,1974,2.1,15.9,47.4,0.375,647
17,1975,3.2,24.2,50.2,0.375,265
17,1976,4.8,16.5,50.2,0.375,146
17,1977,5.2,15.9,50.2,0.375,448
17,1978,5.1,8.2,50.2,0.375,413
17,1979,4.6,13.5,42.4,0.375,1272
17,1980,5.6,18,42.4,0.375,520
17,1981,9,11.9,42.4,0.375,195
17,1982,10.4,8.6,42.4,0.375,248
17,1983,11.2,4.6,32.2,0.375,178
17,1984,11.2,5,32.2,0.375,1278
17,1985,11.5,6.1,32.2,0.375,298
18,1951,3.2,8,51,0,466
18,1952,2.9,2.2,51,0,1190
18,1953,2.8,0.8,49,0,559
18,1954,5.3,0.4,49,0,456
18,1955,4.2,-0.3,51,0,529
18,1956,4,1.5,51,0,616
18,1957,4.2,3.4,51,0,311
