% 1. Title of Database: Blocks Classification
% 2. Sources:
%    (a) Donato Malerba
%        Dipartimento di Informatica
%        University of Bari
%        via Orabona 4
%        70126 Bari - Italy
%        phone: +39 - 80 - 5443269
%        fax: +39 - 80 - 5443196
%        malerbad@vm.csata.it
%    (b) Donor: Donato Malerba
%    (c) Date: July 1995
% 3. Past Usage:
%    This data set have been used to try different simplification methods
%    for decision trees. A summary of the results can be found in:
% 
%    Malerba, D., Esposito, F., and Semeraro, G.
%    "A Further Comparison of Simplification Methods for Decision-Tree Induction."
%    In D. Fisher and H. Lenz (Eds.), "Learning  from Data: 
%    Artificial Intelligence and Statistics V", Lecture Notes in Statistics,
%    Springer Verlag, Berlin, 1995.
% 
%    The problem consists in classifying all the blocks of the page
%    layout of a document that has been detected by a segmentation
%    process. This is an essential step in document analysis
%    in order to separate text from graphic areas. Indeed, 
%    the five classes are: text (1), horizontal line (2),
%    picture (3), vertical line (4) and graphic (5).
%    For a detailed presentation of the problem see:
% 
%     Esposito F., Malerba D., & Semeraro G.
%   Multistrategy Learning for Document Recognition
%          Applied Artificial Intelligence, 8, pp. 33-84, 1994
% 
%    All instances have been personally checked so that
%    low noise is present in the data.
% 
% 4. Relevant Information Paragraph:
% 
%    The 5473 examples comes from 54 distinct documents. 
%    Each observation concerns one block. 
%    All attributes are numeric.
%    Data are in a format readable by C4.5.
% 
% 5. Number of Instances: 5473.
% 
% 6. Number of Attributes 
% 
%    height:   integer.         | Height of the block.
%    lenght:   integer.     | Length of the block. 
%    area:     integer.    | Area of the block (height * lenght);
%    eccen:    continuous.  | Eccentricity of the block (lenght / height);
%    p_black:  continuous.  | Percentage of black pixels within the block (blackpix / area);
%    p_and:    continuous.        | Percentage of black pixels after the application of the Run Length Smoothing Algorithm (RLSA) (blackand / area);
%    mean_tr:  continuous.      | Mean number of white-black transitions (blackpix / wb_trans);
%    blackpix: integer.    | Total number of black pixels in the original bitmap of the block.
%    blackand: integer.        | Total number of black pixels in the bitmap of the block after the RLSA.
%    wb_trans: integer.          | Number of white-black transitions in the original bitmap of the block.
% 
% 
% 
% 7. Missing Attribute Values:  No missing value.
% 
% 8. Class Distribution: 
% 
%                                            Valid    Cum
%    Class               Frequency  Percent  Percent  Percent
%  
% text                      4913     89.8     89.8     89.8
% horiz. line                329      6.0      6.0     95.8
% graphic                     28       .5       .5     96.3
% vert. line                  88      1.6      1.6     97.9
% picture                    115      2.1      2.1    100.0
%                                 -------  -------  -------
%                         TOTAL      5473    100.0    100.0
% 
% Summary Statistics:
% 
% Variable      Mean    Std Dev   Minimum   Maximum   Correlation 
% 
% HEIGHT       10.47      18.96         1       804         .3510
% LENGTH       89.57     114.72         1       553        -.0045
% AREA       1198.41    4849.38         7    143993         .2343
% ECCEN        13.75      30.70      .007    537.00         .0992
% P_BLACK        .37        .18      .052      1.00         .2130
% P_AND          .79        .17      .062      1.00        -.1771
% MEAN_TR       6.22      69.08      1.00   4955.00         .0723
% BLACKPIX    365.93    1270.33         7     33017         .1656
% BLACKAND    741.11    1881.50         7     46133         .1565
% WB_TRANS    106.66     167.31         1      3212         .0337
% 
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation page-blocks

@attribute height INTEGER
@attribute lenght INTEGER
@attribute area INTEGER
@attribute eccen REAL
@attribute p_black REAL
@attribute p_and REAL
@attribute mean_tr REAL
@attribute blackpix INTEGER
@attribute blackand INTEGER
@attribute wb_trans INTEGER
@attribute class {1,2,3,4,5}

@data
9,12,108,1.333,.454,1.00,1.69,49,108,29,1
9,64,576,7.111,.299,.970,1.81,172,559,95,1
11,102,1122,9.273,.223,.768,1.53,250,862,163,1
12,12,144,1.000,.306,.979,1.69,44,141,26,1
12,56,672,4.667,.256,.827,2.02,172,556,85,1
9,84,756,9.333,.222,.937,1.81,168,708,93,1
9,54,486,6.000,.292,.957,1.48,142,465,96,1
9,41,369,4.556,.298,.775,1.90,110,286,58,1
10,83,830,8.300,.266,.827,2.10,221,686,105,1
10,4,40,.400,.375,.400,15.00,15,16,1,1
12,11,132,.917,.371,1.00,1.63,49,132,30,1
12,44,528,3.667,.261,.767,2.38,138,405,58,1
10,34,340,3.400,.297,.885,1.71,101,301,59,1
9,76,684,8.444,.307,.882,1.84,210,603,114,1
12,14,168,1.167,.357,.958,2.31,60,161,26,1
12,7,84,.583,.214,.583,3.60,18,49,5,1
12,44,528,3.667,.294,.742,2.31,155,392,67,1
10,63,630,6.300,.233,.705,1.69,147,444,87,1
9,32,288,3.556,.271,.594,2.23,78,171,35,1
3,116,348,38.667,.385,.494,33.50,134,172,4,2
1,10,10,10.000,1.00,1.00,10.00,10,10,1,2
1,13,13,13.000,1.00,1.00,13.00,13,13,1,2
1,8,8,8.000,1.00,1.00,8.00,8,8,1,2
1,44,44,44.000,.250,1.00,2.20,11,44,5,2
2,20,40,10.000,.725,.875,29.00,29,35,1,2
2,20,40,10.000,.775,.850,31.00,31,34,1,2
13,10,130,.769,.300,.808,6.50,39,105,6,1
11,86,946,7.818,.413,.853,3.10,391,807,126,1
11,20,220,1.818,.168,.750,3.36,37,165,11,1
9,5,45,.556,.378,.933,2.83,17,42,6,1
8,3,24,.375,.417,.417,10.00,10,10,1,1
3,113,339,37.667,.357,.378,30.25,121,128,4,2
98,3,294,.031,.480,.486,141.00,141,143,1,4
2,48,96,24.000,.625,.677,30.00,60,65,2,2
11,65,715,5.909,.390,.877,2.61,279,627,107,1
9,37,333,4.111,.526,.898,3.18,175,299,55,1
9,21,189,2.333,.291,.762,1.57,55,144,35,1
8,8,64,1.000,.234,.328,5.00,15,21,3,1
10,100,1000,10.000,.436,.910,2.53,436,910,172,1
9,85,765,9.444,.302,.812,1.82,231,621,127,1
9,32,288,3.556,.302,.781,2.07,87,225,42,1
11,101,1111,9.182,.398,.888,2.76,442,987,160,1
11,119,1309,10.818,.261,.798,1.88,341,1045,181,1
10,126,1260,12.600,.425,.862,2.68,536,1086,200,1
9,13,117,1.444,.239,.462,4.67,28,54,6,1
9,75,675,8.333,.256,.606,2.19,173,409,79,1
11,119,1309,10.818,.236,.747,1.75,309,978,177,1
10,44,440,4.400,.393,.852,3.15,173,375,55,1
9,40,360,4.444,.356,.967,2.29,128,348,56,1
8,48,384,6.000,.302,.914,1.76,116,351,66,1
9,44,396,4.889,.460,.937,2.84,182,371,64,1
9,47,423,5.222,.274,.747,2.42,116,316,48,1
9,40,360,4.444,.319,.919,2.35,115,331,49,1
3,116,348,38.667,.356,.371,62.00,124,129,2,2
2,18,36,9.000,.722,.722,26.00,26,26,1,2
3,132,396,44.000,.505,.558,20.00,200,221,10,2
1,17,17,17.000,.765,1.00,3.25,13,17,4,2
1,8,8,8.000,1.00,1.00,8.00,8,8,1,2
2,69,138,34.500,.623,.906,10.75,86,125,8,2
2,46,92,23.000,.587,.761,18.00,54,70,3,2
11,77,847,7.000,.345,.874,2.43,292,740,120,1
9,41,369,4.556,.301,.886,1.91,111,327,58,1
1,57,57,57.000,.456,1.00,3.71,26,57,7,2
1,10,10,10.000,.900,1.00,9.00,9,10,1,2
14,185,2590,13.214,.254,.651,2.27,657,1687,289,1
10,152,1520,15.200,.297,.778,2.17,452,1182,208,1
2,116,232,58.000,.616,.802,17.88,143,186,8,2
9,123,1107,13.667,.362,.986,2.62,401,1091,153,1
2,17,34,8.500,.588,.971,6.67,20,33,3,2
10,131,1310,13.100,.415,.857,2.74,543,1123,198,1
1,12,12,12.000,.583,1.00,3.50,7,12,2,1
6,27,162,4.500,.154,.481,2.78,25,78,9,1
7,15,105,2.143,.324,.762,3.09,34,80,11,1
7,58,406,8.286,.202,.751,2.34,82,305,35,1
7,46,322,6.571,.155,.587,4.17,50,189,12,1
1,27,27,27.000,.593,1.00,4.00,16,27,4,1
7,17,119,2.429,.227,.580,2.70,27,69,10,1
2,31,62,15.500,.194,.516,2.00,12,32,6,1
1,12,12,12.000,.583,1.00,3.50,7,12,2,1
2,17,34,8.500,.324,1.00,2.75,11,34,4,1
2,11,22,5.500,.409,.955,9.00,9,21,1,1
2,19,38,9.500,.237,1.00,1.80,9,38,5,1
7,107,749,15.286,.270,.654,1.60,202,490,126,1
5,9,45,1.800,.267,.778,1.71,12,35,7,1
11,9,99,.818,.485,.727,6.00,48,72,8,1
11,8,88,.727,.705,1.00,7.75,62,88,8,1
11,8,88,.727,.443,.466,39.00,39,41,1,1
11,7,77,.636,.597,1.00,5.75,46,77,8,1
11,7,77,.636,.468,1.00,3.60,36,77,10,1
11,9,99,.818,.475,.636,15.67,47,63,3,1
11,8,88,.727,.511,.852,9.00,45,75,5,1
1,43,43,43.000,.907,1.00,9.75,39,43,4,2
10,38,380,3.800,.387,.887,2.49,147,337,59,1
8,20,160,2.500,.500,1.00,2.76,80,160,29,1
9,36,324,4.000,.540,.929,2.87,175,301,61,1
10,98,980,9.800,.391,.835,2.41,383,818,159,1
10,49,490,4.900,.520,.961,2.97,255,471,86,1
10,21,210,2.100,.329,.843,2.56,69,177,27,1
9,19,171,2.111,.292,.760,2.63,50,130,19,1
9,55,495,6.111,.299,1.00,1.92,148,495,77,1
9,14,126,1.556,.127,.937,1.78,16,118,9,1
8,23,184,2.875,.288,1.00,1.47,53,184,36,1
8,35,280,4.375,.379,.886,1.66,106,248,64,1
9,96,864,10.667,.281,.815,1.96,243,704,124,1
9,66,594,7.333,.323,.805,2.00,192,478,96,1
9,34,306,3.778,.337,.817,1.81,103,250,57,1
8,83,664,10.375,.325,.908,1.76,216,603,123,1
8,80,640,10.000,.303,.922,1.72,194,590,113,1
9,95,855,10.556,.285,.723,2.10,244,618,116,1
8,80,640,10.000,.298,.883,1.72,191,565,111,1
10,13,130,1.300,.108,.685,2.33,14,89,6,1
8,70,560,8.750,.341,.918,1.66,191,514,115,1
11,84,924,7.636,.262,.820,1.69,242,758,143,1
9,99,891,11.000,.270,.818,1.93,241,729,125,1
9,80,720,8.889,.293,.868,1.85,211,625,114,1
11,101,1111,9.182,.239,.818,1.61,265,909,165,1
12,26,312,2.167,.221,1.00,1.60,69,312,43,1
12,40,480,3.333,.271,.733,1.97,130,352,66,1
8,84,672,10.500,.269,.966,1.79,181,649,101,1
8,53,424,6.625,.358,.981,1.54,152,416,99,1
8,41,328,5.125,.363,.942,1.63,119,309,73,1
9,82,738,9.111,.252,.740,2.00,186,546,93,1
7,14,98,2.000,.184,.612,18.00,18,60,1,1
8,26,208,3.250,.375,.947,1.77,78,197,44,1
8,46,368,5.750,.391,.951,1.85,144,350,78,1
9,34,306,3.778,.379,.961,1.71,116,294,68,1
11,26,286,2.364,.297,.941,2.02,85,269,42,1
11,42,462,3.818,.335,.829,2.25,155,383,69,1
12,62,744,5.167,.234,.660,1.58,174,491,110,1
8,75,600,9.375,.328,.888,1.86,197,533,106,1
8,18,144,2.250,.479,.986,2.16,69,142,32,1
7,33,231,4.714,.143,.844,2.36,33,195,14,1
9,64,576,7.111,.465,.899,2.58,268,518,104,1
9,36,324,4.000,.568,.932,3.02,184,302,61,1
8,8,64,1.000,.203,.344,4.33,13,22,3,1
8,21,168,2.625,.339,.673,1.97,57,113,29,1
9,99,891,11.000,.464,.942,2.52,413,839,164,1
9,84,756,9.333,.288,.791,1.83,218,598,119,1
8,31,248,3.875,.327,.790,1.84,81,196,44,1
19,2,38,.105,.816,.816,31.00,31,31,1,4
9,101,909,11.222,.442,.861,2.68,402,783,150,1
11,118,1298,10.727,.260,.817,2.01,338,1061,168,1
5,2,10,.400,.800,.800,8.00,8,8,1,4
10,126,1260,12.600,.410,.833,2.63,516,1049,196,1
12,117,1404,9.750,.220,.673,1.68,309,945,184,1
9,35,315,3.889,.263,.667,2.86,83,210,29,1
9,46,414,5.111,.292,.676,1.92,121,280,63,1
10,2,20,.200,.550,.600,11.00,11,12,1,2
8,44,352,5.500,.426,.938,3.26,150,330,46,1
8,48,384,6.000,.310,.807,1.92,119,310,62,1
8,40,320,5.000,.403,.991,2.53,129,317,51,1
8,45,360,5.625,.469,.956,2.91,169,344,58,1
9,20,180,2.222,.261,.556,2.35,47,100,20,1
9,22,198,2.444,.298,.965,2.11,59,191,28,1
8,41,328,5.125,.335,.933,2.08,110,306,53,1
2,112,224,56.000,.496,.504,55.50,111,113,2,2
1,45,45,45.000,.756,1.00,5.67,34,45,6,2
1,75,75,75.000,.813,1.00,5.55,61,75,11,2
8,43,344,5.375,.349,.814,2.26,120,280,53,1
11,301,3311,27.364,.308,.735,2.22,1019,2435,458,1
7,35,245,5.000,.453,.873,2.47,111,214,45,1
9,122,1098,13.556,.339,.947,2.57,372,1040,145,1
10,130,1300,13.000,.425,.773,2.79,552,1005,198,1
6,46,276,7.667,.217,.804,2.00,60,222,30,1
6,27,162,4.500,.136,.673,2.00,22,109,11,1
5,8,40,1.600,.350,.675,4.67,14,27,3,1
5,3,15,.600,.467,1.00,7.00,7,15,1,1
5,35,175,7.000,.200,.829,4.38,35,145,8,1
4,47,188,11.750,.298,.739,2.33,56,139,24,1
3,31,93,10.333,.226,.774,2.10,21,72,10,1
3,16,48,5.333,.375,.938,2.25,18,45,8,1
7,122,854,17.429,.281,.626,1.73,240,535,139,1
11,21,231,1.909,.411,.680,3.96,95,157,24,1
11,8,88,.727,.375,.602,4.13,33,53,8,1
11,9,99,.818,.465,.818,9.20,46,81,5,1
10,8,80,.800,.500,1.00,5.00,40,80,8,1
10,21,210,2.100,.324,.600,3.40,68,126,20,1
2,157,314,78.500,.506,.551,26.50,159,173,6,2
10,38,380,3.800,.439,.897,2.83,167,341,59,1
9,36,324,4.000,.549,.914,3.30,178,296,54,1
8,20,160,2.500,.525,.938,3.50,84,150,24,1
10,96,960,9.600,.418,.886,2.49,401,851,161,1
9,49,441,5.444,.594,.998,3.05,262,440,86,1
1,32,32,32.000,.719,1.00,5.75,23,32,4,2
1,52,52,52.000,.788,1.00,10.25,41,52,4,2
1,13,13,13.000,.692,1.00,4.50,9,13,2,2
9,23,207,2.556,.304,1.00,1.62,63,207,39,1
9,37,333,4.111,.381,.808,2.05,127,269,62,1
9,20,180,2.222,.339,.872,2.35,61,157,26,1
8,79,632,9.875,.375,.956,2.12,237,604,112,1
9,81,729,9.000,.388,.897,2.38,283,654,119,1
8,67,536,8.375,.381,.746,2.49,204,400,82,1
9,32,288,3.556,.292,.826,1.53,84,238,55,1
94,2,188,.021,.516,.516,97.00,97,97,1,4
10,11,110,1.100,.382,1.00,1.50,42,110,28,1
10,64,640,6.400,.295,.808,2.25,189,517,84,1
10,83,830,8.300,.295,.725,2.02,245,602,121,1
12,73,876,6.083,.257,.591,2.14,225,518,105,1
8,17,136,2.125,.353,.801,2.00,48,109,24,1
9,12,108,1.333,.407,.880,1.69,44,95,26,1
9,82,738,9.111,.343,.913,2.02,253,674,125,1
8,53,424,6.625,.370,.901,1.76,157,382,89,1
11,83,913,7.545,.274,.900,1.71,250,822,146,1
10,81,810,8.100,.279,.810,2.11,226,656,107,1
9,82,738,9.111,.329,.871,2.11,243,643,115,1
11,100,1100,9.091,.269,.765,1.90,296,842,156,1
25,71,1775,2.840,.234,.748,2.22,416,1328,187,1
9,82,738,9.111,.247,.935,2.09,182,690,87,1
9,97,873,10.778,.328,.921,1.77,286,804,162,1
9,32,288,3.556,.333,.861,1.68,96,248,57,1
8,82,656,10.250,.398,.951,2.51,261,624,104,1
12,13,156,1.083,.372,.981,2.32,58,153,25,1
12,8,96,.667,.198,1.00,2.11,19,96,9,1
12,43,516,3.583,.293,.791,2.29,151,408,66,1
8,75,600,9.375,.415,.910,2.37,249,546,105,1
11,84,924,7.636,.251,.681,1.77,232,629,131,1
2,123,246,61.500,.500,.504,123.00,123,124,1,2
1,36,36,36.000,.722,1.00,8.67,26,36,3,2
19,123,2337,6.474,.089,.089,207.00,207,208,1,1
8,6,48,.750,.500,.646,8.00,24,31,3,1
10,65,650,6.500,.445,.911,2.58,289,592,112,1
9,37,333,4.111,.598,.946,3.49,199,315,57,1
9,20,180,2.222,.339,.772,1.74,61,139,35,1
4,8,32,2.000,.344,.781,1.83,11,25,6,1
10,100,1000,10.000,.449,.874,2.82,449,874,159,1
9,32,288,3.556,.365,.781,2.23,105,225,47,1
9,82,738,9.111,.337,.817,2.01,249,603,124,1
10,101,1010,10.100,.466,.893,3.02,471,902,156,1
12,116,1392,9.667,.246,.707,1.99,343,984,172,1
10,126,1260,12.600,.463,.848,3.16,584,1068,185,1
9,86,774,9.556,.301,.647,2.22,233,501,105,1
11,115,1265,10.455,.266,.723,1.79,337,915,188,1
4,2,8,.500,.875,.875,7.00,7,7,1,4
9,44,396,4.889,.465,.944,3.35,184,374,55,1
8,46,368,5.750,.348,.918,1.97,128,338,65,1
8,40,320,5.000,.391,.991,2.08,125,317,60,1
9,45,405,5.000,.442,.956,3.31,179,387,54,1
8,45,360,5.625,.367,.897,2.44,132,323,54,1
8,41,328,5.125,.424,.966,2.53,139,317,55,1
1,19,19,19.000,.789,1.00,3.75,15,19,4,2
1,9,9,9.000,.778,1.00,7.00,7,9,1,2
8,42,336,5.250,.363,.970,2.18,122,326,56,1
14,339,4746,24.214,.248,.547,2.44,1175,2596,481,1
10,123,1230,12.300,.362,.888,2.99,445,1092,149,1
2,446,892,223.00,.439,.603,17.82,392,538,22,2
66,3,198,.045,.657,.909,2.60,130,180,50,4
10,131,1310,13.100,.456,.851,3.00,597,1115,199,1
93,4,372,.043,.419,.565,2.89,156,210,54,4
44,3,132,.068,.598,.841,2.47,79,111,32,4
42,7,294,.167,.282,.432,2.18,83,127,38,4
2,236,472,118.00,.566,.689,10.27,267,325,26,2
1,61,61,61.000,1.00,1.00,61.00,61,61,1,2
8,14,112,1.750,.223,.661,3.57,25,74,7,1
9,174,1566,19.333,.178,.737,1.71,279,1154,163,1
8,45,360,5.625,.156,.725,1.87,56,261,30,1
7,27,189,3.857,.101,.619,3.80,19,117,5,1
1,9,9,9.000,.778,1.00,7.00,7,9,1,1
8,122,976,15.250,.227,.650,1.44,222,634,154,1
11,96,1056,8.727,.331,.954,4.32,350,1007,81,1
48,402,19296,8.375,.055,.094,4.13,1058,1814,256,5
304,463,140752,1.523,.063,.121,3.91,8898,17081,2273,5
10,20,200,2.000,.435,.890,2.90,87,178,30,1
9,97,873,10.778,.466,.973,2.42,407,849,168,1
9,21,189,2.333,.354,.878,2.68,67,166,25,1
9,80,720,8.889,.338,.954,2.04,243,687,119,1
11,85,935,7.727,.250,.664,1.73,234,621,135,1
9,76,684,8.444,.363,.874,2.18,248,598,114,1
8,2,16,.250,.563,.563,9.00,9,9,1,1
9,33,297,3.667,.259,.774,1.67,77,230,46,1
9,120,1080,13.333,.331,.859,1.98,358,928,181,1
12,118,1416,9.833,.253,.767,1.95,358,1086,184,1
11,207,2277,18.818,.268,.723,1.84,610,1647,332,1
9,92,828,10.222,.365,.954,2.20,302,790,137,1
9,93,837,10.333,.323,.888,2.06,270,743,131,1
9,43,387,4.778,.377,.922,2.25,146,357,65,1
3,213,639,71.000,.318,.379,11.94,203,242,17,2
306,465,142290,1.520,.055,.123,2.69,7861,17452,2925,5
45,79,3555,1.756,.087,.195,4.81,308,693,64,5
7,9,63,1.286,.333,.492,21.00,21,31,1,1
3,7,21,2.333,.619,.619,13.00,13,13,1,1
1,152,152,152.00,.822,1.00,11.36,125,152,11,2
1,51,51,51.000,.471,1.00,2.40,24,51,10,2
6,17,102,2.833,.275,.824,2.00,28,84,14,1
6,22,132,3.667,.197,1.00,2.89,26,132,9,1
6,29,174,4.833,.293,.920,1.50,51,160,34,1
5,46,230,9.200,.278,.835,2.21,64,192,29,1
5,30,150,6.000,.160,.660,1.71,24,99,14,1
4,16,64,4.000,.391,.938,1.67,25,60,15,1
7,45,315,6.429,.200,.775,1.91,63,244,33,1
7,27,189,3.857,.238,.741,2.81,45,140,16,1
10,122,1220,12.200,.273,.540,2.03,333,659,164,1
11,49,539,4.455,.343,.666,4.30,185,359,43,1
11,35,385,3.182,.335,.584,4.78,129,225,27,1
19,462,8778,24.316,.523,.688,16.88,4591,6035,272,2
10,38,380,3.800,.434,.892,2.89,165,339,57,1
9,36,324,4.000,.552,.926,3.51,179,300,51,1
10,98,980,9.800,.448,.881,2.74,439,863,160,1
9,21,189,2.333,.529,.958,3.33,100,181,30,1
10,49,490,4.900,.551,.943,3.07,270,462,88,1
1,49,49,49.000,.286,1.00,7.00,14,49,2,1
1,52,52,52.000,.981,1.00,51.00,51,52,1,2
1,52,52,52.000,.538,1.00,14.00,28,52,2,2
10,24,240,2.400,.267,.821,2.06,64,197,31,1
9,36,324,4.000,.420,.889,2.00,136,288,68,1
9,21,189,2.333,.392,.899,2.74,74,170,27,1
9,78,702,8.667,.349,.863,2.17,245,606,113,1
11,67,737,6.091,.331,.844,2.28,244,622,107,1
