% Data.
% The data consist of annual observations on the level of strike volume
% (days lost due to industrial disputes per 1000 wage salary earners),
% and their covariates in 18 OECD countries from 1951-1985. The average
% level and variance of strike volume varies across countries. The data
% distribution also features a long right tail and several large
% outliers. The 7 data fields include the following variables: (1)
% country code; (2) year; (3) strike volume; (4) unemployment; (5)
% inflation; (6) parliamentary representation of social democratic and
% labor parties; and (7) a time-invariant measure of union
% centralization. 
% These data were analyzed in the forthcoming paper by Bruce Western,
% "Vague Theory and Model Uncertainty in Macrosociology," which is to
% appear in Sociological Methodology.
% Permission is given by the author to freely use and resdistribute
% these data.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: 3
%

@relation strikes

@attribute country_code REAL
@attribute year REAL
@attribute strike_volume REAL
@attribute unemployment REAL
@attribute inflation REAL
@attribute parliamentary_representation REAL
@attribute union_centralization REAL

@data
4.000,1984.000,393.000,11.200,4.300,24.800,0.000
4.000,1985.000,315.000,10.400,4.000,24.800,0.000
5.000,1951.000,3.000,9.700,10.500,44.600,0.500
5.000,1952.000,3.000,12.500,3.800,44.600,0.500
5.000,1953.000,2.000,9.200,0.900,45.600,0.500
5.000,1954.000,17.000,9.000,0.000,46.900,0.500
5.000,1955.000,7.000,9.700,5.500,46.900,0.500
5.000,1956.000,789.000,11.100,6.000,46.900,0.500
5.000,1957.000,5.000,9.900,2.700,43.400,0.500
5.000,1958.000,6.000,9.200,0.700,43.400,0.500
5.000,1959.000,12.000,5.900,1.700,43.400,0.500
5.000,1960.000,41.000,4.200,1.300,43.400,0.500
5.000,1961.000,1486.000,3.300,3.500,49.700,0.500
5.000,1962.000,9.000,1.800,7.400,49.700,0.500
5.000,1963.000,15.000,2.000,6.100,49.700,0.500
5.000,1964.000,11.000,1.400,3.100,49.700,0.500
5.000,1965.000,143.000,1.200,5.500,49.100,0.500
5.000,1966.000,9.000,1.400,7.100,50.900,0.500
5.000,1967.000,6.000,1.200,8.200,50.900,0.500
5.000,1968.000,19.000,1.200,8.000,44.000,0.500
5.000,1969.000,31.000,1.100,3.500,44.000,0.500
5.000,1970.000,56.000,0.700,6.500,44.000,0.500
5.000,1971.000,11.000,1.100,5.900,44.000,0.500
5.000,1972.000,11.000,0.900,6.600,49.700,0.500
5.000,1973.000,2001.000,0.900,9.300,49.700,0.500
5.000,1974.000,94.000,3.500,15.300,36.000,0.500
5.000,1975.000,52.000,4.900,9.600,41.700,0.500
5.000,1976.000,107.000,6.300,9.000,41.700,0.500
5.000,1977.000,115.000,7.300,11.100,48.000,0.500
5.000,1978.000,64.000,8.300,10.000,48.000,0.500
5.000,1979.000,84.000,6.000,9.600,48.000,0.500
5.000,1980.000,90.000,6.500,12.300,48.600,0.500
5.000,1981.000,319.000,10.300,11.700,48.600,0.500
5.000,1982.000,45.000,11.000,10.100,48.000,0.500
5.000,1983.000,38.000,11.400,6.900,48.000,0.500
5.000,1984.000,62.000,8.500,6.300,46.900,0.500
5.000,1985.000,1056.000,7.300,4.700,46.900,0.500
6.000,1951.000,288.000,0.100,16.300,26.500,0.750
6.000,1952.000,47.000,0.100,1.000,26.500,0.750
6.000,1953.000,54.000,0.300,2.000,26.500,0.750
6.000,1954.000,96.000,0.100,0.000,27.000,0.750
6.000,1955.000,281.000,0.100,-2.900,27.000,0.750
6.000,1956.000,5568.000,0.100,11.000,27.000,0.750
6.000,1957.000,174.000,0.300,11.300,27.000,0.750
6.000,1958.000,35.000,0.400,6.600,27.000,0.750
6.000,1959.000,323.000,2.300,1.500,25.500,0.750
6.000,1960.000,71.000,1.500,3.200,25.500,0.750
6.000,1961.000,30.000,1.200,1.800,25.500,0.750
6.000,1962.000,23.000,1.300,4.500,20.000,0.750
6.000,1963.000,961.000,1.500,4.900,20.000,0.750
6.000,1964.000,39.000,1.500,10.400,20.000,0.750
6.000,1965.000,11.000,1.400,4.800,20.000,0.750
6.000,1966.000,80.000,1.500,3.900,31.000,0.750
6.000,1967.000,211.000,2.900,5.600,31.000,0.750
6.000,1968.000,186.000,3.800,9.200,31.000,0.750
6.000,1969.000,104.000,2.800,2.200,31.000,0.750
6.000,1970.000,100.000,1.900,2.700,26.000,0.750
6.000,1971.000,143.000,2.200,6.500,26.000,0.750
6.000,1972.000,1632.000,2.500,7.100,27.500,0.750
6.000,1973.000,272.000,2.300,11.000,27.500,0.750
6.000,1974.000,239.000,1.700,16.700,27.500,0.750
6.000,1975.000,155.000,2.200,17.800,27.500,0.750
6.000,1976.000,684.000,3.800,14.400,27.000,0.750
6.000,1977.000,1310.000,5.800,12.700,27.000,0.750
6.000,1978.000,73.000,7.200,7.800,27.000,0.750
6.000,1979.000,131.000,5.900,7.500,26.000,0.750
6.000,1980.000,836.000,4.600,11.600,26.000,0.750
6.000,1981.000,337.000,5.100,12.000,26.000,0.750
6.000,1982.000,105.000,5.800,9.600,26.000,0.750
6.000,1983.000,361.000,6.100,8.400,28.500,0.750
6.000,1984.000,754.000,4.900,7.100,28.500,0.750
6.000,1985.000,84.000,4.800,5.900,28.500,0.750
7.000,1951.000,299.000,0.600,17.700,49.300,0.000
7.000,1952.000,146.000,0.700,12.000,49.300,0.000
7.000,1953.000,807.000,0.900,-1.900,49.300,0.000
7.000,1954.000,119.000,1.600,0.400,49.300,0.000
7.000,1955.000,251.000,1.500,1.000,49.300,0.000
7.000,1956.000,114.000,1.100,4.300,56.600,0.000
7.000,1957.000,324.000,0.800,-0.800,56.600,0.000
7.000,1958.000,88.000,0.900,15.300,56.600,0.000
7.000,1959.000,151.000,1.300,5.700,16.600,0.000
7.000,1960.000,82.000,1.200,4.200,16.600,0.000
7.000,1961.000,198.000,1.100,2.400,16.600,0.000
7.000,1962.000,142.000,1.100,5.200,16.600,0.000
7.000,1963.000,434.000,1.200,5.100,32.400,0.000
7.000,1964.000,176.000,0.900,3.200,32.400,0.000
7.000,1965.000,69.000,1.200,2.700,32.400,0.000
7.000,1966.000,174.000,1.200,2.600,32.400,0.000
7.000,1967.000,282.000,1.600,2.800,41.000,0.000
7.000,1968.000,7000.000,2.600,4.600,19.100,0.000
7.000,1969.000,143.000,2.300,6.100,19.100,0.000
7.000,1970.000,109.000,2.400,5.900,19.100,0.000
7.000,1971.000,271.000,2.600,5.500,19.100,0.000
7.000,1972.000,228.000,2.700,6.200,19.100,0.000
7.000,1973.000,232.000,2.600,7.300,36.900,0.000
7.000,1974.000,197.000,2.800,13.700,36.900,0.000
7.000,1975.000,227.000,4.100,11.800,36.900,0.000
7.000,1976.000,235.000,4.400,9.600,36.900,0.000
7.000,1977.000,139.000,4.900,9.400,36.900,0.000
7.000,1978.000,118.000,5.200,9.100,41.700,0.000
7.000,1979.000,179.000,5.900,10.800,41.700,0.000
7.000,1980.000,86.000,6.300,13.300,41.700,0.000
7.000,1981.000,82.000,7.400,13.400,68.400,0.000
7.000,1982.000,127.000,8.100,11.800,68.400,0.000
7.000,1983.000,74.000,8.300,9.600,68.400,0.000
7.000,1984.000,75.000,9.700,7.400,68.400,0.000
7.000,1985.000,41.000,10.200,5.800,68.400,0.000
8.000,1951.000,112.000,6.400,7.700,36.300,0.250
8.000,1952.000,29.000,6.100,2.100,36.300,0.250
8.000,1953.000,95.000,5.500,-1.900,36.300,0.250
8.000,1954.000,98.000,5.200,0.200,31.000,0.250
8.000,1955.000,50.000,3.900,1.700,31.000,0.250
8.000,1956.000,89.000,3.100,2.600,31.000,0.250
8.000,1957.000,59.000,2.700,2.100,31.000,0.250
8.000,1958.000,43.000,2.700,2.100,34.000,0.250
8.000,1959.000,3.000,1.900,1.000,34.000,0.250
8.000,1960.000,2.000,0.900,1.500,34.000,0.250
8.000,1961.000,3.000,0.600,2.300,34.000,0.250
8.000,1962.000,22.000,0.600,2.900,38.100,0.250
8.000,1963.000,88.000,0.700,3.000,38.100,0.250
8.000,1964.000,1.000,0.600,2.400,38.100,0.250
8.000,1965.000,2.000,0.500,3.200,38.100,0.250
8.000,1966.000,1.000,0.600,3.600,40.700,0.250
8.000,1967.000,19.000,1.700,1.600,40.700,0.250
8.000,1968.000,1.000,1.200,1.600,40.700,0.250
8.000,1969.000,12.000,0.700,1.900,40.700,0.250
8.000,1970.000,4.000,0.600,3.400,45.200,0.250
8.000,1971.000,203.000,0.700,5.200,45.200,0.250
8.000,1972.000,3.000,0.900,5.500,45.200,0.250
8.000,1973.000,25.000,1.000,7.000,46.400,0.250
8.000,1974.000,48.000,2.100,7.000,46.400,0.250
8.000,1975.000,3.000,4.000,5.900,46.400,0.250
8.000,1976.000,25.000,4.000,4.300,46.400,0.250
8.000,1977.000,1.000,3.900,3.700,43.200,0.250
8.000,1978.000,197.000,3.700,2.700,43.200,0.250
8.000,1979.000,22.000,3.300,4.100,43.200,0.250
8.000,1980.000,6.000,3.300,5.400,43.200,0.250
8.000,1981.000,3.000,4.600,6.300,43.900,0.250
8.000,1982.000,1.000,6.700,5.300,43.900,0.250
8.000,1983.000,2.000,8.200,3.300,38.800,0.250
8.000,1984.000,260.000,8.200,2.400,38.800,0.250
8.000,1985.000,2.000,8.300,2.200,38.800,0.250
9.000,1951.000,773.000,7.300,7.900,10.880,0.500
9.000,1952.000,752.000,9.100,9.200,10.880,0.500
9.000,1953.000,117.000,9.600,5.000,10.880,0.500
9.000,1954.000,95.000,8.100,0.000,12.920,0.500
9.000,1955.000,336.000,6.800,2.600,12.920,0.500
9.000,1956.000,70.000,7.700,4.300,12.920,0.500
9.000,1957.000,135.000,9.200,4.100,8.160,0.500
9.000,1958.000,187.000,8.600,4.500,8.160,0.500
9.000,1959.000,181.000,8.000,0.000,8.160,0.500
9.000,1960.000,115.000,6.700,0.400,8.160,0.500
9.000,1961.000,589.000,5.700,2.700,11.110,0.500
9.000,1962.000,160.000,5.700,4.200,11.110,0.500
9.000,1963.000,354.000,6.100,2.500,11.110,0.500
9.000,1964.000,794.000,4.700,6.700,11.110,0.500
9.000,1965.000,796.000,4.600,5.000,15.270,0.500
9.000,1966.000,1129.000,4.700,3.100,15.270,0.500
9.000,1967.000,262.000,5.000,3.200,15.270,0.500
9.000,1968.000,574.000,5.300,4.700,15.270,0.500
9.000,1969.000,1304.000,5.000,7.400,12.500,0.500
9.000,1970.000,1405.000,5.800,8.200,12.500,0.500
9.000,1971.000,379.000,5.500,9.000,12.500,0.500
9.000,1972.000,284.000,6.200,8.700,12.500,0.500
9.000,1973.000,277.000,5.700,11.400,13.190,0.500
9.000,1974.000,720.000,5.300,17.000,13.190,0.500
9.000,1975.000,390.000,7.300,20.900,13.190,0.500
9.000,1976.000,1032.000,9.000,18.000,13.190,0.500
9.000,1977.000,571.000,8.800,13.600,11.480,0.500
9.000,1978.000,765.000,8.200,7.600,11.480,0.500
9.000,1979.000,1752.000,7.100,13.200,11.480,0.500
9.000,1980.000,480.000,7.300,18.200,11.480,0.500
9.000,1981.000,503.000,9.900,20.400,9.040,0.500
9.000,1982.000,504.000,11.400,17.100,9.040,0.500
9.000,1983.000,382.000,14.000,10.500,9.640,0.500
9.000,1984.000,472.000,15.600,8.600,9.640,0.500
9.000,1985.000,521.000,17.000,5.400,9.640,0.500
10.000,1951.000,437.000,8.800,14.300,37.500,0.250
10.000,1952.000,337.000,9.500,1.900,37.500,0.250
10.000,1953.000,545.000,10.000,1.400,40.200,0.250
10.000,1954.000,493.000,8.700,2.400,40.200,0.250
10.000,1955.000,511.000,7.500,2.300,40.200,0.250
10.000,1956.000,372.000,9.300,3.400,40.200,0.250
10.000,1957.000,407.000,7.400,1.100,40.200,0.250
10.000,1958.000,363.000,6.400,3.200,41.400,0.250
10.000,1959.000,792.000,5.400,0.000,41.400,0.250
10.000,1960.000,483.000,4.000,2.100,41.400,0.250
10.000,1961.000,803.000,3.400,2.000,41.400,0.250
10.000,1962.000,1799.000,4.400,5.000,41.400,0.250
10.000,1963.000,888.000,3.800,6.700,40.200,0.250
10.000,1964.000,1256.000,4.200,6.300,40.200,0.250
10.000,1965.000,557.000,5.300,4.200,40.200,0.250
10.000,1966.000,1163.000,5.700,2.400,40.200,0.250
10.000,1967.000,675.000,5.300,1.300,40.200,0.250
10.000,1968.000,719.000,5.600,1.200,42.500,0.250
10.000,1969.000,2875.000,5.600,2.600,42.500,0.250
10.000,1970.000,1566.000,5.300,5.000,42.500,0.250
10.000,1971.000,1098.000,5.300,4.900,42.500,0.250
10.000,1972.000,1437.000,6.300,5.700,42.700,0.250
10.000,1973.000,1698.000,6.200,10.800,42.700,0.250
10.000,1974.000,1381.000,5.300,19.100,42.700,0.250
10.000,1975.000,1918.000,5.800,17.000,42.700,0.250
10.000,1976.000,1774.000,6.600,16.700,48.600,0.250
10.000,1977.000,1149.000,7.000,18.500,48.600,0.250
10.000,1978.000,702.000,7.100,12.000,48.600,0.250
10.000,1979.000,1870.000,7.600,14.800,48.600,0.250
10.000,1980.000,1108.000,7.500,21.300,48.600,0.250
10.000,1981.000,705.000,7.800,19.500,48.600,0.250
10.000,1982.000,1245.000,8.400,16.500,48.600,0.250
10.000,1983.000,945.000,9.300,14.600,47.800,0.250
10.000,1984.000,591.000,9.700,10.800,47.800,0.250
10.000,1985.000,257.000,9.900,9.200,47.800,0.250
11.000,1951.000,439.000,1.100,16.500,17.800,0.125
11.000,1952.000,1061.000,1.200,5.000,23.600,0.125
11.000,1953.000,286.000,1.300,6.600,29.800,0.125
11.000,1954.000,249.000,1.700,6.500,29.800,0.125
11.000,1955.000,215.000,1.800,-1.000,34.100,0.125
11.000,1956.000,262.000,1.700,0.000,34.100,0.125
11.000,1957.000,300.000,1.400,3.300,34.100,0.125
11.000,1958.000,306.000,1.400,-0.400,35.800,0.125
11.000,1959.000,279.000,1.500,1.000,35.800,0.125
11.000,1960.000,216.000,1.100,3.600,35.300,0.125
11.000,1961.000,259.000,1.000,5.400,35.300,0.125
11.000,1962.000,216.000,1.300,6.800,35.300,0.125
11.000,1963.000,105.000,1.200,7.700,36.800,0.125
11.000,1964.000,115.000,1.200,3.800,36.800,0.125
11.000,1965.000,197.000,1.200,6.600,36.800,0.125
11.000,1966.000,9.000,1.300,5.100,36.800,0.125
11.000,1967.000,60.000,1.300,4.000,36.000,0.125
11.000,1968.000,90.000,1.200,5.400,36.000,0.125
11.000,1969.000,114.000,1.100,5.200,27.800,0.125
11.000,1970.000,118.000,1.100,7.700,27.800,0.125
11.000,1971.000,177.000,1.200,6.300,27.800,0.125
11.000,1972.000,149.000,1.400,4.900,35.600,0.125
11.000,1973.000,127.000,1.300,11.600,35.600,0.125
11.000,1974.000,266.000,1.400,23.200,35.600,0.125
11.000,1975.000,220.000,1.900,11.800,35.600,0.125
11.000,1976.000,88.000,2.000,9.400,33.100,0.125
11.000,1977.000,40.000,2.000,8.200,33.100,0.125
11.000,1978.000,36.000,2.200,4.200,33.100,0.125
11.000,1979.000,24.000,2.100,3.700,35.300,0.125
11.000,1980.000,25.000,2.000,7.700,32.900,0.125
11.000,1981.000,14.000,2.200,5.000,32.900,0.125
11.000,1982.000,13.000,2.400,2.700,32.900,0.125
11.000,1983.000,12.000,2.600,1.900,34.100,0.125
11.000,1984.000,8.000,2.700,2.300,34.100,0.125
11.000,1985.000,6.000,2.600,2.000,34.100,0.125
12.000,1951.000,24.000,2.400,11.900,35.000,0.750
12.000,1952.000,11.000,3.500,0.000,36.000,0.750
12.000,1953.000,10.000,2.500,0.000,36.000,0.750
12.000,1954.000,20.000,1.800,4.000,36.000,0.750
12.000,1955.000,44.000,1.300,1.900,36.000,0.750
12.000,1956.000,68.000,0.900,1.900,38.000,0.750
12.000,1957.000,2.000,1.200,6.100,38.000,0.750
12.000,1958.000,12.000,2.300,2.200,35.300,0.750
12.000,1959.000,4.000,1.800,1.100,35.300,0.750
12.000,1960.000,142.000,1.100,2.300,35.300,0.750
12.000,1961.000,7.000,0.800,1.300,35.300,0.750
12.000,1962.000,3.000,0.500,2.300,35.300,0.750
12.000,1963.000,11.000,0.600,3.300,34.000,0.750
12.000,1964.000,12.000,0.500,5.800,34.000,0.750
12.000,1965.000,15.000,0.500,5.800,34.000,0.750
12.000,1966.000,3.000,0.800,5.800,34.000,0.750
12.000,1967.000,2.000,1.600,3.500,30.700,0.750
12.000,1968.000,4.000,1.400,3.700,30.700,0.750
12.000,1969.000,6.000,1.000,7.400,30.700,0.750
12.000,1970.000,66.000,1.000,3.700,30.700,0.750
12.000,1971.000,25.000,1.300,7.500,31.300,0.750
12.000,1972.000,33.000,2.200,7.800,31.300,0.750
12.000,1973.000,141.000,2.200,8.000,34.700,0.750
12.000,1974.000,2.000,2.700,9.600,34.700,0.750
12.000,1975.000,0.000,5.200,10.200,34.700,0.750
12.000,1976.000,3.000,5.500,9.100,34.700,0.750
12.000,1977.000,57.000,5.300,6.500,37.300,0.750
12.000,1978.000,1.000,5.300,4.100,37.300,0.750
12.000,1979.000,68.000,5.400,4.200,37.300,0.750
12.000,1980.000,13.000,6.000,6.500,37.300,0.750
12.000,1981.000,5.000,8.600,6.800,33.300,0.750
12.000,1982.000,49.000,11.400,5.900,33.300,0.750
12.000,1983.000,26.000,13.700,2.800,35.300,0.750
12.000,1984.000,6.000,14.100,3.300,35.300,0.750
12.000,1985.000,19.000,12.800,2.200,35.300,0.750
13.000,1951.000,2462.000,0.000,11.100,37.500,0.375
13.000,1952.000,58.000,0.000,7.800,37.500,0.375
13.000,1953.000,38.000,0.000,4.800,37.500,0.375
13.000,1954.000,39.000,0.100,4.500,43.800,0.375
13.000,1955.000,97.000,0.000,2.600,43.800,0.375
13.000,1956.000,43.000,0.100,3.500,43.800,0.375
13.000,1957.000,49.000,0.400,2.000,51.200,0.375
13.000,1958.000,32.000,0.400,4.400,51.200,0.375
13.000,1959.000,49.000,1.200,3.700,51.200,0.375
13.000,1960.000,58.000,0.600,0.800,42.500,0.375
13.000,1961.000,59.000,0.300,1.800,42.500,0.375
13.000,1962.000,141.000,0.100,2.700,42.500,0.375
13.000,1963.000,80.000,0.100,1.900,43.800,0.375
13.000,1964.000,93.000,0.100,3.400,43.800,0.375
13.000,1965.000,29.000,0.100,3.400,43.800,0.375
13.000,1966.000,128.000,0.100,2.800,43.800,0.375
13.000,1967.000,174.000,0.100,6.100,43.800,0.375
13.000,1968.000,166.000,0.800,4.300,43.800,0.375
13.000,1969.000,171.000,0.300,4.900,46.400,0.375
13.000,1970.000,327.000,0.200,6.600,46.400,0.375
13.000,1971.000,191.000,0.200,10.500,46.400,0.375
13.000,1972.000,152.000,0.400,6.900,63.200,0.375
13.000,1973.000,300.000,0.200,8.100,63.200,0.375
13.000,1974.000,198.000,0.100,11.100,63.200,0.375
13.000,1975.000,225.000,0.200,14.600,36.800,0.375
13.000,1976.000,501.000,0.400,17.000,36.800,0.375
13.000,1977.000,437.000,0.300,14.400,36.800,0.375
13.000,1978.000,372.000,1.700,12.000,43.500,0.375
13.000,1979.000,373.000,1.900,13.700,43.500,0.375
13.000,1980.000,362.000,2.200,17.200,43.500,0.375
13.000,1981.000,354.000,3.600,15.400,46.700,0.375
13.000,1982.000,294.000,3.500,16.200,46.700,0.375
13.000,1983.000,324.000,5.600,7.400,46.700,0.375
13.000,1984.000,363.000,5.700,6.200,59.000,0.375
13.000,1985.000,632.000,4.100,15.400,59.000,0.375
