% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-election2000

@attribute County {Alachua,Baker,Bay,Bradford,Brevard,Broward,Calhoun,Charlotte,Citrus,Clay,Collier,Columbia,Dade,DeSoto,Dixie,Duval,Escambia,Flagler,Franklin,Gadsden,Gilchrist,Glades,Gulf,Hamilton,Hardee,Hendry,Hernando,Highlands,Hillsborough,Holmes,Indian_River,Jackson,Jefferson,Lafayette,Lake,Lee,Leon,Levy,Liberty,Madison,Manatee,Marion,Martin,Monroe,Nassau,Okaloosa,Okeechobee,Orange,Osceola,Palm_Beach,Pasco,Pinellas,Polk,Putnam,Santa_Rosa,Sarasota,Seminole,St_Johns,St_Lucie,Sumter,Suwannee,Taylor,Union,Volusia,Wakulla,Walton,Washington}
@attribute Gore00 INTEGER
@attribute Bush00 INTEGER
@attribute Buchanan00 INTEGER
@attribute Nader00 INTEGER
@attribute Browne00 INTEGER
@attribute Hagelin00 INTEGER
@attribute Harris00 INTEGER
@attribute McReynolds00 INTEGER
@attribute Moorehead00 INTEGER
@attribute Phillips00 INTEGER
@attribute Total00 INTEGER
@attribute Clinton96 INTEGER
@attribute Dole96 INTEGER
@attribute Perot96 INTEGER
@attribute Total96 INTEGER

@data
Monroe,16483,16059,47,1090,162,26,1,0,7,3,33878,15219,12021,4817,32450
Nassau,6952,16404,90,255,63,8,0,4,3,3,23782,7276,12134,1657,21159
Okaloosa,16924,52043,267,984,313,15,4,2,20,33,70605,16434,40631,5432,62963
Okeechobee,4588,5058,43,131,21,4,1,1,4,3,9854,4824,3415,1666,9936
Orange,140115,134476,446,3881,892,65,13,7,45,41,279981,105513,106026,18191,231061
Osceola,28177,26216,145,732,309,21,10,5,33,10,55658,21870,18335,6091,46484
Palm_Beach,268945,152846,3407,5564,743,143,45,302,103,188,432286,230621,133762,30739,397231
Pasco,69550,68581,570,3392,412,82,18,14,77,17,142713,66472,48346,18011,133457
Pinellas,199660,184312,1010,9986,1222,444,40,27,167,70,396938,184728,152125,36990,376218
Polk,74977,90101,538,2060,365,59,8,5,36,46,168195,66735,67943,14991,150140
Putnam,12091,13439,147,379,114,7,2,4,12,10,26205,12008,9781,3272,25145
Santa_Rosa,19482,39497,229,1214,210,11,4,2,13,12,60674,10923,26244,4957,42336
Sarasota,41559,34705,124,1368,165,12,4,10,29,13,77989,63648,69198,14939,148950
Seminole,12795,36248,311,723,131,13,1,1,19,43,50285,45051,59778,9357,114878
St_Johns,72854,83100,305,4066,431,94,11,5,59,15,160940,16713,27311,4205,48539
St_Lucie,58888,75293,194,1940,551,38,38,5,70,27,137044,36168,28892,8482,73897
Sumter,9634,12126,114,307,53,2,2,0,17,3,22258,7014,5960,2375,15397
Suwannee,4084,8014,108,182,53,4,2,0,5,9,12461,4479,5742,1874,12144
Taylor,2647,4051,27,59,4,3,0,1,1,8,6801,3583,3188,1140,7997
Union,1399,2326,26,29,13,0,1,0,0,0,3794,1388,1636,425,3462
Volusia,97063,82214,396,2436,3211,33,9888,3,59,2927,198230,78905,63067,17319,160118
Wakulla,3835,4511,46,149,30,3,2,1,6,0,8583,3054,2931,1091,7165
Walton,5637,12176,120,265,68,11,3,2,18,7,18307,5341,7706,2342,15514
Washington,2796,4983,88,93,32,20,0,0,5,9,8026,2992,3522,1287,7859
