% This is the Tecator data set: The task is to predict the fat content of a 
% meat sample on the basis of its near infrared absorbance spectrum.
% 1. Statement of permission from Tecator (the original data source)
% 
% These data are recorded on a Tecator Infratec Food and Feed Analyzer 
% working in the wavelength range 850 - 1050 nm by the Near Infrared 
% Transmission (NIT) principle. Each sample contains finely chopped pure 
% meat with different moisture, fat and protein contents.
% 
% If results from these data are used in a publication we want you to 
% mention the instrument and company name (Tecator) in the publication. 
% In addition, please send a preprint of your article to 
% 
%     Karin Thente, Tecator AB, 
%     Box 70, S-263 21 Hoganas, Sweden
% 
% The data are available in the public domain with no responsability from 
% the original data source. The data can be redistributed as long as this 
% permission note is attached.
% For more information about the instrument - call Perstorp Analytical's 
% representative in your area.
% 
% 
% 2. Description of the data file
% 
% For each meat sample the data consists of a 100 channel spectrum of 
% absorbances and the contents of moisture (water), fat and protein. 
% The absorbance is -log10 of the transmittance 
% measured by the spectrometer. The three contents, measured in percent, 
% are determined by analytic chemistry.
% 
% There are 240 samples which are divided into 5 data sets for the purpose 
% of model validation and extrapolation studies. The data sets, further 
% described in reference 1, are:
% 
%     Data set  Use               Samples
%     C         Traning               129
%     M         Monitoring             43
%     T         Testing                43
%     E1        Extrapolation, Fat      8     
%     E2        Extrapolation, Protein 17     
% 
% The data for all 240 samples appear at the end of this file - 25 lines 
% per sample. The data sets appear in the order of the table above.
% The spectra are preprocessed using a principal component analysis on the 
% data set C, and the first 22 principal components (scaled to unit 
% variance) are included for each sample.
% Thus if you want to use the data for a standard (interpolation) test 
% of your algorithm, use sample 1-172 for training and sample 173-215
% for testing (and ignore the last 25 samples), and use the first 13 or so 
% principal components to predict the fat content. 
% 
% Each line contains the 100 absorbances followed by the 22 principal 
% components and finally the contents of moisture, fat and protein.
% 
% Preceeding the data lines, the following lines appear:
% 
% real_in=122
% real_out=3
% training_examples=172
% test_examples=43
% extrapolation_examples=25
% 
% 
% 3. More details on how to use the data
% 
% The data are made available as a benchmark for regression models. In order
% to compare models, it is practical to use the data set as follows:
% 
% C and M combined are used to tune (estimate, train) the model. (Some
% approaches set aside some training data to control overfitting. These data 
% should be a subset of C+M. In (1) the subset M was used for this purpose.)
% 
% T is used to test the model once it has been tuned. 
% If each model has an element of randomness (as is the case 
% for neural networks) the most reliable measure of performance of a single 
% model is obtained by selecting a handful of models on the basis of C+M and 
% quoting the average of the performances on T.
% In the presence of randomness it is bad practice to train a lot of models 
% on C+M and then select the best of these on the basis of T. 
% 
% C, M and T are drawn from the same pool of data, so T is used to test the 
% ability of the models to interpolate. The data sets E1 and E2 contain 
% more fat and protein respectively and are intended to be used to test the  
% ability of the models to extrapolate.  
% 
% 
% 4. Performance of neural network models
% 
% The performance is measured as Standard Error of Prediction (SEP) which
% is the root mean square of the difference between the true and the predicted 
% content.
% 
% For the prediction of fat on the data set T the following results were obtained
% 
%     Reference SEP   method (see the papers for details)
%     (1)       0.65  10-6-1 network, early stopping
%     (2)       0.52  10-3-1 network, Bayesian
%     (3)       0.36  13-X-1 network, Bayesian, Automatic Relevance Determination
% 
% A linear model with 10 inputs yields SEP=2.78.
% 
% 5. References
% 
% (1) C.Borggaard and H.H.Thodberg, 
%     "Optimal Minimal Neural Interpretation of Spectra", 
%     Analytical Chemistry 64 (1992), p 545-551.
% (2) H.H.Thodberg, "Ace of Bayes: Application of Neural Networks with Pruning"
%     Manuscript 1132, Danish Meat Research Institute (1993),
%     available by anonymous ftp in the file: 
%     pub/neuroprose/thodberg.ace-of-bayes.ps.Z on the Internet node 
%     archive.cis.ohio-state.edu (128.146.8.52).
% 
% (3) Revised and extended version of (2), in preparation, to be 
%     submitted to IEEE Trans. Neural Networks (1995)
%     available by anonymous ftp in the file: 
%     pub/neuroprose/thodberg.bayesARD.ps.Z on the Internet node 
%     archive.cis.ohio-state.edu (128.146.8.52).
% 
% Hans Henrik Thodberg                Email: thodberg@nn.dmri.dk
% Danish Meat Research Institute      Phone: (+45) 42 36 12 00
% Maglegaardsvej 2, Postboks 57       Fax:   (+45) 42 36 48 36
% DK-4000 Roskilde, Denmark
% 
% real_in=122
% real_out=3
% training_examples=172
% test_examples=43
% extrapolation_examples=25
% 
%
% Note: all 240 samples are included in the same order as mentioned above
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation tecator

@attribute absorbance_1 REAL
@attribute absorbance_2 REAL
@attribute absorbance_3 REAL
@attribute absorbance_4 REAL
@attribute absorbance_5 REAL
@attribute absorbance_6 REAL
@attribute absorbance_7 REAL
@attribute absorbance_8 REAL
@attribute absorbance_9 REAL
@attribute absorbance_10 REAL
@attribute absorbance_11 REAL
@attribute absorbance_12 REAL
@attribute absorbance_13 REAL
@attribute absorbance_14 REAL
@attribute absorbance_15 REAL
@attribute absorbance_16 REAL
@attribute absorbance_17 REAL
@attribute absorbance_18 REAL
@attribute absorbance_19 REAL
@attribute absorbance_20 REAL
@attribute absorbance_21 REAL
@attribute absorbance_22 REAL
@attribute absorbance_23 REAL
@attribute absorbance_24 REAL
@attribute absorbance_25 REAL
@attribute absorbance_26 REAL
@attribute absorbance_27 REAL
@attribute absorbance_28 REAL
@attribute absorbance_29 REAL
@attribute absorbance_30 REAL
@attribute absorbance_31 REAL
@attribute absorbance_32 REAL
@attribute absorbance_33 REAL
@attribute absorbance_34 REAL
@attribute absorbance_35 REAL
@attribute absorbance_36 REAL
@attribute absorbance_37 REAL
@attribute absorbance_38 REAL
@attribute absorbance_39 REAL
@attribute absorbance_40 REAL
@attribute absorbance_41 REAL
@attribute absorbance_42 REAL
@attribute absorbance_43 REAL
@attribute absorbance_44 REAL
@attribute absorbance_45 REAL
@attribute absorbance_46 REAL
@attribute absorbance_47 REAL
@attribute absorbance_48 REAL
@attribute absorbance_49 REAL
@attribute absorbance_50 REAL
@attribute absorbance_51 REAL
@attribute absorbance_52 REAL
@attribute absorbance_53 REAL
@attribute absorbance_54 REAL
@attribute absorbance_55 REAL
@attribute absorbance_56 REAL
@attribute absorbance_57 REAL
@attribute absorbance_58 REAL
@attribute absorbance_59 REAL
@attribute absorbance_60 REAL
@attribute absorbance_61 REAL
@attribute absorbance_62 REAL
@attribute absorbance_63 REAL
@attribute absorbance_64 REAL
@attribute absorbance_65 REAL
@attribute absorbance_66 REAL
@attribute absorbance_67 REAL
@attribute absorbance_68 REAL
@attribute absorbance_69 REAL
@attribute absorbance_70 REAL
@attribute absorbance_71 REAL
@attribute absorbance_72 REAL
@attribute absorbance_73 REAL
@attribute absorbance_74 REAL
@attribute absorbance_75 REAL
@attribute absorbance_76 REAL
@attribute absorbance_77 REAL
@attribute absorbance_78 REAL
@attribute absorbance_79 REAL
@attribute absorbance_80 REAL
@attribute absorbance_81 REAL
@attribute absorbance_82 REAL
@attribute absorbance_83 REAL
@attribute absorbance_84 REAL
@attribute absorbance_85 REAL
@attribute absorbance_86 REAL
@attribute absorbance_87 REAL
@attribute absorbance_88 REAL
@attribute absorbance_89 REAL
@attribute absorbance_90 REAL
@attribute absorbance_91 REAL
@attribute absorbance_92 REAL
@attribute absorbance_93 REAL
@attribute absorbance_94 REAL
@attribute absorbance_95 REAL
@attribute absorbance_96 REAL
@attribute absorbance_97 REAL
@attribute absorbance_98 REAL
@attribute absorbance_99 REAL
@attribute absorbance_100 REAL
@attribute principal_component_1 REAL
@attribute principal_component_2 REAL
@attribute principal_component_3 REAL
@attribute principal_component_4 REAL
@attribute principal_component_5 REAL
@attribute principal_component_6 REAL
@attribute principal_component_7 REAL
@attribute principal_component_8 REAL
@attribute principal_component_9 REAL
@attribute principal_component_10 REAL
@attribute principal_component_11 REAL
@attribute principal_component_12 REAL
@attribute principal_component_13 REAL
@attribute principal_component_14 REAL
@attribute principal_component_15 REAL
@attribute principal_component_16 REAL
@attribute principal_component_17 REAL
@attribute principal_component_18 REAL
@attribute principal_component_19 REAL
@attribute principal_component_20 REAL
@attribute principal_component_21 REAL
@attribute principal_component_22 REAL
@attribute moisture REAL
@attribute fat REAL
@attribute protein REAL

@data
2.99082,2.99619,3.00148,3.00675,3.01198,3.01724,3.02254,3.02793,3.03339,3.03897,3.04465,3.05042,3.05627,3.06224,3.06836,3.07465,3.08106,3.08763,3.0944,3.10141,3.10855,3.1157,3.12275,3.12966,3.13644,3.14309,3.14966,3.15626,3.16304,3.17004,3.17717,3.18424,3.19125,3.19845,3.20625,3.21507,3.22514,3.23653,3.2492,3.26277,3.27688,3.29113,3.3053,3.31946,3.33401,3.34967,3.36733,3.38798,3.41243,3.44152,3.47573,3.51441,3.55552,3.59557,3.63075,3.65851,3.67839,3.6917,3.70039,3.70604,3.70955,3.71159,3.71219,3.71138,3.70887,3.7046,3.69864,3.69109,3.68212,3.67186,3.66046,3.64807,3.63476,3.62052,3.60553,3.58991,3.57383,3.55746,3.54088,3.52407,3.507,3.48968,3.47206,3.45404,3.43551,3.41652,3.39729,3.37803,3.35902,3.34034,3.322,3.30393,3.28607,3.26853,3.25135,3.23463,3.21832,3.20231,3.18656,3.17105,0.289767,1.00958,-0.0670196,1.05479,-0.766464,0.59503,0.598344,-0.230337,-1.31668,-1.67004,1.14206,-0.854719,-1.99951,-0.761914,0.204375,-0.0758302,-0.476142,0.451949,-0.084314,0.252278,0.177218,0.307214,70.3,11,19.3
2.15499,2.1545,2.15393,2.15342,2.153,2.15263,2.1523,2.15209,2.15214,2.15232,2.15265,2.15305,2.15356,2.15424,2.15514,2.15623,2.15748,2.1589,2.16058,2.16251,2.16471,2.16703,2.16941,2.17181,2.17418,2.17661,2.179,2.18122,2.18325,2.18511,2.1869,2.18885,2.19117,2.19409,2.19797,2.20315,2.21031,2.2195,2.23088,2.24446,2.26009,2.27765,2.2971,2.31839,2.34155,2.36663,2.39397,2.4245,2.4589,2.49783,2.5416,2.5894,2.63917,2.68768,2.73133,2.76738,2.79485,2.81454,2.82838,2.83813,2.84525,2.85047,2.85403,2.85586,2.85589,2.85389,2.84985,2.84396,2.83637,2.82722,2.81669,2.80476,2.79161,2.77734,2.76216,2.74616,2.72948,2.71228,2.69452,2.67636,2.65782,2.63887,2.61947,2.59956,2.57921,2.55853,2.53763,2.51673,2.49598,2.47541,2.45506,2.43495,2.41518,2.39586,2.37715,2.35907,2.34173,2.32514,2.30934,2.29418,-1.50686,-1.06029,-0.202006,0.836569,-0.7916,0.0457066,0.760762,0.665475,-0.588681,1.44591,-0.0827679,-0.652256,2.64639,1.21231,1.27303,1.45938,1.31582,-0.986314,1.34601,-1.51377,-1.18225,-1.53069,76.6,0.9,21.2
2.24852,2.2489,2.24928,2.24972,2.25024,2.25086,2.25166,2.2526,2.25367,2.25498,2.25642,2.2581,2.25995,2.26195,2.26411,2.26644,2.26896,2.2718,2.2749,2.2782,2.2817,2.28531,2.28902,2.29283,2.29663,2.30034,2.30396,2.3075,2.31105,2.31455,2.31802,2.32149,2.32506,2.32896,2.33351,2.33911,2.34617,2.35473,2.36477,2.37632,2.38925,2.4034,2.4186,2.43478,2.45196,2.47044,2.49066,2.51366,2.53999,2.57033,2.60496,2.64345,2.68425,2.72462,2.76124,2.79127,2.81329,2.82783,2.83658,2.84126,2.84333,2.84354,2.84222,2.83926,2.83461,2.8282,2.82,2.81011,2.79866,2.78576,2.7716,2.75631,2.73993,2.7226,2.70446,2.68562,2.66618,2.6463,2.62611,2.60567,2.58494,2.56389,2.54245,2.52062,2.49843,2.47597,2.45331,2.43063,2.40811,2.38586,2.36396,2.34239,2.32121,2.30043,2.28018,2.26058,2.24171,2.22352,2.20602,2.18913,-1.44939,0.604418,0.347318,-0.906561,-1.08059,-0.962574,0.140619,0.724785,0.246533,0.329542,-0.451639,-0.314042,0.729473,1.36574,1.18453,1.47151,1.25969,-1.00099,1.21218,-1.47167,-1.40378,-1.44515,74,3.6,21.6
2.62659,2.62827,2.62998,2.63168,2.63345,2.63534,2.63737,2.63952,2.6418,2.6442,2.64677,2.64948,2.65235,2.65533,2.65844,2.66175,2.66513,2.66875,2.67258,2.67661,2.68079,2.68509,2.68942,2.6937,2.69794,2.70225,2.70643,2.71056,2.7146,2.71856,2.72248,2.72643,2.73048,2.7348,2.73964,2.7453,2.75226,2.76052,2.77011,2.78095,2.79299,2.80607,2.82005,2.83493,2.85085,2.868,2.88677,2.9081,2.93256,2.96084,2.99322,3.02912,3.0669,3.10391,3.13711,3.16402,3.18361,3.19642,3.20406,3.20806,3.20958,3.20941,3.20776,3.20459,3.19985,3.1934,3.18525,3.17549,3.16422,3.15161,3.13781,3.12289,3.10699,3.09014,3.07247,3.05412,3.03518,3.01587,2.99622,2.97632,2.95609,2.93553,2.91464,2.89338,2.87177,2.84986,2.82778,2.80567,2.78371,2.76202,2.74062,2.71949,2.69868,2.67828,2.65834,2.63897,2.62024,2.60216,2.58473,2.5678,-0.687738,1.40391,0.542983,-0.144432,-0.0492071,-0.326094,0.604602,0.526845,0.323155,-0.29205,0.0268503,0.765879,0.523465,0.307742,0.641697,0.721691,0.769104,-0.866436,0.612585,-0.688687,-0.692309,-0.659185,75.1,3.9,21.2
3.13203,3.14117,3.15015,3.15899,3.16774,3.17642,3.18504,3.1936,3.20214,3.21066,3.21913,3.22759,3.23606,3.24454,3.25304,3.26157,3.27014,3.27879,3.2875,3.29634,3.3052,3.31408,3.32297,3.33181,3.34055,3.34926,3.35777,3.36619,3.37447,3.38264,3.39072,3.39872,3.40672,3.41491,3.4235,3.43277,3.44309,3.45456,3.46717,3.48094,3.49584,3.51181,3.52873,3.54649,3.56513,3.58482,3.60596,3.62921,3.65508,3.68411,3.71668,3.75254,3.79061,3.82891,3.86499,3.89659,3.92226,3.94198,3.95668,3.96754,3.97573,3.98199,3.98652,3.98942,3.99071,3.99027,3.98813,3.98433,3.97893,3.97211,3.96402,3.95479,3.9445,3.93332,3.92123,3.90845,3.89505,3.88129,3.86723,3.85287,3.83821,3.82326,3.80804,3.79254,3.77668,3.76055,3.74429,3.72799,3.71176,3.6957,3.67987,3.6643,3.64899,3.63392,3.61912,3.60474,3.59085,3.57745,3.56438,3.55159,0.805563,0.191567,-0.84119,2.30782,-1.65388,-0.711273,-1.01367,0.0181055,2.08449,-0.917821,0.754098,0.60363,0.0892398,-0.858157,-0.942228,-0.550224,-0.781867,0.5024,-1.01978,0.892811,0.825171,0.816258,69.8,4,21.3
2.48619,2.48602,2.48584,2.48568,2.48555,2.48553,2.48567,2.48595,2.48637,2.48701,2.48783,2.48883,2.49003,2.49141,2.49298,2.49478,2.49677,2.49909,2.50172,2.50455,2.5075,2.51052,2.51358,2.51666,2.5197,2.52273,2.5257,2.52878,2.53191,2.53517,2.53853,2.54198,2.54567,2.54984,2.55479,2.56092,2.56876,2.57837,2.5897,2.60269,2.61715,2.63293,2.64988,2.66795,2.68728,2.70823,2.73137,2.75777,2.78816,2.82323,2.86334,2.90784,2.95482,3.00115,3.04312,3.07769,3.10357,3.12141,3.13311,3.1406,3.14531,3.14814,3.14938,3.14893,3.14661,3.14239,3.13625,3.12827,3.11864,3.10753,3.09506,3.08136,3.06649,3.05058,3.0338,3.01626,2.99805,2.97942,2.96042,2.94111,2.92144,2.90141,2.88104,2.86026,2.83906,2.81753,2.79576,2.77396,2.75234,2.73102,2.71006,2.68948,2.66923,2.6494,2.63013,2.61151,2.5936,2.57636,2.55977,2.54383,-0.895467,0.0536588,0.335749,0.692145,0.35407,0.885525,0.307475,-0.2743,-0.744113,0.371429,0.448182,0.246656,-0.48914,0.859279,0.885931,0.789894,0.855247,-1.21573,0.7673,-0.938175,-0.933614,-0.905058,74.6,5.1,19.6
2.34779,2.34836,2.34898,2.34967,2.35039,2.3512,2.3522,2.35343,2.35483,2.3564,2.35815,2.36006,2.36218,2.36449,2.36698,2.36967,2.37253,2.37571,2.37922,2.38295,2.38687,2.39093,2.39508,2.39926,2.40342,2.40756,2.41165,2.41562,2.41957,2.42356,2.42755,2.43156,2.43569,2.44015,2.44529,2.4515,2.45923,2.46859,2.47949,2.49187,2.50554,2.5203,2.53599,2.55256,2.57008,2.58889,2.60954,2.63312,2.66031,2.69178,2.72786,2.76801,2.81055,2.85264,2.89079,2.92198,2.94487,2.95995,2.96894,2.97371,2.97564,2.97567,2.97406,2.97078,2.96572,2.9588,2.94999,2.93943,2.92727,2.91365,2.89872,2.88256,2.86529,2.84711,2.8281,2.80837,2.7881,2.76742,2.74645,2.72521,2.70369,2.68186,2.6597,2.63717,2.61423,2.59096,2.56751,2.54407,2.52083,2.49791,2.47535,2.45316,2.43134,2.40996,2.38914,2.369,2.34959,2.3309,2.3128,2.29529,-1.22026,0.627055,0.609366,-0.940648,-1.06061,-0.580789,-0.0307057,0.562522,0.0369815,0.134053,-0.475806,-0.573002,1.00049,1.16879,0.95852,1.20507,1.04523,-0.895644,1.14183,-1.2642,-1.13949,-1.20642,73.1,5.2,20.7
2.50688,2.50783,2.5088,2.50985,2.51101,2.51229,2.51369,2.51523,2.51692,2.51888,2.52103,2.52331,2.52576,2.52841,2.53122,2.53423,2.53752,2.54095,2.54465,2.54859,2.55274,2.55703,2.5614,2.56579,2.57016,2.57449,2.5788,2.5831,2.58734,2.59156,2.59575,2.59996,2.60428,2.60886,2.61396,2.61985,2.62702,2.63551,2.64524,2.65624,2.66831,2.68128,2.69503,2.7095,2.72479,2.74116,2.75911,2.77959,2.80313,2.83051,2.862,2.89712,2.93444,2.97142,3.00482,3.03191,3.05143,3.06386,3.07077,3.07371,3.07402,3.07252,3.06948,3.06492,3.05869,3.05075,3.04106,3.0297,3.01681,3.00253,2.98699,2.9703,2.95266,2.93406,2.91468,2.8946,2.87393,2.85285,2.83147,2.80986,2.78794,2.76571,2.74317,2.72026,2.69701,2.67351,2.64986,2.62621,2.60273,2.57953,2.55669,2.53422,2.51217,2.49056,2.46947,2.44895,2.42914,2.41002,2.39156,2.37374,-0.973288,1.53576,0.821568,-1.08329,-0.389583,-0.734789,0.23791,0.983768,0.998022,-0.298377,-0.342252,0.387293,0.104928,0.742789,0.829832,0.947153,0.759556,-0.769744,0.646008,-1.0367,-0.993067,-0.967901,74.5,5.2,20.2
2.57329,2.57469,2.57607,2.57752,2.57901,2.58059,2.58229,2.5841,2.58607,2.58821,2.59052,2.59298,2.59557,2.59828,2.60114,2.60422,2.60749,2.61106,2.61476,2.61866,2.62275,2.62698,2.63126,2.63551,2.63966,2.64366,2.64768,2.65166,2.65566,2.65962,2.66358,2.66758,2.67172,2.67622,2.68139,2.68757,2.6952,2.70434,2.71501,2.72708,2.74039,2.75468,2.76977,2.78568,2.80254,2.82079,2.84095,2.86413,2.89093,2.92208,2.9578,2.99751,3.03945,3.08073,3.11805,3.14868,3.17141,3.1869,3.19679,3.20273,3.20604,3.20751,3.20742,3.20577,3.20237,3.19716,3.19011,3.18134,3.17102,3.15925,3.14616,3.13187,3.11645,3.10009,3.08288,3.06495,3.04641,3.02738,3.00803,2.98837,2.96835,2.94801,2.92733,2.90623,2.88468,2.86277,2.84068,2.81855,2.79656,2.77481,2.75338,2.73226,2.71149,2.69111,2.67121,2.65191,2.63319,2.6151,2.59755,2.58054,-0.734287,0.760518,0.41978,0.164504,0.0298256,-0.351807,0.412878,-0.0281185,-0.194983,-0.396339,-0.1168,0.0933361,0.747115,0.572823,0.575238,0.601947,0.466647,-0.419726,0.781691,-0.696653,-0.485249,-0.699176,73.4,5.6,20.5
2.50356,2.50343,2.50334,2.50327,2.50322,2.50325,2.50341,2.50374,2.50422,2.50488,2.50575,2.50681,2.50805,2.50947,2.51107,2.51286,2.51488,2.51722,2.51984,2.52265,2.52562,2.52869,2.53177,2.53479,2.53778,2.54079,2.54376,2.54676,2.54987,2.5531,2.55643,2.55988,2.56357,2.56768,2.57259,2.57873,2.58666,2.59634,2.60777,2.62087,2.63548,2.65139,2.66845,2.68663,2.70608,2.72716,2.7505,2.77724,2.80812,2.84385,2.88471,2.93003,2.97789,3.02505,3.06775,3.10292,3.1292,3.14741,3.15937,3.16707,3.17214,3.17525,3.17667,3.17639,3.17424,3.17018,3.16418,3.15635,3.14684,3.13577,3.1233,3.10955,3.09468,3.07881,3.06201,3.04442,3.0261,3.00731,2.98818,2.96872,2.94896,2.92879,2.90823,2.8872,2.86575,2.84396,2.82195,2.79991,2.77801,2.75636,2.73508,2.71416,2.69365,2.67354,2.65394,2.63497,2.61672,2.59916,2.58225,2.56593,-0.851073,0.00403868,0.389688,0.759948,0.481153,0.767426,0.391517,-0.506134,-0.98226,0.2154,0.217107,0.22909,-0.507703,0.773774,0.843433,0.687376,0.861526,-1.238,0.672754,-0.85823,-0.828322,-0.859542,74.2,5.6,19.5
2.59001,2.59226,2.59453,2.59682,2.59909,2.60136,2.60372,2.60621,2.60887,2.61164,2.61449,2.61741,2.62049,2.62371,2.62704,2.63052,2.63417,2.63796,2.64196,2.64617,2.65055,2.65501,2.65944,2.66382,2.66814,2.6724,2.67662,2.68074,2.68488,2.689,2.69313,2.6973,2.70157,2.70611,2.71125,2.71734,2.72482,2.73369,2.74398,2.75556,2.76827,2.7819,2.79631,2.8115,2.82761,2.84504,2.86435,2.88661,2.91241,2.94233,2.97661,3.01462,3.05466,3.09398,3.1295,3.15881,3.18095,3.19649,3.20714,3.21441,3.21946,3.22293,3.22495,3.2255,3.22442,3.22165,3.2172,3.21116,3.20361,3.19462,3.18431,3.17277,3.16014,3.14648,3.13186,3.11641,3.10024,3.08354,3.06635,3.04877,3.03075,3.0123,2.99335,2.97389,2.95393,2.93351,2.9128,2.89193,2.87111,2.85046,2.83004,2.80988,2.78995,2.77031,2.75108,2.73234,2.71415,2.69652,2.67942,2.66274,-0.66029,0.585653,-0.108752,0.822181,0.475016,-1.45131,1.33354,0.358037,0.247702,-0.186866,-0.292758,0.922373,-0.173876,0.401648,0.591512,0.468294,0.69024,-0.473247,0.37605,-0.61596,-0.709214,-0.66664,73.6,6,20.1
2.24077,2.24064,2.24046,2.24035,2.24029,2.24031,2.24045,2.24075,2.2412,2.24187,2.24274,2.24381,2.24508,2.24656,2.24824,2.25014,2.2523,2.25474,2.25752,2.26059,2.2639,2.26741,2.27096,2.2745,2.27804,2.28149,2.28501,2.28848,2.29211,2.29587,2.29977,2.3038,2.30799,2.31249,2.31766,2.32392,2.33163,2.34133,2.35283,2.36604,2.38071,2.3966,2.41346,2.43119,2.44994,2.47011,2.49224,2.51708,2.54601,2.57958,2.61839,2.66216,2.70935,2.75705,2.80156,2.83955,2.86915,2.8905,2.90518,2.91508,2.92187,2.92634,2.92908,2.93014,2.92938,2.92673,2.92215,2.9157,2.90755,2.89783,2.88671,2.87434,2.86082,2.84623,2.83066,2.81431,2.79729,2.77977,2.76189,2.74368,2.72513,2.70628,2.68706,2.66739,2.6473,2.62676,2.60581,2.58472,2.56375,2.54305,2.52269,2.50266,2.48295,2.46358,2.44466,2.42634,2.40867,2.39164,2.3752,2.3593,-1.33752,-0.642153,-0.254961,0.493539,-0.0152208,-0.77212,-0.593165,-0.827658,-0.46359,1.62082,-0.311119,-0.566861,-0.231698,1.27108,1.41073,1.80616,1.19769,-1.94821,1.95181,-1.2471,-1.34159,-1.34618,72.5,6.4,20.9
2.2863,2.28689,2.28745,2.288,2.28864,2.2894,2.29022,2.29114,2.29227,2.29358,2.29504,2.29669,2.29849,2.30044,2.30259,2.30498,2.30761,2.31047,2.31365,2.31709,2.3207,2.32442,2.32817,2.33185,2.33547,2.33904,2.34265,2.3463,2.35009,2.35395,2.35791,2.36202,2.36636,2.37116,2.37677,2.38359,2.39209,2.40235,2.4143,2.42779,2.4426,2.45849,2.47529,2.49301,2.51186,2.53232,2.55503,2.58117,2.61134,2.64615,2.6858,2.72962,2.77564,2.82077,2.86151,2.89507,2.92038,2.93819,2.95021,2.95837,2.96387,2.96754,2.96964,2.97012,2.96892,2.9659,2.961,2.95439,2.94621,2.93656,2.92568,2.91365,2.90054,2.88649,2.87157,2.85599,2.8398,2.82325,2.80637,2.78922,2.77176,2.75396,2.73582,2.7173,2.69838,2.67907,2.65953,2.63997,2.62056,2.60142,2.58261,2.56414,2.54602,2.52828,2.511,2.49429,2.47822,2.46271,2.44769,2.4332,-1.2302,-0.50255,-0.426943,0.595766,-1.05893,0.525616,0.297127,0.270367,-0.662192,0.767007,0.372623,-0.48067,0.928132,1.22464,1.01168,1.0898,1.18675,-1.23028,0.977088,-1.22782,-0.94541,-1.20756,72.5,6.4,20.9
2.90099,2.90568,2.91025,2.91483,2.91948,2.92425,2.92911,2.93398,2.93887,2.94408,2.94946,2.95501,2.96066,2.96637,2.97216,2.97821,2.98455,2.9911,2.99784,3.00477,3.01185,3.01908,3.02643,3.03376,3.04095,3.048,3.05491,3.06183,3.06883,3.07591,3.083,3.09007,3.09716,3.10458,3.11277,3.12213,3.13318,3.14592,3.1603,3.17624,3.19353,3.21197,3.23133,3.25149,3.27262,3.29505,3.31962,3.34764,3.37974,3.41677,3.45909,3.50629,3.55657,3.60674,3.65283,3.69138,3.72082,3.74124,3.7546,3.76314,3.76864,3.77193,3.77317,3.77267,3.7701,3.76541,3.75861,3.74982,3.73923,3.72698,3.7132,3.69809,3.68165,3.66417,3.64579,3.62656,3.60657,3.58613,3.56538,3.54425,3.52266,3.50072,3.47851,3.45586,3.43271,3.40911,3.38516,3.36108,3.33719,3.31369,3.2906,3.26783,3.24537,3.22328,3.20173,3.18083,3.16057,3.14097,3.12195,3.10338,0.223934,-0.0850954,0.854513,0.393442,-1.30211,-0.401178,-0.347363,-0.332801,-0.753393,0.171431,-0.288878,0.231867,-0.290877,-0.038004,-0.261644,-0.152349,-0.193832,0.0917234,0.0337251,0.288122,-0.0571415,0.223502,72.7,6.4,20.4
2.67705,2.67872,2.68046,2.68219,2.68399,2.68588,2.68785,2.68994,2.69218,2.69465,2.6973,2.70006,2.70294,2.70598,2.7092,2.71262,2.71621,2.72009,2.72416,2.7285,2.73298,2.73755,2.74215,2.74673,2.75122,2.75567,2.76001,2.76439,2.76876,2.77316,2.77765,2.7822,2.78685,2.7918,2.79735,2.80389,2.81183,2.82127,2.83206,2.84415,2.8573,2.87135,2.88613,2.90159,2.91796,2.93562,2.95516,2.97778,3.00408,3.03476,3.06999,3.10921,3.15071,3.19165,3.22868,3.25905,3.28149,3.29654,3.3059,3.31124,3.31396,3.31483,3.31412,3.31178,3.30769,3.30176,3.29399,3.28448,3.27337,3.26085,3.247,3.23191,3.21572,3.19859,3.18059,3.16183,3.14249,3.12266,3.10252,3.08205,3.06127,3.04016,3.01867,2.99676,2.9744,2.95166,2.9287,2.9057,2.88284,2.86024,2.83797,2.81603,2.79442,2.7732,2.75249,2.7323,2.71273,2.69378,2.67536,2.65743,-0.52884,1.0525,0.690673,0.0113031,0.258269,-0.375317,0.475216,-0.0169588,-0.09351,-0.496681,-0.457022,0.669855,0.728218,0.206989,0.391174,0.425962,0.377831,-0.367232,0.422019,-0.536679,-0.472945,-0.518967,72.5,6.6,20.4
