% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-wildcat

@attribute Grievances INTEGER
@attribute Rotate {0,1}
@attribute Union {0,1}
@attribute Workforce INTEGER
@attribute Log_workforce REAL
@attribute Wildcat_strikes INTEGER

@data
0,1,0,63,4.143130,0
0,1,0,41,3.713570,0
0,1,0,44,3.784190,0
0,1,0,44,3.784190,0
0,1,0,36,3.583520,0
0,1,0,47,3.850150,0
0,1,0,54,3.988980,0
45,1,1,406,6.006350,0
7,1,1,432,6.068430,0
12,1,1,209,5.342330,0
12,1,1,257,5.549080,0
15,1,1,266,5.583500,0
3,1,1,117,4.762170,0
0,1,0,143,4.962840,0
0,1,0,155,5.043430,0
0,1,0,212,5.356590,0
0,1,0,212,5.356590,0
26,0,1,415,6.028280,0
1,1,1,77,4.343810,0
6,0,1,78,4.356710,0
1,0,1,46,3.828640,0
2,0,1,37,3.610920,0
139,1,1,920,6.824370,0
8,0,1,468,6.148470,0
11,0,1,462,6.135560,0
27,0,1,479,6.171700,0
0,0,0,18,2.890370,0
13,0,1,45,3.806660,0
1,0,1,49,3.891820,0
0,0,1,49,3.891820,0
0,0,1,49,3.891820,0
0,0,1,34,3.526360,0
0,0,1,34,3.526360,0
12,1,1,168,5.123960,1
10,1,1,265,5.579730,1
0,1,0,156,5.049860,1
0,1,0,199,5.293300,1
0,1,0,346,5.846440,1
0,1,0,434,6.073040,1
0,0,0,25,3.218880,1
0,0,0,25,3.218880,1
0,0,0,69,4.234110,1
43,1,1,658,6.489200,1
6,1,1,407,6.008810,1
6,1,1,272,5.605800,1
30,1,1,268,5.590990,1
19,1,1,277,5.624020,1
4,1,1,178,5.181780,1
0,1,0,212,5.356590,1
0,1,0,212,5.356590,1
0,1,0,198,5.288270,1
0,1,0,189,5.241750,1
0,1,0,192,5.257500,1
14,1,1,246,5.505330,1
1,1,1,69,4.234110,1
84,1,1,520,6.253830,1
3,1,1,49,3.891820,1
25,0,1,536,6.284130,1
0,1,0,456,6.122490,2
41,0,1,401,5.993960,2
69,0,1,397,5.983940,2
6,1,1,414,6.025870,2
6,1,1,459,6.129050,2
22,1,1,472,6.156980,2
8,1,1,365,5.899900,2
50,1,1,450,6.109250,2
8,1,1,106,4.663440,2
5,0,1,76,4.330730,2
15,0,1,107,4.672830,2
2,1,1,93,4.532600,2
8,0,1,113,4.727390,2
19,1,1,691,6.538140,2
6,1,1,196,5.278110,3
2,1,1,367,5.905360,3
7,1,1,409,6.013720,3
7,1,1,429,6.061460,3
25,1,1,347,5.849320,3
40,1,1,282,5.641910,3
8,1,1,132,4.882800,3
6,0,1,320,5.768320,3
4,1,1,408,6.011270,4
5,1,1,457,6.124680,4
2,0,1,148,4.997210,4
10,0,1,342,5.834810,4
36,0,1,296,5.690360,4
10,0,1,319,5.765190,5
101,0,1,574,6.352630,5
1,1,1,461,6.133400,5
16,1,1,530,6.272880,5
2,1,1,83,4.418840,5
40,1,1,830,6.721430,5
43,1,1,424,6.049730,6
74,1,1,555,6.318970,6
0,0,0,189,5.241750,6
50,0,1,59,4.077540,6
77,1,1,599,6.395260,7
6,0,1,305,5.720310,7
21,0,1,357,5.877740,7
5,0,1,82,4.406720,7
53,1,1,388,5.961010,8
45,1,1,579,6.361300,8
52,1,1,608,6.410170,8
8,0,1,82,4.406720,8
67,1,1,624,6.436150,9
67,1,1,620,6.429720,10
14,0,1,80,4.382030,10
10,0,1,126,4.836280,10
11,0,1,60,4.094340,10
68,1,1,850,6.745240,11
5,0,1,427,6.056780,11
28,0,1,87,4.465910,12
2,0,1,78,4.356710,12
22,0,1,352,5.863630,13
33,0,1,51,3.931830,13
22,0,1,45,3.806660,13
23,0,1,524,6.261490,13
155,1,1,890,6.791220,14
20,0,1,509,6.232450,15
40,0,1,84,4.430820,22
