% 17x17x2x2 tables of counts in GLIM-ready format used for the analyses
% in Biblarz, Timothy J., and Adrian E. Raftery. 1993. "The Effects of
% Family Disruption on Social Mobility." American Sociological Review
% (In press). For further details of the data, see this reference.
%  Column 1 is father's occupation, coded as follows:
%    17. Professional, Self-Employed
%    16. Professional-Salaried
%    15. Manager
%    14. Salesman-Nonretail
%    13. Proprietor
%    12. Clerk
%    11. Salesman-Retail
%    10. Craftsman-Manufacturing
%     9. Craftsmen-Other
%     8. Craftsman-Construction
%     7. Service Worker
%     6. Operative-Nonmanufacturing
%     5. Operative-Manufacturing
%     4. Laborer-Manufacturing
%     3. Laborer-Nonmanufacturing
%     2. Farmer/Farm Manager
%     1. Farm Laborer
%  Column 2 is son's occupation, coded in the same way as father's.
%  Column 3 is family structure, coded 1=intact family background and
%     2=nonintact family background.
%  Column 4 is race, coded 1=white and 2=black.
%  Column 5 is counts for son's first occupation.
%  Column 6 is counts for son's current occupation.
% The counts have been weighted to take account of the survey 
% design, which is why they are not integers. 
% ************************************************************
% ***********************************************************
% This file was constructed from publicly available data collected
% by David Featherman and Robert Hauser in 1973: the "Occupational
% Change in a Generation II" (OCG II) Survey. Permission is hereby given to
% use the above data for non-commercial scholarly and teaching purposes.
% If these data are used in a published article or book, 
% the authors, the original data (in the form given in
% Biblarz and Raftery (1993), cited above), and StatLib should
% all be acknowledged.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation socmob

@attribute fathers_occupation {Clerk,Craftsman-Construction,Craftsman-Manufacturing,Craftsmen-Other,Farm_Laborer,Farmer/Farm_Manager,Laborer-Manufacturing,Laborer-Nonmanufacturing,Manager,Operative-Manufacturing,Operative-Nonmanufacturing,Professional-Salaried,Professional_Self-Employed,Proprietor,Salesman-Nonretail,Salesman-Retail,Service_Worker}
@attribute sons_occupation {Clerk,Craftsman-Construction,Craftsman-Manufacturing,Craftsmen-Other,Farm_Laborer,Farmer/Farm_Manager,Laborer-Manufacturing,Laborer-Nonmanufacturing,Manager,Operative-Manufacturing,Operative-Nonmanufacturing,Professional-Salaried,Professional_Self-Employed,Proprietor,Salesman-Nonretail,Salesman-Retail,Service_Worker}
@attribute family_structure {intact,nonintact}
@attribute race {black,white}
@attribute counts_for_sons_first_occupation REAL
@attribute counts_for_sons_current_occupation REAL

@data
Manager,Salesman-Nonretail,intact,white,82,92.3
Manager,Proprietor,intact,white,4.4,34.1
Manager,Clerk,intact,white,128.1,68.3
Manager,Salesman-Retail,intact,white,59,50.7
Manager,Craftsman-Manufacturing,intact,white,35.4,49.2
Manager,Craftsmen-Other,intact,white,49.8,71.9
Manager,Craftsman-Construction,intact,white,28.5,31.7
Manager,Service_Worker,intact,white,28.6,62.5
Manager,Operative-Nonmanufacturing,intact,white,72.9,59
Manager,Operative-Manufacturing,intact,white,82.9,46.7
Manager,Laborer-Manufacturing,intact,white,13,7.9
Manager,Laborer-Nonmanufacturing,intact,white,52.8,31.7
Manager,Farmer/Farm_Manager,intact,white,5.4,4.5
Manager,Farm_Laborer,intact,white,5.2,5.1
Salesman-Nonretail,Professional_Self-Employed,intact,white,6.5,17.4
Salesman-Nonretail,Professional-Salaried,intact,white,114,104.8
Salesman-Nonretail,Manager,intact,white,29.1,95.3
Salesman-Nonretail,Salesman-Nonretail,intact,white,40.5,60.8
Salesman-Nonretail,Proprietor,intact,white,1.7,10
Salesman-Nonretail,Clerk,intact,white,67.9,36.4
Salesman-Nonretail,Salesman-Retail,intact,white,26.3,18.8
Salesman-Nonretail,Craftsman-Manufacturing,intact,white,12.4,19.6
Salesman-Nonretail,Craftsmen-Other,intact,white,23.1,27.6
Salesman-Nonretail,Craftsman-Construction,intact,white,6.1,11.9
Salesman-Nonretail,Service_Worker,intact,white,9.5,29.9
Salesman-Nonretail,Operative-Nonmanufacturing,intact,white,26.7,22.3
Salesman-Nonretail,Operative-Manufacturing,intact,white,30.2,21.5
Salesman-Nonretail,Laborer-Manufacturing,intact,white,4.7,3.3
Salesman-Nonretail,Laborer-Nonmanufacturing,intact,white,18.9,12.8
Salesman-Nonretail,Farmer/Farm_Manager,intact,white,1.3,0.8
Salesman-Nonretail,Farm_Laborer,intact,white,4,2.6
Proprietor,Professional_Self-Employed,intact,white,16.2,27
Proprietor,Professional-Salaried,intact,white,165.7,150.6
Proprietor,Manager,intact,white,58.4,187.3
Proprietor,Salesman-Nonretail,intact,white,46,73.2
Proprietor,Proprietor,intact,white,29.1,74.9
Proprietor,Clerk,intact,white,97.1,53.3
Proprietor,Salesman-Retail,intact,white,76.1,28.3
Proprietor,Craftsman-Manufacturing,intact,white,29,51
Proprietor,Craftsmen-Other,intact,white,41.6,52.7
Proprietor,Craftsman-Construction,intact,white,30.8,46.7
Proprietor,Service_Worker,intact,white,23.6,31.2
Proprietor,Operative-Nonmanufacturing,intact,white,59.7,50.3
Proprietor,Operative-Manufacturing,intact,white,79.5,52
Proprietor,Laborer-Manufacturing,intact,white,19.1,8.7
Proprietor,Laborer-Nonmanufacturing,intact,white,54.5,22
Proprietor,Farmer/Farm_Manager,intact,white,11,10.6
Proprietor,Farm_Laborer,intact,white,11.5,4.9
Clerk,Professional_Self-Employed,intact,white,1.9,9.9
Clerk,Professional-Salaried,intact,white,154.3,153.1
Clerk,Manager,intact,white,32.7,110.9
Clerk,Salesman-Nonretail,intact,white,22.2,29.9
Clerk,Proprietor,intact,white,4.1,14.1
Clerk,Clerk,intact,white,110.3,64.4
Clerk,Salesman-Retail,intact,white,27.3,14.1
Clerk,Craftsman-Manufacturing,intact,white,16.6,38.7
Clerk,Craftsmen-Other,intact,white,36.9,35.3
Clerk,Craftsman-Construction,intact,white,9.8,27.6
Clerk,Service_Worker,intact,white,15.1,36.7
Clerk,Operative-Nonmanufacturing,intact,white,52,40.2
Clerk,Operative-Manufacturing,intact,white,63.2,47.6
Clerk,Laborer-Manufacturing,intact,white,19.6,10.2
Clerk,Laborer-Nonmanufacturing,intact,white,27.8,24.6
Clerk,Farmer/Farm_Manager,intact,white,2.3,3.2
Clerk,Farm_Laborer,intact,white,8.9,3.6
Salesman-Retail,Professional_Self-Employed,intact,white,4.7,18.3
Salesman-Retail,Professional-Salaried,intact,white,60,45.6
Salesman-Retail,Manager,intact,white,16.4,57.1
Salesman-Retail,Salesman-Nonretail,intact,white,17.3,31.9
Salesman-Retail,Proprietor,intact,white,2.3,22.7
Salesman-Retail,Clerk,intact,white,44.2,28.9
Salesman-Retail,Salesman-Retail,intact,white,38.1,15.3
Salesman-Retail,Craftsman-Manufacturing,intact,white,10.3,17.7
Salesman-Retail,Craftsmen-Other,intact,white,16.7,27.7
Salesman-Retail,Craftsman-Construction,intact,white,5.9,11.7
Salesman-Retail,Service_Worker,intact,white,7.4,14.7
Salesman-Retail,Operative-Nonmanufacturing,intact,white,34.7,18
Salesman-Retail,Operative-Manufacturing,intact,white,35.5,22.8
Salesman-Retail,Laborer-Manufacturing,intact,white,9.8,4.6
Salesman-Retail,Laborer-Nonmanufacturing,intact,white,10.5,9.5
Salesman-Retail,Farmer/Farm_Manager,intact,white,2.9,2
Salesman-Retail,Farm_Laborer,intact,white,3.1,0
Craftsman-Manufacturing,Professional_Self-Employed,intact,white,7.3,13.7
Craftsman-Manufacturing,Professional-Salaried,intact,white,193.8,222
Craftsman-Manufacturing,Manager,intact,white,46.6,148.9
Craftsman-Manufacturing,Salesman-Nonretail,intact,white,31.4,64.4
Craftsman-Manufacturing,Proprietor,intact,white,2.3,34
Craftsman-Manufacturing,Clerk,intact,white,157.7,97.9
Craftsman-Manufacturing,Salesman-Retail,intact,white,46.4,28.4
Craftsman-Manufacturing,Craftsman-Manufacturing,intact,white,138.3,185.8
Craftsman-Manufacturing,Craftsmen-Other,intact,white,61.3,118.3
Craftsman-Manufacturing,Craftsman-Construction,intact,white,25.8,53.3
Craftsman-Manufacturing,Service_Worker,intact,white,50.7,61.6
Craftsman-Manufacturing,Operative-Nonmanufacturing,intact,white,91.9,84.1
Craftsman-Manufacturing,Operative-Manufacturing,intact,white,236.9,172
Craftsman-Manufacturing,Laborer-Manufacturing,intact,white,72.8,20.7
Craftsman-Manufacturing,Laborer-Nonmanufacturing,intact,white,66.1,38.9
Craftsman-Manufacturing,Farmer/Farm_Manager,intact,white,7.3,6.2
Craftsman-Manufacturing,Farm_Laborer,intact,white,11.9,3.1
Craftsmen-Other,Professional_Self-Employed,intact,white,6.4,10.9
Craftsmen-Other,Professional-Salaried,intact,white,194.2,208.3
Craftsmen-Other,Manager,intact,white,46.6,165.1
Craftsmen-Other,Salesman-Nonretail,intact,white,33.2,57.1
Craftsmen-Other,Proprietor,intact,white,2.7,40.1
Craftsmen-Other,Clerk,intact,white,152.6,103.7
Craftsmen-Other,Salesman-Retail,intact,white,48.5,33.8
Craftsmen-Other,Craftsman-Manufacturing,intact,white,58.2,121.4
Craftsmen-Other,Craftsmen-Other,intact,white,180.7,179.9
Craftsmen-Other,Craftsman-Construction,intact,white,45.6,64.8
Craftsmen-Other,Service_Worker,intact,white,43.5,82.6
Craftsmen-Other,Operative-Nonmanufacturing,intact,white,163.7,110.5
Craftsmen-Other,Operative-Manufacturing,intact,white,148.3,131.2
Craftsmen-Other,Laborer-Manufacturing,intact,white,35,22.1
Craftsmen-Other,Laborer-Nonmanufacturing,intact,white,99.5,46.7
Craftsmen-Other,Farmer/Farm_Manager,intact,white,5.9,11.3
Craftsmen-Other,Farm_Laborer,intact,white,26.9,3.8
Craftsman-Construction,Professional_Self-Employed,intact,white,5.8,8.9
Craftsman-Construction,Professional-Salaried,intact,white,120.3,127.4
Craftsman-Construction,Manager,intact,white,26.7,134.1
Craftsman-Construction,Salesman-Nonretail,intact,white,18.2,33.7
Craftsman-Construction,Proprietor,intact,white,5.1,49.9
Craftsman-Construction,Clerk,intact,white,112.9,66.3
Craftsman-Construction,Salesman-Retail,intact,white,47,21.7
Craftsman-Construction,Craftsman-Manufacturing,intact,white,45.7,75.8
Craftsman-Construction,Craftsmen-Other,intact,white,62.6,104.5
Craftsman-Construction,Craftsman-Construction,intact,white,154.3,179.4
Craftsman-Construction,Service_Worker,intact,white,33.5,56.6
Craftsman-Construction,Operative-Nonmanufacturing,intact,white,115.6,81
Craftsman-Construction,Operative-Manufacturing,intact,white,131.8,109.3
Craftsman-Construction,Laborer-Manufacturing,intact,white,33.8,8.9
Craftsman-Construction,Laborer-Nonmanufacturing,intact,white,106.5,51.1
Craftsman-Construction,Farmer/Farm_Manager,intact,white,4.2,8.8
Craftsman-Construction,Farm_Laborer,intact,white,33.1,12.8
Service_Worker,Professional_Self-Employed,intact,white,3.3,10.6
Service_Worker,Professional-Salaried,intact,white,72.7,90.6
Service_Worker,Manager,intact,white,30,70.5
Service_Worker,Salesman-Nonretail,intact,white,17.7,24.7
Service_Worker,Proprietor,intact,white,1.7,20.8
Service_Worker,Clerk,intact,white,96.9,64.4
Service_Worker,Salesman-Retail,intact,white,28.2,18.8
Service_Worker,Craftsman-Manufacturing,intact,white,33.7,46.9
Service_Worker,Craftsmen-Other,intact,white,31.7,57.8
Service_Worker,Craftsman-Construction,intact,white,14.8,35.2
Service_Worker,Service_Worker,intact,white,44.1,61.6
Service_Worker,Operative-Nonmanufacturing,intact,white,55.9,48.2
Service_Worker,Operative-Manufacturing,intact,white,81.5,60.2
Service_Worker,Laborer-Manufacturing,intact,white,20.9,8.9
Service_Worker,Laborer-Nonmanufacturing,intact,white,36.6,23
Service_Worker,Farmer/Farm_Manager,intact,white,4.5,1.3
Service_Worker,Farm_Laborer,intact,white,8.6,1
Operative-Nonmanufacturing,Professional_Self-Employed,intact,white,3.8,5.8
Operative-Nonmanufacturing,Professional-Salaried,intact,white,117,143.7
Operative-Nonmanufacturing,Manager,intact,white,23.3,134.2
Operative-Nonmanufacturing,Salesman-Nonretail,intact,white,15.5,40.4
Operative-Nonmanufacturing,Proprietor,intact,white,5.4,35.9
Operative-Nonmanufacturing,Clerk,intact,white,149.3,113.4
Operative-Nonmanufacturing,Salesman-Retail,intact,white,58,27.3
Operative-Nonmanufacturing,Craftsman-Manufacturing,intact,white,42.9,122.7
Operative-Nonmanufacturing,Craftsmen-Other,intact,white,84.8,146.5
Operative-Nonmanufacturing,Craftsman-Construction,intact,white,41.1,76.5
Operative-Nonmanufacturing,Service_Worker,intact,white,51.6,80.1
Operative-Nonmanufacturing,Operative-Nonmanufacturing,intact,white,307.9,198
Operative-Nonmanufacturing,Operative-Manufacturing,intact,white,195.6,164.3
Operative-Nonmanufacturing,Laborer-Manufacturing,intact,white,54,24.1
Operative-Nonmanufacturing,Laborer-Nonmanufacturing,intact,white,117.2,68.8
Operative-Nonmanufacturing,Farmer/Farm_Manager,intact,white,8.7,10.3
Operative-Nonmanufacturing,Farm_Laborer,intact,white,44.5,10.5
Operative-Manufacturing,Professional_Self-Employed,intact,white,7.9,12.9
Operative-Manufacturing,Professional-Salaried,intact,white,127.9,173.7
Operative-Manufacturing,Manager,intact,white,26.6,132.2
Operative-Manufacturing,Salesman-Nonretail,intact,white,19.9,37.7
Operative-Manufacturing,Proprietor,intact,white,0.5,36.3
Operative-Manufacturing,Clerk,intact,white,147.2,104.9
Operative-Manufacturing,Salesman-Retail,intact,white,64,27.6
Operative-Manufacturing,Craftsman-Manufacturing,intact,white,87.4,183.8
Operative-Manufacturing,Craftsmen-Other,intact,white,74.2,116.1
Operative-Manufacturing,Craftsman-Construction,intact,white,25.5,68.7
Operative-Manufacturing,Service_Worker,intact,white,57.1,87.3
Operative-Manufacturing,Operative-Nonmanufacturing,intact,white,124,109
Operative-Manufacturing,Operative-Manufacturing,intact,white,427.4,295.6
Operative-Manufacturing,Laborer-Manufacturing,intact,white,88.7,38.1
Operative-Manufacturing,Laborer-Nonmanufacturing,intact,white,81.9,36.9
Operative-Manufacturing,Farmer/Farm_Manager,intact,white,6.8,7.5
Operative-Manufacturing,Farm_Laborer,intact,white,29.9,3.7
Laborer-Manufacturing,Professional_Self-Employed,intact,white,2.3,4.7
Laborer-Manufacturing,Professional-Salaried,intact,white,24.4,26.3
Laborer-Manufacturing,Manager,intact,white,3.1,34.2
Laborer-Manufacturing,Salesman-Nonretail,intact,white,3,10.4
Laborer-Manufacturing,Proprietor,intact,white,0,10.3
Laborer-Manufacturing,Clerk,intact,white,27.9,19.6
Laborer-Manufacturing,Salesman-Retail,intact,white,9.5,7.3
Laborer-Manufacturing,Craftsman-Manufacturing,intact,white,24.8,44.6
Laborer-Manufacturing,Craftsmen-Other,intact,white,19.2,30.1
Laborer-Manufacturing,Craftsman-Construction,intact,white,10,30.1
Laborer-Manufacturing,Service_Worker,intact,white,9,12.5
Laborer-Manufacturing,Operative-Nonmanufacturing,intact,white,40.8,35.4
Laborer-Manufacturing,Operative-Manufacturing,intact,white,69.9,70.1
Laborer-Manufacturing,Laborer-Manufacturing,intact,white,69.6,20.7
Laborer-Manufacturing,Laborer-Nonmanufacturing,intact,white,23.9,11.3
Laborer-Manufacturing,Farmer/Farm_Manager,intact,white,0.7,2.7
Laborer-Manufacturing,Farm_Laborer,intact,white,17.7,2.3
Laborer-Nonmanufacturing,Professional_Self-Employed,intact,white,3.8,5.6
Laborer-Nonmanufacturing,Professional-Salaried,intact,white,41.8,43.2
Laborer-Nonmanufacturing,Manager,intact,white,11.1,61.6
Laborer-Nonmanufacturing,Salesman-Nonretail,intact,white,7.1,15.1
Laborer-Nonmanufacturing,Proprietor,intact,white,4,18.2
Laborer-Nonmanufacturing,Clerk,intact,white,64.4,35.1
Laborer-Nonmanufacturing,Salesman-Retail,intact,white,20.3,10.3
Laborer-Nonmanufacturing,Craftsman-Manufacturing,intact,white,26.1,56.1
Laborer-Nonmanufacturing,Craftsmen-Other,intact,white,34.9,56.4
Laborer-Nonmanufacturing,Craftsman-Construction,intact,white,25.5,48.4
Laborer-Nonmanufacturing,Service_Worker,intact,white,25.5,50.9
Laborer-Nonmanufacturing,Operative-Nonmanufacturing,intact,white,71.4,61.2
Laborer-Nonmanufacturing,Operative-Manufacturing,intact,white,92.4,93.8
Laborer-Nonmanufacturing,Laborer-Manufacturing,intact,white,31.4,12.2
Laborer-Nonmanufacturing,Laborer-Nonmanufacturing,intact,white,89,50
Laborer-Nonmanufacturing,Farmer/Farm_Manager,intact,white,5.2,2.5
Laborer-Nonmanufacturing,Farm_Laborer,intact,white,30.6,3.7
Farmer/Farm_Manager,Professional_Self-Employed,intact,white,11.6,22.6
Farmer/Farm_Manager,Professional-Salaried,intact,white,210.8,223.3
Farmer/Farm_Manager,Manager,intact,white,50.1,271.1
Farmer/Farm_Manager,Salesman-Nonretail,intact,white,29.3,69.1
Farmer/Farm_Manager,Proprietor,intact,white,8.9,104.6
Farmer/Farm_Manager,Clerk,intact,white,157.1,120.3
Farmer/Farm_Manager,Salesman-Retail,intact,white,81.6,58.2
Farmer/Farm_Manager,Craftsman-Manufacturing,intact,white,69.7,213.5
Farmer/Farm_Manager,Craftsmen-Other,intact,white,118.1,251.4
Farmer/Farm_Manager,Craftsman-Construction,intact,white,94.2,211.3
Farmer/Farm_Manager,Service_Worker,intact,white,62.5,146.2
Farmer/Farm_Manager,Operative-Nonmanufacturing,intact,white,250.1,238.9
Farmer/Farm_Manager,Operative-Manufacturing,intact,white,294.7,341.8
Farmer/Farm_Manager,Laborer-Manufacturing,intact,white,89.1,58.3
Farmer/Farm_Manager,Laborer-Nonmanufacturing,intact,white,167.6,121.5
Farmer/Farm_Manager,Farmer/Farm_Manager,intact,white,377.7,414
Farmer/Farm_Manager,Farm_Laborer,intact,white,746.3,103.1
Farm_Laborer,Professional_Self-Employed,intact,white,1.5,3.1
Farm_Laborer,Professional-Salaried,intact,white,23.6,30.7
Farm_Laborer,Manager,intact,white,7.3,35.9
Farm_Laborer,Salesman-Nonretail,intact,white,3.2,11.7
Farm_Laborer,Proprietor,intact,white,1.5,16.8
Farm_Laborer,Clerk,intact,white,27.3,33.2
Farm_Laborer,Salesman-Retail,intact,white,16.5,13.4
Farm_Laborer,Craftsman-Manufacturing,intact,white,17.4,65.6
Farm_Laborer,Craftsmen-Other,intact,white,28.2,58.3
Farm_Laborer,Craftsman-Construction,intact,white,14.6,42.8
Farm_Laborer,Service_Worker,intact,white,20.5,34.9
Farm_Laborer,Operative-Nonmanufacturing,intact,white,64.4,74.7
Farm_Laborer,Operative-Manufacturing,intact,white,81.5,104.9
Farm_Laborer,Laborer-Manufacturing,intact,white,19.1,23.7
Farm_Laborer,Laborer-Nonmanufacturing,intact,white,40.8,40.1
Farm_Laborer,Farmer/Farm_Manager,intact,white,11.2,32.6
Farm_Laborer,Farm_Laborer,intact,white,239.3,41.5
Professional_Self-Employed,Professional_Self-Employed,nonintact,white,0.9,0
Professional_Self-Employed,Professional-Salaried,nonintact,white,5,3.8
Professional_Self-Employed,Manager,nonintact,white,1.1,2.8
Professional_Self-Employed,Salesman-Nonretail,nonintact,white,2.1,1.7
Professional_Self-Employed,Proprietor,nonintact,white,0,1.1
Professional_Self-Employed,Clerk,nonintact,white,2.1,0.9
Professional_Self-Employed,Salesman-Retail,nonintact,white,1.5,1.6
Professional_Self-Employed,Craftsman-Manufacturing,nonintact,white,0,2.5
Professional_Self-Employed,Craftsmen-Other,nonintact,white,0,0.8
Professional_Self-Employed,Craftsman-Construction,nonintact,white,0.9,1.4
Professional_Self-Employed,Service_Worker,nonintact,white,0.8,2.7
Professional_Self-Employed,Operative-Nonmanufacturing,nonintact,white,2.3,2.6
Professional_Self-Employed,Operative-Manufacturing,nonintact,white,1.9,0
Professional_Self-Employed,Laborer-Manufacturing,nonintact,white,1.6,0
Professional_Self-Employed,Laborer-Nonmanufacturing,nonintact,white,0.9,0
Professional_Self-Employed,Farmer/Farm_Manager,nonintact,white,0.7,0
Professional_Self-Employed,Farm_Laborer,nonintact,white,0,0
Professional-Salaried,Professional_Self-Employed,nonintact,white,0,3.3
Professional-Salaried,Professional-Salaried,nonintact,white,33.9,26.4
Professional-Salaried,Manager,nonintact,white,5.6,18
Professional-Salaried,Salesman-Nonretail,nonintact,white,4,7.4
Professional-Salaried,Proprietor,nonintact,white,0.8,3.1
Professional-Salaried,Clerk,nonintact,white,11.6,11.9
Professional-Salaried,Salesman-Retail,nonintact,white,5.1,1.7
Professional-Salaried,Craftsman-Manufacturing,nonintact,white,5.4,6.3
Professional-Salaried,Craftsmen-Other,nonintact,white,4.3,8.2
Professional-Salaried,Craftsman-Construction,nonintact,white,1.5,4
Professional-Salaried,Service_Worker,nonintact,white,8.6,4.5
Professional-Salaried,Operative-Nonmanufacturing,nonintact,white,8.5,8.3
Professional-Salaried,Operative-Manufacturing,nonintact,white,9.5,13
Professional-Salaried,Laborer-Manufacturing,nonintact,white,2.4,1.6
Professional-Salaried,Laborer-Nonmanufacturing,nonintact,white,4.6,2.5
Professional-Salaried,Farmer/Farm_Manager,nonintact,white,0.8,0.6
Professional-Salaried,Farm_Laborer,nonintact,white,4.2,0
Manager,Professional_Self-Employed,nonintact,white,1.3,1.3
Manager,Professional-Salaried,nonintact,white,14,16.9
Manager,Manager,nonintact,white,1.5,16
Manager,Salesman-Nonretail,nonintact,white,6.8,6.4
Manager,Proprietor,nonintact,white,0.6,6
Manager,Clerk,nonintact,white,10.3,8
Manager,Salesman-Retail,nonintact,white,6.3,1.5
Manager,Craftsman-Manufacturing,nonintact,white,2.3,3.3
Manager,Craftsmen-Other,nonintact,white,4.4,3.1
Manager,Craftsman-Construction,nonintact,white,1.6,3.3
Manager,Service_Worker,nonintact,white,3.2,3.1
Manager,Operative-Nonmanufacturing,nonintact,white,7.6,4
Manager,Operative-Manufacturing,nonintact,white,3.4,4.3
Manager,Laborer-Manufacturing,nonintact,white,2.5,0
Manager,Laborer-Nonmanufacturing,nonintact,white,5.7,1.5
Manager,Farmer/Farm_Manager,nonintact,white,0,0.7
Manager,Farm_Laborer,nonintact,white,1.6,0.8
Salesman-Nonretail,Professional_Self-Employed,nonintact,white,0,0.8
Salesman-Nonretail,Professional-Salaried,nonintact,white,4.8,2.4
Salesman-Nonretail,Manager,nonintact,white,3.7,8
Salesman-Nonretail,Salesman-Nonretail,nonintact,white,3.4,3.3
Salesman-Nonretail,Proprietor,nonintact,white,0,2.3
Salesman-Nonretail,Clerk,nonintact,white,3.2,1.6
Salesman-Nonretail,Salesman-Retail,nonintact,white,0.7,0
Salesman-Nonretail,Craftsman-Manufacturing,nonintact,white,0.8,1.7
Salesman-Nonretail,Craftsmen-Other,nonintact,white,0.6,1.5
Salesman-Nonretail,Craftsman-Construction,nonintact,white,0.4,1.3
Salesman-Nonretail,Service_Worker,nonintact,white,1.7,1.6
Salesman-Nonretail,Operative-Nonmanufacturing,nonintact,white,3.7,1.7
Salesman-Nonretail,Operative-Manufacturing,nonintact,white,2.4,2.2
Salesman-Nonretail,Laborer-Manufacturing,nonintact,white,0,0
Salesman-Nonretail,Laborer-Nonmanufacturing,nonintact,white,1.5,2.2
Salesman-Nonretail,Farmer/Farm_Manager,nonintact,white,0,0.8
Salesman-Nonretail,Farm_Laborer,nonintact,white,0,1.6
