% This dataset is synthetic.  It was generated by David Coleman
% at RCA Laboratories in Princeton, N.J.  For convenience, we will
% refer to it as the POLLEN DATA.  The first three variables are the
% lengths of geometric features observed sampled pollen grains - in the
% x, y, and z dimensions: a "ridge" along x, a "nub" in the y
% direction, and a "crack" in along the z dimension.  The fourth
% variable is pollen grain weight, and the fifth is density.
% 
% There are 3848 observations, in random order (for people whose
% software packages cannot handle this much data, it is recommended
% that the data be sampled).  The dataset is broken up into eight 
% pieces, POLLEN1.DAT - POLLEN8.DAT, each with 481 observations.  
% We will call the variables:
% 
% 1. RIDGE
% 2. NUB
% 3. CRACK
% 4. WEIGHT
% 5. DENSITY
% 
% 6. OBSERVATION NUMBER (for convenience)
% 
% The data analyst is advised that there is more than one "feature" to
% these data.  Each feature can be observed through various graphical
% techniques, but analytic methods, as well, can help "crack" the
% dataset.
%
% Additional Info:
%
%    I no longer have the description handed out during the JSM, but can
% tell you how I generated the data, in minitab.
% 
% 1. Part A was generated: 5000 (I think) 5-variable, uncorrelated, i.i.d.
% Gaussian observations.
% 
% 2. To get part B, I duplicated part A, then reversed the sign on the
% observations for 3 of the 5 variables.
% 
% 3. Part B was appended to Part A.
% 
% 4. The order of the observations was randomized.
% 
% 5. While waiting for my tardy car-pool companion, I took a piece of
% graph paper, and figured out a dot-matrix representation of the word,
% "EUREKA."  I then added these observations to the "center" of the
% datatset.
% 
% 6. The data were scaled, by variable (something like 1,3,5,7,11).
% 
% 7. The data were rotated, then translated.
% 
% 8. A few points in space within the datacloud were chosen as ellipsoid
% centers, then for each center, all observations within a (scaled and
% rotated) radius were identified, and eliminated - to form ellipsoidal
% voids.
% 
% 9. The variables were given entirely ficticious names.
% 
% FYI, only the folks at Bell Labs, Murray Hill, found everything,
% including the voids.
% 
% Hope this is helpful!
% 
% References:
% 
% Becker, R.A., Denby, L., McGill, R., and Wilks,
% A. (1986). Datacryptanalysis: A Case Study.
% Proceedings of the Section on Statistical Graphics, 92-97.
% 
% Slomka, M. (1986). The Analysis of a Synthetic Data Set.
% Proceedings of the Section on Statistical Graphics, 113-116.
% 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation pollen

@attribute RIDGE REAL
@attribute NUB REAL
@attribute CRACK REAL
@attribute WEIGHT REAL
@attribute DENSITY REAL
@attribute OBSERVATION_NUMBER INTEGER

@data
-3.3624,-8.7044,-7.0031,2.3994,0.8988,111
6.9285,-7.2862,-7.1145,-17.7599,-1.3816,112
-0.9824,-1.9100,-9.3406,-5.7766,0.6648,113
1.3317,-2.5810,-8.1743,-3.7748,1.8629,114
8.6132,1.6322,-10.8143,-14.7910,0.2498,115
0.1884,-6.8996,-0.1883,-4.7303,0.0281,116
11.1434,-1.7671,-6.1019,-18.2190,-5.0912,117
3.0768,-2.1604,-0.7659,-4.2532,-0.9437,118
12.5006,-2.2629,5.7148,-16.0885,-4.2858,119
-7.2107,2.5364,2.7212,13.9040,2.5456,120
-4.1780,-7.8872,4.8505,12.1573,-1.3301,121
-1.2636,3.6482,-10.9030,-1.9222,1.9436,122
-15.7861,4.4222,-15.5411,16.0730,10.4417,123
9.0190,-5.2259,0.7444,-10.3935,-7.8494,124
-0.0765,5.1512,0.7021,-4.2041,6.8118,125
-0.4494,-0.2382,-1.2961,6.4054,0.6093,126
-1.5315,-3.0747,12.5425,3.7460,-3.2660,127
-7.5128,-1.3987,-15.5081,6.6993,5.3072,128
1.3885,2.6362,5.3927,-6.2151,2.1516,129
-1.6751,-0.5303,0.1956,-0.4271,1.4435,130
-8.8635,-4.6860,-10.9967,15.3923,-0.7672,131
8.6672,-0.9679,-2.2401,-15.7892,-1.7306,132
-9.3815,5.2564,9.6428,14.0215,3.4120,133
-6.9950,-2.4079,7.2289,12.4468,-0.8828,134
10.5963,-1.7616,-19.5842,-20.9109,-1.5733,135
3.6756,5.4733,-3.0157,-3.4866,-2.6475,136
-2.1803,1.8170,9.1016,-0.2119,1.4417,137
11.5577,-2.3741,1.5927,-11.1276,-8.1674,138
-1.0654,3.6308,2.5931,2.2916,2.2905,139
3.9705,5.9491,1.7198,-9.6660,3.0348,140
11.2838,-0.3064,6.7279,-15.9922,-1.6906,141
-2.6200,4.5674,-11.5659,1.7920,3.6042,142
-2.7857,3.5751,-6.9821,1.4139,2.2412,143
0.1748,-1.3689,2.9684,6.0847,-3.8530,144
-3.2512,-1.8603,-16.6779,1.6056,5.6362,145
7.2893,2.5327,-9.9288,-7.0259,-4.8926,146
-10.0208,-0.7091,9.8898,16.0336,1.7967,147
5.0440,-4.2329,1.3872,-3.3866,-1.7662,148
10.8437,-0.0779,-0.5542,-15.9940,-6.5609,149
-2.3471,-2.3470,11.4156,15.1058,-4.1978,150
-10.3495,-3.8743,3.4780,17.2892,2.0966,151
4.0742,-2.7538,2.0662,-6.2138,-0.6865,152
1.0975,-4.7911,0.4058,2.2741,-6.2693,153
8.5759,6.7841,-1.2478,-15.5499,1.5642,154
-2.1309,4.2910,-9.9907,3.5388,1.3294,155
5.1094,-1.3673,-4.9383,-7.4017,-1.7403,156
-9.1212,5.5136,5.3398,8.6234,5.4994,157
3.2973,1.5202,4.8291,-5.6041,0.0363,158
-11.8830,0.6949,-2.2401,17.1639,1.7846,159
8.6839,14.1080,0.9448,-15.6422,2.5482,160
1.3887,7.1748,-3.2948,-5.6344,3.2646,161
7.7918,2.0917,-5.9826,-16.9619,1.8215,162
-2.2878,7.1883,1.0074,4.0512,1.2790,163
-4.8403,10.9842,13.1154,0.0535,6.1310,164
-2.3645,-3.3184,-7.8842,2.4172,0.2468,165
5.3825,-2.3462,-1.1212,-10.6328,-1.1825,166
5.6654,6.6946,12.8290,-5.8572,-2.6764,167
-6.4549,-7.2387,-8.8244,8.5789,-0.1740,168
4.3399,-2.6805,6.0191,-1.2258,-3.9694,169
0.7436,-5.4188,1.7741,-1.2258,1.0580,170
8.4039,6.3296,11.5242,-3.3857,-4.8697,171
-1.2118,-7.1554,12.1269,6.5073,-2.6803,172
-5.5593,6.7950,2.4489,9.0314,-0.5923,173
4.7584,1.7442,-0.0467,-1.6216,-0.3295,174
3.2325,-6.8548,-3.9658,-0.4509,-2.8238,175
4.8088,3.0837,9.7758,-5.0301,-3.8274,176
5.5635,5.1204,4.4699,-14.3184,-0.9800,177
0.6031,7.7381,12.6687,2.7693,0.0557,178
1.6820,-7.0771,10.2857,-1.7166,-3.9418,179
2.1964,-4.3039,-15.9250,-1.9108,-1.8042,180
-0.6508,-3.3839,-2.4020,6.3228,-3.6728,181
12.4694,-3.2540,-9.5257,-7.7509,-5.6937,182
9.0270,-4.2954,0.4308,-16.4200,-4.1853,183
8.3147,-9.3028,2.8612,-9.1692,-5.1057,184
-9.6008,-7.3450,-0.5315,17.6608,0.4356,185
9.3146,1.7032,-0.2977,-14.8137,-0.3843,186
8.5171,-4.5067,5.3861,-8.7414,-2.9755,187
-2.3400,-5.1521,13.2535,3.0165,-0.9437,188
1.1597,0.8277,3.8950,-3.0671,1.8034,189
6.0931,4.5038,12.7751,-11.3990,-1.2017,190
-2.6372,2.3392,-5.9751,-1.6382,5.9971,191
4.1168,6.8042,-10.7194,-5.8508,2.0937,192
-10.8543,2.6105,7.9125,13.6383,7.1800,193
2.1395,4.4821,6.6977,-5.2114,-0.5582,194
0.1053,0.6194,8.2016,5.5828,-3.3056,195
2.7796,2.9900,15.8587,-5.2863,-0.6358,196
5.4484,-4.5098,7.5945,-0.2974,-5.2807,197
-3.5852,0.4761,0.9388,11.1995,-2.0175,198
8.6165,2.0710,-2.6624,-10.8419,-4.7079,199
-5.6919,3.2831,-1.7270,12.5790,-0.5811,200
-11.7412,3.1543,3.6344,19.1799,6.0783,201
0.0035,6.9902,7.6790,-3.5624,3.5794,202
-7.6364,-1.4447,8.5959,12.5663,-1.0502,203
-7.9206,7.7824,4.7687,6.6722,2.0871,204
2.1429,4.9991,-10.6095,-5.7159,4.1453,205
-8.8182,0.6758,3.6578,13.5251,2.8887,206
-0.4512,3.8813,-3.9620,6.7958,1.2130,207
3.0627,0.0266,10.5589,-0.0773,-4.8064,208
-0.0484,7.8981,10.1396,2.3270,-0.6549,209
5.8438,-10.3359,-4.6669,-10.5916,-3.0155,210
-8.9771,7.4887,-11.1598,9.3364,5.9366,211
7.4250,-5.8105,1.9194,-4.0158,-4.5173,212
-8.7096,-3.7425,-12.5164,7.7659,2.6895,213
12.0701,-4.0904,-7.1979,-15.9316,-3.9733,214
-2.2209,-1.9619,-2.1887,-2.0468,5.3412,215
-0.7701,0.9465,22.5260,5.1846,-2.3436,216
-2.5697,4.6595,-3.5365,-1.7136,7.4897,217
-1.9026,-2.3774,1.1050,5.2644,-2.9802,218
4.1961,6.3235,10.2394,-7.5302,-0.5379,219
-4.7872,-1.9238,19.0345,16.0872,-3.3290,220
-1.4042,-8.1870,-7.9560,-4.2290,-0.3540,221
4.5487,2.6286,4.2399,-7.4239,0.7621,222
3.1834,6.2201,-9.4412,-1.7069,1.8638,223
-3.4219,-3.0541,-3.6837,2.9102,0.7034,224
-6.4657,1.4919,3.6216,11.4051,-0.8341,225
0.0031,8.4909,3.7289,-3.8637,2.3417,226
-2.3624,-0.2018,15.9915,8.2617,-2.6909,227
-9.1154,-1.2563,16.4294,19.7999,-0.8568,228
1.3963,9.4797,5.0561,-7.4549,3.8265,229
-0.7247,-3.6160,-5.9187,6.2328,-1.2046,230
-7.8587,7.1324,3.0838,10.3166,4.7185,231
2.5399,-1.9939,8.1527,-6.5778,-1.8420,232
15.2161,6.4506,-0.4055,-16.0213,-5.0172,233
-9.2055,8.1556,0.2428,11.8399,4.9927,234
-1.0014,-9.2905,7.0149,3.7743,-3.2088,235
5.2710,-0.5410,0.3730,-6.2372,-5.4923,236
6.2357,-2.4344,3.9492,-9.9500,-4.3044,237
-9.7965,-1.1325,8.1590,13.7906,3.7557,238
-3.7986,-5.9923,-14.7237,-2.0430,4.2869,239
0.1032,6.3848,0.6998,-5.5406,4.9428,240
-4.5187,-1.9699,-3.2508,1.7477,3.9099,241
7.0820,-0.0793,-1.2859,-8.5458,-2.3904,242
-3.3389,3.9414,-2.7664,9.6010,-1.0900,243
16.4471,6.9408,-0.6201,-22.5579,-2.8050,244
-8.2948,1.4440,-6.5901,15.7224,3.5028,245
-5.7590,-0.6254,-4.0876,17.1562,-2.6847,246
0.8738,-7.2118,7.2439,8.8607,-4.9771,247
6.9772,-0.4453,-2.9717,-10.9572,-2.9125,248
-1.2710,9.4729,-8.2580,3.0203,3.7469,249
-1.7422,-5.3329,-1.5393,0.7082,-0.0240,250
-1.9812,12.1119,-1.1908,2.1353,2.1161,251
4.8942,-2.9944,6.6031,-5.2165,-2.6672,252
1.4845,-10.1692,2.3110,-1.4341,-3.9283,253
4.3295,-1.7866,-3.8105,-2.1476,-2.8224,254
9.0255,-1.3796,-3.7109,-10.7300,-2.6045,255
0.6149,-4.2192,-5.1147,1.5444,-2.6893,256
-6.0667,-3.8266,-11.6942,8.4774,0.7372,257
-3.1802,0.8033,7.1249,10.3909,-0.9172,258
4.5414,8.0733,0.4250,-3.8555,0.1588,259
0.0049,-7.4907,13.9755,0.0262,-0.8389,260
1.1099,-3.2378,-7.8725,-3.6544,-0.4965,261
5.9499,0.0175,9.7388,-5.9626,-2.2382,262
6.9976,9.0266,1.0528,-5.4020,-1.0955,263
5.3570,-1.6677,7.1862,-10.9489,2.3060,264
-5.4861,0.6580,9.5589,6.1753,2.4252,265
5.5131,-8.4788,-2.9351,-0.2699,-2.5530,266
-5.9075,1.4083,-15.6885,3.6691,4.0789,267
4.2265,4.1363,-2.8107,-7.6261,-0.8375,268
0.5415,-5.5106,3.6611,-0.3257,-3.8133,269
-0.4104,-3.3395,11.2081,2.3032,-0.2183,270
2.0282,-0.9855,-7.1785,-10.7655,-1.0930,271
-1.2938,-0.9293,-6.7436,8.6525,-3.5177,272
4.3264,5.8484,4.3173,-1.5220,-0.6263,273
0.5400,2.8252,5.9800,-4.9731,-0.7478,274
3.0757,9.6014,3.2478,-5.7847,1.2541,275
0.0472,-3.2204,8.4862,4.3385,-2.1058,276
-2.4591,-6.5157,-5.3362,0.6101,0.2837,277
2.9562,4.3405,-19.9521,-13.2194,2.6528,278
-0.8694,-6.5511,-12.3591,-1.9657,3.3832,279
-3.3632,2.3363,11.1702,4.6238,4.0199,280
-5.0439,7.1441,5.4097,5.6928,4.5710,281
-1.7464,5.0592,19.4899,6.9612,-1.6968,282
-13.9144,-2.6655,-2.5509,16.0273,4.8390,283
-3.0695,4.2265,-15.8297,1.3982,4.6394,284
0.4000,-3.7699,0.6939,-4.1838,-0.1259,285
-2.8783,-2.4526,-21.7686,-1.6139,3.1186,286
4.0782,1.8310,11.8254,-7.1064,-0.1900,287
-5.2393,-1.8725,4.4613,14.3148,-2.3106,288
-8.3139,7.5658,11.6012,4.5761,9.7567,289
-8.3610,-8.1337,13.9723,20.0769,-2.2907,290
7.5810,6.4126,-2.4884,-12.3862,-0.8870,291
-5.2911,-10.9259,-4.4533,6.1053,-0.2584,292
7.1971,-2.1844,-7.5793,-13.3107,-1.3542,293
3.1784,-4.9697,10.6344,-5.6713,-0.4449,294
4.3904,-3.9515,-1.0062,-6.5529,-2.4407,295
-3.9683,-0.8406,-6.9326,10.4189,-0.5263,296
9.8678,7.8939,-0.0689,-15.6678,0.2501,297
5.1990,-6.8742,-12.3101,-3.7308,-4.1880,298
2.3792,-0.0813,3.9882,7.9373,-7.2550,299
-1.6898,-0.6647,0.2552,-0.4982,1.7646,300
8.9318,4.7054,-2.4225,-11.2267,-3.2628,301
0.3717,0.8200,-0.5566,1.3884,-0.8750,302
4.2381,2.0851,-0.1648,-14.8039,1.0992,303
2.8426,10.2912,1.8575,-4.2217,1.6374,304
1.2520,8.8884,-4.0928,-6.6121,4.5005,305
10.1548,0.0818,-6.9661,-13.4010,-6.2305,306
-8.1083,5.1996,8.3084,14.8476,2.5655,307
-3.3096,-7.0655,6.2677,-1.4668,0.5088,308
-1.3680,-2.8104,0.8217,-0.0381,2.1502,309
1.5916,5.1108,6.1833,-1.6959,-0.5065,310
2.9996,2.0008,4.3021,-9.5255,2.7257,311
-1.2653,-0.2970,0.0611,-0.0809,1.0699,312
8.9275,4.4793,-2.4665,-9.9610,-2.4825,313
-2.4772,2.0744,15.7423,3.3086,0.2055,314
-1.4878,-3.9170,1.0508,8.1592,-3.5360,315
8.7311,-3.3563,-10.8536,-11.2949,-3.5730,316
-1.2549,5.5387,13.0412,0.9655,2.3825,317
-9.7530,-10.5337,-5.9884,11.4413,1.6707,318
11.8201,3.0665,-10.1078,-21.4063,-0.7216,319
-1.7798,5.5589,2.0730,4.3200,-0.1365,320
9.5773,7.7540,0.8382,-16.0883,1.1707,321
-6.4465,-5.6280,-3.0354,9.9550,-0.9390,322
-3.0670,2.4198,-11.9621,2.7949,0.7312,323
5.9473,4.1435,-10.5092,-13.8886,2.0138,324
-2.2350,2.8302,-8.5917,6.6715,-0.7585,325
3.2189,-3.6205,8.0933,-4.5603,-3.9047,326
-3.9335,-7.5283,-5.7958,4.5579,-0.0423,327
0.6818,-0.6195,-8.1979,1.8209,0.0105,328
7.1360,5.8428,-4.4634,-12.8161,0.1978,329
1.7804,8.1316,-3.1230,-9.4019,4.0045,330
-11.5737,-4.6133,6.8172,13.3387,5.2053,331
-3.3548,4.4618,0.1640,7.4005,0.4946,332
4.7858,-0.7623,-13.7801,-6.0114,-4.1557,333
3.5527,1.6213,12.5410,-2.9135,-0.7621,334
-3.2145,1.9859,-5.5814,2.3073,2.7468,335
4.1208,0.3927,9.1969,-3.0405,-3.0069,336
-1.1699,-2.4236,16.2215,4.5399,0.0807,337
5.6923,-1.7911,-10.9122,-5.9189,-2.5076,338
-1.3262,1.3012,4.8309,-1.5679,1.5951,339
-17.2352,-13.3638,5.7584,23.7883,1.1622,340
1.4513,-3.7569,-0.3397,-7.7150,-0.8127,341
8.3954,5.4684,-3.7984,-6.3464,-2.4754,342
4.4174,0.0369,5.8417,-4.8932,-0.3543,343
7.3212,1.2589,-10.6919,-7.9796,-2.1733,344
-0.8326,-0.3320,-7.6048,6.1319,-0.5169,345
-0.2579,-7.3354,-0.3455,-1.3083,0.2654,346
6.0260,1.7140,6.6661,-7.5644,-0.2785,347
-2.1991,-0.6328,15.6395,3.0605,-1.6744,348
-7.2088,-6.4018,-3.7151,3.4924,4.1466,349
-2.5852,-4.6300,9.6083,6.0440,-5.1306,350
-14.6721,-4.4618,1.1927,15.0963,7.7008,351
-2.2030,-1.2385,8.0984,-3.3185,3.9365,352
-0.5855,0.1094,-9.1148,-2.2772,-2.6378,353
-2.7191,-1.1570,-9.5684,3.7846,3.2160,354
-12.0812,-2.8578,4.0374,27.1528,-2.4436,355
4.2242,-3.6622,-3.3685,-12.6229,1.1888,356
8.5269,-6.3220,-7.5632,-16.7671,-1.4651,357
-1.0164,-11.1561,-16.6979,6.5998,-5.3431,358
-1.8736,8.1154,10.1879,9.2213,1.4811,359
-9.9934,0.0401,12.5622,14.6813,1.0538,360
-1.5573,-0.6931,0.2569,-0.4344,1.8972,361
14.6113,-1.1615,-0.3631,-21.1381,-4.0374,362
5.7668,1.7674,-5.4623,-10.7298,0.4971,363
-0.4957,6.9630,5.2308,-4.8069,6.4243,364
-5.6666,1.2183,3.8525,-1.8298,7.5013,365
-5.8793,-3.0103,-11.9478,4.0192,3.0417,366
5.3955,-0.5387,5.6279,-2.7681,-3.3680,367
3.4726,7.4904,13.7835,-2.1406,-0.6306,368
5.3337,-3.7632,-0.2950,-6.3401,-2.3663,369
1.7459,-1.5188,1.7603,-9.4625,0.9338,370
9.4113,3.1102,2.6976,-6.3351,-2.8963,371
4.0403,0.4756,3.0070,-7.0859,-1.3845,372
-1.0421,-7.1068,-3.9338,4.6539,-2.6763,373
-0.7476,6.9406,-7.8202,1.6978,2.0948,374
-7.1085,-1.6729,0.6170,15.2775,-1.3702,375
1.5419,9.8873,-6.6461,-5.1154,2.4130,376
8.6023,10.7196,-0.1356,-10.0422,-0.5172,377
3.1284,-2.2886,-2.7624,-2.6110,-2.1177,378
-1.2153,-3.6176,-1.8275,-0.9382,2.3046,379
7.5255,-2.4819,5.3425,-13.9761,-1.6817,380
-9.2442,-1.8017,-6.9950,16.8466,0.2938,381
-2.9533,-3.1541,8.7089,7.3842,-0.3132,382
-3.1696,4.8768,11.5211,10.4447,-3.2169,383
-1.8022,-3.2724,-1.6665,9.7004,-2.4484,384
-1.0677,-3.3863,-3.4972,-0.4773,0.6241,385
-12.5226,-7.0642,5.1359,23.2067,0.3531,386
10.0139,2.5483,-0.2511,-13.1159,-2.3769,387
0.0155,1.9500,4.6962,-2.9724,1.1231,388
4.0185,4.6886,11.2659,-0.8510,-3.0950,389
6.1244,-3.0577,-0.1407,-10.7839,-1.8626,390
-13.8260,-6.3363,-6.7467,15.0758,3.7879,391
2.7295,2.8743,-2.7930,2.9501,-3.4916,392
