% Short Summary:
% Lists estimates of the percentage of body fat determined by underwater
% weighing and various body circumference measurements for 252 men.
% 
% Classroom use of this data set:
% This data set can be used to illustrate multiple regression techniques.
% Accurate measurement of body fat is inconvenient/costly and it is 
% desirable to have easy methods of estimating body fat that are not
% inconvenient/costly.
% 
% More Details:
% A variety of popular health books suggest that the readers assess their
% health, at least in part, by estimating their percentage of body fat. In
% Bailey (1994), for instance, the reader can estimate body fat from tables
% using their age and various skin-fold measurements obtained by using a
% caliper. Other texts give predictive equations for body fat using body 
% circumference measurements (e.g. abdominal circumference) and/or skin-fold
% measurements. See, for instance, Behnke and Wilmore (1974), pp. 66-67;
% Wilmore (1976), p. 247; or Katch and McArdle (1977), pp. 120-132).
% 
% Percentage of body fat for an individual can be estimated once body density
% has been determined. Folks (e.g. Siri (1956)) assume that the body consists
% of two components - lean body tissue and fat tissue. Letting
% 
% D = Body Density (gm/cm^3)
% A = proportion of lean body tissue
% B = proportion of fat tissue (A+B=1)
% a = density of lean body tissue (gm/cm^3)
% b = density of fat tissue (gm/cm^3)
% 
% we have
% 
% D = 1/[(A/a) + (B/b)]
% 
% solving for B we find
% 
% B = (1/D)*[ab/(a-b)] - [b/(a-b)].
% 
% Using the estimates a=1.10 gm/cm^3 and b=0.90 gm/cm^3 (see Katch and McArdle
% (1977), p. 111 or Wilmore (1976), p. 123) we come up with "Siri's equation":
% 
% Percentage of Body Fat (i.e. 100*B) = 495/D - 450.
% 
% Volume, and hence body density, can be accurately measured a variety of ways.
% The technique of underwater weighing "computes body volume as the difference
% between body weight measured in air and weight measured during water
% submersion. In other words, body volume is equal to the loss of weight in
% water with the appropriate temperature correction for the water's density"
% (Katch and McArdle (1977), p. 113). Using this technique,
% 
% Body Density = WA/[(WA-WW)/c.f. - LV]
% 
% where
% 
% WA = Weight in air (kg)
% WW = Weight in water (kg)
% c.f. = Water correction factor (=1 at 39.2 deg F as one-gram of water
%        occupies exactly one cm^3 at this temperature, =.997 at 76-78 deg F)
% LV = Residual Lung Volume (liters)
% 
% (Katch and McArdle (1977), p. 115). Other methods of determining body volume
% are given in Behnke and Wilmore (1974), p. 22 ff.
% 
% 
% The variables listed below, from left to right, are:
% 
%  Density determined from underwater weighing
%  Percent body fat from Siri's (1956) equation
%  Age (years)
%  Weight (lbs)
%  Height (inches)
%  Neck circumference (cm)
%  Chest circumference (cm)
%  Abdomen 2 circumference (cm)
%  Hip circumference (cm)
%  Thigh circumference (cm)
%  Knee circumference (cm)
%  Ankle circumference (cm)
%  Biceps (extended) circumference (cm)
%  Forearm circumference (cm)
%  Wrist circumference (cm)
% 
% (Measurement standards are apparently those listed in Benhke and Wilmore
% (1974), pp. 45-48 where, for instance, the abdomen 2 circumference is 
% measured "laterally, at the level of the iliac crests, and anteriorly, at
% the umbilicus".)
% 
% These data are used to produce the predictive equations for lean
% body weight given in the abstract "Generalized body composition prediction
% equation for men using simple measurement techniques", K.W. Penrose, A.G.
% Nelson, A.G. Fisher, FACSM, Human Performance Research Center, Brigham Young
% University, Provo, Utah  84602 as listed in _Medicine and Science in Sports
% and Exercise_, vol. 17, no. 2, April 1985, p. 189. (The predictive equations
% were obtained from the first 143 of the 252 cases that are listed below).
% The data were generously supplied by Dr. A. Garth Fisher who gave permission to 
% freely distribute the data and use for non-commercial purposes. 
% 
% References:
% 
% Bailey, Covert (1994). _Smart Exercise: Burning Fat, Getting Fit_,
% Houghton-Mifflin Co., Boston, pp. 179-186.
% 
% Behnke, A.R. and Wilmore, J.H. (1974). _Evaluation and Regulation of Body
% Build and Composition_, Prentice-Hall, Englewood Cliffs, N.J.
% 
% Siri, W.E. (1956), "Gross composition of the body", in _Advances in 
% Biological and Medical Physics_, vol. IV, edited by J.H. Lawrence and C.A.
% Tobias, Academic Press, Inc., New York.
% 
% Katch, Frank and McArdle, William (1977). _Nutrition, Weight Control, and
% Exercise_, Houghton Mifflin Co., Boston.
% 
% Wilmore, Jack (1976). _Athletic Training and Physical Fitness: Physiological
% Principles of the Conditioning Process_, Allyn and Bacon, Inc., Boston.
% 
% 
% 
% Roger W. Johnson
% Department of Mathematics & Computer Science
% South Dakota School of Mines & Technology
% 501 East St. Joseph Street
% Rapid City, SD  57701
% 
% email address: rwjohnso@silver.sdsmt.edu
% web address: http://silver.sdsmt.edu/~rwjohnso
% 
% 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation bodyfat

@attribute Density_determined_from_underwater_weighing REAL
@attribute Percent_body_fat_from_Siris_(1956)_equation REAL
@attribute Age_(years) INTEGER
@attribute Weight_(lbs) REAL
@attribute Height_(inches) REAL
@attribute Neck_circumference_(cm) REAL
@attribute Chest_circumference_(cm) REAL
@attribute Abdomen_2_circumference_(cm) REAL
@attribute Hip_circumference_(cm) REAL
@attribute Thigh_circumference_(cm) REAL
@attribute Knee_circumference_(cm) REAL
@attribute Ankle_circumference_(cm) REAL
@attribute Biceps_(extended)_circumference_(cm) REAL
@attribute Forearm_circumference_(cm) REAL
@attribute Wrist_circumference_(cm) REAL

@data
1.0269,32.0,41,212.00,71.50,41.5,106.6,104.3,106.0,65.0,40.2,23.0,35.8,31.5,18.8
1.0814,7.7,39,125.25,68.00,31.5,85.1,76.0,88.2,50.0,34.7,21.0,26.1,23.1,16.1
1.0670,13.9,43,164.25,73.25,35.7,96.6,81.5,97.2,58.4,38.2,23.4,29.7,27.4,18.3
1.0742,10.8,40,133.50,67.50,33.6,88.2,73.7,88.5,53.3,34.5,22.5,27.9,26.2,17.3
1.0665,5.6,39,148.50,71.25,34.6,89.8,79.5,92.7,52.7,37.5,21.9,28.8,26.8,17.9
1.0678,13.6,45,135.75,68.50,32.8,92.3,83.4,90.4,52.0,35.8,20.6,28.8,25.5,16.3
1.0903,4.0,47,127.50,66.75,34.0,83.4,70.4,87.2,50.6,34.4,21.9,26.8,25.8,16.8
1.0756,10.2,47,158.25,72.25,34.9,90.2,86.7,98.3,52.6,37.2,22.4,26.0,25.8,17.3
1.0840,6.6,40,139.25,69.00,34.3,89.2,77.9,91.0,51.4,34.9,21.0,26.7,26.1,17.2
1.0807,8.0,51,137.25,67.75,36.5,89.7,82.0,89.1,49.3,33.7,21.4,29.6,26.0,16.9
1.0848,6.3,49,152.75,73.50,35.1,93.3,79.6,91.6,52.6,37.6,22.6,38.5,27.4,18.5
1.0906,3.9,42,136.25,67.50,37.8,87.6,77.6,88.6,51.9,34.9,22.5,27.7,27.5,18.5
1.0473,22.6,54,198.00,72.00,39.9,107.6,100.0,99.6,57.2,38.0,22.0,35.9,30.2,18.9
1.0524,20.4,58,181.50,68.00,39.1,100.0,99.8,102.5,62.1,39.6,22.5,33.1,28.3,18.5
1.0356,28.0,62,201.25,69.50,40.5,111.5,104.2,105.8,61.8,39.8,22.7,37.7,30.9,19.2
1.0280,31.5,54,202.50,70.75,40.5,115.4,105.3,97.0,59.1,38.0,22.5,31.6,28.8,18.2
1.0430,24.6,61,179.75,65.75,38.4,104.8,98.3,99.6,60.6,37.7,22.9,34.5,29.6,18.5
1.0396,26.1,62,216.00,73.25,41.4,112.3,104.8,103.1,61.6,40.9,23.1,36.2,31.8,20.2
1.0317,29.8,56,178.75,68.50,35.6,102.9,94.7,100.8,60.9,38.0,22.1,32.5,29.8,18.3
1.0298,30.7,54,193.25,70.25,38.0,107.6,102.4,99.4,61.0,39.4,23.6,32.7,29.9,19.1
1.0403,25.8,61,178.00,67.00,37.4,105.3,99.7,99.7,60.8,40.1,22.7,33.6,29.0,18.8
1.0264,32.3,57,205.50,70.00,40.1,105.3,105.5,108.3,65.0,41.2,24.7,35.3,31.1,18.4
1.0313,30.0,55,183.50,67.50,40.9,103.0,100.3,104.2,64.8,40.2,22.7,34.8,30.1,18.7
1.0499,21.5,54,151.50,70.75,35.6,90.0,83.9,93.9,55.0,36.1,21.7,29.6,27.4,17.4
1.0673,13.8,55,154.75,71.50,36.9,95.4,86.6,91.8,54.3,35.4,21.5,32.8,27.4,18.7
1.0847,6.3,54,155.25,69.25,37.5,89.3,78.4,96.1,56.0,37.4,22.4,32.6,28.1,18.1
1.0693,12.9,55,156.75,71.50,36.3,94.4,84.6,94.3,51.2,37.4,21.6,27.3,27.1,17.3
1.0439,24.3,62,167.50,71.50,35.5,97.6,91.5,98.5,56.6,38.6,22.4,31.5,27.3,18.6
1.0788,8.8,55,146.75,68.75,38.7,88.5,82.8,95.5,58.9,37.6,21.6,30.3,27.3,18.3
1.0796,8.5,56,160.75,73.75,36.4,93.6,82.9,96.3,52.9,37.5,23.1,29.7,27.3,18.2
1.0680,13.5,55,125.00,64.00,33.2,87.7,76.0,88.6,50.9,35.4,19.1,29.3,25.7,16.9
1.0720,11.8,61,143.00,65.75,36.5,93.4,83.3,93.0,55.5,35.2,20.9,29.4,27.0,16.8
1.0666,18.5,61,148.25,67.50,36.0,91.6,81.8,94.8,54.5,37.0,21.4,29.3,27.0,18.3
1.0790,8.8,57,162.50,69.50,38.7,91.6,78.8,94.3,56.7,39.7,24.2,30.2,29.2,18.1
1.0483,22.2,69,177.75,68.50,38.7,102.0,95.0,98.3,55.0,38.3,21.8,30.8,25.7,18.8
1.0498,21.5,81,161.25,70.25,37.8,96.4,95.4,99.3,53.5,37.5,21.5,31.4,26.8,18.3
1.0560,18.8,66,171.25,69.25,37.4,102.7,98.6,100.2,56.5,39.3,22.7,30.3,28.7,19.0
1.0283,31.4,67,163.75,67.75,38.4,97.7,95.8,97.1,54.8,38.2,23.7,29.4,27.2,19.0
1.0382,26.8,64,150.25,67.25,38.1,97.1,89.0,96.9,54.8,38.0,22.0,29.9,25.2,17.7
1.0568,18.4,64,190.25,72.75,39.3,103.1,97.8,99.6,58.9,39.0,23.0,34.3,29.6,19.0
1.0377,27.0,70,170.75,70.00,38.7,101.8,94.9,95.0,56.0,36.5,24.1,31.2,27.3,19.2
1.0378,27.0,72,168.00,69.25,38.5,101.4,99.8,96.2,56.3,36.6,22.0,29.7,26.3,18.0
1.0386,26.6,67,167.00,67.50,36.5,98.9,89.7,96.2,54.7,37.8,33.7,32.4,27.7,18.2
1.0648,14.9,72,157.75,67.25,37.7,97.5,88.1,96.9,57.2,37.7,21.8,32.6,28.0,18.8
1.0462,23.1,64,160.00,65.75,36.5,104.3,90.9,93.8,57.8,39.5,23.3,29.2,28.4,18.1
1.0800,8.3,46,176.75,72.50,38.0,97.3,86.0,99.3,61.0,38.4,23.8,30.2,29.3,18.8
1.0666,14.1,48,176.00,73.00,36.7,96.7,86.5,98.3,60.4,39.9,24.4,28.8,29.6,18.7
1.0520,20.5,46,177.00,70.00,37.2,99.7,95.6,102.2,58.3,38.2,22.5,29.1,27.7,17.7
1.0573,18.2,44,179.75,69.50,39.2,101.9,93.2,100.6,58.9,39.7,23.1,31.4,28.4,18.8
1.0795,8.5,47,165.25,70.50,37.5,97.2,83.1,95.4,56.9,38.3,22.1,30.1,28.2,18.4
1.0424,24.9,46,192.50,71.75,38.0,106.6,97.5,100.6,58.9,40.5,24.5,33.3,29.6,19.1
1.0785,9.0,47,184.25,74.50,37.3,99.6,88.8,101.4,57.4,39.6,24.6,30.3,27.9,17.8
1.0991,17.4,53,224.50,77.75,41.1,113.2,99.2,107.5,61.7,42.3,23.2,32.9,30.8,20.4
1.0770,9.6,38,188.75,73.25,37.5,99.1,91.6,102.4,60.6,39.4,22.9,31.6,30.1,18.5
1.0730,11.3,50,162.50,66.50,38.7,99.4,86.7,96.2,62.1,39.3,23.3,30.6,27.8,18.2
1.0582,17.8,46,156.50,68.25,35.9,95.1,88.2,92.8,54.7,37.3,21.9,31.6,27.5,18.2
1.0484,22.2,47,197.00,72.00,40.0,107.5,94.0,103.7,62.7,39.0,22.3,35.3,30.9,18.3
1.0506,21.2,49,198.50,73.50,40.1,106.5,95.0,101.7,59.0,39.4,22.3,32.2,31.0,18.6
1.0524,20.4,48,173.75,72.00,37.0,99.1,92.0,98.3,59.3,38.4,22.4,27.9,26.2,17.0
1.0530,20.1,41,172.75,71.25,36.3,96.7,89.2,98.3,60.0,38.4,23.2,31.0,29.2,18.4
1.0480,22.3,49,196.75,73.75,40.7,103.5,95.5,101.6,59.1,39.8,25.4,31.0,30.3,19.7
1.0412,25.4,43,177.00,69.25,39.6,104.0,98.6,99.5,59.5,36.1,22.0,30.1,27.2,17.7
1.0578,18.0,43,165.50,68.50,31.1,93.1,87.3,96.6,54.7,39.0,24.8,31.0,29.4,18.8
1.0547,19.3,43,200.25,73.50,38.6,105.2,102.8,103.6,61.2,39.3,23.5,30.5,28.5,18.1
1.0569,18.3,52,203.25,74.25,42.0,110.0,101.6,100.7,55.8,38.7,23.4,35.1,29.6,19.1
1.0593,17.3,43,194.00,75.50,38.5,110.1,88.7,102.1,57.5,40.0,24.8,35.1,30.7,19.2
1.0500,21.4,40,168.50,69.25,34.2,97.8,92.3,100.6,57.5,36.8,22.8,32.1,26.0,17.3
1.0538,19.7,43,170.75,68.50,37.2,96.3,90.6,99.3,61.9,38.0,22.3,33.3,28.2,18.1
1.0355,28.0,43,183.25,70.00,37.1,108.0,105.0,103.0,63.7,40.0,23.6,33.5,27.8,17.4
1.0486,22.1,47,178.25,70.00,40.2,99.7,95.0,98.6,62.3,38.1,23.9,35.3,31.1,19.8
1.0503,21.3,42,163.00,70.25,35.3,93.5,89.6,99.8,61.5,37.8,21.9,30.7,27.6,17.4
1.0384,26.7,48,175.25,71.75,38.0,100.7,92.4,97.5,59.3,38.1,21.8,31.8,27.3,17.5
1.0607,16.7,40,158.00,69.25,36.3,97.0,86.6,92.6,55.9,36.3,22.1,29.8,26.3,17.3
1.0529,20.1,48,177.25,72.75,36.8,96.0,90.0,99.7,58.8,38.4,22.8,29.9,28.0,18.1
1.0671,13.9,51,179.00,72.00,41.0,99.2,90.0,96.4,56.8,38.8,23.3,33.4,29.8,19.5
1.0404,25.8,40,191.00,74.00,38.3,95.4,92.4,104.3,64.6,41.1,24.8,33.6,29.5,18.5
1.0575,18.1,44,187.50,72.25,38.0,101.8,87.5,101.0,58.5,39.2,24.5,32.1,28.6,18.0
1.0358,27.9,52,206.50,74.50,40.8,104.3,99.2,104.1,58.5,39.3,24.6,33.9,31.2,19.5
1.0414,25.3,44,185.25,71.50,39.5,99.2,98.1,101.4,57.1,40.5,23.2,33.0,29.6,18.4
1.0652,14.7,40,160.25,68.75,36.9,99.3,83.3,97.5,60.5,38.7,22.6,34.4,28.0,17.6
1.0623,16.0,47,151.50,66.75,36.9,94.0,86.1,95.2,58.1,36.5,22.1,30.6,27.5,17.6
1.0674,13.8,50,161.00,66.50,37.7,98.9,84.1,94.0,58.5,36.6,23.5,34.4,29.2,18.0
1.0587,17.5,46,167.00,67.00,36.6,101.0,89.9,100.0,60.7,36.0,21.9,35.6,30.2,17.6
1.0373,27.2,42,177.50,68.75,38.9,98.7,92.1,98.5,60.7,36.8,22.2,33.8,30.3,17.2
1.0590,17.4,43,152.25,67.75,37.5,95.9,78.0,93.2,53.5,35.8,20.8,33.9,28.2,17.4
1.0515,20.8,40,192.25,73.25,39.8,103.9,93.5,99.5,61.7,39.0,21.8,33.3,29.6,18.1
1.0648,14.9,42,165.25,69.75,38.3,96.2,87.0,97.8,57.4,36.9,22.2,31.6,27.8,17.7
1.0575,18.1,49,171.75,71.50,35.5,97.8,90.1,95.8,57.0,38.7,23.2,27.5,26.5,17.6
1.0472,22.7,40,171.25,70.50,36.3,94.6,90.3,99.1,60.3,38.5,23.0,31.2,28.4,17.1
1.0452,23.6,47,197.00,73.25,37.8,103.6,99.8,103.2,61.2,38.1,22.6,33.5,28.6,17.9
1.0398,26.1,50,157.00,66.75,37.8,100.4,89.4,92.3,56.1,35.6,20.5,33.6,29.3,17.3
1.0435,24.4,41,168.25,69.50,36.5,98.4,87.2,98.4,56.0,36.9,23.0,34.0,29.8,18.1
1.0374,27.1,44,186.00,69.75,37.8,104.6,101.1,102.1,58.9,37.9,22.7,30.9,28.8,17.6
1.0491,21.8,39,166.75,70.75,37.0,92.9,86.1,95.6,58.8,36.1,22.4,32.7,28.3,17.1
1.0325,29.4,43,187.75,74.00,37.7,97.8,98.6,100.6,63.6,39.2,23.8,34.3,28.4,17.7
1.0481,22.4,40,168.25,71.25,34.3,98.3,88.5,98.3,58.1,38.4,22.5,31.7,27.4,17.6
1.0522,20.4,49,212.75,75.00,40.8,104.7,106.6,107.7,66.5,42.5,24.5,35.5,29.8,18.7
1.0422,24.9,40,176.75,71.00,37.4,98.6,93.1,101.6,59.1,39.6,21.6,30.8,27.9,16.6
1.0571,18.3,40,173.25,69.50,36.5,99.5,93.0,99.3,60.4,38.2,22.0,32.0,28.5,17.8
1.0459,23.3,52,167.00,67.75,37.5,102.7,91.0,98.9,57.1,36.7,22.3,31.6,27.5,17.9
1.0775,9.4,23,159.75,72.25,35.5,92.1,77.1,93.9,56.1,36.1,22.7,30.5,27.2,18.2
1.0754,10.3,23,188.15,77.50,38.0,96.6,85.3,102.5,59.1,37.6,23.2,31.8,29.7,18.3
1.0664,14.2,24,156.00,70.75,35.7,92.7,81.9,95.3,56.4,36.5,22.0,33.5,28.3,17.3
1.0550,19.2,24,208.50,72.75,39.2,102.0,99.1,110.1,71.2,43.5,25.2,36.1,30.3,18.7
1.0322,29.6,25,206.50,69.75,40.9,110.9,100.5,106.2,68.4,40.8,24.6,33.3,29.7,18.4
1.0873,5.3,25,143.75,72.50,35.2,92.3,76.5,92.1,51.9,35.7,22.0,25.8,25.2,16.9
1.0416,25.2,26,223.00,70.25,40.6,114.1,106.8,113.9,67.6,42.7,24.7,36.0,30.4,18.4
