% Data Sets for 'Regression Models for Time Series Analysis' by
% B. Kedem and K. Fokianos, Wiley 2002. Submitted by Kostas
% Fokianos (fokianos@ucy.ac.cy) [8/Nov/02] (176k)
%
% Note: - attribute names were generated manually
%       - information about data taken from here:
%         http://lib.stat.cmu.edu/datasets/
%
% File: ../data/rmftsa/mtwashnh6597.txt2
%
% Rainfall Data:
% MaxT= Maximum temperature
% Hdeg= Heating degress
% Pcpn=Precipitation
% Date        MaxT   MinT  AveT   HDeg  Pcpn  Snow  On Gnd  Mx Wnd   
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation rmftsa-mtwashnh6597

@attribute Date Date M/d/yyyy
@attribute MaxT INTEGER
@attribute MinT INTEGER
@attribute AveT INTEGER
@attribute HDeg INTEGER
@attribute Pcpn REAL
@attribute Snow REAL
@attribute On_Gnd INTEGER
@attribute Mx {E,ENE,N,NE,NNW,NW,S,SE,SSE,SW,W}
@attribute Wnd INTEGER

@data
2/03/1965,-9,-17,-12,77,0.05,0.5,1,?,?
2/04/1965,-9,-20,-14,79,0.02,0.2,1,?,?
2/05/1965,0,-24,-11,76,0.10,1.0,1,?,?
2/06/1965,21,-2,10,55,0.08,0.9,2,?,?
2/07/1965,29,18,24,41,0.63,2.4,1,?,?
2/08/1965,34,14,24,41,0.89,1.3,2,?,?
2/09/1965,24,6,15,50,0.00,0.0,0,?,?
2/10/1965,28,10,19,46,0.53,4.4,0,?,?
2/11/1965,27,12,20,45,0.00,0.0,5,?,?
2/12/1965,35,14,25,40,0.28,1.1,5,?,?
2/13/1965,26,-15,6,59,0.10,1.2,4,?,?
2/14/1965,9,-21,-5,70,0.00,0.0,3,?,?
2/15/1965,9,-1,4,61,0.00,0.0,2,?,?
2/16/1965,12,-8,2,63,0.03,0.2,2,?,?
2/17/1965,7,-10,-1,66,0.00,0.0,2,?,?
2/18/1965,10,-5,3,62,0.51,5.5,2,?,?
2/19/1965,-5,-24,-14,79,0.00,0.0,2,?,?
2/20/1965,0,-24,-11,76,0.00,0.0,2,?,?
2/21/1965,20,-2,9,56,0.51,2.9,2,?,?
2/22/1965,18,-22,-1,66,0.25,2.2,3,?,?
2/23/1965,-5,-27,-15,80,0.00,0.0,2,?,?
2/24/1965,18,-5,7,58,0.00,0.0,2,?,?
2/25/1965,24,6,15,50,3.20,7.1,2,?,?
2/26/1965,22,-15,4,61,0.13,0.6,4,?,?
2/27/1965,0,-19,-9,74,0.00,0.0,4,?,?
2/28/1965,13,-4,5,60,0.07,0.2,4,?,?
3/01/1965,21,4,13,52,0.00,0.0,4,?,?
3/02/1965,27,12,20,45,0.00,0.0,4,?,?
3/03/1965,26,19,23,42,0.00,0.0,4,?,?
3/04/1965,30,19,25,40,0.00,0.0,3,?,?
3/05/1965,29,18,24,41,0.09,0.3,2,?,?
3/06/1965,25,16,21,44,0.12,0.6,2,?,?
3/07/1965,26,17,22,43,0.14,0.9,2,?,?
3/08/1965,28,13,21,44,0.00,0.0,3,?,?
3/09/1965,22,10,16,49,0.00,0.0,3,?,?
3/10/1965,21,9,15,50,0.06,0.7,3,?,?
3/11/1965,10,-5,3,62,0.16,2.4,5,?,?
3/12/1965,1,-10,-4,69,0.00,0.0,4,?,?
3/13/1965,4,-6,0,65,0.00,0.0,3,?,?
3/14/1965,4,-5,0,65,0.00,0.0,3,?,?
3/15/1965,4,-5,0,65,0.01,0.1,3,?,?
3/16/1965,8,-5,2,63,0.00,0.0,3,?,?
3/17/1965,16,-4,6,59,0.00,0.0,3,?,?
3/18/1965,20,6,13,52,0.13,1.4,3,?,?
3/19/1965,18,-5,7,58,0.26,2.6,3,?,?
3/20/1965,7,-8,0,65,0.11,1.4,4,?,?
3/21/1965,-6,-14,-9,74,0.16,1.7,4,?,?
3/22/1965,8,-11,-1,66,0.22,1.1,4,?,?
3/23/1965,10,2,6,59,0.21,1.3,5,?,?
3/24/1965,4,-6,0,65,0.00,0.0,5,?,?
3/25/1965,18,-5,7,58,0.00,0.0,5,?,?
3/26/1965,25,11,18,47,0.58,1.5,5,?,?
3/27/1965,15,-6,5,60,0.23,1.2,7,?,?
3/28/1965,4,-8,-1,66,0.00,0.0,7,?,?
3/29/1965,20,-3,9,56,0.08,1.1,7,?,?
3/30/1965,8,-5,2,63,0.15,1.5,8,?,?
3/31/1965,-3,-16,-9,74,0.00,0.0,8,?,?
4/01/1965,10,-7,2,63,0.00,0.0,7,?,?
4/02/1965,12,-1,6,59,0.00,0.0,7,?,?
4/03/1965,11,-3,4,61,0.00,0.0,7,?,?
4/04/1965,16,4,10,55,0.00,0.0,7,?,?
4/05/1965,21,11,16,49,0.00,0.0,7,?,?
4/06/1965,30,8,19,46,0.00,0.0,5,?,?
4/07/1965,26,18,22,43,0.10,0.7,4,?,?
4/08/1965,26,16,21,44,0.09,0.6,4,?,?
4/09/1965,22,16,19,46,0.00,0.0,4,?,?
4/10/1965,23,15,19,46,0.00,0.0,4,?,?
4/11/1965,31,15,23,42,0.00,0.0,4,?,?
4/12/1965,28,18,23,42,0.35,1.5,4,?,?
4/13/1965,23,12,18,47,0.72,5.0,7,?,?
4/14/1965,24,10,17,48,0.00,0.0,8,?,?
4/15/1965,30,16,23,42,0.78,3.4,8,?,?
4/16/1965,31,17,24,41,0.51,1.9,10,?,?
4/17/1965,18,13,16,49,0.23,1.4,11,?,?
4/18/1965,18,8,13,52,0.29,2.0,11,?,?
4/19/1965,24,11,18,47,0.00,0.0,12,?,?
4/20/1965,27,16,22,43,0.01,0.1,11,?,?
4/21/1965,31,16,24,41,0.03,0.2,10,?,?
4/22/1965,31,12,22,43,0.14,0.8,9,?,?
4/23/1965,19,6,13,52,0.24,2.3,9,?,?
4/24/1965,12,0,6,59,0.12,0.9,10,?,?
4/25/1965,24,6,15,50,0.00,0.0,10,?,?
4/26/1965,34,21,28,37,0.36,2.5,9,?,?
4/27/1965,32,24,28,37,0.00,0.0,9,?,?
4/28/1965,30,21,26,39,0.00,0.0,8,?,?
4/29/1965,32,20,26,39,0.00,0.0,8,?,?
4/30/1965,37,22,30,35,0.00,0.0,8,?,?
5/01/1965,32,18,25,40,0.00,0.0,7,?,?
5/02/1965,30,19,25,40,0.00,0.0,7,?,?
5/03/1965,42,27,35,30,0.00,0.0,6,?,?
5/04/1965,41,19,30,35,0.00,0.0,5,?,?
5/05/1965,34,17,26,39,0.00,0.0,4,?,?
5/06/1965,40,25,33,32,0.00,0.0,3,?,?
5/07/1965,36,21,29,36,0.00,0.0,3,?,?
5/08/1965,45,32,39,26,0.00,0.0,3,?,?
5/09/1965,48,42,45,20,0.20,0.0,1,?,?
5/10/1965,48,45,47,18,0.60,0.0,0,?,?
5/11/1965,48,33,41,24,0.17,0.0,0,?,?
5/12/1965,47,30,39,26,0.01,0.0,0,?,?
5/13/1965,41,22,32,33,0.00,0.0,0,?,?
5/14/1965,40,18,29,36,0.00,0.0,0,?,?
5/15/1965,49,29,39,26,0.00,0.0,0,?,?
5/16/1965,54,42,48,17,0.00,0.0,0,?,?
5/17/1965,48,38,43,22,0.86,0.0,0,?,?
5/18/1965,44,38,41,24,0.08,0.0,0,?,?
5/19/1965,47,38,43,22,0.00,0.0,0,?,?
5/20/1965,45,26,36,29,0.00,0.0,0,?,?
5/21/1965,49,26,38,27,0.00,0.0,0,?,?
5/22/1965,49,32,41,24,0.20,0.0,0,?,?
5/23/1965,35,24,30,35,0.00,0.0,0,?,?
5/24/1965,43,24,34,31,0.00,0.0,0,?,?
5/25/1965,47,32,40,25,0.00,0.0,0,?,?
5/26/1965,50,42,46,19,0.10,0.0,0,?,?
5/27/1965,56,45,51,14,0.07,0.0,0,?,?
5/28/1965,48,30,39,26,0.00,0.0,0,?,?
5/29/1965,37,27,32,33,0.01,0.3,0,?,?
5/30/1965,34,24,29,36,0.00,0.0,0,?,?
5/31/1965,36,27,32,33,0.10,0.8,0,?,?
6/01/1965,34,25,30,35,0.00,0.0,0,?,?
6/02/1965,40,28,34,31,0.26,0.0,0,?,?
6/03/1965,33,27,30,35,0.22,2.0,0,?,?
6/04/1965,41,26,34,31,0.03,0.0,0,?,?
6/05/1965,50,32,41,24,0.00,0.0,0,?,?
6/06/1965,57,39,48,17,0.00,0.0,0,?,?
6/07/1965,63,48,56,9,1.26,0.0,0,?,?
6/08/1965,54,49,52,13,0.08,0.0,0,?,?
6/09/1965,58,45,52,13,0.31,0.0,0,?,?
6/10/1965,50,33,42,23,0.22,0.0,0,?,?
6/11/1965,40,29,35,30,0.00,0.0,0,?,?
6/12/1965,53,34,44,21,0.47,0.0,0,?,?
6/13/1965,41,29,35,30,2.49,4.4,0,?,?
6/14/1965,35,28,32,33,0.21,1.3,4,?,?
6/15/1965,38,28,33,32,0.00,0.0,3,?,?
6/16/1965,45,33,39,26,0.05,0.0,1,?,?
6/17/1965,49,37,43,22,0.00,0.0,0,?,?
6/18/1965,46,36,41,24,0.22,0.0,0,?,?
6/19/1965,50,38,44,21,0.57,0.2,0,?,?
6/20/1965,56,45,51,14,0.00,0.0,0,?,?
6/21/1965,59,46,53,12,0.74,0.0,0,?,?
6/22/1965,55,40,48,17,0.06,0.0,0,?,?
6/23/1965,64,48,56,9,0.79,0.0,0,?,?
6/24/1965,51,32,42,23,0.17,0.0,0,?,?
6/25/1965,37,29,33,32,0.00,0.0,0,?,?
6/26/1965,47,30,39,26,0.00,0.0,0,?,?
6/27/1965,56,40,48,17,0.00,0.0,0,?,?
6/28/1965,62,45,54,11,0.00,0.0,0,?,?
6/29/1965,55,44,50,15,0.00,0.0,0,?,?
6/30/1965,50,36,43,22,0.00,0.0,0,?,?
7/01/1965,47,35,41,24,0.00,0.0,0,?,?
7/02/1965,55,41,48,17,0.00,0.0,0,?,?
7/03/1965,47,39,43,22,0.41,0.0,0,?,?
7/04/1965,48,36,42,23,0.00,0.0,0,?,?
7/05/1965,56,42,49,16,0.95,0.0,0,?,?
7/06/1965,47,28,38,27,0.14,0.0,0,?,?
7/07/1965,50,33,42,23,0.00,0.0,0,?,?
7/08/1965,49,42,46,19,0.61,0.0,0,?,?
7/09/1965,59,41,50,15,0.00,0.0,0,?,?
7/10/1965,55,40,48,17,0.50,0.0,0,?,?
7/11/1965,55,40,48,17,0.00,0.0,0,?,?
7/12/1965,47,38,43,22,0.00,0.0,0,?,?
7/13/1965,59,40,50,15,0.00,0.0,0,?,?
7/14/1965,56,49,53,12,0.46,0.0,0,?,?
7/15/1965,53,39,46,19,0.14,0.0,0,?,?
7/16/1965,57,39,48,17,0.00,0.0,0,?,?
7/17/1965,58,45,52,13,0.23,0.0,0,?,?
7/18/1965,51,46,49,16,0.43,0.0,0,?,?
7/19/1965,47,34,41,24,0.14,0.0,0,?,?
7/20/1965,37,31,34,31,0.09,0.0,0,?,?
7/21/1965,44,35,40,25,0.05,0.0,0,?,?
7/22/1965,55,37,46,19,0.01,0.0,0,?,?
7/23/1965,54,43,49,16,0.00,0.0,0,?,?
7/24/1965,58,47,53,12,0.03,0.0,0,?,?
7/25/1965,55,42,49,16,0.00,0.0,0,?,?
7/26/1965,46,38,42,23,0.00,0.0,0,?,?
7/27/1965,51,39,45,20,0.21,0.0,0,?,?
7/28/1965,47,38,43,22,0.00,0.0,0,?,?
7/29/1965,46,35,41,24,0.01,0.0,0,?,?
7/30/1965,50,35,43,22,0.00,0.0,0,?,?
7/31/1965,53,40,47,18,0.01,0.0,0,?,?
8/01/1965,52,40,46,19,0.00,0.0,0,?,?
8/02/1965,43,37,40,25,0.03,0.0,0,?,?
8/03/1965,47,38,43,22,0.57,0.0,0,?,?
8/04/1965,45,34,40,25,0.02,0.0,0,?,?
8/05/1965,55,37,46,19,0.00,0.0,0,?,?
8/06/1965,60,44,52,13,0.00,0.0,0,?,?
8/07/1965,67,48,58,7,0.16,0.0,0,?,?
8/08/1965,58,54,56,9,1.63,0.0,0,?,?
8/09/1965,57,54,56,9,0.64,0.0,0,?,?
8/10/1965,59,47,53,12,0.82,0.0,0,?,?
8/11/1965,55,42,49,16,0.00,0.0,0,?,?
8/12/1965,55,42,49,16,0.00,0.0,0,?,?
8/13/1965,55,47,51,14,0.00,0.0,0,?,?
8/14/1965,62,46,54,11,0.00,0.0,0,?,?
8/15/1965,67,51,59,6,0.00,0.0,0,?,?
8/16/1965,68,54,61,4,0.00,0.0,0,?,?
8/17/1965,64,53,59,6,0.00,0.0,0,?,?
8/18/1965,58,52,55,10,1.41,0.0,0,?,?
8/19/1965,56,45,51,14,0.92,0.0,0,?,?
8/20/1965,47,36,42,23,0.00,0.0,0,?,?
8/21/1965,46,34,40,25,0.00,0.0,0,?,?
8/22/1965,44,40,42,23,0.17,0.0,0,?,?
8/23/1965,45,36,41,24,0.29,0.0,0,?,?
8/24/1965,44,35,40,25,0.01,0.0,0,?,?
8/25/1965,46,39,43,22,0.00,0.0,0,?,?
8/26/1965,49,38,44,21,0.55,0.0,0,?,?
8/27/1965,51,47,49,16,0.17,0.0,0,?,?
8/28/1965,51,29,40,25,0.37,0.0,0,?,?
8/29/1965,30,22,26,39,0.23,1.6,0,?,?
8/30/1965,26,20,23,42,0.20,0.9,1,?,?
8/31/1965,39,22,31,34,0.00,0.0,1,?,?
9/01/1965,48,33,41,24,2.58,0.0,0,?,?
9/02/1965,42,34,38,27,0.25,0.0,0,?,?
9/03/1965,49,34,42,23,0.00,0.0,0,?,?
9/04/1965,51,38,45,20,0.00,0.0,0,?,?
9/05/1965,53,41,47,18,0.00,0.0,0,?,?
9/06/1965,56,42,49,16,0.00,0.0,0,?,?
9/07/1965,55,44,50,15,0.00,0.0,0,?,?
9/08/1965,47,36,42,23,0.26,0.0,0,?,?
9/09/1965,52,42,47,18,0.00,0.0,0,?,?
9/10/1965,56,46,51,14,0.74,0.0,0,?,?
9/11/1965,52,30,41,24,0.11,0.0,0,?,?
9/12/1965,45,36,41,24,0.00,0.0,0,?,?
9/13/1965,48,38,43,22,0.71,0.0,0,?,?
9/14/1965,50,39,45,20,0.00,0.0,0,?,?
9/15/1965,49,38,44,21,0.14,0.0,0,?,?
9/16/1965,48,30,39,26,0.00,0.0,0,?,?
9/17/1965,44,37,41,24,0.11,0.0,0,?,?
9/18/1965,47,40,44,21,0.70,0.0,0,?,?
9/19/1965,53,44,49,16,0.39,0.0,0,?,?
9/20/1965,58,52,55,10,0.13,0.0,0,?,?
9/21/1965,58,54,56,9,0.00,0.0,0,?,?
9/22/1965,63,55,59,6,0.00,0.0,0,?,?
9/23/1965,62,52,57,8,0.00,0.0,0,?,?
9/24/1965,56,47,52,13,3.22,0.0,0,?,?
9/25/1965,50,29,40,25,0.59,0.0,0,?,?
9/26/1965,45,26,36,29,0.00,0.0,0,?,?
9/27/1965,29,13,21,44,0.00,0.0,0,?,?
9/28/1965,32,18,25,40,0.00,0.0,0,?,?
9/29/1965,32,20,26,39,0.01,0.1,0,?,?
9/30/1965,41,25,33,32,0.07,0.0,0,?,?
10/01/1965,48,31,40,25,1.60,0.0,0,?,?
10/02/1965,35,19,27,38,0.08,0.0,0,?,?
10/03/1965,34,15,25,40,1.11,4.9,0,?,?
10/04/1965,16,6,11,54,0.41,3.0,2,?,?
10/05/1965,10,4,7,58,0.00,0.0,2,?,?
10/06/1965,17,3,10,55,0.00,0.0,2,?,?
10/07/1965,35,17,26,39,0.16,0.5,2,?,?
10/08/1965,36,25,31,34,0.41,0.3,3,?,?
10/09/1965,34,30,32,33,0.00,0.0,1,?,?
10/10/1965,36,31,34,31,0.05,0.4,1,?,?
10/11/1965,34,29,32,33,0.00,0.0,1,?,?
10/12/1965,34,22,28,37,0.25,0.9,1,?,?
10/13/1965,23,20,22,43,0.01,0.0,2,?,?
10/14/1965,32,20,26,39,0.00,0.0,2,?,?
10/15/1965,43,30,37,28,0.95,0.0,1,?,?
10/16/1965,34,18,26,39,0.01,0.1,0,?,?
10/17/1965,38,16,27,38,0.00,0.0,0,?,?
10/18/1965,45,37,41,24,0.00,0.0,0,?,?
10/19/1965,53,42,48,17,0.00,0.0,0,?,?
10/20/1965,52,44,48,17,0.00,0.0,0,?,?
10/21/1965,48,40,44,21,0.00,0.0,0,?,?
10/22/1965,43,40,42,23,0.29,0.0,0,?,?
10/23/1965,41,30,36,29,0.55,0.3,0,?,?
10/24/1965,31,17,24,41,0.04,0.2,0,?,?
10/25/1965,22,12,17,48,0.00,0.0,1,?,?
10/26/1965,29,19,24,41,0.09,0.6,0,?,?
10/27/1965,25,11,18,47,0.60,3.7,1,?,?
10/28/1965,16,5,11,54,1.13,12.6,3,?,?
10/29/1965,17,2,10,55,0.11,0.5,4,?,?
10/30/1965,26,12,19,46,0.00,0.0,3,?,?
10/31/1965,34,21,28,37,0.03,0.2,3,?,?
11/01/1965,22,-2,10,55,0.20,2.1,3,?,?
11/02/1965,11,-6,3,62,0.04,0.5,4,?,?
11/03/1965,34,8,21,44,0.00,0.0,4,?,?
11/04/1965,36,1,19,46,0.10,0.3,2,?,?
11/05/1965,25,-2,12,53,0.00,0.0,2,?,?
11/06/1965,32,18,25,40,0.22,0.3,1,?,?
11/07/1965,31,18,25,40,0.06,0.3,1,?,?
11/08/1965,30,16,23,42,0.44,1.0,1,?,?
11/09/1965,29,0,15,50,0.49,2.3,2,?,?
11/10/1965,17,-1,8,57,0.00,0.0,2,?,?
11/11/1965,23,13,18,47,0.00,0.0,2,?,?
11/12/1965,27,17,22,43,0.00,0.0,1,?,?
11/13/1965,34,22,28,37,0.22,0.2,1,?,?
11/14/1965,24,0,12,53,0.25,0.5,1,?,?
11/15/1965,17,-2,8,57,0.00,0.0,1,?,?
11/16/1965,31,15,23,42,0.58,2.2,2,?,?
11/17/1965,32,5,19,46,1.03,8.1,3,?,?
11/18/1965,6,-3,2,63,0.96,5.4,7,?,?
11/19/1965,8,0,4,61,0.20,0.9,7,?,?
11/20/1965,16,1,9,56,0.09,0.6,7,?,?
11/21/1965,24,15,20,45,0.17,1.8,8,?,?
11/22/1965,26,19,23,42,0.00,0.0,9,?,?
11/23/1965,22,13,18,47,0.00,0.0,9,?,?
11/24/1965,16,9,13,52,0.00,0.0,9,?,?
11/25/1965,20,12,16,49,0.21,0.8,9,?,?
11/26/1965,23,15,19,46,0.47,3.9,12,?,?
11/27/1965,28,13,21,44,0.68,4.0,11,?,?
11/28/1965,16,10,13,52,0.19,1.1,11,?,?
11/29/1965,11,0,6,59,0.30,1.5,11,?,?
11/30/1965,11,0,6,59,0.00,0.0,11,?,?
12/01/1965,15,4,10,55,0.00,0.0,11,?,?
12/02/1965,20,11,16,49,0.00,0.0,11,?,?
12/03/1965,25,14,20,45,0.16,1.0,11,?,?
12/04/1965,25,15,20,45,0.85,5.3,12,?,?
12/05/1965,15,7,11,54,0.22,1.1,12,?,?
12/06/1965,17,0,9,56,0.15,1.0,12,?,?
12/07/1965,13,-6,4,61,0.03,0.2,12,?,?
12/08/1965,18,9,14,51,0.00,0.0,12,?,?
12/09/1965,19,8,14,51,0.00,0.0,12,?,?
12/10/1965,17,1,9,56,0.00,0.0,12,?,?
12/11/1965,17,7,12,53,0.00,0.0,12,?,?
12/12/1965,18,7,13,52,0.32,2.3,12,?,?
12/13/1965,32,8,20,45,0.30,1.4,14,?,?
12/14/1965,34,23,29,36,0.00,0.0,14,?,?
12/15/1965,24,14,19,46,0.01,0.0,14,?,?
12/16/1965,17,11,14,51,0.17,1.2,14,?,?
12/17/1965,14,3,9,56,0.14,0.6,14,?,?
12/18/1965,8,2,5,60,0.40,2.4,14,?,?
12/19/1965,8,-16,-3,68,0.39,3.3,15,?,?
12/20/1965,-6,-14,-9,74,0.00,0.0,15,?,?
12/21/1965,-2,-10,-5,70,0.11,0.3,14,?,?
12/22/1965,8,-4,2,63,0.00,0.0,14,?,?
12/23/1965,23,6,15,50,0.10,0.9,14,?,?
12/24/1965,33,21,27,38,0.57,3.3,16,?,?
12/25/1965,32,18,25,40,0.21,1.1,16,?,?
12/26/1965,18,-15,2,63,0.44,3.3,17,?,?
12/27/1965,12,-6,3,62,0.00,0.0,17,?,?
12/28/1965,9,-5,2,63,0.00,0.0,17,?,?
12/29/1965,18,2,10,55,0.08,0.4,17,?,?
12/30/1965,28,14,21,44,0.00,0.0,16,?,?
12/31/1965,36,26,31,34,0.00,0.0,16,?,?
1/01/1966,36,6,21,44,0.00,0.0,9,?,?
1/02/1966,19,4,12,53,0.04,0.1,7,?,?
1/03/1966,23,7,15,50,0.82,4.2,8,?,?
1/04/1966,9,-5,2,63,0.00,0.0,9,?,?
1/05/1966,19,6,13,52,0.00,0.0,8,?,?
1/06/1966,25,13,19,46,0.14,0.8,8,?,?
1/07/1966,19,3,11,54,0.08,0.4,8,?,?
1/08/1966,10,-10,0,65,1.04,14.0,8,?,?
1/09/1966,18,-12,3,62,0.40,2.0,8,?,?
1/10/1966,25,12,19,46,0.13,0.9,8,?,?
1/11/1966,13,-17,-1,66,0.08,0.7,8,?,?
1/12/1966,9,-17,-3,68,0.00,0.0,8,?,?
1/13/1966,18,8,13,52,0.04,0.6,8,?,?
1/14/1966,16,-2,7,58,0.07,0.5,8,?,?
1/15/1966,1,-26,-12,77,0.00,0.0,8,?,?
1/16/1966,8,-25,-8,73,0.03,0.4,8,?,?
1/17/1966,12,0,6,59,0.00,0.0,8,?,?
1/18/1966,13,3,8,57,0.00,0.0,8,?,?
1/19/1966,16,9,13,52,0.96,7.6,10,?,?
1/20/1966,15,9,12,53,0.04,0.2,10,?,?
1/21/1966,15,5,10,55,0.10,0.6,10,?,?
1/22/1966,11,3,7,58,0.02,0.0,10,?,?
1/23/1966,8,1,5,60,1.85,10.3,10,?,?
1/24/1966,14,4,9,56,0.81,7.0,10,?,?
1/25/1966,11,-1,5,60,0.00,0.0,11,?,?
1/26/1966,4,-2,1,64,0.00,0.0,11,?,?
1/27/1966,9,-7,1,64,0.23,1.8,11,?,?
1/28/1966,-6,-21,-13,78,0.16,1.1,11,?,?
1/29/1966,10,-14,-1,66,0.00,0.0,9,?,?
1/30/1966,15,-4,6,59,2.22,9.9,9,?,?
1/31/1966,-1,-12,-6,71,0.09,0.8,9,?,?
2/01/1966,5,-13,-3,68,0.28,1.6,8,?,?
2/02/1966,12,2,7,58,0.00,0.0,8,?,?
2/03/1966,11,2,7,58,0.04,0.8,8,?,?
2/04/1966,10,1,6,59,0.15,4.1,9,?,?
2/05/1966,5,-5,0,65,0.05,0.5,13,?,?
2/06/1966,-1,-11,-5,70,0.00,0.0,10,?,?
2/07/1966,7,-6,1,64,0.00,0.0,8,?,?
2/08/1966,18,2,10,55,0.00,0.0,8,?,?
2/09/1966,32,16,24,41,0.00,0.0,8,?,?
2/10/1966,33,28,31,34,0.05,0.1,8,?,?
2/11/1966,34,17,26,39,0.02,0.0,8,?,?
2/12/1966,21,10,16,49,0.12,1.6,7,?,?
2/13/1966,32,6,19,46,1.28,5.5,7,?,?
2/14/1966,33,-2,16,49,0.00,0.0,8,?,?
2/15/1966,15,-9,3,62,0.00,0.0,8,?,?
2/16/1966,19,2,11,54,0.57,3.5,8,?,?
2/17/1966,16,-15,1,64,0.10,0.7,10,?,?
2/18/1966,-8,-15,-11,76,0.21,1.5,9,?,?
2/19/1966,-6,-23,-14,79,0.00,0.0,9,?,?
2/20/1966,-22,-34,-27,92,0.00,0.0,9,?,?
2/21/1966,-2,-36,-18,83,0.00,0.0,8,?,?
2/22/1966,12,-4,4,61,0.00,0.0,8,?,?
2/23/1966,14,7,11,54,0.00,0.0,8,?,?
2/24/1966,17,9,13,52,0.00,0.0,8,?,?
2/25/1966,14,5,10,55,2.58,22.1,8,?,?
2/26/1966,8,3,6,59,0.85,9.1,10,?,?
2/27/1966,24,4,14,51,0.00,0.0,9,?,?
2/28/1966,30,16,23,42,0.10,0.4,8,?,?
3/01/1966,32,13,23,42,1.30,4.2,10,?,?
3/02/1966,14,10,12,53,0.00,0.0,11,?,?
3/03/1966,21,6,14,51,0.00,0.0,11,?,?
3/04/1966,37,18,28,37,0.04,0.2,11,?,?
3/05/1966,37,31,34,31,0.08,0.0,10,?,?
3/06/1966,33,9,21,44,0.16,1.4,7,?,?
3/07/1966,11,-1,5,60,0.36,4.1,8,?,?
3/08/1966,13,-4,5,60,0.00,0.0,9,?,?
3/09/1966,19,10,15,50,0.00,0.0,9,?,?
3/10/1966,17,1,9,56,0.54,3.4,9,?,?
3/11/1966,11,-7,2,63,0.00,0.0,9,?,?
3/12/1966,20,2,11,54,0.19,1.8,9,?,?
3/13/1966,14,4,9,56,0.36,3.0,12,?,?
3/14/1966,18,2,10,55,0.00,0.0,11,?,?
3/15/1966,15,-16,0,65,0.00,0.0,10,?,?
3/16/1966,21,-4,9,56,0.00,0.0,10,?,?
3/17/1966,20,12,16,49,0.02,0.2,10,?,?
3/18/1966,36,15,26,39,0.25,1.0,10,?,?
