% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-vineyard

@attribute Year {1983,1984,1985,1986,1987,1988,1989,1990,1991}
@attribute Row INTEGER
@attribute Group INTEGER
@attribute Lugs REAL

@data
1985,5,2,4
1985,6,2,3
1985,7,2,2.5
1985,8,2,2
1985,9,3,2
1985,10,3,2
1985,11,3,3
1985,12,3,2.5
1985,13,4,2
1985,14,4,3
1985,15,4,3
1985,16,4,3
1985,17,5,4
1985,18,5,5
1985,19,5,6
1985,20,5,8
1985,21,6,7
1985,22,6,11
1985,23,6,9
1985,24,6,10
1985,25,7,10
1985,26,7,11
1985,27,7,14
1985,28,7,15
1985,29,8,12
1985,30,8,10
1985,31,8,12
1985,32,8,13
1985,33,9,9.5
1985,34,9,8
1985,35,9,8
1985,36,9,9
1985,37,10,11
1985,38,10,13
1985,39,10,16
1985,40,10,18
1985,41,11,12
1985,42,11,15
1985,43,11,14
1985,44,11,20
1985,45,12,14
1985,46,12,7
1985,47,12,7.5
1985,48,12,4
1985,49,13,5
1985,50,13,3
1985,51,13,1.5
1985,52,13,0.5
1986,1,1,4.5
1986,2,1,9
1986,3,1,9
1986,4,1,9.5
1986,5,2,10
1986,6,2,7
1986,7,2,7.5
1986,8,2,7
1986,9,3,8
1986,10,3,7
1986,11,3,7
1986,12,3,5
1986,13,4,5
1986,14,4,4
1986,15,4,3
1986,16,4,4
1986,17,5,4
1986,18,5,4
1986,19,5,4.5
1986,20,5,3.5
1986,21,6,6
1986,22,6,5
1986,23,6,6
1986,24,6,6
1986,25,7,5
1986,26,7,7
1986,27,7,6
1986,28,7,5
1986,29,8,3
1986,30,8,5
1986,31,8,4
1986,32,8,4.5
1986,33,9,4
1986,34,9,4
1986,35,9,4
1986,36,9,4
1986,37,10,6
1986,38,10,6
1986,39,10,4
1986,40,10,3
1986,41,11,3.5
1986,42,11,8
1986,43,11,6
1986,44,11,4.5
1986,45,12,6
1986,46,12,4.5
1986,47,12,4
1986,48,12,3
1986,49,13,3
1986,50,13,2
1986,51,13,1
1986,52,13,0.5
1987,1,1,1.5
1987,2,1,4
1987,3,1,6
1987,4,1,7
1987,5,2,7
1987,6,2,10
1987,7,2,7
1987,8,2,7
1987,9,3,10
1987,10,3,7
1987,11,3,6
1987,12,3,7
1987,13,4,9
1987,14,4,9
1987,15,4,8
1987,16,4,12
1987,17,5,13
1987,18,5,15
1987,19,5,17
1987,20,5,20
1987,21,6,16
1987,22,6,17
1987,23,6,15
1987,24,6,12
1987,25,7,13
1987,26,7,13
1987,27,7,18
1987,28,7,20
1987,29,8,16
1987,30,8,16
1987,31,8,16
1987,32,8,16
1987,33,9,15
1987,34,9,11
1987,35,9,11
1987,36,9,11
1987,37,10,8.5
1987,38,10,10
1987,39,10,6
1987,40,10,10
1987,41,11,8
1987,42,11,8
1987,43,11,6
1987,44,11,8
1987,45,12,6
1987,46,12,6
1987,47,12,7
1987,48,12,3
1987,49,13,3
1987,50,13,2
1987,51,13,2
1987,52,13,2
1988,1,1,1.5
1988,2,1,4
1988,3,1,6
1988,4,1,5
1988,5,2,6
1988,6,2,5
1988,7,2,5
1988,8,2,6
1988,9,3,8
1988,10,3,5
1988,11,3,8
1988,12,3,7
1988,13,4,10
1988,14,4,9
1988,15,4,9
1988,16,4,9
1988,17,5,7
1988,18,5,7
1988,19,5,7
1988,20,5,7
1988,21,6,8
1988,22,6,9
1988,23,6,7
1988,24,6,8
1988,25,7,8
1988,26,7,8
1988,27,7,8
1988,28,7,8
1988,29,8,7
1988,30,8,7
1988,31,8,10
1988,32,8,8
1988,33,9,7
1988,34,9,7
1988,35,9,11
1988,36,9,11
1988,37,10,12
1988,38,10,10
1988,39,10,11
1988,40,10,11
1988,41,11,11
1988,42,11,8.5
1988,43,11,10
1988,44,11,9
1988,45,12,11
1988,46,12,7
1988,47,12,5
1988,48,12,3
1988,49,13,3
1988,50,13,1.5
1988,51,13,1
1988,52,13,0
1989,1,1,1
1989,2,1,3
1989,3,1,3
1989,4,1,3
1989,5,2,5
1989,6,2,3.5
1989,7,2,3
1989,8,2,4.5
1989,9,3,5
1989,10,3,5
1989,11,3,6
1989,12,3,5
1989,13,4,4
1989,14,4,6
1989,15,4,5
1989,16,4,6.5
1989,17,5,4
1989,18,5,6
1989,19,5,3
1989,20,5,6
1989,21,6,5
1989,22,6,8
1989,23,6,4.5
1989,24,6,4
1989,25,7,4
1989,26,7,6.5
1989,27,7,4
1989,28,7,5
1989,29,8,3
1989,30,8,5.5
1989,31,8,3
1989,32,8,2
1989,33,9,2
1989,34,9,2
1989,35,9,2
1989,36,9,3
1989,37,10,2
1989,38,10,2
1989,39,10,2
1989,40,10,2
1989,41,11,2
1989,42,11,1.5
1989,43,11,1.5
1989,44,11,1.5
1989,45,12,1
1989,46,12,1
1989,47,12,1
1989,48,12,1
1989,49,13,0.5
1989,50,13,0.5
1989,51,13,0
1989,52,13,0
1990,1,1,5
1990,2,1,8
1990,3,1,11
1990,4,1,9
1990,5,2,9.5
1990,6,2,10
1990,7,2,12
1990,8,2,10
1990,9,3,11.5
1990,10,3,10
1990,11,3,11
1990,12,3,10
1990,13,4,10.5
1990,14,4,10
1990,15,4,11
1990,16,4,11
1990,17,5,11.5
1990,18,5,12
1990,19,5,12.5
1990,20,5,13
1990,21,6,11
1990,22,6,11
1990,23,6,11
1990,24,6,13
1990,25,7,11
1990,26,7,13
1990,27,7,12
1990,28,7,14
1990,29,8,10
1990,30,8,13
1990,31,8,8
1990,32,8,7.5
1990,33,9,8
1990,34,9,8
1990,35,9,7
1990,36,9,10
1990,37,10,7
1990,38,10,10
1990,39,10,8
1990,40,10,10
1990,41,11,9
1990,42,11,10
1990,43,11,8
1990,44,11,11
1990,45,12,10
1990,46,12,7
1990,47,12,5
1990,48,12,7
1990,49,13,8
1990,50,13,6
1990,51,13,7.5
1990,52,13,2.5
1991,1,1,9.5
1991,2,1,17.5
1991,3,1,18
1991,4,1,20
1991,5,2,20.5
1991,6,2,20
1991,7,2,19
1991,8,2,21
1991,9,3,19
1991,10,3,26
1991,11,3,20
1991,12,3,23
1991,13,4,22
1991,14,4,20
1991,15,4,20
1991,16,4,24
1991,17,5,23
1991,18,5,23
1991,19,5,20
1991,20,5,21
1991,21,6,23
1991,22,6,23
1991,23,6,22
1991,24,6,22
1991,25,7,21
1991,26,7,20
1991,27,7,18
1991,28,7,21
1991,29,8,16
1991,30,8,16
1991,31,8,15
1991,32,8,16
1991,33,9,15
1991,34,9,15
1991,35,9,17
1991,36,9,17
1991,37,10,21
1991,38,10,17
1991,39,10,20
1991,40,10,16
1991,41,11,20
1991,42,11,15
1991,43,11,17
1991,44,11,17
1991,45,12,20
1991,46,12,15
1991,47,12,14
1991,48,12,12
1991,49,13,11
1991,50,13,11
1991,51,13,8.5
1991,52,13,2.5
