%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%

@relation arsenic-female-lung

@attribute group {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43}
@attribute conc INTEGER
@attribute age REAL
@attribute at.risk INTEGER
@attribute events INTEGER

@data
13,73,77.5,192,0
13,73,82.5,142,0
14,80,22.5,2149,0
14,80,27.5,1318,0
14,80,32.5,1018,0
14,80,37.5,857,0
14,80,42.5,988,0
14,80,47.5,1018,0
14,80,52.5,879,0
14,80,57.5,709,0
14,80,62.5,483,1
14,80,67.5,417,0
14,80,72.5,220,0
14,80,77.5,137,1
14,80,82.5,139,0
15,100,22.5,1439,0
15,100,27.5,744,0
15,100,32.5,415,0
15,100,37.5,510,0
15,100,42.5,564,0
15,100,47.5,573,0
15,100,52.5,467,0
15,100,57.5,402,0
15,100,62.5,385,0
15,100,67.5,335,0
15,100,72.5,254,0
15,100,77.5,168,0
15,100,82.5,136,1
16,110,22.5,1110,0
16,110,27.5,586,0
16,110,32.5,477,1
16,110,37.5,502,0
16,110,42.5,575,0
16,110,47.5,521,0
16,110,52.5,447,2
16,110,57.5,392,0
16,110,62.5,302,0
16,110,67.5,195,2
16,110,72.5,101,0
16,110,77.5,65,0
16,110,82.5,37,0
17,110,22.5,718,0
17,110,27.5,449,0
17,110,32.5,290,0
17,110,37.5,329,0
17,110,42.5,397,0
17,110,47.5,401,1
17,110,52.5,333,0
17,110,57.5,251,0
17,110,62.5,203,1
17,110,67.5,175,0
17,110,72.5,156,0
17,110,77.5,62,0
17,110,82.5,69,0
18,123,22.5,674,0
18,123,27.5,436,0
18,123,32.5,360,0
18,123,37.5,440,0
18,123,42.5,385,0
18,123,47.5,396,0
18,123,52.5,363,0
18,123,57.5,313,1
18,123,62.5,280,0
18,123,67.5,272,0
18,123,72.5,210,1
18,123,77.5,113,0
18,123,82.5,49,0
19,126,22.5,1196,0
19,126,27.5,501,0
19,126,32.5,443,0
19,126,37.5,510,0
19,126,42.5,609,0
19,126,47.5,610,0
19,126,52.5,544,1
19,126,57.5,453,0
19,126,62.5,408,0
19,126,67.5,295,0
19,126,72.5,226,0
19,126,77.5,142,0
19,126,82.5,89,1
20,256,22.5,1949,0
20,256,27.5,981,0
20,256,32.5,755,0
20,256,37.5,787,0
20,256,42.5,912,0
20,256,47.5,872,1
20,256,52.5,759,0
20,256,57.5,540,0
20,256,62.5,464,0
20,256,67.5,352,0
20,256,72.5,262,0
20,256,77.5,111,0
20,256,82.5,125,0
21,256,22.5,686,0
21,256,27.5,240,0
21,256,32.5,277,0
21,256,37.5,254,0
21,256,42.5,234,0
21,256,47.5,376,0
21,256,52.5,362,0
21,256,57.5,241,0
21,256,62.5,285,1
21,256,67.5,188,0
21,256,72.5,165,1
21,256,77.5,61,0
21,256,82.5,43,0
22,259,22.5,1100,0
22,259,27.5,572,0
22,259,32.5,401,0
22,259,37.5,365,0
22,259,42.5,521,1
22,259,47.5,453,0
22,259,52.5,480,0
22,259,57.5,389,1
22,259,62.5,289,0
22,259,67.5,193,1
22,259,72.5,131,0
22,259,77.5,101,1
22,259,82.5,84,0
23,307,22.5,547,0
23,307,27.5,320,0
23,307,32.5,164,0
23,307,37.5,196,0
23,307,42.5,266,0
23,307,47.5,299,1
23,307,52.5,271,0
23,307,57.5,196,1
23,307,62.5,153,0
23,307,67.5,122,0
23,307,72.5,94,1
23,307,77.5,56,0
23,307,82.5,74,0
24,307,22.5,793,0
24,307,27.5,466,0
24,307,32.5,356,0
24,307,37.5,490,0
24,307,42.5,556,0
24,307,47.5,520,0
24,307,52.5,388,0
24,307,57.5,268,0
24,307,62.5,237,0
24,307,67.5,188,0
24,307,72.5,127,0
24,307,77.5,60,0
24,307,82.5,56,1
25,350,22.5,659,0
25,350,27.5,346,0
25,350,32.5,273,0
25,350,37.5,283,0
25,350,42.5,385,1
25,350,47.5,390,0
25,350,52.5,292,0
25,350,57.5,262,0
25,350,62.5,243,0
25,350,67.5,236,0
25,350,72.5,102,0
25,350,77.5,68,0
25,350,82.5,47,0
26,398,22.5,538,0
26,398,27.5,272,0
26,398,32.5,211,0
26,398,37.5,232,0
26,398,42.5,274,0
26,398,47.5,321,0
26,398,52.5,292,0
26,398,57.5,175,0
26,398,62.5,153,0
26,398,67.5,122,1
26,398,72.5,96,0
26,398,77.5,23,0
26,398,82.5,14,0
27,406,22.5,770,0
27,406,27.5,315,0
27,406,32.5,239,0
27,406,37.5,355,0
27,406,42.5,412,0
27,406,47.5,420,0
27,406,52.5,367,0
27,406,57.5,331,0
27,406,62.5,284,0
27,406,67.5,209,0
27,406,72.5,114,1
27,406,77.5,47,0
27,406,82.5,23,0
28,448,22.5,1043,0
28,448,27.5,457,0
28,448,32.5,241,0
28,448,37.5,331,0
28,448,42.5,404,0
28,448,47.5,423,0
28,448,52.5,387,0
28,448,57.5,312,0
28,448,62.5,252,2
28,448,67.5,202,1
28,448,72.5,130,0
28,448,77.5,49,0
28,448,82.5,28,0
29,467,22.5,1114,0
29,467,27.5,720,0
29,467,32.5,632,0
29,467,37.5,566,0
29,467,42.5,523,0
29,467,47.5,487,0
29,467,52.5,447,0
29,467,57.5,315,1
29,467,62.5,212,0
29,467,67.5,133,0
29,467,72.5,72,0
29,467,77.5,45,0
29,467,82.5,32,0
30,504,22.5,1029,0
30,504,27.5,406,0
30,504,32.5,384,0
30,504,37.5,499,0
30,504,42.5,654,0
30,504,47.5,585,0
30,504,52.5,460,0
30,504,57.5,397,0
30,504,62.5,330,1
30,504,67.5,235,0
30,504,72.5,171,0
30,504,77.5,152,0
30,504,82.5,95,0
31,520,22.5,905,0
31,520,27.5,364,0
31,520,32.5,263,0
31,520,37.5,342,0
31,520,42.5,442,1
31,520,47.5,497,1
31,520,52.5,444,0
31,520,57.5,344,1
31,520,62.5,276,1
31,520,67.5,193,0
31,520,72.5,130,1
31,520,77.5,68,0
31,520,82.5,45,0
32,520,22.5,841,0
32,520,27.5,541,0
32,520,32.5,401,0
32,520,37.5,321,0
32,520,42.5,440,0
32,520,47.5,420,0
32,520,52.5,391,1
32,520,57.5,315,1
32,520,62.5,293,0
32,520,67.5,174,3
32,520,72.5,134,0
32,520,77.5,78,0
32,520,82.5,83,0
33,529,22.5,1971,0
33,529,27.5,842,0
33,529,32.5,693,0
33,529,37.5,840,0
33,529,42.5,899,0
33,529,47.5,934,0
33,529,52.5,705,0
33,529,57.5,535,1
33,529,62.5,448,0
33,529,67.5,361,0
33,529,72.5,261,3
33,529,77.5,138,1
33,529,82.5,62,0
34,538,22.5,851,0
34,538,27.5,383,0
34,538,32.5,318,0
34,538,37.5,330,0
34,538,42.5,306,1
34,538,47.5,328,0
34,538,52.5,328,0
34,538,57.5,297,0
34,538,62.5,230,0
34,538,67.5,121,1
34,538,72.5,87,0
34,538,77.5,52,1
34,538,82.5,36,1
35,544,22.5,719,0
35,544,27.5,338,0
35,544,32.5,194,0
35,544,37.5,228,0
35,544,42.5,328,0
35,544,47.5,340,0
35,544,52.5,304,0
35,544,57.5,260,0
35,544,62.5,209,0
35,544,67.5,146,0
35,544,72.5,136,0
35,544,77.5,104,0
35,544,82.5,107,0
36,599,22.5,1351,0
36,599,27.5,930,0
36,599,32.5,776,0
36,599,37.5,746,0
36,599,42.5,885,0
36,599,47.5,701,1
36,599,52.5,632,3
36,599,57.5,609,1
36,599,62.5,412,0
36,599,67.5,383,0
36,599,72.5,253,0
36,599,77.5,214,0
36,599,82.5,85,0
37,650,22.5,408,0
37,650,27.5,215,0
37,650,32.5,133,0
37,650,37.5,157,0
37,650,42.5,220,0
37,650,47.5,261,0
37,650,52.5,222,1
37,650,57.5,156,0
37,650,62.5,104,1
37,650,67.5,82,0
37,650,72.5,74,0
37,650,77.5,51,0
37,650,82.5,25,0
38,683,22.5,674,0
38,683,27.5,276,0
38,683,32.5,199,0
38,683,37.5,278,0
38,683,42.5,335,0
38,683,47.5,351,1
38,683,52.5,301,0
38,683,57.5,214,1
38,683,62.5,162,0
38,683,67.5,102,0
38,683,72.5,45,0
38,683,77.5,19,0
38,683,82.5,27,0
39,693,22.5,2378,0
39,693,27.5,1562,0
39,693,32.5,1415,0
39,693,37.5,1063,0
39,693,42.5,1059,0
39,693,47.5,1118,0
39,693,52.5,893,0
39,693,57.5,687,1
39,693,62.5,455,1
39,693,67.5,352,0
39,693,72.5,177,1
39,693,77.5,45,1
39,693,82.5,59,0
40,694,22.5,1197,0
40,694,27.5,531,0
40,694,32.5,467,0
40,694,37.5,620,1
40,694,42.5,720,1
40,694,47.5,654,1
40,694,52.5,509,2
40,694,57.5,386,1
40,694,62.5,293,2
40,694,67.5,177,1
40,694,72.5,89,0
40,694,77.5,60,0
40,694,82.5,17,0
41,698,22.5,798,0
41,698,27.5,385,0
41,698,32.5,279,0
41,698,37.5,351,0
41,698,42.5,434,0
41,698,47.5,398,1
41,698,52.5,355,1
41,698,57.5,272,2
41,698,62.5,175,1
41,698,67.5,84,1
41,698,72.5,26,0
41,698,77.5,9,0
41,698,82.5,10,1
42,717,22.5,1126,0
42,717,27.5,590,0
42,717,32.5,379,0
42,717,37.5,384,0
42,717,42.5,488,0
42,717,47.5,517,1
42,717,52.5,434,0
42,717,57.5,312,2
42,717,62.5,210,1
42,717,67.5,168,0
42,717,72.5,131,0
42,717,77.5,98,0
42,717,82.5,40,0
43,934,22.5,1861,0
43,934,27.5,987,0
43,934,32.5,928,0
43,934,37.5,759,0
43,934,42.5,758,0
43,934,47.5,815,0
43,934,52.5,798,1
43,934,57.5,544,4
43,934,62.5,401,3
43,934,67.5,236,1
43,934,72.5,126,1
43,934,77.5,70,0
43,934,82.5,59,0
