% Data Sets for 'Regression Models for Time Series Analysis' by
% B. Kedem and K. Fokianos, Wiley 2002. Submitted by Kostas
% Fokianos (fokianos@ucy.ac.cy) [8/Nov/02] (176k)
%
% Note: - attribute names were generated manually
%       - information about data taken from here:
%         http://lib.stat.cmu.edu/datasets/
%
% File: ../data/rmftsa/sleepdata.txt
%
% Sleep state measurements of a newborn infant (column 2) together 
% with his heart rate (column 1) and temperature (column 3).
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation rmftsa-sleepdata

@attribute heart_rate INTEGER
@attribute sleep_state {1,2,3,4}
@attribute temperature REAL

@data
118,3,37.1
119,3,37.1
121,3,37.1
130,3,37.1
115,3,37.1
124,3,37.1
129,3,37.1
125,3,37.05
120,3,37.05
118,3,37.05
121,3,37.1
120,3,37.1
119,3,37.05
127,3,37.05
120,3,37.05
124,3,37.05
121,3,37.05
120,3,37.1
122,3,37.05
118,3,37.05
112,3,37.05
115,3,37.05
120,3,37.05
123,3,37.05
125,3,37.05
113,2,37.05
124,2,37.05
133,2,37.05
117,2,37.05
121,2,37.05
121,2,37.05
117,2,37.1
124,2,37.1
133,2,37.05
129,2,37.05
120,2,37.05
129,2,37.05
114,2,37.05
119,2,37.05
123,2,37.05
131,2,37.05
114,2,37.05
124,1,37.05
123,1,37.05
128,1,37.05
117,1,37.05
118,1,37.05
118,1,37.05
120,1,37.05
119,1,37.05
120,1,37.05
124,1,37.05
126,1,37.05
124,1,37.05
122,1,37.05
122,1,37.05
118,1,37.05
123,1,37.05
122,1,37.05
124,1,37.05
124,1,37.05
125,1,37.05
124,1,37.05
122,1,37.05
122,1,37.05
124,1,37
124,1,37
121,1,37
123,1,37
123,1,37
124,1,37
121,1,37
124,1,37
124,1,37
123,1,37
120,1,36.95
123,1,36.95
121,1,36.95
124,1,36.95
122,1,36.95
123,1,36.95
124,1,36.95
122,1,36.95
122,1,36.95
119,1,36.95
123,1,36.95
120,1,36.95
121,1,36.95
120,1,36.95
122,1,36.95
119,1,36.95
119,1,36.95
116,1,36.95
119,1,36.9
117,1,36.9
120,1,36.9
110,1,36.9
112,1,36.9
112,1,36.9
117,1,36.9
113,1,36.9
114,1,36.9
121,1,36.9
123,1,36.9
111,3,36.85
117,3,36.9
129,3,36.9
119,3,36.85
110,3,36.9
117,3,36.9
114,3,36.85
113,3,36.9
117,3,36.85
115,4,36.85
140,4,36.9
130,4,36.9
122,4,36.9
123,4,36.9
106,4,36.9
118,4,36.9
126,4,36.9
117,4,36.9
117,4,36.9
119,4,36.9
132,4,36.9
142,4,36.9
115,4,36.9
128,4,36.9
112,4,36.9
112,4,36.9
118,4,36.9
138,4,36.9
109,4,36.9
118,4,36.9
119,4,36.9
113,4,36.95
124,4,36.95
128,4,36.95
122,4,36.95
123,4,36.95
114,4,36.95
113,4,36.95
133,4,36.95
116,4,36.95
119,4,36.95
111,3,36.95
113,3,36.95
121,3,36.95
121,3,36.95
124,3,37
112,3,37
122,3,37
118,3,37
127,3,37
115,3,37
119,3,36.95
123,3,36.95
111,3,36.95
116,3,37
124,3,36.95
123,3,36.95
123,3,36.95
116,3,37
124,3,36.95
132,3,36.95
116,3,36.95
126,1,36.95
114,1,36.95
120,1,36.95
125,1,36.95
121,1,36.95
119,1,36.95
124,1,36.95
126,1,36.95
127,1,36.95
117,1,36.95
122,1,36.95
119,1,36.95
120,1,36.95
128,1,36.95
125,1,36.95
130,1,36.95
130,1,36.95
124,1,36.95
118,1,36.95
122,1,36.95
116,1,36.95
122,1,36.95
119,1,36.95
120,1,36.95
128,1,36.95
125,1,36.95
128,1,36.95
126,1,36.95
120,1,36.95
120,1,36.95
118,1,36.95
113,1,36.95
119,1,36.95
118,1,36.95
123,1,36.95
123,1,36.95
122,1,36.9
123,1,36.95
122,1,36.9
122,1,36.9
117,1,36.9
119,1,36.9
123,1,36.9
120,1,36.9
115,1,36.9
120,1,36.9
122,1,36.9
118,1,36.9
102,1,36.9
111,1,36.9
130,1,36.9
121,1,36.9
140,1,36.9
122,2,36.9
114,2,36.9
118,2,36.9
122,2,36.9
125,3,36.9
126,3,36.9
123,3,36.9
127,3,36.9
114,3,36.9
122,3,36.9
124,3,36.9
124,3,36.9
134,4,36.9
133,4,36.9
117,3,36.9
120,3,36.9
114,3,36.9
124,3,36.9
127,3,36.95
123,3,36.9
137,3,36.9
140,3,36.9
120,3,36.9
120,3,36.95
126,3,36.95
121,3,36.9
135,3,36.9
123,3,36.9
138,4,36.9
147,4,36.9
157,4,36.95
164,4,36.95
155,4,36.95
151,4,36.95
151,4,36.95
153,4,36.95
148,4,36.95
152,4,36.95
152,4,36.95
150,4,36.95
150,4,36.95
144,4,37
140,4,37
148,4,37
136,4,37
132,4,37
137,4,37
146,4,37
151,4,37
136,4,37.05
137,4,37.05
143,4,37.05
133,4,37.05
128,4,37.05
132,4,37.05
147,4,37.05
152,4,37.05
130,4,37.05
129,4,37.05
132,4,37.05
140,4,37.1
132,4,37.1
129,4,37.1
156,4,37.15
157,4,37.15
158,4,37.15
161,4,37.15
163,4,37.15
159,4,37.2
157,4,37.2
156,4,37.2
155,4,37.2
164,4,37.2
147,4,37.2
132,4,37.2
135,4,37.2
137,4,37.2
128,4,37.2
133,4,37.25
133,4,37.25
130,4,37.25
132,4,37.3
140,4,37.3
144,4,37.3
162,4,37.3
143,4,37.3
158,4,37.3
157,4,37.3
155,4,37.3
147,2,37.3
140,2,37.3
128,3,37.3
131,3,37.35
124,3,37.35
130,3,37.35
130,3,37.35
138,3,37.35
135,3,37.35
134,3,37.35
140,3,37.35
139,3,37.35
130,3,37.35
127,3,37.35
129,3,37.35
147,3,37.35
137,3,37.35
129,3,37.35
141,3,37.35
135,3,37.35
135,3,37.35
141,3,37.35
147,3,37.35
137,3,37.35
138,3,37.35
144,3,37.35
140,3,37.35
135,3,37.35
148,3,37.35
154,1,37.35
136,1,37.35
130,1,37.35
132,1,37.35
131,1,37.35
131,1,37.3
136,1,37.35
139,1,37.3
131,1,37.3
136,1,37.3
133,1,37.3
134,1,37.3
136,1,37.3
134,1,37.3
131,1,37.3
132,1,37.3
124,1,37.3
129,1,37.3
130,1,37.3
133,1,37.3
132,1,37.3
130,1,37.25
124,1,37.25
125,1,37.25
127,1,37.25
127,1,37.25
130,1,37.25
128,1,37.2
129,1,37.2
129,1,37.2
129,1,37.2
127,1,37.2
129,1,37.2
130,1,37.2
129,1,37.2
129,1,37.2
129,1,37.2
129,1,37.15
131,1,37.15
130,1,37.15
129,1,37.15
127,1,37.15
128,1,37.15
129,1,37.15
130,1,37.15
128,1,37.15
126,1,37.1
126,1,37.1
127,1,37.1
129,1,37.1
129,1,37.1
129,1,37.1
129,1,37.05
128,1,37.05
128,1,37.05
128,1,37.05
126,1,37.05
126,1,37.05
127,1,37.05
125,1,37.05
128,1,37.05
124,1,37.05
127,1,37
118,1,37
118,1,37
120,1,37
124,1,36.95
135,1,36.95
126,3,36.95
132,3,36.95
135,3,36.95
129,3,36.95
131,3,36.95
126,3,36.95
117,3,36.95
136,3,36.95
137,3,36.95
126,3,36.95
126,3,36.95
124,3,36.95
122,3,36.95
122,3,37
124,3,37
124,3,36.95
138,3,37
145,3,37
124,3,37
128,3,37
125,3,37
125,3,37
142,3,37.05
125,3,37.05
123,3,37.05
130,3,37.05
133,3,37.05
135,3,37.05
119,3,37.05
130,3,37.05
131,3,37.05
128,3,37.05
139,3,37.05
132,3,37.05
124,3,37.05
128,3,37.05
136,3,37.05
126,3,37.05
129,3,37.05
129,3,37.05
130,3,37.05
123,3,37.05
129,3,37.05
129,3,37.05
137,3,37.05
125,3,37.05
137,3,37.05
141,3,37.05
121,2,37.05
124,2,37.05
126,2,37.05
132,2,37.05
124,2,37.1
127,2,37.05
138,2,37.05
120,2,37.05
127,2,37.05
125,2,37.05
132,2,37.05
150,2,37.05
120,2,37.05
127,2,37.05
133,2,37.1
123,2,37.05
134,2,37.05
135,2,37.05
121,2,37.05
143,2,37.05
119,2,37.05
130,2,37.05
132,2,37.05
127,2,37.05
135,2,37.05
123,1,37.05
137,1,37.05
122,1,37.05
128,1,37.1
133,1,37.1
125,1,37.1
132,1,37.1
132,1,37.05
138,1,37.05
121,1,37.1
131,1,37.05
120,1,37.05
127,1,37.1
126,1,37.1
126,1,37.1
129,1,37.1
131,1,37.1
127,1,37.1
129,1,37.1
128,1,37.1
128,1,37.1
125,1,37.1
126,1,37.1
124,1,37.1
125,1,37.05
125,1,37.05
128,1,37.05
126,1,37.05
121,1,37.05
125,1,37.05
127,1,37.05
129,1,37.05
127,1,37.05
124,1,37.05
125,1,37.05
124,1,37.05
126,1,37.05
126,1,37.05
128,1,37.05
128,1,37.05
128,1,37.05
125,1,37.05
122,1,37.05
126,1,37.05
128,1,37.05
126,1,37.05
125,1,37
123,1,37
120,1,37
115,1,37
114,1,37
117,1,36.95
123,1,36.95
109,1,36.95
120,1,36.95
125,1,36.95
117,4,36.95
135,4,36.95
134,4,36.95
140,4,36.95
147,4,36.95
135,4,36.95
113,4,36.95
154,4,36.95
132,4,36.95
101,4,36.95
118,4,37
109,4,37.05
101,4,37.05
118,4,37.05
125,4,37.05
112,4,37.05
115,4,37.05
111,4,37.05
124,4,37.1
126,4,37.1
130,4,37.1
135,4,37.15
124,4,37.1
114,4,37.1
119,4,37.15
119,4,37.1
116,4,37.15
136,4,37.15
130,4,37.15
137,4,37.15
139,4,37.15
110,4,37.15
120,4,37.15
136,4,37.15
141,4,37.15
126,4,37.15
111,4,37.15
113,4,37.1
114,4,37.15
133,4,37.15
143,4,37.15
114,4,37.15
117,4,37.15
132,4,37.15
100,4,37.15
158,4,37.15
161,4,37.2
133,4,37.2
148,4,37.2
150,4,37.2
113,4,37.2
116,4,37.2
117,4,37.2
120,4,37.2
120,4,37.2
120,4,37.2
120,4,37.2
111,4,37.2
118,4,37.2
131,4,37.2
132,4,37.2
145,4,37.2
118,4,37.2
126,4,37.2
146,4,37.2
167,4,37.2
163,4,37.2
163,4,37.25
165,4,37.25
166,4,37.25
161,4,37.25
134,4,37.25
133,4,37.25
132,4,37.25
131,4,37.25
130,4,37.25
160,4,37.25
153,4,37.25
155,4,37.3
139,4,37.3
127,4,37.3
125,4,37.3
118,4,37.3
141,4,37.3
158,4,37.3
163,4,37.3
166,4,37.3
166,4,37.3
166,4,37.3
153,4,37.3
157,4,37.3
155,4,37.3
163,4,37.3
128,4,37.3
129,4,37.3
130,4,37.3
131,4,37.3
152,4,37.3
169,4,37.3
160,4,37.3
162,4,37.3
168,4,37.3
182,4,37.3
160,4,37.3
159,4,37.3
146,4,37.25
155,4,37.25
153,2,37.25
156,2,37.25
168,2,37.25
145,2,37.25
146,3,37.25
167,3,37.25
167,3,37.2
151,3,37.2
152,3,37.2
140,3,37.2
168,3,37.2
158,3,37.2
157,2,37.2
164,2,37.2
159,2,37.2
137,2,37.2
157,2,37.2
134,2,37.2
151,2,37.15
128,2,37.15
160,2,37.15
143,2,37.2
152,2,37.15
148,2,37.2
161,1,37.2
148,1,37.2
152,1,37.15
144,1,37.15
152,1,37.15
147,1,37.15
153,1,37.15
155,1,37.15
147,1,37.15
143,1,37.15
131,1,37.15
147,1,37.15
169,1,37.15
125,1,37.15
168,1,37.15
146,1,37.15
148,1,37.15
151,1,37.1
161,1,37.1
134,1,37.1
148,1,37.1
152,1,37.1
158,1,37.1
146,1,37.1
165,1,37.1
146,1,37.1
153,1,37.1
160,1,37.1
162,1,37.1
140,1,37.1
156,1,37.1
148,1,37.1
150,1,37.1
151,1,37.1
155,1,37.1
157,1,37.1
152,1,37.1
162,1,37.05
161,1,37.05
151,1,37.05
169,1,37.05
155,1,37.05
150,1,37.05
147,1,37.05
153,1,37.05
187,1,37.05
144,1,37.05
136,1,37.05
140,1,37.05
148,1,37.05
154,1,37.05
144,1,37.05
151,1,37.05
148,1,37.05
164,1,37.1
153,1,37.1
163,1,37.1
138,1,37.1
140,1,37.1
169,1,37.1
150,1,37.1
151,3,37.1
160,3,37.1
146,3,37.05
150,3,37.1
164,3,37.1
166,3,37.15
144,3,37.15
158,3,37.15
159,3,37.15
161,3,37.15
151,3,37.15
170,3,37.15
163,3,37.15
136,3,37.15
150,3,37.15
150,3,37.15
140,3,37.15
156,3,37.15
142,3,37.15
155,3,37.15
151,3,37.2
153,3,37.2
161,3,37.2
156,3,37.2
145,3,37.2
160,3,37.2
146,3,37.2
146,3,37.2
166,3,37.2
150,3,37.2
162,3,37.2
150,3,37.2
157,3,37.25
141,3,37.25
156,3,37.25
174,3,37.25
163,3,37.25
162,3,37.3
171,3,37.3
163,3,37.3
166,3,37.3
156,3,37.3
171,3,37.3
165,3,37.3
140,3,37.3
165,2,37.3
161,2,37.3
159,2,37.3
156,2,37.3
131,2,37.3
153,2,37.3
152,2,37.3
156,2,37.3
149,2,37.3
148,2,37.3
172,2,37.3
176,2,37.3
181,3,37.3
140,3,37.3
133,3,37.3
144,3,37.3
154,3,37.3
131,3,37.3
148,3,37.3
159,3,37.3
165,3,37.3
157,3,37.3
171,3,37.3
164,3,37.3
172,4,37.3
163,4,37.35
166,4,37.35
170,4,37.35
166,4,37.35
162,4,37.35
145,4,37.35
140,4,37.35
152,4,37.35
125,4,37.35
141,4,37.35
163,4,37.35
143,2,37.35
141,2,37.35
153,2,37.35
142,2,37.35
142,2,37.35
143,2,37.3
149,2,37.3
140,1,37.3
154,1,37.3
138,1,37.3
144,1,37.3
147,1,37.3
143,1,37.3
138,1,37.3
140,1,37.3
141,1,37.3
144,1,37.3
148,1,37.3
158,1,37.3
161,1,37.3
125,1,37.3
138,1,37.3
114,1,37.3
126,1,37.3
134,1,37.3
132,1,37.25
143,1,37.25
106,1,37.25
141,1,37.25
143,1,37.25
128,1,37.25
117,1,37.25
127,1,37.25
130,1,37.2
126,1,37.2
129,1,37.2
117,1,37.2
139,1,37.2
126,1,37.2
138,1,37.2
128,1,37.2
142,1,37.2
146,1,37.2
107,1,37.2
126,1,37.2
152,1,37.2
131,1,37.15
127,1,37.15
129,1,37.15
126,1,37.15
131,1,37.15
128,1,37.15
130,1,37.15
132,1,37.15
141,1,37.15
135,1,37.15
153,1,37.15
161,1,37.15
151,1,37.15
140,1,37.15
148,4,37.15
157,4,37.15
131,4,37.15
148,4,37.15
152,4,37.15
177,4,37.15
164,4,37.15
180,4,37.15
174,4,37.15
153,4,37.15
175,4,37.15
161,4,37.15
