% Dow-Jones Industrial Average (DJIA) closing values from 1900 to 1993.
% First column contains the date (yymmdd), second column contains the value.
% These data are used in: E.Ley (1996): "On the Peculiar Distribution of the
% U.S. Stock Indices;" forthcoming in  The American Statistician.
% ---
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%

@relation djdc0093

@attribute date DATE yyMMdd
@attribute closing_value REAL

@data
020214,64.61
020215,64.67
020217,65.30
020218,64.81
020219,65.53
020220,64.68
020221,64.98
020222,-9.00
020224,65.30
020225,65.58
020226,65.20
020227,65.27
020228,64.81
020301,65.13
020303,65.30
020304,64.77
020305,64.97
020306,66.16
020307,65.56
020308,65.60
020310,65.11
020311,65.32
020312,64.88
020313,65.26
020314,65.38
020315,65.59
020317,65.59
020318,65.96
020319,66.50
020320,67.25
020321,67.52
020322,67.31
020324,67.30
020325,67.01
020326,67.25
020327,67.21
020328,-9.00
020329,-9.00
020331,67.19
020401,67.20
020402,67.17
020403,67.01
020404,66.82
020405,66.84
020407,66.60
020408,66.60
020409,66.76
020410,65.95
020411,66.18
020412,66.33
020414,66.03
020415,66.46
020416,66.86
020417,67.44
020418,67.75
020419,67.61
020421,67.10
020422,66.20
020423,66.84
020424,68.44
020425,67.62
020426,67.63
020428,67.31
020429,67.37
020430,67.01
020501,67.11
020502,65.89
020503,66.25
020505,66.06
020506,67.01
020507,66.36
020508,66.66
020509,66.40
020510,65.95
020512,65.51
020513,65.90
020514,65.95
020515,66.06
020516,65.35
020517,64.85
020519,64.73
020520,65.33
020521,65.86
020522,65.88
020523,66.44
020524,66.82
020526,66.46
020527,66.25
020528,66.21
020529,66.42
020530,-9.00
020531,-9.00
020602,66.26
020603,66.17
020604,65.96
020605,65.32
020606,65.46
020607,65.49
020609,65.68
020610,66.11
020611,66.20
020612,65.94
020613,65.94
020614,66.05
020616,65.90
020617,65.89
020618,65.43
020619,64.91
020620,64.76
020621,64.78
020623,64.20
020624,63.67
020625,63.82
020626,64.04
020627,63.73
020628,63.87
020630,64.31
020701,64.25
020702,64.76
020703,64.89
020704,-9.00
020705,-9.00
020707,65.09
020708,64.51
020709,64.27
020710,64.65
020711,64.50
020712,64.45
020714,64.64
020715,64.79
020716,65.55
020717,65.90
020718,66.03
020719,66.04
020721,66.01
020722,66.44
020723,66.50
020724,66.37
020725,66.59
020726,66.59
020728,67.28
020729,66.51
020730,66.56
020731,65.82
020801,65.91
020802,65.83
020804,65.96
020805,66.12
020806,66.47
020807,66.52
020808,66.53
020809,-9.00
020811,66.19
020812,66.07
020813,66.48
020814,66.78
020815,66.59
020816,66.50
020818,66.38
020819,66.46
020820,66.28
020821,65.33
020822,65.80
020823,65.80
020825,65.87
020826,65.79
020827,66.19
020828,66.28
020829,66.28
020830,-9.00
020901,-9.00
020902,66.55
020903,66.64
020904,66.60
020905,66.80
020906,66.56
020908,67.12
020909,67.03
020910,66.89
020911,66.67
020912,66.05
020913,66.30
020915,66.11
020916,66.40
020917,66.89
020918,67.25
020919,67.77
020920,67.40
020922,66.91
020923,65.45
020924,65.42
020925,65.81
020926,66.34
020927,66.28
020929,64.07
020930,66.15
021001,66.45
021002,66.44
021003,66.58
021004,65.71
021006,64.21
021007,63.84
021008,64.28
021009,65.06
021010,64.76
021011,63.84
021013,64.17
021014,65.02
021015,65.37
021016,66.10
021017,66.57
021018,66.50
021020,66.58
021021,65.81
021022,65.89
021023,65.78
021024,66.37
021025,66.44
021027,66.06
021028,65.92
021029,65.13
021030,65.43
021031,66.06
021101,65.80
021103,65.55
021104,-9.00
021105,64.55
021106,64.37
021107,64.19
021108,62.90
021110,62.35
021111,60.96
021112,61.61
021113,61.81
021114,60.62
021115,61.60
021117,62.19
021118,61.61
021119,61.69
021120,62.04
021121,62.94
021122,62.87
021124,62.79
021125,62.15
021126,61.41
021127,-9.00
021128,62.14
021129,62.05
021201,62.53
021202,62.22
021203,62.06
021204,61.90
021205,61.76
021206,61.73
021208,62.14
021209,62.19
021210,60.71
021211,59.97
021212,60.19
021213,59.85
021215,59.57
021216,59.71
021217,60.10
021218,61.18
021219,61.36
021220,61.87
021222,62.67
021223,62.00
021224,62.61
021225,-9.00
021226,63.21
021227,63.69
021229,63.30
021230,63.96
021231,64.29
030101,-9.00
030102,64.60
030103,64.65
030105,65.38
030106,65.88
030107,65.73
030108,66.33
030109,66.21
030110,65.85
030112,65.65
030113,64.98
030114,64.89
030115,64.50
030116,64.80
030117,65.07
030119,64.52
030120,64.19
030121,65.00
030122,64.83
030123,64.30
030124,64.31
030126,64.90
030127,65.36
030128,65.37
030129,65.55
030130,64.96
030131,65.18
030202,65.53
030203,66.06
030204,66.40
030205,66.55
030206,66.38
030207,66.47
030209,67.10
030210,67.22
030211,67.19
030212,-9.00
030213,66.93
030214,67.05
030216,67.70
030217,67.69
030218,67.32
030219,66.69
030220,67.26
030221,-9.00
030223,-9.00
030224,67.43
030225,67.09
030226,66.52
030227,66.16
030228,66.19
030302,66.01
030303,65.68
030304,65.81
030305,64.70
030306,64.82
030307,64.13
030309,64.42
030310,63.90
030311,64.28
030312,63.92
030313,64.11
030314,64.31
030316,64.19
030317,64.51
030318,64.86
030319,65.40
030320,65.75
030321,65.69
030323,65.39
030324,64.43
030325,63.96
030326,64.15
030327,63.45
030328,63.44
030330,62.86
030331,63.64
030401,63.47
030402,62.63
030403,62.55
030404,62.28
030406,62.40
030407,62.09
030408,62.28
030409,62.32
030410,-9.00
030411,-9.00
030413,60.79
030414,62.12
030415,62.14
030416,62.87
030417,63.84
030418,64.14
030420,64.43
030421,64.56
030422,-9.00
030423,64.21
030424,64.07
030425,63.79
030427,63.48
030428,63.77
030429,64.09
030430,63.78
030501,63.84
030502,63.86
030504,64.06
030505,64.01
030506,63.89
030507,63.55
030508,63.70
030509,63.55
030511,63.76
030512,63.50
030513,63.63
030514,63.01
030515,62.69
030516,62.12
030518,62.28
030519,61.25
030520,61.95
030521,62.56
030522,61.40
030523,60.67
030525,61.53
030526,61.16
030527,60.52
030528,60.27
030529,-9.00
030530,59.59
030601,59.87
030602,59.90
030603,58.86
030604,58.53
030605,58.50
030606,57.97
030608,57.37
030609,56.78
030610,58.28
030611,59.38
030612,58.94
030613,57.75
030615,57.84
030616,57.55
030617,56.89
030618,57.48
030619,57.12
030620,56.65
030622,57.61
030623,57.60
030624,57.31
030625,57.27
030626,57.64
030627,58.77
030629,59.08
030630,58.81
030701,58.08
030702,58.21
030703,-9.00
030704,58.08
030706,57.84
030707,57.95
030708,56.97
030709,56.61
030710,55.89
030711,56.12
030713,54.92
030714,54.37
030715,54.10
030716,54.73
030717,54.10
030718,52.76
030720,51.45
030721,52.01
030722,50.83
030723,49.84
030724,49.08
030725,50.11
030727,51.52
030728,51.02
030729,50.72
030730,50.76
030731,50.75
030801,50.57
030803,49.22
030804,47.98
030805,49.36
030806,48.64
030807,47.38
030808,48.06
030810,48.67
030811,50.31
030812,51.36
030813,52.80
030814,52.97
030815,53.88
030817,53.61
030818,51.43
030819,51.76
030820,51.45
030821,51.63
030822,51.36
030824,52.27
030825,52.32
030826,52.38
030827,53.02
030828,53.17
030829,53.19
030831,52.75
030901,52.60
030902,51.85
030903,51.93
030904,-9.00
030905,-9.00
030907,51.53
030908,51.39
030909,51.00
030910,50.93
030911,50.80
030912,50.16
030914,50.30
030915,49.82
030916,49.44
030917,48.73
030918,48.50
030919,48.45
030921,48.43
030922,47.75
030923,46.62
030924,46.64
030925,46.19
030926,45.09
030928,46.67
030929,45.80
030930,47.06
031001,47.62
031002,47.53
031003,47.05
031005,47.23
031006,46.96
031007,45.51
031008,45.34
031009,44.71
031010,43.67
031012,43.20
031013,42.42
031014,42.25
031015,44.41
031016,45.07
031017,43.19
031019,44.75
031020,45.10
031021,44.77
031022,44.59
031023,44.48
031024,45.33
031026,45.41
031027,45.46
031028,45.21
031029,44.82
031030,45.13
031031,45.46
031102,-9.00
031103,44.90
031104,43.60
031105,43.94
031106,43.71
031107,42.15
031109,43.34
031110,42.83
031111,42.93
031112,43.41
031113,43.13
031114,43.36
031116,43.50
031117,44.20
031118,44.53
031119,44.19
031120,44.15
031121,44.55
031123,43.64
031124,43.91
031125,-9.00
031126,44.25
031127,44.14
031128,44.33
031130,44.35
031201,45.50
031202,46.23
031203,46.50
031204,46.06
031205,47.40
031207,47.34
031208,47.34
031209,46.35
031210,46.12
031211,46.03
031212,46.70
031214,46.83
031215,46.86
031216,46.70
031217,47.16
031218,47.33
031219,46.95
031221,46.63
031222,47.55
031223,47.75
031224,-9.00
031225,-9.00
031226,48.64
031228,49.35
031229,49.06
031230,49.11
040101,-9.00
040102,47.38
040104,47.77
040105,48.09
040106,47.07
040107,47.16
040108,47.92
040109,48.02
040111,47.82
040112,47.63
040113,47.77
040114,47.85
040115,47.97
040116,48.08
040118,48.82
040119,48.65
040120,48.58
040121,49.38
040122,49.94
040123,49.91
040125,49.61
040126,50.18
040127,50.50
040128,49.42
040129,49.11
040130,48.91
040201,49.03
040202,48.69
040203,48.40
040204,48.35
040205,47.87
040206,47.65
040208,48.10
040209,46.98
040210,47.76
040211,48.16
040212,-9.00
040213,48.11
040215,48.86
040216,48.39
040217,48.16
040218,47.90
040219,47.51
040220,47.31
040222,-9.00
040223,46.86
040224,46.71
040225,47.47
040226,47.14
040227,47.08
040229,47.53
040301,47.86
040302,47.87
040303,48.00
040304,47.90
040305,47.28
040307,47.18
040308,47.72
040309,47.04
040310,46.93
040311,46.46
040312,46.41
040314,46.50
040315,47.73
040316,47.77
040317,48.30
040318,47.91
040319,48.76
040321,48.26
040322,48.50
040323,48.62
040324,48.16
040325,48.15
040326,48.21
040328,48.68
040329,48.60
040330,48.77
040331,49.12
040401,-9.00
040402,49.08
040404,48.68
040405,48.89
040406,49.30
040407,49.98
040408,49.59
040409,49.65
040411,49.98
040412,49.58
040413,49.73
040414,49.41
040415,49.35
040416,49.35
040418,49.33
040419,48.92
040420,48.62
040421,49.10
040422,49.09
040423,49.12
040425,48.65
040426,48.81
040427,48.95
040428,48.86
040429,48.90
040430,48.80
040502,48.42
040503,48.33
040504,48.60
040505,48.56
040506,48.71
040507,48.59
040509,48.71
040510,48.42
040511,48.30
040512,47.93
040513,47.72
040514,47.72
040516,47.56
040517,47.67
040518,47.43
040519,47.45
040520,47.53
040521,48.06
040523,48.53
040524,48.01
040525,48.14
040526,48.23
040527,48.26
040528,-9.00
040530,-9.00
040531,48.18
040601,48.26
040602,48.10
040603,48.17
040604,48.17
040606,48.08
040607,48.27
040608,48.60
040609,48.66
040610,49.06
040611,49.12
040613,48.88
040614,49.05
040615,48.86
040616,48.83
040617,48.73
040618,48.89
040620,48.97
040621,49.03
040622,49.46
040623,49.47
040624,49.32
040625,49.12
040627,49.29
040628,49.12
040629,49.08
040630,49.25
040701,49.31
040702,-9.00
040704,-9.00
040705,49.62
040706,50.09
040707,49.96
040708,50.44
040709,50.84
040711,50.67
040712,51.37
040713,51.73
040714,51.87
040715,52.06
040716,52.50
040718,52.50
040719,52.96
040720,52.80
040721,52.47
040722,52.65
040723,53.14
040725,52.98
040726,52.27
040727,52.43
040728,52.39
040729,52.12
040730,52.13
040801,52.73
040802,52.68
040803,52.75
040804,52.70
040805,52.85
040806,52.90
040808,52.73
040809,53.03
040810,53.13
040811,53.28
040812,53.39
040813,54.03
040815,53.98
040816,53.54
040817,54.08
040818,54.25
040819,53.76
040820,53.35
040822,53.13
040823,53.91
040824,54.13
040825,54.41
040826,54.44
040827,54.47
040829,54.61
040830,54.44
040831,54.57
040901,54.94
040902,55.15
040903,-9.00
040905,-9.00
040906,55.38
040907,55.38
040908,55.94
040909,56.54
040910,57.43
040912,56.46
040913,56.32
040914,57.10
040915,56.66
040916,57.19
040917,56.58
040919,56.55
040920,55.67
040921,56.00
040922,55.72
040923,56.31
040924,56.50
040926,56.91
040927,57.14
040928,57.44
040929,57.11
040930,57.59
041001,58.05
041003,58.65
041004,58.27
041005,58.18
041006,57.59
041007,57.96
041008,58.22
041010,58.75
041011,59.03
041012,59.23
041013,60.16
041014,61.42
041015,62.07
041017,62.06
041018,62.16
041019,61.72
041020,62.12
041021,62.35
041022,62.97
041024,63.17
041025,62.68
041026,62.63
041027,61.97
041028,63.39
041029,64.54
041031,63.03
041101,63.72
041102,64.76
041103,64.87
041104,65.31
041105,65.25
041107,66.21
041108,-9.00
041109,67.07
041110,67.58
041111,68.03
041112,68.19
041114,68.78
041115,69.17
041116,69.11
041117,70.08
041118,69.69
041119,70.01
041121,70.62
041122,69.80
041123,69.89
041124,-9.00
041125,70.83
041126,71.56
041128,72.36
041129,72.35
041130,72.02
041201,72.05
041202,72.46
041203,72.86
041205,73.23
041206,72.57
041207,68.97
041208,68.00
041209,69.22
041210,70.01
041212,65.77
041213,66.42
041214,66.17
041215,66.62
041216,68.73
041217,68.47
041219,68.48
041220,69.09
041221,68.38
041222,67.87
041223,68.47
041224,-9.00
041226,-9.00
041227,69.13
041228,70.20
041229,71.07
041230,70.05
041231,69.61
050102,-9.00
050103,70.39
050104,70.22
050105,70.23
050106,69.46
050107,69.23
050109,69.52
050110,70.10
050111,70.03
050112,69.61
050113,70.31
050114,70.70
050116,70.94
050117,70.67
050118,70.98
050119,70.67
050120,70.63
050121,70.14
050123,69.45
050124,69.39
050125,68.76
050126,70.07
050127,70.43
050128,70.82
050130,70.77
050131,71.33
050201,70.91
050202,71.19
050203,71.47
050204,71.53
050206,71.80
050207,72.63
050208,72.54
050209,72.26
050210,73.27
050211,73.34
050213,-9.00
050214,73.48
050215,73.57
050216,73.63
050217,73.92
050218,74.23
050220,74.94
050221,75.51
050222,-9.00
050223,75.34
050224,76.11
050225,76.16
050227,75.75
050228,75.15
050301,76.06
050302,76.81
050303,75.92
050304,76.14
050306,76.33
050307,76.02
050308,76.29
050309,77.36
050310,77.88
050311,77.72
050313,78.22
050314,78.17
050315,77.89
050316,77.81
050317,77.18
050318,77.27
050320,78.02
050321,77.51
050322,76.44
050323,77.42
050324,79.27
050325,78.89
050327,78.58
050328,78.13
050329,78.70
050330,79.23
050331,80.02
050401,80.67
050403,81.13
050404,81.31
050405,82.17
050406,82.76
050407,83.12
050408,82.45
050410,82.20
050411,81.93
050412,82.64
050413,83.23
050414,83.75
050415,83.12
050417,83.41
050418,82.60
050419,83.44
050420,80.95
050421,-9.00
050422,-9.00
050424,79.97
050425,80.85
050426,81.26
050427,78.53
050428,77.87
050429,76.08
050501,76.90
050502,77.77
050503,76.51
050504,74.68
050505,76.82
050506,76.17
050508,74.52
050509,75.78
050510,76.34
050511,77.15
050512,78.05
050513,77.45
050515,77.46
050516,76.89
050517,76.65
050518,74.63
050519,73.87
050520,73.22
050522,71.37
050523,71.57
050524,73.75
050525,72.91
050526,73.01
050527,72.91
050529,74.12
050530,-9.00
050531,74.32
050601,73.17
050602,73.31
050603,73.43
050605,73.51
050606,72.53
050607,72.94
050608,73.05
050609,73.27
050610,74.68
050612,74.61
050613,73.95
050614,74.11
050615,73.76
050616,76.96
050617,73.36
050619,73.68
050620,74.43
050621,75.19
050622,75.70
050623,75.78
050624,75.69
050626,77.45
050627,77.45
050628,77.78
050629,77.19
050630,76.87
050701,77.48
050703,78.70
050704,-9.00
050705,78.65
050706,79.33
050707,79.54
050708,79.47
050710,79.47
050711,78.02
050712,79.09
050713,78.93
050714,78.56
050715,78.68
050717,79.10
050718,79.10
050719,79.26
050720,79.60
050721,79.30
050722,78.05
050724,78.69
050725,78.36
050726,78.66
050727,79.27
050728,80.46
050729,80.64
050731,81.70
050801,81.35
050802,81.31
050803,81.63
050804,81.90
050805,81.75
050807,82.20
050808,81.90
050809,81.83
050810,82.03
050811,82.20
050812,82.01
050814,82.12
050815,82.35
050816,82.45
050817,82.73
050818,82.03
050819,82.14
050821,82.26
050822,82.10
050823,82.82
050824,82.61
050825,82.37
050826,82.61
050828,82.22
050829,82.79
050830,82.05
050831,80.63
050901,79.66
050902,79.71
050904,-9.00
050905,80.73
050906,78.92
050907,78.60
050908,79.78
050909,79.02
050911,79.06
050912,80.13
050913,79.43
050914,80.11
050915,80.52
050916,81.11
050918,81.38
050919,80.77
050920,81.45
050921,81.77
050922,81.91
050923,81.78
050925,81.05
050926,81.30
050927,81.13
050928,80.92
050929,81.39
050930,81.90
051002,82.17
051003,82.62
051004,82.38
051005,82.78
051006,82.55
051007,82.02
051009,81.65
051010,82.02
051011,80.83
051012,80.96
051013,81.54
051014,81.47
051016,81.48
051017,81.43
051018,80.96
051019,81.41
051020,82.27
051021,82.83
051023,82.86
051024,82.84
051025,82.66
051026,82.08
051027,81.97
051028,81.51
051030,82.33
051031,83.77
051101,84.14
051102,83.92
051103,83.78
051104,82.93
051106,83.32
051107,-9.00
051108,82.17
051109,81.56
051110,82.57
051111,82.25
051113,80.83
051114,81.67
051115,82.77
051116,82.47
051117,84.19
051118,84.53
051120,85.22
051121,85.84
051122,86.11
051123,85.93
051124,85.81
051125,86.94
051127,89.43
051128,89.77
051129,89.89
051130,-9.00
051201,89.62
051202,89.50
051204,89.56
051205,90.82
051206,90.91
051207,92.37
051208,93.20
051209,92.84
051211,93.59
051212,95.13
051213,95.68
051214,95.47
051215,96.05
051216,96.09
051218,95.71
051219,95.64
051220,94.61
051221,94.20
051222,94.43
051223,95.05
051225,-9.00
051226,95.84
051227,94.04
051228,95.37
051229,96.56
051230,96.20
060101,-9.00
060102,95.00
060103,95.63
060104,94.44
060105,96.09
060106,97.09
060108,98.03
060109,97.85
060110,98.09
060111,99.06
060112,100.25
060113,99.79
060115,100.80
060116,100.81
060117,101.67
060118,102.26
060119,103.00
060120,102.72
060122,102.37
060123,102.50
060124,102.53
060125,102.66
060126,102.90
060127,101.86
060129,99.32
060130,98.31
060131,100.69
060201,101.55
060202,101.71
060203,99.77
060205,100.05
060206,100.39
060207,99.60
060208,99.50
060209,99.93
060210,99.76
060212,-9.00
060213,100.08
060214,99.27
060215,97.88
060216,97.31
060217,96.51
060219,97.31
060220,97.07
060221,96.25
060222,-9.00
060223,96.76
060224,96.87
060226,97.38
060227,96.44
060228,93.94
060301,93.83
060302,93.86
060303,93.85
