% DATA-SETS FROM DIGGLE, P.J. (1990). TIME SERIES : A BIOSTATISTICAL
% INTRODUCTION. Oxford University Press. 
%
% Table: Table A6 Protein content of milk samples
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation diggle-Table_A6_Protein_content_of_milk_samples

@attribute col_1 REAL
@attribute col_2 REAL
@attribute col_3 REAL
@attribute col_4 REAL
@attribute col_5 REAL
@attribute col_6 REAL
@attribute col_7 REAL
@attribute col_8 REAL
@attribute col_9 REAL
@attribute col_10 REAL
@attribute col_11 REAL
@attribute col_12 REAL
@attribute col_13 REAL
@attribute col_14 REAL
@attribute col_15 REAL
@attribute col_16 REAL
@attribute col_17 REAL
@attribute col_18 REAL
@attribute col_19 REAL
@attribute col_20 {barley,lupins,mixed}

@data
3.81,4.00,3.57,3.47,3.52,3.63,3.45,3.50,3.71,3.55,3.13,3.04,3.31,3.22,2.92,0.00,0.00,0.00,0.00,barley
3.62,3.22,3.62,3.02,3.28,3.15,3.52,3.22,3.45,3.51,3.38,3.00,2.94,3.52,3.48,3.02,0.00,0.00,0.00,barley
3.66,3.66,3.28,3.10,2.66,3.00,3.15,3.01,3.50,3.29,3.16,3.33,3.50,3.46,3.48,3.98,3.70,3.36,3.55,barley
4.44,3.85,3.55,3.22,3.40,3.28,3.42,3.35,3.01,3.55,3.70,3.73,3.65,3.78,3.82,3.75,3.95,3.85,3.72,barley
4.23,3.75,3.82,3.60,4.09,3.84,3.62,3.36,3.65,3.41,3.15,3.68,3.54,3.75,3.72,4.05,3.60,3.88,3.98,barley
3.82,0.00,3.27,3.33,3.25,2.97,3.57,3.43,3.50,3.58,3.70,3.55,3.58,3.70,3.60,3.42,3.33,3.53,3.40,barley
3.53,3.10,3.90,3.48,3.35,3.35,3.65,3.56,3.27,3.61,3.66,3.47,3.34,3.32,3.22,3.18,0.00,0.00,0.00,barley
4.47,3.86,3.34,3.49,3.74,3.24,3.71,3.46,3.88,3.60,4.00,3.83,3.80,4.12,3.98,3.77,3.52,3.50,3.42,barley
3.93,3.79,3.68,3.58,3.76,3.66,3.57,3.85,3.75,3.37,3.00,3.24,3.44,3.23,0.00,0.00,0.00,0.00,0.00,barley
3.27,3.84,3.46,3.44,3.40,3.50,3.63,3.47,3.32,3.47,3.40,3.27,3.74,3.76,3.68,3.68,3.93,3.80,3.52,barley
3.32,3.61,3.25,3.48,3.58,3.47,3.60,3.51,3.74,3.50,3.08,2.77,3.22,3.35,3.14,0.00,0.00,0.00,0.00,barley
3.38,3.38,3.10,3.09,3.15,2.77,3.40,3.25,3.35,3.57,3.80,3.70,3.44,3.51,3.78,3.52,3.26,3.52,3.25,mixed
3.80,3.51,3.19,3.11,3.35,3.46,3.20,3.52,3.66,3.87,3.85,3.90,4.06,3.93,3.40,3.85,3.93,3.52,3.62,mixed
4.17,3.71,3.32,3.10,3.07,3.11,3.29,3.00,3.32,3.25,3.50,3.31,3.51,3.54,3.45,3.59,3.38,3.44,3.18,mixed
4.59,3.86,3.62,3.60,3.65,3.75,3.71,3.73,3.62,3.63,3.40,3.44,3.45,3.20,0.00,0.00,0.00,0.00,0.00,mixed
4.07,3.45,3.56,3.10,3.92,3.20,3.28,3.36,3.28,3.25,2.99,3.10,3.05,2.70,0.00,0.00,0.00,0.00,0.00,mixed
4.32,3.37,3.47,3.46,3.31,3.57,3.38,3.01,3.66,3.46,3.21,3.76,3.44,3.47,3.45,3.89,3.65,3.59,3.80,mixed
3.56,3.14,3.60,3.36,3.37,3.44,3.57,3.55,3.57,3.68,3.58,3.65,3.29,3.53,3.26,2.89,0.00,0.00,0.00,mixed
3.67,3.33,3.20,2.72,2.95,3.07,2.90,3.56,3.19,3.35,3.26,3.40,3.18,3.43,3.57,3.49,3.59,3.27,3.48,mixed
4.15,3.55,3.27,3.27,3.65,3.58,3.55,3.47,3.48,3.55,3.30,3.32,3.22,2.97,0.00,0.00,0.00,0.00,0.00,mixed
3.51,3.90,2.75,3.37,3.51,3.64,3.55,3.60,3.70,3.60,3.65,3.55,3.30,3.15,2.90,0.00,0.00,0.00,0.00,mixed
4.20,3.31,3.30,3.32,3.29,3.17,3.04,3.09,3.14,3.04,3.46,3.12,3.30,3.09,3.45,3.47,3.30,3.45,3.42,mixed
4.12,3.56,3.58,3.47,3.20,3.50,3.40,3.56,3.02,3.25,3.44,3.52,3.72,3.55,3.65,3.30,3.35,3.20,2.84,mixed
3.52,3.64,3.10,3.19,2.95,2.75,3.15,3.20,3.03,3.53,3.42,3.46,3.33,3.53,3.59,4.42,3.99,3.88,3.80,mixed
4.08,3.62,3.55,3.43,3.13,3.28,3.13,3.28,3.02,3.48,3.34,3.25,3.38,3.68,3.40,3.54,3.66,3.52,3.40,mixed
4.02,3.45,3.28,3.31,3.37,3.26,3.25,3.48,3.23,3.03,2.80,3.17,3.04,3.05,0.00,0.00,0.00,0.00,0.00,mixed
3.18,3.12,2.87,3.04,2.88,3.08,3.15,3.22,3.20,3.46,3.33,3.26,3.40,3.36,3.97,3.20,3.10,3.19,3.10,mixed
4.11,4.09,3.54,3.15,3.57,3.23,3.10,3.30,3.60,3.74,3.55,3.66,3.68,3.81,3.97,3.78,3.41,3.15,3.32,mixed
3.27,3.10,3.14,2.80,3.34,3.11,3.17,3.15,3.52,3.35,3.30,3.55,0.00,3.11,2.94,3.25,3.05,2.95,0.00,mixed
3.27,3.40,3.50,3.38,3.29,3.60,3.50,3.33,3.66,3.68,3.20,3.10,3.32,3.26,3.08,0.00,0.00,0.00,0.00,mixed
3.97,3.60,3.50,3.50,3.58,3.58,3.57,3.65,3.71,3.37,3.15,3.20,3.32,3.01,0.00,0.00,0.00,0.00,0.00,mixed
3.31,3.42,3.24,3.38,3.39,3.70,3.47,3.49,3.64,3.50,3.27,2.95,3.04,3.21,3.04,0.00,0.00,0.00,0.00,mixed
4.12,3.25,3.14,3.00,3.20,3.55,3.45,3.63,3.50,3.90,3.30,3.70,3.92,3.87,3.25,3.12,3.04,3.45,3.38,mixed
3.92,3.55,3.74,3.46,3.45,3.48,3.26,3.60,3.50,2.86,3.65,3.17,3.18,3.05,0.00,0.00,0.00,0.00,0.00,mixed
3.78,3.40,3.17,3.28,3.27,3.69,3.24,3.30,3.24,2.91,3.00,2.85,3.41,3.30,3.22,3.55,3.62,3.59,3.45,mixed
4.00,3.74,3.48,3.75,3.78,3.77,3.70,3.91,3.94,3.94,3.10,3.10,3.30,3.27,0.00,0.00,0.00,0.00,0.00,mixed
4.37,4.06,3.77,3.40,3.30,3.27,3.05,3.10,3.72,3.25,3.55,3.70,3.65,3.80,3.78,4.08,4.10,3.57,0.00,mixed
3.79,4.07,3.35,3.46,3.20,3.99,3.54,0.00,3.25,3.30,3.18,3.21,3.75,3.67,3.77,3.76,3.75,3.92,3.50,mixed
3.69,3.38,3.00,3.50,3.09,3.30,3.07,3.22,2.97,3.60,3.42,3.59,3.77,3.74,3.70,3.78,3.78,3.77,3.53,lupins
4.20,3.35,3.37,3.07,2.82,3.05,3.12,2.85,3.20,3.38,3.25,3.26,3.30,3.17,3.40,3.41,3.28,3.42,3.25,lupins
3.31,3.04,2.80,3.17,2.92,2.84,2.87,3.13,2.87,3.05,3.00,3.26,3.22,3.31,3.20,3.18,3.09,3.30,3.12,lupins
3.13,3.34,3.34,3.25,2.79,3.00,3.11,3.27,3.59,3.28,3.49,3.60,3.63,3.60,3.60,3.10,3.38,3.34,3.03,lupins
3.73,3.61,3.82,3.61,3.45,3.36,3.02,3.37,3.44,3.00,3.42,3.18,3.37,3.45,3.64,3.68,3.56,3.63,3.46,lupins
4.32,3.70,3.62,3.50,3.57,3.28,3.38,3.40,3.33,3.45,3.22,3.28,3.24,2.93,0.00,0.00,0.00,0.00,0.00,lupins
3.04,2.89,2.78,2.84,2.61,3.00,3.08,3.12,2.80,3.25,3.13,3.15,3.04,2.95,3.08,2.76,2.89,2.75,2.66,lupins
3.84,3.51,3.39,2.88,3.41,3.49,3.30,3.37,3.47,3.30,3.21,3.64,3.55,3.43,3.17,3.23,3.15,2.95,0.00,lupins
3.98,3.30,3.02,2.99,2.84,2.92,3.08,2.85,3.17,3.15,3.15,2.87,3.07,3.05,3.10,3.21,3.13,3.17,2.78,lupins
4.18,4.12,3.84,3.65,3.65,3.54,3.52,3.41,3.44,3.32,3.23,2.70,3.03,2.88,2.68,0.00,0.00,0.00,0.00,lupins
4.20,3.40,3.55,3.45,3.45,3.30,3.25,3.43,3.38,3.07,2.94,3.17,3.18,3.00,0.00,0.00,0.00,0.00,0.00,lupins
4.10,3.59,3.52,3.43,0.00,3.33,3.57,3.90,3.74,3.51,3.29,3.31,3.31,3.22,0.00,0.00,0.00,0.00,0.00,lupins
3.25,3.75,3.42,3.38,3.52,2.72,3.38,3.75,3.90,3.76,4.22,3.14,3.30,3.35,3.17,0.00,0.00,0.00,0.00,lupins
3.34,3.00,3.10,3.31,3.30,3.26,3.00,3.12,3.00,2.45,2.55,2.97,2.79,2.88,0.00,0.00,0.00,0.00,0.00,lupins
3.50,3.35,3.05,2.92,2.83,3.15,3.03,2.95,3.35,3.11,2.57,2.67,3.04,3.05,2.87,0.00,0.00,0.00,0.00,lupins
4.13,3.12,2.96,2.86,2.74,3.24,3.06,2.86,2.90,3.20,3.02,2.87,3.20,3.14,2.84,2.75,2.96,2.90,2.71,lupins
3.21,3.52,3.43,3.45,3.48,4.30,0.00,0.00,3.96,0.00,3.57,3.29,3.52,3.35,3.20,0.00,0.00,0.00,0.00,lupins
3.90,3.19,3.53,3.45,3.31,3.45,2.83,3.50,3.60,3.76,3.60,3.18,3.00,3.29,3.15,2.96,0.00,0.00,0.00,lupins
3.50,3.12,3.33,3.22,3.20,2.82,2.74,2.77,3.02,2.80,3.08,3.04,3.17,3.26,3.51,3.30,3.26,3.70,3.40,lupins
4.10,3.42,3.58,3.11,3.06,3.10,3.13,3.01,3.05,3.05,2.88,3.52,3.58,3.36,3.40,3.58,3.19,3.29,3.65,lupins
2.69,3.39,3.20,3.06,3.46,3.14,3.05,2.94,2.88,3.00,3.25,3.38,3.20,3.13,3.27,3.42,3.04,3.20,3.52,lupins
4.30,3.37,3.47,3.37,3.10,3.64,0.00,3.55,3.60,3.55,3.45,3.59,3.75,3.75,3.18,2.92,3.32,3.31,3.18,lupins
4.06,3.85,3.93,4.00,4.20,3.90,3.65,4.13,3.84,3.46,3.22,3.33,3.37,3.20,0.00,0.00,0.00,0.00,0.00,lupins
3.88,3.81,3.44,3.14,3.10,3.35,3.27,3.10,3.00,3.12,3.15,2.90,3.51,3.21,3.40,3.49,3.60,3.45,3.50,lupins
3.95,3.22,3.38,3.20,3.40,3.34,3.20,3.50,3.35,3.25,2.97,3.14,3.20,3.04,0.00,0.00,0.00,0.00,0.00,lupins
3.67,3.26,3.35,3.28,2.94,3.30,3.27,3.61,3.60,3.78,3.55,3.55,4.00,3.87,3.71,3.47,3.15,3.35,3.09,lupins
4.27,3.95,3.85,3.85,3.95,3.45,3.70,3.95,3.92,3.34,3.45,3.19,3.67,3.25,0.00,0.00,0.00,0.00,0.00,lupins
