% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-apnea3

@attribute Automatic {CA,H,MA,N,OA}
@attribute Scorer_2 {CA,H,MA,N,OA}
@attribute Subject INTEGER
@attribute Count INTEGER

@data
MA,H,12,0
CA,H,12,10
N,OA,12,0
H,OA,12,0
OA,OA,12,0
MA,OA,12,0
CA,OA,12,0
N,MA,12,0
H,MA,12,0
OA,MA,12,0
MA,MA,12,0
CA,MA,12,0
N,CA,12,1075
H,CA,12,0
OA,CA,12,0
MA,CA,12,0
CA,CA,12,522
N,N,13,18194
H,N,13,0
OA,N,13,16
MA,N,13,0
CA,N,13,465
N,H,13,0
H,H,13,0
OA,H,13,0
MA,H,13,0
CA,H,13,0
N,OA,13,0
H,OA,13,0
OA,OA,13,0
MA,OA,13,0
CA,OA,13,0
N,MA,13,0
H,MA,13,0
OA,MA,13,0
MA,MA,13,0
CA,MA,13,0
N,CA,13,284
H,CA,13,0
OA,CA,13,0
MA,CA,13,0
CA,CA,13,41
N,N,14,10066
H,N,14,1087
OA,N,14,0
MA,N,14,15
CA,N,14,1591
N,H,14,812
H,H,14,3719
OA,H,14,0
MA,H,14,71
CA,H,14,592
N,OA,14,0
H,OA,14,0
OA,OA,14,0
MA,OA,14,0
CA,OA,14,19
N,MA,14,57
H,MA,14,475
OA,MA,14,0
MA,MA,14,0
CA,MA,14,0
N,CA,14,1417
H,CA,14,1158
OA,CA,14,12
MA,CA,14,0
CA,CA,14,2909
N,N,15,7577
H,N,15,20
OA,N,15,23
MA,N,15,14
CA,N,15,726
N,H,15,0
H,H,15,26
OA,H,15,0
MA,H,15,0
CA,H,15,0
N,OA,15,61
H,OA,15,79
OA,OA,15,88
MA,OA,15,0
CA,OA,15,261
N,MA,15,0
H,MA,15,0
OA,MA,15,0
MA,MA,15,0
CA,MA,15,0
N,CA,15,250
H,CA,15,0
OA,CA,15,12
MA,CA,15,13
CA,CA,15,350
N,N,16,8510
H,N,16,24
OA,N,16,58
MA,N,16,18
CA,N,16,494
N,H,16,49
H,H,16,0
OA,H,16,29
MA,H,16,0
CA,H,16,15
N,OA,16,241
H,OA,16,70
OA,OA,16,338
MA,OA,16,58
CA,OA,16,303
N,MA,16,0
H,MA,16,0
OA,MA,16,0
MA,MA,16,0
CA,MA,16,0
N,CA,16,1180
H,CA,16,26
OA,CA,16,46
MA,CA,16,11
CA,CA,16,1080
N,N,17,17211
H,N,17,125
OA,N,17,0
MA,N,17,0
CA,N,17,621
N,H,17,309
H,H,17,590
OA,H,17,0
MA,H,17,0
CA,H,17,511
N,OA,17,12
H,OA,17,0
OA,OA,17,11
MA,OA,17,0
CA,OA,17,0
N,MA,17,5
H,MA,17,16
OA,MA,17,0
MA,MA,17,0
CA,MA,17,24
N,CA,17,1051
H,CA,17,43
OA,CA,17,0
MA,CA,17,0
CA,CA,17,1471
N,N,18,14354
H,N,18,0
OA,N,18,0
MA,N,18,0
CA,N,18,486
N,H,18,5
H,H,18,0
OA,H,18,0
MA,H,18,0
CA,H,18,9
N,OA,18,0
H,OA,18,0
OA,OA,18,0
MA,OA,18,0
CA,OA,18,12
N,MA,18,0
H,MA,18,0
OA,MA,18,0
MA,MA,18,0
CA,MA,18,0
N,CA,18,112
H,CA,18,0
OA,CA,18,0
MA,CA,18,0
CA,CA,18,22
