% This file contains the data in "The MU284 Population" from Appendix B of
% the book "Model Assisted Survey Sampling" by Sarndal, Swensson and Wretman,
% published by Springer-Verlag, New York, 1992. The data set contains 284
% observations on 11 variables, plus a line with variabel names. Please
% consult the mentioned appendix for more information about this data set.
% The data were scanned from the book and interpreted with OCR-technique.
% Please note that errors may occur in such a process. The result was
% macro-edited against "The Clustered MU284 Population" in Appendix C of the
% book. Please use the data at your own risk - I take no responsibility for
% any problems eventual remaining errors will cause you.
% four typos in the first printing of the book have been corrected:
% Label 107, ME84 should be 1100, not 1110
% Label 141, RMT85 should be 396, not 369
% Label 220, ME84 should be 461, not 491
% Label 229, ME84 should be 1239, not 1238.
% The data was submitted to StatLib with the permission of Springer-Verlag
% (ref: John Kimmel).
% Esbjorn Ohlsson
% Stockholm University
% esbj@matematik.su.se
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation mu284

@attribute LABEL INTEGER
@attribute P85 INTEGER
@attribute P75 INTEGER
@attribute RMT85 INTEGER
@attribute CS82 INTEGER
@attribute SS82 INTEGER
@attribute S82 INTEGER
@attribute ME84 INTEGER
@attribute REV84 INTEGER
@attribute REG INTEGER
@attribute CL INTEGER

@data
198,7,7,50,1,18,35,325,688,2,35
199,118,118,1025,15,32,65,7700,11126,2,36
200,18,17,121,5,21,41,938,1645,2,36
201,12,11,87,7,23,45,552,1408,2,36
202,35,38,309,10,29,51,2173,3635,2,36
203,10,9,75,4,20,35,600,1064,2,36
204,25,25,189,7,25,49,1437,2898,2,36
205,5,5,36,4,24,39,255,692,2,37
206,11,11,82,4,28,39,612,913,2,37
207,13,13,84,4,18,41,564,1334,2,37
208,8,8,60,6,19,39,390,723,2,37
209,17,19,132,7,31,49,989,1197,2,37
210,7,7,46,4,22,35,296,605,2,38
211,118,118,965,15,35,65,6856,10702,2,38
212,21,20,155,8,21,49,1150,1988,2,38
213,14,16,132,6,24,41,769,1460,2,38
214,27,28,219,6,28,49,1544,2441,2,38
215,14,15,112,7,22,41,761,1238,2,38
216,8,9,53,6,24,49,311,844,6,39
217,12,12,90,6,24,49,543,2098,6,39
218,10,9,66,6,19,41,452,1113,6,39
219,14,13,100,8,18,49,700,1841,6,39
220,11,11,77,9,18,49,461,1416,6,39
221,7,7,52,7,15,31,356,826,6,40
222,8,9,60,5,23,49,422,2100,6,40
233,13,13,100,5,32,49,665,1500,6,40
224,20,18,153,4,19,49,1039,2223,6,40
225,51,47,418,14,26,61,2771,5137,6,40
226,46,46,392,9,36,61,2711,4852,6,41
227,11,10,76,7,18,41,503,1220,6,41
228,17,17,130,6,20,41,922,1630,6,41
229,25,27,197,5,28,49,1239,2461,6,41
230,30,33,262,6,32,51,1741,2395,6,41
231,7,6,49,3,23,41,321,694,6,42
232,12,15,105,4,27,41,672,1008,6,42
233,14,13,87,3,17,41,661,1447,6,42
234,12,12,70,3,18,41,579,1150,6,42
235,21,22,147,5,22,49,1242,2459,6,42
236,88,85,720,14,44,75,4758,8760,6,43
237,41,43,342,8,32,51,2182,4146,6,43
238,31,32,233,5,32,51,1579,3298,6,43
239,28,28,203,6,25,49,1524,2903,6,43
240,38,37,249,5,24,51,2073,3882,6,43
241,13,14,92,3,23,41,659,1989,7,44
242,18,18,134,3,29,49,945,2616,7,44
243,28,27,231,8,22,49,1560,2414,7,44
244,94,93,782,12,46,81,5779,9828,7,44
245,26,28,184,5,35,61,1455,2067,7,44
246,26,26,182,6,37,61,1494,6928,7,44
247,60,60,432,6,33,61,3070,6502,7,44
248,7,8,49,3,27,45,427,3832,7,45
249,9,10,63,5,30,49,502,970,7,45
250,14,13,94,5,23,49,813,2486,7,45
251,17,18,124,4,29,49,1061,2881,7,45
252,10,9,69,7,23,49,593,2399,7,45
253,9,9,53,7,21,45,484,1491,7,45
254,13,13,91,5,28,49,736,3647,7,45
255,56,53,451,12,38,75,3430,4677,7,45
256,8,8,53,3,14,31,428,727,8,46
257,3,4,21,5,11,31,173,347,8,46
258,7,7,42,5,14,35,323,903,8,46
259,8,7,50,3,15,41,408,706,8,46
260,5,6,40,3,15,31,287,1063,8,46
261,4,4,32,2,19,31,236,704,8,47
262,8,8,58,6,20,41,431,2246,8,47
263,4,4,26,2,14,31,202,623,8,47
264,4,4,28,2,19,31,199,422,8,47
265,8,8,61,4,17,35,477,1321,8,47
266,9,9,60,2,20,35,518,1313,8,48
267,4,5,35,2,19,31,252,687,8,48
268,84,74,764,10,30,65,5292,10827,8,48
269,14,15,105,4,24,45,942,1911,8,48
270,74,72,592,7,36,65,4777,7624,8,48
271,8,8,55,3,25,41,462,690,8,49
272,4,4,28,1,15,31,214,888,8,49
273,7,8,46,4,21,35,414,9052,8,49
274,5,6,34,1,20,31,280,359,8,49
275,19,18,123,4,27,41,1175,1544,8,49
276,6,7,41,3,18,39,302,430,8,50
277,9,10,54,4,19,41,528,551,8,50
278,24,26,207,5,20,41,1582,3703,8,50
279,10,9,64,2,24,39,480,689,8,50
280,67,64,562,9,34,61,3948,6583,8,50
281,39,35,295,5,32,51,2227,4033,8,50
282,29,27,226,7,28,49,1682,2898,8,50
283,10,9,63,5,19,41,604,594,8,50
284,27,31,233,5,27,45,1788,2366,8,50
