% Standard and Poor's 500 Index closing values from 1926 to 1993.
% First column contains the date (yymmdd), second column contains the value.
% These data are used in: E.Ley (1996): "On the Peculiar Distribution of the
% U.S. Stock Indices;" forthcoming in The American Statistician.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%

@relation spdc2693

@attribute date DATE yyMMdd
@attribute values REAL

@data
280720,19.03
280721,18.96
280723,19.12
280724,19.09
280725,19.20
280726,19.24
280727,19.42
280728,19.47
280730,19.47
280731,19.43
280801,19.42
280802,19.33
280803,19.36
280804,19.41
280806,19.58
280807,19.49
280808,19.25
280809,19.30
280810,19.25
280811,19.30
280813,19.29
280814,19.13
280815,19.47
280816,19.61
280817,19.64
280818,19.71
280820,19.77
280821,20.02
280822,20.00
280823,20.02
280824,20.34
280825,20.45
280827,20.38
280828,20.54
280829,20.58
280830,20.61
280831,20.87
280901,20.87
280904,20.97
280905,21.07
280906,20.94
280907,21.09
280908,21.03
280910,20.92
280911,21.08
280912,21.16
280913,21.14
280914,21.14
280915,21.23
280917,21.33
280918,21.18
280919,21.18
280920,21.22
280921,21.36
280922,21.24
280924,21.43
280925,21.41
280926,21.40
280927,21.13
280928,21.14
280929,21.37
281001,21.36
281002,21.26
281003,21.19
281004,21.26
281005,21.22
281006,21.17
281008,21.11
281009,21.18
281010,21.41
281011,21.51
281013,21.63
281015,21.65
281016,21.72
281017,21.79
281018,21.84
281019,21.96
281020,21.84
281022,21.81
281023,21.95
281024,21.99
281025,21.91
281026,21.65
281027,21.87
281029,22.00
281030,21.76
281031,21.68
281101,21.99
281102,21.95
281103,21.97
281105,22.24
281106,22.50
281108,22.39
281109,22.55
281110,22.73
281112,22.84
281113,22.91
281114,22.91
281115,23.03
281116,23.37
281117,23.37
281119,23.37
281120,23.57
281121,23.22
281122,23.52
281123,23.70
281126,23.80
281127,23.91
281128,24.19
281130,24.28
281201,24.03
281203,23.85
281204,23.91
281205,23.81
281206,22.91
281207,22.36
281208,21.92
281210,22.31
281211,22.74
281212,22.52
281213,22.48
281214,22.53
281215,22.52
281217,22.44
281218,22.70
281219,22.98
281220,23.07
281221,23.33
281222,23.33
281224,23.54
281226,23.44
281227,23.64
281228,23.98
281229,24.05
281231,24.35
290102,24.81
290103,24.86
290104,24.85
290105,24.57
290107,24.25
290108,24.17
290109,24.54
290110,24.58
290111,24.54
290112,24.47
290114,24.59
290115,24.23
290116,24.56
290117,24.69
290118,24.77
290119,24.88
290121,24.86
290122,25.07
290123,25.22
290124,25.06
290125,25.48
290126,25.43
290128,25.35
290129,25.36
290130,25.45
290131,25.74
290201,25.84
290202,25.80
290204,25.64
290205,25.70
290206,25.49
290207,24.71
290208,24.44
290211,24.98
290213,24.95
290214,24.85
290215,24.35
290216,24.05
290218,24.39
290219,24.38
290220,24.59
290221,24.86
290225,24.91
290226,24.95
290227,25.25
290228,25.59
290301,25.83
290302,25.77
290304,25.49
290305,25.32
290306,24.92
290307,25.15
290308,25.31
290309,25.31
290311,24.95
290312,24.97
290313,25.24
290314,25.73
290315,26.08
290316,26.13
290318,26.04
290319,26.03
290320,26.02
290321,25.90
290322,25.55
290323,25.21
290325,24.51
290326,24.35
290327,25.09
290328,25.53
290401,24.88
290402,25.17
290403,24.86
290404,25.30
290405,25.05
290406,25.07
290408,24.83
290409,24.63
290410,24.78
290411,25.06
290412,25.15
290413,25.17
290415,25.00
290416,25.06
290417,25.32
290418,25.43
290419,25.41
290420,25.45
290422,25.70
290423,25.85
290424,25.75
290425,25.63
290426,25.58
290427,25.65
290429,25.53
290430,25.94
290501,25.99
290502,26.11
290503,26.37
290504,26.48
290506,26.32
290507,26.07
290508,26.18
290509,26.02
290510,26.34
290511,26.24
290513,25.64
290514,25.95
290515,25.84
290516,25.97
290517,26.09
290518,26.05
290520,25.39
290521,25.70
290522,24.76
290523,25.31
290524,25.12
290525,25.03
290527,24.20
290528,24.59
290529,24.62
290531,24.83
290601,24.92
290603,25.27
290604,25.64
290605,25.59
290606,25.64
290607,25.53
290608,25.39
290610,25.27
290611,25.43
290612,25.45
290613,25.84
290614,25.93
290615,26.05
290617,26.41
290618,26.42
290619,26.32
290620,26.47
290621,26.62
290622,26.72
290624,26.62
290625,26.90
290626,27.06
290627,27.11
290628,27.41
290629,27.62
290701,27.77
290702,28.06
290703,28.18
290705,28.32
290706,28.36
290708,28.37
290709,28.28
290710,28.20
290711,28.26
290712,28.57
290713,28.64
290715,28.45
290716,28.65
290717,28.72
290718,28.66
290719,28.76
290720,28.81
290722,28.43
290723,28.83
290724,28.64
290725,28.77
290726,28.66
290727,28.55
290729,28.18
290730,28.50
290731,28.88
290801,29.08
290802,29.56
290803,29.81
290805,29.54
290806,29.43
290807,29.13
290808,29.47
290809,28.38
290810,28.83
290812,29.27
290813,29.53
290814,29.62
290815,29.67
290816,30.22
290817,30.24
290819,30.50
290820,30.68
290821,30.55
290822,30.79
290823,31.09
290824,31.15
290826,31.07
290827,31.05
290828,30.99
290829,31.29
290830,31.71
290903,31.82
290904,31.72
290905,31.02
290906,31.83
290907,31.92
290909,31.67
290910,31.10
290911,31.53
290912,31.17
290913,31.38
290914,31.47
290916,31.86
290917,31.60
290918,31.68
290919,31.73
290920,31.39
290921,31.39
290923,31.38
290924,30.80
290925,30.85
290926,31.13
290927,30.27
290928,30.44
290930,30.16
291001,29.98
291002,30.20
291003,28.95
291004,28.65
291005,29.98
291007,30.44
291008,30.34
291009,30.27
291010,30.81
291011,30.76
291014,30.55
291015,30.30
291016,29.24
291017,29.69
291018,28.84
291019,28.01
291021,27.73
291022,28.27
291023,26.60
291024,25.75
291025,26.12
291026,25.94
291028,22.74
291029,20.43
291030,22.99
291031,24.15
291104,22.88
291106,20.61
291107,21.37
291108,21.18
291111,19.86
291112,18.73
291113,17.66
291114,19.24
291115,20.30
291118,20.09
291119,20.70
291120,21.27
291121,21.61
291122,21.53
291125,21.28
291126,20.66
291127,20.92
291202,20.95
291203,21.65
291204,22.05
291205,21.87
291206,22.45
291207,22.73
291209,22.40
291210,22.57
291211,22.38
291212,21.17
291213,21.70
291214,21.96
291216,21.33
291217,21.56
291218,21.42
291219,20.85
291220,20.16
291221,20.55
291223,20.26
291224,20.39
291226,20.84
291227,20.82
291228,20.66
291230,20.89
291231,21.45
300102,21.18
300103,21.23
300104,21.48
300106,21.50
300107,21.31
300108,21.29
300109,21.62
300110,21.55
300111,21.45
300113,21.52
300114,21.56
300115,21.65
300116,21.50
300117,21.31
300118,21.37
300120,21.50
300121,21.61
300122,21.63
300123,21.84
300124,22.04
300125,22.23
300127,22.21
300128,22.10
300129,22.35
300130,22.47
300131,22.79
300201,22.93
300203,22.74
300204,23.01
300205,23.31
300206,23.06
300207,22.97
300208,23.16
300210,23.12
300211,23.32
300213,23.36
300214,23.35
300215,23.13
300217,23.26
300218,23.28
300219,23.07
300220,22.64
300221,22.92
300224,22.68
300225,22.69
300226,23.11
300227,23.08
300228,23.28
300301,23.45
300303,23.36
300304,23.54
300305,23.36
300306,23.59
300307,23.59
300308,23.60
300310,23.67
300311,23.72
300312,23.46
300313,23.60
300314,23.45
300315,23.32
300317,23.67
300318,23.90
300319,24.03
300320,24.14
300321,24.29
300322,24.04
300324,24.28
300325,24.25
300326,24.62
300327,24.57
300328,24.85
300329,25.05
300331,25.14
300401,25.37
300402,25.11
300403,25.16
300404,25.54
300405,25.73
300407,25.60
300408,25.46
300409,25.87
300410,25.92
300411,25.84
300412,25.89
300414,25.73
300415,25.74
300416,25.56
300417,25.75
300421,25.29
300422,25.50
300423,25.55
300424,25.35
300425,25.32
300426,25.37
300428,24.76
300429,24.73
300430,24.90
300501,24.30
300502,23.57
300503,22.84
300505,22.98
300506,23.76
300507,23.31
300508,23.40
300509,23.69
300510,24.13
300512,24.09
300513,24.42
300514,24.57
300515,24.17
300516,24.28
300517,24.28
300519,23.75
300520,23.86
300521,23.74
300522,23.79
300523,24.03
300524,24.19
300526,24.23
300527,24.24
300528,24.38
300529,24.49
300602,24.40
300603,24.18
300604,24.29
300605,23.91
300606,23.52
300607,23.03
300609,22.38
300610,23.01
300611,22.20
300612,22.13
300613,22.26
300614,21.80
300616,20.56
300617,20.58
300618,19.86
300619,20.79
300620,20.25
300621,19.67
300623,20.09
300624,19.39
300625,19.54
300626,20.00
300627,19.81
300628,19.90
300630,20.46
300701,20.24
300702,20.46
300703,20.25
300707,19.83
300708,19.97
300709,20.26
300710,20.77
300711,20.55
300712,20.93
300714,21.36
300715,21.32
300716,21.48
300717,21.58
300718,21.77
300719,21.57
300721,20.94
300722,21.32
300723,21.66
300724,21.38
300725,21.50
300726,21.71
300728,21.82
300729,21.65
300730,21.08
300731,21.21
300801,21.11
300802,21.23
300804,21.52
300805,21.52
300806,21.18
300807,21.06
300808,20.27
300809,20.25
300811,20.40
300812,19.88
300813,20.15
300814,20.16
300815,20.70
300816,20.65
300818,20.54
300819,20.74
300820,20.85
300821,20.64
300822,20.79
300823,20.90
300825,20.68
300826,20.98
300827,21.14
300828,21.13
300829,21.37
300902,21.38
300903,21.17
300904,21.02
300905,21.34
300906,21.65
300908,21.63
300909,21.76
300910,21.86
300911,21.72
300912,21.50
300913,21.47
300915,21.19
300916,21.22
300917,21.29
300918,21.06
300919,20.68
300920,20.73
300922,20.17
300923,20.44
300924,20.11
300925,19.73
300926,19.43
300927,19.29
300929,18.86
300930,18.59
301001,19.42
301002,19.18
301003,19.42
301004,19.23
301006,18.61
301007,18.62
301008,18.40
301009,17.67
301010,18.11
301011,17.63
301014,17.91
301015,18.20
301016,17.88
301017,17.16
301018,16.98
301020,17.57
301021,17.05
301022,16.90
301023,17.14
301024,17.74
301025,17.64
301027,17.78
301028,17.86
301029,17.55
301030,17.34
301031,16.94
301101,17.09
301103,17.13
301105,16.62
301106,16.65
301107,16.09
301108,15.89
301110,15.54
301111,15.79
301112,16.14
301113,16.56
301114,16.89
301115,17.05
301117,16.48
301118,16.66
301119,17.01
301120,16.94
301121,17.20
301122,17.00
301124,17.05
301125,16.85
301126,16.61
301128,16.38
301129,16.57
301201,16.80
301202,16.96
301203,16.67
301204,16.42
301205,16.43
301206,16.22
301208,15.97
301209,15.98
301210,15.73
301211,15.55
301212,15.43
301213,15.00
301215,14.94
301216,14.44
301217,15.11
301218,15.22
301219,15.39
301220,15.39
301222,14.88
301223,14.96
301224,15.16
301226,14.85
301227,14.76
301229,14.72
301230,15.06
301231,15.34
310102,15.85
310103,16.08
310105,15.93
310106,16.13
310107,16.09
310108,16.23
310109,16.07
310110,16.16
310112,15.84
310113,15.65
310114,15.83
310115,15.46
310116,15.65
310117,15.56
310119,15.46
310120,15.78
310121,15.78
310122,16.07
310123,16.42
310124,16.27
310126,16.40
310127,16.32
310128,16.02
310129,16.17
310130,16.19
310131,16.09
310202,16.16
310203,16.24
310204,16.33
310205,16.22
310206,16.27
310207,16.51
310209,16.96
310210,17.23
310211,17.28
310213,17.18
310214,17.16
310216,17.34
310217,17.05
310218,17.20
310219,17.43
310220,17.71
310221,17.93
310224,18.17
310225,17.97
310226,18.17
310227,18.03
310228,17.93
310302,17.52
310303,17.50
310304,17.34
310305,17.69
310306,17.32
310307,17.64
310309,17.76
310310,17.72
310311,17.52
310312,17.40
310313,17.32
310314,17.49
310316,17.77
310317,17.58
310318,17.81
310319,18.01
310320,18.06
310321,17.89
310323,17.76
310324,17.88
310325,17.78
310326,17.54
310327,17.21
310328,16.84
310330,16.66
310331,16.69
310401,16.52
310402,16.45
310404,16.67
310406,16.50
310407,16.28
310408,16.50
310409,16.41
310410,16.46
310411,16.46
310413,16.72
310414,16.51
310415,16.18
310416,15.98
310417,15.73
310418,15.89
310420,15.96
310421,15.54
310422,15.22
310423,15.29
310424,15.29
310425,14.95
310427,14.76
310428,14.67
310429,14.37
310430,15.09
310501,14.65
310502,14.82
310504,15.06
310505,14.94
310506,15.01
310507,14.95
310508,15.44
310509,15.21
310511,15.19
310512,15.04
310513,14.99
310514,14.66
310515,14.44
310516,14.33
310518,13.84
310519,13.83
310520,13.75
310521,13.89
310522,13.94
310523,13.84
310525,13.40
310526,13.41
310527,13.26
310528,13.31
310529,13.02
310601,12.40
310602,12.20
310603,13.12
310604,13.55
310605,13.40
310606,13.06
310608,13.56
310609,13.34
310610,13.70
310611,13.73
310612,13.75
310613,13.73
310615,13.63
310616,13.66
310617,13.51
310618,13.27
310619,13.22
310620,14.02
310622,14.61
310623,14.41
310624,15.09
310625,14.99
310626,15.35
310627,15.50
310629,15.09
310630,14.83
310701,15.07
310702,14.94
310703,15.26
310706,15.10
310707,14.51
310708,14.37
310709,14.49
310710,14.63
310711,14.37
310713,14.23
310714,14.09
310715,13.80
310716,14.14
310717,14.27
310718,14.27
310720,14.46
310721,14.62
310722,14.28
310723,14.28
310724,13.97
310725,13.92
310727,14.03
310728,14.18
310729,13.74
310730,13.80
310731,13.73
310801,13.84
310803,13.93
310804,13.84
310805,13.64
310806,13.55
310807,13.61
310808,13.59
310810,13.55
310811,13.99
310812,13.80
310813,14.02
310814,14.29
310815,14.43
310817,14.05
310818,14.10
310819,14.14
310820,14.17
310821,13.86
310822,13.81
310824,13.75
310825,13.70
310826,13.93
310827,13.85
310828,13.99
310829,14.10
310831,13.86
310901,13.92
310902,13.66
310903,13.35
310904,13.29
310908,12.87
310909,12.76
310910,12.62
310911,12.69
310912,12.37
310914,12.10
310915,11.99
310916,11.82
310917,12.04
310918,11.46
310919,11.07
310921,10.93
310922,10.80
310923,11.52
310924,10.68
310925,10.92
310926,10.73
310928,10.50
310929,10.06
310930,9.71
311001,9.53
311002,9.70
311003,9.37
311005,8.82
311006,9.91
311007,9.78
311008,10.62
311009,10.55
311010,10.64
311013,10.10
311014,9.87
311015,10.05
311016,10.36
311017,10.38
311019,10.49
311020,10.96
311021,10.86
311022,10.50
311023,10.84
311024,10.94
311026,10.64
311027,10.41
311028,10.07
311029,10.11
311030,10.43
311031,10.53
311102,10.50
311104,10.82
311105,10.78
311106,11.11
311107,11.37
311109,11.52
311110,11.28
311111,11.11
311112,11.07
311113,10.72
311114,10.60
311116,10.43
311117,10.60
311118,10.21
311119,10.16
311120,9.85
311121,9.77
311123,9.70
311124,9.87
311125,9.53
311127,9.31
311128,9.17
311130,9.50
311201,9.38
311202,9.05
311203,9.22
311204,9.02
311205,9.33
311207,9.29
311208,9.02
311209,8.78
311210,8.58
311211,8.31
311212,8.20
311214,8.01
311215,8.12
311216,7.93
311217,7.72
311218,8.36
311219,8.40
311221,8.15
311222,8.29
311223,7.95
311224,7.96
311228,7.76
311229,7.96
311230,8.10
311231,8.12
320102,7.82
320104,7.56
320105,7.55
320106,8.08
320107,8.22
320108,8.57
320109,8.40
320111,8.48
320112,8.39
320113,8.80
320114,8.90
320115,8.92
320116,8.72
320118,8.51
320119,8.48
320120,8.63
320121,8.58
320122,8.21
320123,8.16
320125,8.20
320126,8.31
320127,8.15
320128,8.03
320129,7.94
320130,7.89
320201,8.23
320202,8.05
320203,8.09
320204,8.04
320205,7.78
320206,7.72
320208,7.62
320209,7.53
320210,7.50
320211,8.12
320213,8.80
320215,8.50
320216,8.84
320217,8.48
320218,8.71
320219,8.72
320220,8.52
320223,8.22
320224,8.43
320225,8.35
320226,8.34
320227,8.35
320229,8.29
320301,8.35
320302,8.71
320303,8.71
320304,8.72
320305,8.98
320307,8.82
320308,8.98
320309,8.81
320310,8.73
320311,8.52
320312,8.60
320314,8.31
320315,8.31
320316,8.11
320317,8.28
320318,8.02
320319,7.96
320321,8.06
320322,8.05
320323,7.94
320324,7.86
320326,7.62
320328,7.59
320329,7.58
320330,7.74
320331,7.31
320401,7.18
320402,7.10
320404,7.06
320405,6.73
320406,6.53
320407,6.46
320408,6.29
320409,6.31
320411,6.07
320412,6.06
320413,5.98
320414,6.25
320415,6.42
320416,6.33
320418,6.12
320419,6.03
320420,6.03
320421,6.24
320422,5.96
320423,6.01
320425,6.03
320426,6.12
320427,6.27
320428,6.03
320429,5.83
320430,5.83
320502,5.74
320503,5.66
320504,5.74
320505,5.68
320506,6.09
320507,6.00
320509,5.96
320510,6.01
320511,6.00
320512,5.80
320513,5.60
320514,5.50
320516,5.61
320517,5.59
320518,5.45
320519,5.48
320520,5.48
320521,5.47
320523,5.43
320524,5.21
320525,5.03
320526,5.11
320527,4.83
320528,4.85
320531,4.47
320601,4.40
320602,4.64
320603,4.89
320604,5.22
320606,5.07
320607,4.85
320608,4.57
320609,4.57
320610,4.92
320611,4.87
320613,4.82
320614,4.94
320615,5.12
320616,5.12
320617,4.83
320618,4.85
320620,4.89
320621,4.77
320622,4.77
320623,4.80
320624,4.60
320625,4.59
320627,4.44
320628,4.44
320629,4.51
320630,4.43
320701,4.60
320705,4.50
320706,4.60
320707,4.45
320708,4.41
320709,4.46
320711,4.60
320712,4.60
320713,4.82
320714,4.79
320715,4.93
320716,4.94
320718,4.80
320719,4.78
320720,4.93
320721,5.05
320722,5.20
320723,5.21
320725,5.48
320726,5.40
320727,5.67
320728,5.85
320729,6.03
320730,6.10
320801,6.11
320802,5.87
320803,6.39
320804,6.52
320805,6.80
320806,7.22
320808,7.43
320809,7.39
320810,7.65
320811,7.61
320812,7.00
320813,6.94
320815,7.44
320816,7.68
320817,7.51
320818,7.60
320819,7.53
320820,7.56
320822,8.00
320823,8.15
320824,8.33
320825,8.26
320826,8.39
320827,8.57
320829,8.58
320830,8.47
320831,8.39
320901,8.47
320902,8.84
320903,9.06
320906,8.91
320907,9.31
320908,8.97
320909,8.75
320910,8.78
320912,8.15
320913,7.80
320914,7.35
320915,7.66
320916,7.57
320917,7.50
320919,7.34
320920,7.62
320921,8.52
320922,8.26
320923,8.40
320924,8.52
320926,8.04
320927,8.13
320928,8.36
320929,8.10
320930,8.08
321001,8.15
321003,8.06
321004,8.05
321005,7.39
321006,7.43
321007,7.02
321008,6.77
321010,6.42
321011,6.88
321013,6.67
321014,7.13
321015,7.20
321017,7.00
321018,7.13
321019,7.40
321020,7.23
321021,6.82
321022,6.79
321024,6.83
321025,6.76
321026,6.89
321027,6.95
321028,7.09
321029,7.00
321031,6.96
321101,6.76
321102,6.52
321103,6.48
321104,6.88
321105,6.98
321107,7.24
321109,6.92
321110,7.44
321111,7.68
321112,7.68
321114,7.43
321115,7.43
321116,7.20
321117,7.15
321118,7.13
321119,7.24
321121,7.20
321122,7.17
321123,6.85
321125,6.78
321126,6.81
321128,6.80
321129,6.78
321130,6.55
321201,6.73
321202,6.47
321203,6.46
321205,6.54
321206,6.87
321207,6.89
321208,6.89
321209,7.08
321210,7.03
321212,7.07
321213,6.99
321214,7.12
321215,7.05
321216,7.00
321217,6.99
321219,6.97
321220,6.82
321221,6.80
321222,6.57
321223,6.57
321224,6.65
321227,6.61
321228,6.60
321229,6.75
321230,6.92
321231,6.89
330103,6.83
330104,7.15
330105,7.12
330106,7.23
330109,7.13
330110,7.34
330111,7.32
330112,7.23
330113,7.25
330114,7.23
330116,7.06
330117,7.08
330118,6.95
330119,6.98
330120,7.06
330121,7.10
330123,7.03
330124,6.98
330125,7.10
330126,7.05
330127,7.04
330128,6.96
330130,6.98
330131,6.94
330201,6.67
330202,6.55
330203,6.53
330204,6.45
330206,6.48
330207,6.54
330208,6.62
330209,6.76
330210,6.66
330211,6.67
330214,6.32
330215,6.28
330216,6.13
330217,6.23
330218,6.19
330220,6.00
330221,5.96
330223,5.68
330224,5.90
330225,5.59
330227,5.53
330228,5.66
330301,5.77
330302,5.65
330303,5.84
330315,6.81
330316,6.93
330317,6.63
330318,6.61
330320,6.50
330321,6.20
330322,6.12
330323,6.25
330324,6.25
330325,6.22
330327,6.09
330328,6.21
330329,6.07
330330,6.05
330331,5.85
330401,5.88
330403,5.87
330404,5.90
330405,5.95
330406,6.05
330407,6.12
330408,6.21
330410,6.54
330411,6.51
330412,6.41
330413,6.67
330415,6.66
330417,6.53
330418,6.66
330419,7.14
330420,7.82
330421,7.44
330422,7.75
330424,7.91
330425,7.72
330426,7.77
330427,7.70
330428,7.83
330429,8.32
330501,8.43
330502,8.46
330503,8.41
330504,8.65
330505,8.74
330506,8.48
330508,8.34
330509,8.40
330510,8.82
330511,9.07
330512,9.03
330513,8.81
330515,8.68
330516,8.85
330517,8.94
330518,8.89
330519,8.82
330520,8.66
330522,8.64
330523,8.96
330524,9.15
330525,9.08
330526,9.34
330527,9.64
330529,9.78
330531,9.64
330601,9.74
330602,10.13
330603,9.85
330605,10.07
330606,10.04
330607,10.22
330608,10.31
330609,10.41
330610,10.49
330612,10.89
330613,10.57
330614,10.47
330615,9.74
330616,9.81
330617,9.96
330619,10.68
330620,10.52
330621,10.58
330622,10.22
330623,10.56
330624,10.59
330626,10.87
330627,10.98
330628,10.84
330629,10.74
330630,10.91
330701,11.19
330703,11.62
330705,11.55
330706,11.85
330707,11.96
330708,11.97
330710,11.86
330711,11.71
330712,11.87
330713,12.00
330714,11.85
330715,11.91
330717,12.01
330718,12.20
330719,11.60
330720,10.57
330721,9.65
330722,9.71
330724,10.50
330725,10.32
330726,10.59
330727,10.68
330728,10.43
330731,9.95
330801,10.25
330802,10.49
330803,10.36
330804,10.13
330807,10.05
330808,10.39
330809,10.81
330810,10.63
330811,10.59
330814,10.46
330815,10.48
330816,10.20
330817,10.76
330818,10.58
330821,10.75
330822,10.92
330823,10.78
330824,10.88
330825,11.28
330828,11.26
330829,11.20
330830,11.10
330831,11.09
330901,11.23
330905,10.84
330906,10.85
330907,10.70
330908,10.66
330909,10.66
330911,11.13
330912,11.06
330913,11.11
330914,11.13
330915,10.82
330916,11.10
330918,11.00
330919,11.04
330920,10.69
330921,10.03
330922,10.26
330923,10.41
330925,10.16
330926,10.07
330927,9.65
330928,9.79
330929,9.72
330930,9.83
331002,9.62
331003,9.67
331004,10.29
331005,10.16
331006,10.05
331007,10.13
331009,10.32
331010,10.23
331011,10.24
331013,9.85
331014,9.88
331016,9.21
331017,9.51
331018,9.07
331019,8.61
331020,8.86
331021,8.57
331023,9.02
331024,9.38
331025,9.63
331026,9.44
331027,9.54
331028,9.41
331030,9.04
331031,8.96
331101,9.12
331102,9.22
331103,9.54
331104,9.51
331106,9.45
331108,9.80
331109,9.87
331110,9.72
331111,9.84
331113,9.81
331114,9.69
331115,9.58
331116,10.03
331117,9.92
331118,9.94
331120,10.23
331121,10.10
331122,10.05
331123,9.87
331124,10.01
331125,10.04
331127,9.69
331128,9.70
331129,9.88
331201,9.91
331202,9.92
331204,9.90
331205,10.20
331206,10.13
331207,10.20
331208,10.10
331209,10.28
331211,10.31
331212,10.29
331213,10.19
331214,10.23
331215,10.07
331216,9.89
331218,9.77
331219,9.75
331220,9.57
331221,9.55
331222,9.86
331223,9.77
331226,9.58
331227,9.71
331228,9.99
331229,9.97
331230,10.10
340102,10.11
340103,9.97
340104,9.94
340105,9.81
340106,9.77
340108,9.76
340109,9.87
340110,10.14
340111,10.19
340112,10.07
340113,10.06
340115,10.64
340116,10.69
340117,10.66
340118,10.63
340119,10.93
340120,10.94
340122,10.91
340123,11.05
340124,11.12
340125,11.12
340126,11.02
340127,11.01
340129,11.19
340130,11.33
340131,11.17
340201,11.46
340202,11.45
340203,11.58
340205,11.81
340206,11.82
340207,11.45
340208,11.50
340209,11.18
340210,11.15
340213,11.22
340214,11.29
340215,11.51
340216,11.54
340217,11.59
340219,11.36
340220,11.40
340221,11.43
340223,11.13
340224,10.94
340226,10.69
340227,10.81
340228,10.76
340301,10.72
340302,11.07
340303,11.07
340305,11.01
340306,10.88
340307,10.60
340308,10.80
340309,10.73
340310,10.76
340312,10.96
340313,10.96
340314,10.97
340315,10.79
340316,10.82
340317,10.69
340319,10.45
340320,10.66
340321,10.45
340322,10.64
340323,10.53
340324,10.41
340326,10.71
340327,10.42
