% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: 2
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-hiroshima

@attribute Dose REAL
@attribute Aberrant_cells INTEGER
@attribute Total_cells {100}

@data
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,2,100
0,3,100
0,3,100
0,3,100
0,3,100
0,3,100
0,3,100
0,3,100
0,3,100
0,3,100
0,3,100
0,3,100
0,3,100
0,3,100
0,3,100
0,3,100
0,3,100
0,3,100
0,4,100
0,4,100
0,4,100
0,5,100
0,5,100
0,6,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,0,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,1,100
38,2,100
38,2,100
38,2,100
38,2,100
38,2,100
38,2,100
38,3,100
38,3,100
38,3,100
38,3,100
38,3,100
38,3,100
38,3,100
38,4,100
38,4,100
38,4,100
38,5,100
38,5,100
38,6,100
38,6,100
38,6,100
38,6,100
38,6,100
38,7,100
38,7,100
38,9,100
38,14,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,0,100
143.9,1,100
143.9,1,100
143.9,1,100
143.9,1,100
143.9,1,100
143.9,1,100
143.9,1,100
143.9,1,100
143.9,1,100
143.9,1,100
143.9,1,100
143.9,1,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,2,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,3,100
143.9,4,100
143.9,4,100
143.9,4,100
143.9,4,100
143.9,4,100
143.9,4,100
143.9,5,100
143.9,5,100
143.9,5,100
143.9,5,100
143.9,5,100
143.9,5,100
143.9,5,100
143.9,5,100
143.9,5,100
143.9,5,100
143.9,5,100
143.9,5,100
143.9,6,100
143.9,6,100
143.9,6,100
143.9,6,100
143.9,6,100
143.9,6,100
143.9,6,100
143.9,6,100
143.9,6,100
143.9,6,100
143.9,6,100
143.9,6,100
143.9,7,100
143.9,7,100
143.9,7,100
143.9,7,100
143.9,7,100
143.9,7,100
143.9,7,100
143.9,7,100
143.9,7,100
143.9,7,100
143.9,7,100
143.9,7,100
143.9,8,100
143.9,8,100
143.9,8,100
143.9,8,100
143.9,8,100
143.9,9,100
143.9,9,100
143.9,10,100
143.9,10,100
143.9,10,100
143.9,10,100
143.9,10,100
143.9,11,100
143.9,14,100
143.9,15,100
143.9,16,100
143.9,16,100
143.9,17,100
244.1,0,100
244.1,0,100
244.1,1,100
244.1,1,100
244.1,2,100
244.1,2,100
244.1,2,100
244.1,2,100
244.1,2,100
244.1,3,100
244.1,3,100
244.1,3,100
244.1,3,100
244.1,3,100
244.1,4,100
244.1,4,100
244.1,4,100
244.1,5,100
244.1,5,100
244.1,5,100
244.1,5,100
244.1,5,100
244.1,5,100
244.1,5,100
244.1,5,100
244.1,5,100
244.1,5,100
244.1,5,100
244.1,5,100
244.1,5,100
244.1,5,100
244.1,6,100
244.1,6,100
244.1,6,100
244.1,7,100
244.1,7,100
244.1,8,100
244.1,8,100
244.1,8,100
244.1,8,100
244.1,9,100
244.1,9,100
244.1,9,100
244.1,10,100
244.1,10,100
244.1,10,100
244.1,10,100
244.1,10,100
244.1,11,100
244.1,11,100
244.1,12,100
244.1,12,100
244.1,13,100
244.1,13,100
244.1,13,100
244.1,13,100
244.1,13,100
244.1,13,100
244.1,13,100
244.1,14,100
244.1,14,100
244.1,14,100
244.1,15,100
244.1,16,100
244.1,16,100
244.1,17,100
244.1,17,100
244.1,21,100
244.1,24,100
244.1,25,100
346.9,0,100
346.9,1,100
346.9,2,100
346.9,3,100
346.9,4,100
346.9,4,100
346.9,4,100
346.9,5,100
346.9,5,100
346.9,5,100
346.9,6,100
346.9,6,100
346.9,6,100
346.9,7,100
346.9,7,100
346.9,7,100
346.9,8,100
346.9,8,100
346.9,8,100
346.9,9,100
346.9,9,100
346.9,9,100
346.9,10,100
346.9,10,100
346.9,10,100
346.9,11,100
346.9,12,100
346.9,13,100
346.9,13,100
346.9,13,100
346.9,14,100
346.9,14,100
346.9,17,100
346.9,17,100
346.9,18,100
346.9,18,100
346.9,18,100
346.9,18,100
346.9,19,100
346.9,19,100
346.9,20,100
346.9,22,100
346.9,42,100
440.7,2,100
440.7,3,100
440.7,4,100
440.7,4,100
440.7,4,100
440.7,5,100
440.7,5,100
440.7,5,100
440.7,5,100
440.7,6,100
440.7,8,100
440.7,8,100
440.7,9,100
440.7,10,100
440.7,10,100
440.7,10,100
440.7,11,100
440.7,12,100
440.7,13,100
440.7,13,100
440.7,14,100
440.7,14,100
440.7,15,100
440.7,16,100
440.7,17,100
440.7,20,100
440.7,22,100
440.7,25,100
440.7,28,100
440.7,29,100
440.7,37,100
666.6,0,100
666.6,0,100
666.6,0,100
666.6,1,100
666.6,2,100
666.6,2,100
666.6,3,100
666.6,3,100
666.6,4,100
666.6,4,100
666.6,6,100
666.6,8,100
666.6,11,100
666.6,12,100
666.6,13,100
666.6,14,100
666.6,16,100
666.6,16,100
666.6,16,100
666.6,17,100
666.6,17,100
666.6,17,100
666.6,17,100
666.6,19,100
666.6,20,100
666.6,21,100
666.6,22,100
666.6,23,100
666.6,24,100
666.6,25,100
666.6,29,100
666.6,34,100
666.6,40,100
666.6,42,100
