% ____________________________________________________________________
%         
%                       Data Diskette for
%                   CASE STUDIES IN BIOMETRY
% 
% By Nicholas Lange, Louise Ryan and Lynne Brillard, David Brillinger,
% Loveday Conquest, Joel Greenhouse.
% 
% Published by John Wiley & Sons, Inc., copyright 1994.  
% ____________________________________________________________________
% 
% You have obtained all of the data used by all of the authors in the
% twenty-one chapters of Case Studies in Biometry.  
% 
% Each chapter contains either one or two data sets, except for Chapter 19,
% which has seven data sets. Corresponding to each data set are ASCII files
% with extensions ".dat" (the data), ".txt" (the data description file), and 
% ".sas" (a simple SAS program to read the .dat file). 
% 
% For chapters containing only one data set, the file name prefix is 
% "ch" followed by chapter number, and then the above extensions.
% For instance, for Chapter 2 you will find files "ch2.dat",
% "ch2.txt", and "ch2.sas".
% 
% For chapters containing two data sets, the letters "a" and "b" are
% added after the chapter number. For instance, for Chapter 1, you will
% find the files "ch1a.dat", "ch1a.txt", "ch1a.sas", "ch1b.dat",
% "ch1b.txt", "ch1b.sas".
% 
% For chapter 19, there are seven data sets, ch19a.dat
% through ch19g.dat.  Each one has the same format, but
% refers to different subsets of the whole data
% set.  Details are given in the single text file, ch19.txt.
% 
% Please note permissions and usage information included in
% the .txt file for each subset.
% _______________________________________________________________
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File: ch12.dat
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File specific Information:
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% CASE STUDIES IN BIOMETRY: Chapter 12.
% 
% Parametric Duration Analysis of Nursing Home Usage
% 
% Carl N. Morris, Edward C. Norton, Xiao H. Zhou
% 
% The file ch12.dat contains the following  variables:
% 
% lstay: Length of stay of a resident
% age: Age of a resident
% trt: Nursing home assignment (1: receive treament,0: control)
% gender: Gender (1:male,0:female)
% marstat: Marital status (1: married,0: not married)
% hlstat: Health status (2: second best, 5: worst)
% cens: Censoring indicator (1:censored, 0: discharged)
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation csb-ch12

@attribute lstay INTEGER
@attribute age INTEGER
@attribute trt {0,1}
@attribute gender {0,1}
@attribute marstat {0,1}
@attribute hlstat INTEGER
@attribute cens {0,1}

@data
408,75,0,0,0,4,1
378,84,0,0,0,3,1
44,82,0,0,0,2,0
395,73,0,0,0,4,1
367,85,0,0,0,4,1
381,81,0,0,0,3,1
133,99,0,1,1,4,0
340,90,0,0,0,4,0
25,72,0,1,1,2,0
73,88,0,1,0,2,0
270,88,0,1,0,2,0
33,83,0,0,0,2,0
51,88,0,1,0,3,0
162,76,0,0,0,3,0
451,77,0,0,0,3,0
646,78,0,1,0,4,1
648,78,0,0,0,3,1
96,91,0,0,0,2,0
634,75,0,0,0,3,1
46,80,0,0,0,4,0
618,74,0,0,0,4,1
1,90,0,0,1,4,0
2,75,0,0,0,2,0
211,90,0,0,0,2,0
81,87,0,1,0,5,0
572,81,0,0,0,5,1
25,96,0,0,0,2,0
541,68,0,1,1,3,1
84,74,0,0,0,3,0
35,75,0,0,0,3,0
487,78,0,1,0,2,1
34,84,0,0,0,4,0
4,90,0,0,0,3,0
467,91,0,0,0,4,1
315,82,0,0,0,4,0
65,87,0,1,0,5,0
72,98,0,0,0,3,0
589,75,0,0,0,3,1
11,73,0,0,0,4,0
130,85,0,0,0,3,0
0,91,0,0,0,4,0
1,90,0,0,0,4,0
9,71,0,0,0,2,0
42,70,0,1,0,5,0
39,92,0,0,0,4,0
15,81,0,1,1,3,0
5,83,0,1,0,4,0
6,65,0,0,1,4,0
17,74,0,1,1,3,0
68,82,0,1,1,5,0
46,78,0,0,0,2,0
66,78,0,0,0,2,0
311,95,0,0,0,3,0
373,82,0,0,0,4,1
328,65,0,0,1,3,0
35,74,0,1,1,4,0
168,78,0,0,0,3,0
7,73,0,1,0,4,0
160,79,0,1,1,4,0
310,77,0,1,0,2,0
709,87,0,0,0,3,1
252,80,0,0,0,3,0
48,72,0,0,0,3,0
721,93,0,0,0,2,1
185,86,0,0,1,2,0
11,84,0,0,0,5,0
15,72,0,0,0,3,0
16,85,0,1,0,4,0
207,76,0,0,1,5,0
51,83,0,0,0,3,0
91,89,0,0,0,4,0
337,98,0,0,0,4,0
129,98,0,0,0,2,0
134,83,0,0,1,3,0
617,95,0,0,0,2,1
91,91,0,0,0,3,0
152,87,0,0,0,2,0
30,81,0,0,0,2,0
24,90,0,0,0,4,0
189,88,0,1,0,4,0
134,71,0,0,0,2,0
113,73,0,0,1,2,0
456,84,0,0,0,4,1
680,92,0,0,0,5,1
456,68,0,1,1,3,1
422,93,0,0,0,3,1
444,84,0,0,0,2,1
60,90,0,0,0,4,0
430,81,0,0,0,3,1
29,90,0,1,0,3,0
367,77,0,0,1,3,1
374,93,0,0,0,3,0
32,89,0,0,0,3,0
9,79,1,0,0,4,0
599,77,1,1,1,3,0
5,85,1,1,0,4,0
470,73,1,0,0,2,0
942,84,1,0,0,3,0
90,90,1,0,0,2,0
9,83,1,0,0,5,0
1088,84,1,0,0,3,1
71,93,1,0,0,4,0
422,86,1,0,0,5,0
159,85,1,0,0,4,0
5,86,1,0,0,3,0
30,81,1,0,0,4,0
56,84,1,0,0,5,0
62,73,1,0,0,5,0
46,65,1,0,0,2,0
17,83,1,0,0,2,0
291,72,1,0,0,3,0
1055,74,1,0,0,3,1
30,77,1,1,1,4,0
201,88,1,0,0,4,0
1053,85,1,0,0,2,1
9,83,1,0,0,2,0
811,88,1,0,0,2,0
1041,79,1,0,0,2,1
2,86,1,0,0,5,0
60,76,1,1,0,3,0
12,78,1,1,0,4,0
61,87,1,1,0,3,0
3,88,1,0,0,4,0
125,92,1,0,0,3,0
41,75,1,1,1,5,0
96,73,1,0,1,3,0
13,87,1,0,0,3,0
549,74,1,0,1,5,0
7,93,1,0,0,4,0
15,88,1,0,0,4,0
433,94,1,0,0,4,0
301,90,1,0,0,2,0
363,70,1,0,1,3,0
994,86,1,0,0,3,1
4,78,1,1,0,2,0
24,76,1,0,0,4,0
76,96,1,1,0,4,0
986,88,1,0,0,3,1
209,76,1,0,0,3,0
119,77,1,1,0,4,0
21,87,1,1,0,5,0
35,86,1,0,0,3,0
146,72,1,1,0,4,0
374,87,1,0,0,4,0
7,75,1,1,1,5,0
106,84,1,1,1,3,0
11,90,1,1,1,4,0
948,81,1,1,0,2,1
47,86,1,0,0,4,0
1,91,1,0,0,2,0
924,80,1,0,0,3,1
144,77,1,0,0,4,0
492,91,1,0,0,2,0
674,89,1,1,0,3,0
913,73,1,0,0,3,1
14,94,1,1,1,4,0
736,91,1,0,0,2,0
896,90,1,0,0,4,1
47,75,1,0,0,4,0
22,82,1,0,0,4,0
663,72,1,1,1,3,0
138,76,1,1,0,2,0
198,92,1,0,0,4,0
875,90,1,0,0,2,1
19,90,1,0,1,5,0
23,71,1,0,0,4,0
51,81,1,0,0,2,0
93,88,1,0,0,2,0
444,90,1,0,0,4,0
838,89,1,0,0,4,1
77,92,1,0,0,3,0
664,79,1,0,0,5,0
709,75,1,1,1,3,0
59,68,1,0,0,5,0
15,89,1,1,0,5,0
