% ____________________________________________________________________
%         
%                       Data Diskette for
%                   CASE STUDIES IN BIOMETRY
% 
% By Nicholas Lange, Louise Ryan and Lynne Brillard, David Brillinger,
% Loveday Conquest, Joel Greenhouse.
% 
% Published by John Wiley & Sons, Inc., copyright 1994.  
% ____________________________________________________________________
% 
% You have obtained all of the data used by all of the authors in the
% twenty-one chapters of Case Studies in Biometry.  
% 
% Each chapter contains either one or two data sets, except for Chapter 19,
% which has seven data sets. Corresponding to each data set are ASCII files
% with extensions ".dat" (the data), ".txt" (the data description file), and 
% ".sas" (a simple SAS program to read the .dat file). 
% 
% For chapters containing only one data set, the file name prefix is 
% "ch" followed by chapter number, and then the above extensions.
% For instance, for Chapter 2 you will find files "ch2.dat",
% "ch2.txt", and "ch2.sas".
% 
% For chapters containing two data sets, the letters "a" and "b" are
% added after the chapter number. For instance, for Chapter 1, you will
% find the files "ch1a.dat", "ch1a.txt", "ch1a.sas", "ch1b.dat",
% "ch1b.txt", "ch1b.sas".
% 
% For chapter 19, there are seven data sets, ch19a.dat
% through ch19g.dat.  Each one has the same format, but
% refers to different subsets of the whole data
% set.  Details are given in the single text file, ch19.txt.
% 
% Please note permissions and usage information included in
% the .txt file for each subset.
% _______________________________________________________________
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File: ch6.dat
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File specific Information:
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% CASE STUDIES IN BIOMETRY: Chapter 6. 
% 
% Geostatistical Estimates of Scallop Abundance
%                         
% Mark D. Ecker and James F. Heltshe                                 
%         
% The file ch6.dat contains the following variables. 
% 
% 
% STRATA : National Marine Fisheries Service (NMFS) 4 digit strata
%          designator in which the sample was taken              
%                                                                             
% SAMPLE : Sample number per year ranging from 1 to approximately 450
% 
% LAT  : Location in terms of latitude  of each sample in the Atlantic Ocean      
% 
% LONG  : Location in terms of longitude of each sample in the Atlantic Ocean
%       
% TCATCH : Total number of scallops caught at the ith sample location
% 
% PREREC : Number of scallops whose shell length is smaller than 70 millimeters
%                          
% RECRUITS : Number of scallops whose shell length is 70 millimeters or larger
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation csb-ch6

@attribute STRATA INTEGER
@attribute SAMPLE INTEGER
@attribute LAT REAL
@attribute LONG REAL
@attribute TCATCH INTEGER
@attribute PREREC INTEGER
@attribute RECRUITS INTEGER

@data
6340,202,40.56667,72.25000,76,11,65
6340,204,40.56667,72.18333,106,20,86
6350,205,40.53333,72.18333,71,17,54
6300,206,40.50000,72.31667,50,13,37
6310,207,40.43333,72.28333,68,14,54
6310,208,40.35000,72.25000,24,7,17
6310,209,40.31667,72.15000,26,4,22
6350,210,40.36667,72.10000,11,1,10
6350,211,40.45000,71.96667,3,3,0
6350,212,40.56667,71.98333,26,5,21
6340,213,40.60000,72.01667,34,7,27
6340,214,40.60000,72.13333,75,32,43
6340,215,40.65000,72.16667,143,87,56
6340,216,40.65000,72.08333,62,25,37
6340,217,40.70000,72.05000,31,20,11
6330,218,40.73333,72.05000,230,160,70
6340,219,40.71667,71.98333,8,1,7
6340,220,40.66667,71.83333,114,35,79
6340,221,40.73333,71.88333,8,3,5
6330,222,40.76667,71.91667,8,0,8
6340,224,40.75000,71.83333,38,8,30
