% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex2016.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex2016

@attribute sv {1,2}
@attribute ag {1,2}
@attribute tl INTEGER
@attribute ae INTEGER
@attribute wt REAL
@attribute bh REAL
@attribute hl REAL
@attribute fl REAL
@attribute tt REAL
@attribute sk REAL
@attribute kl REAL

@data
1,2,158,247,24.9,32.4,.745,.724,1.139,.588,.865
1,2,158,249,26.1,32.2,.742,.736,1.148,.602,.817
1,2,158,243,26.6,32.4,.747,.711,1.163,.612,.891
1,2,155,237,23.3,30.2,.685,.653,1.011,.587,.794
2,2,160,249,24.0,30.4,.740,.717,1.130,.620,.840
2,2,156,236,26.8,30.2,.690,.671,1.067,.563,.832
2,2,158,240,23.5,31.0,.715,.702,1.113,.595,.805
2,2,166,245,26.9,31.7,.715,.695,1.107,.601,.847
2,2,165,255,28.6,31.5,.766,.744,1.175,.613,.854
2,2,157,238,24.7,31.2,.680,.677,1.156,.599,.769
2,2,164,250,27.3,31.8,.764,.726,1.171,.588,.860
2,2,166,256,25.7,31.7,.752,.751,1.187,.595,.858
2,2,167,255,29.0,32.2,.765,.745,1.197,.638,.855
2,2,161,246,25.0,31.5,.739,.707,1.123,.587,.850
2,2,166,254,27.5,31.4,.760,.742,1.124,.604,.914
2,2,161,251,26.0,31.5,.731,.707,1.122,.589,.828
