% The data consist of 2001 observations taken from a balloon about 30 kilometres
% above the surface of the earth. In the section of the flight shown here the
% balloon increases in height. As radiation increases with height there is a
% non-decreasing trend in the data. The outliers are caused by the fact that the
% balloon slowly rotates, causing the ropes from which the measuring instrument
% is suspended to cut off the direct radiation from the sun. The first column
% contains the raw data, the second column the residuals after the removal of a
% non-decreasing trend.
% Reference:
% Davies, L. and Gather, U. (1993), "The Identification of Multiple
%    Outliers" (discussion paper), to appear in JASA.
% Mailing address:  Laurie Davies
%                   Universitaet-Gesamthochschule Essen
%                   Fachbereich 6 Mathematik
%                   Universitaetsstrasse 3
%                   D-4300 Essen 1
%                   Germany
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%

@relation balloon

@attribute id INTEGER
@attribute raw REAL
@attribute residual REAL

@data
479,2.100,0.027
480,2.100,0.027
481,2.100,0.027
482,2.080,0.007
483,2.080,0.007
484,2.080,0.006
485,2.080,0.006
486,2.080,0.006
487,2.100,0.026
488,2.100,0.026
489,2.100,0.025
490,2.080,0.005
491,2.020,-0.055
492,1.960,-0.115
493,1.880,-0.195
494,1.940,-0.136
495,1.960,-0.116
496,1.920,-0.156
497,1.920,-0.156
498,1.920,-0.156
499,1.920,-0.157
500,1.880,-0.197
501,1.940,-0.137
502,2.000,-0.077
503,2.040,-0.037
504,2.100,0.022
505,2.100,0.022
506,2.080,0.002
507,2.040,-0.038
508,2.060,-0.018
509,2.100,0.021
510,1.940,-0.139
511,2.100,0.021
512,2.100,0.021
513,2.080,0.000
514,2.080,0.000
515,2.080,0.000
516,2.080,-0.001
517,2.100,0.019
518,2.100,0.019
519,2.120,0.039
520,2.100,0.018
521,2.080,-0.002
522,2.120,0.038
523,2.160,0.078
524,2.140,0.058
525,2.080,-0.003
526,2.080,-0.003
527,2.100,0.017
528,2.100,0.017
529,2.080,-0.003
530,2.060,-0.024
531,1.700,-0.384
532,1.960,-0.124
533,1.920,-0.164
534,1.980,-0.104
535,2.040,-0.045
536,2.080,-0.005
537,2.100,0.015
538,2.120,0.035
539,2.120,0.035
540,2.100,0.014
541,2.080,-0.006
542,2.040,-0.046
543,2.040,-0.046
544,2.080,-0.006
545,2.100,0.013
546,1.620,-0.467
547,2.100,0.013
548,2.080,-0.007
549,2.100,0.013
550,2.120,0.032
551,2.100,0.012
552,2.100,0.012
553,2.160,0.072
554,2.180,0.092
555,2.180,0.091
556,2.160,0.071
557,2.160,0.071
558,2.160,0.071
559,2.160,0.071
560,2.160,0.070
561,2.160,0.070
562,2.160,0.070
563,2.160,0.070
564,2.160,0.070
565,2.160,0.070
566,2.160,0.069
567,2.160,0.069
568,2.160,0.069
569,2.140,0.049
570,1.840,-0.251
571,2.100,0.008
572,2.100,0.008
573,2.080,-0.012
574,2.100,0.008
575,2.120,0.028
576,2.160,0.067
577,2.120,0.027
578,2.100,0.007
579,2.100,0.007
580,2.080,-0.013
581,2.060,-0.034
582,2.040,-0.054
583,2.040,-0.054
584,2.000,-0.094
585,1.760,-0.334
586,1.920,-0.175
587,2.000,-0.095
588,1.920,-0.175
589,2.000,-0.096
590,2.020,-0.076
591,2.060,-0.036
592,2.100,0.003
593,2.100,0.003
594,2.100,0.002
595,2.100,0.002
596,2.080,-0.018
597,2.040,-0.059
598,1.940,-0.159
599,1.940,-0.160
600,2.000,-0.100
601,1.940,-0.160
602,1.880,-0.221
603,1.860,-0.241
604,2.040,-0.062
605,2.080,-0.022
606,2.100,-0.002
607,2.160,0.057
608,2.120,0.017
609,1.560,-0.544
610,2.180,0.076
611,1.840,-0.264
612,2.120,0.015
613,2.100,-0.005
614,2.120,0.015
615,2.100,-0.005
616,2.100,-0.005
617,2.120,0.015
618,1.940,-0.165
619,2.060,-0.045
620,2.160,0.055
621,2.160,0.055
622,2.140,0.035
623,2.120,0.015
624,2.120,0.014
625,2.080,-0.026
626,2.120,0.014
627,1.940,-0.166
628,2.000,-0.106
629,2.140,0.033
630,2.160,0.053
631,2.160,0.053
632,2.120,0.013
633,2.120,0.013
634,2.060,-0.048
635,2.140,0.032
636,1.920,-0.188
637,2.040,-0.068
638,2.120,0.012
639,2.140,0.031
640,2.160,0.051
641,2.140,0.031
642,2.100,-0.009
643,2.120,0.011
644,2.060,-0.050
645,2.140,0.030
646,2.000,-0.110
647,1.880,-0.230
648,2.060,-0.050
649,2.120,0.010
650,2.100,-0.011
651,2.100,-0.011
652,2.180,0.069
653,2.120,0.009
654,2.120,0.009
655,2.120,0.008
656,1.460,-0.652
657,2.100,-0.012
658,2.120,0.008
659,1.580,-0.532
660,2.120,0.007
661,2.060,-0.053
662,2.080,-0.033
663,2.120,0.007
664,2.160,0.047
665,2.120,0.006
666,2.020,-0.094
667,1.920,-0.194
668,1.920,-0.194
669,1.840,-0.274
670,2.080,-0.035
671,2.100,-0.015
672,2.120,0.005
673,2.160,0.045
674,2.140,0.025
675,2.120,0.004
676,2.160,0.044
677,2.180,0.064
678,2.180,0.064
679,2.180,0.064
680,2.180,0.063
681,2.160,0.043
682,2.160,0.043
683,2.160,0.043
684,2.160,0.043
685,2.180,0.062
686,2.200,0.082
687,2.180,0.062
688,1.480,-0.638
689,2.100,-0.018
690,2.100,-0.018
691,2.120,0.002
692,2.120,0.002
693,2.080,-0.038
694,1.960,-0.159
695,1.920,-0.199
696,1.920,-0.199
697,2.080,-0.039
698,2.160,0.041
699,2.140,0.021
700,2.080,-0.039
701,2.100,-0.019
702,2.120,0.001
703,2.140,0.021
704,2.120,0.001
705,2.160,0.041
706,2.160,0.041
707,0.820,-1.299
708,2.200,0.080
709,1.480,-0.640
710,2.120,0.000
711,2.160,0.040
712,2.080,-0.040
713,1.920,-0.201
714,2.020,-0.101
715,2.160,0.038
716,2.080,-0.042
717,2.160,0.038
718,2.140,0.017
719,2.140,0.017
720,2.200,0.076
721,2.160,0.036
722,2.100,-0.024
723,1.920,-0.204
724,2.160,0.035
725,2.080,-0.045
726,2.160,0.035
727,2.160,0.035
728,2.160,0.035
729,2.180,0.054
730,2.180,0.054
731,2.100,-0.026
732,2.000,-0.126
733,2.080,-0.046
734,2.160,0.033
735,2.080,-0.047
736,2.160,0.033
737,2.160,0.033
738,2.140,0.013
739,2.160,0.032
740,2.160,0.032
741,2.160,0.032
742,2.200,0.072
743,2.200,0.072
744,2.160,0.031
745,2.120,-0.009
746,2.160,0.031
747,2.160,0.031
748,2.120,-0.010
749,2.120,-0.010
750,2.100,-0.030
751,2.080,-0.051
752,2.000,-0.131
753,1.820,-0.312
754,1.880,-0.252
755,1.920,-0.212
756,1.960,-0.173
757,1.960,-0.173
758,1.940,-0.194
759,1.920,-0.214
760,1.820,-0.314
761,2.020,-0.115
762,2.100,-0.035
763,2.160,0.024
764,2.180,0.044
765,2.160,0.024
766,2.160,0.023
767,2.200,0.063
768,2.200,0.062
769,2.160,0.022
770,2.160,0.022
771,2.160,0.021
772,2.140,0.001
773,2.160,0.020
774,1.600,-0.540
775,2.120,-0.020
776,2.100,-0.041
777,2.160,0.019
778,2.160,0.018
779,2.000,-0.142
780,1.920,-0.222
781,2.080,-0.063
782,2.120,-0.023
783,2.140,-0.004
784,1.520,-0.624
785,2.200,0.056
786,2.160,0.015
787,2.160,0.015
788,2.160,0.014
789,2.140,-0.006
790,2.140,-0.006
791,2.140,-0.007
792,1.940,-0.207
793,2.100,-0.048
794,2.180,0.032
795,1.360,-0.788
796,2.200,0.052
797,2.180,0.031
798,2.160,0.011
799,2.160,0.011
800,2.100,-0.050
801,2.160,0.010
802,2.040,-0.110
803,1.920,-0.231
804,2.080,-0.071
805,2.120,-0.032
806,2.140,-0.012
807,2.160,0.008
808,2.220,0.068
809,2.160,0.008
810,2.160,0.007
811,2.160,0.007
812,2.140,-0.013
813,2.120,-0.033
814,2.160,0.007
815,2.160,0.006
816,2.120,-0.034
817,2.080,-0.074
818,2.120,-0.034
819,2.160,0.006
820,2.180,0.025
821,2.100,-0.055
822,1.960,-0.195
823,1.920,-0.235
824,1.920,-0.235
825,2.080,-0.076
826,2.120,-0.036
827,2.160,0.004
828,2.200,0.044
829,2.200,0.044
830,2.180,0.023
831,2.160,0.003
832,2.160,0.003
833,2.140,-0.017
834,2.120,-0.037
835,2.120,-0.038
836,2.140,-0.018
837,2.160,0.002
838,2.160,0.002
839,2.200,0.042
840,2.220,0.061
841,2.200,0.041
842,2.180,0.021
843,2.160,0.001
844,2.120,-0.039
845,2.100,-0.060
846,2.100,-0.060
847,1.960,-0.200
848,1.760,-0.400
849,1.960,-0.200
850,2.080,-0.080
851,1.960,-0.200
852,2.040,-0.120
853,2.100,-0.060
854,2.160,0.000
855,2.160,0.000
856,2.160,0.000
857,2.160,0.000
858,2.100,-0.060
859,2.140,-0.020
860,2.160,0.000
861,2.180,0.020
862,2.160,0.000
863,2.160,0.000
864,2.180,0.020
865,1.960,-0.200
866,2.200,0.040
867,2.160,0.000
868,2.160,0.000
869,2.160,0.000
870,2.120,-0.040
871,2.060,-0.100
872,2.080,-0.080
873,2.180,0.020
874,2.120,-0.040
875,2.160,0.000
876,2.160,0.000
877,2.160,0.000
878,2.200,0.040
879,2.160,0.000
880,2.180,0.020
881,1.680,-0.480
882,2.080,-0.080
883,2.180,0.020
884,2.180,0.020
885,2.160,0.000
886,2.180,0.020
887,2.220,0.060
888,2.160,0.000
889,2.120,-0.040
890,1.960,-0.200
891,2.180,0.020
892,2.100,-0.060
893,1.720,-0.440
894,2.160,0.000
895,2.180,0.020
896,2.200,0.040
897,2.220,0.060
898,2.160,0.000
899,2.180,0.020
900,2.160,0.000
901,2.100,-0.060
902,1.860,-0.300
903,2.060,-0.100
904,2.060,-0.100
905,2.180,0.020
906,2.180,0.020
907,2.160,0.000
908,2.100,-0.060
909,2.120,-0.040
910,2.160,0.000
911,1.980,-0.180
912,2.180,0.020
913,2.180,0.020
914,2.180,0.020
915,2.180,0.020
916,2.180,0.020
917,2.180,0.020
918,2.180,0.020
919,1.880,-0.280
920,2.160,0.000
921,2.160,0.000
922,2.120,-0.040
923,2.100,-0.061
924,2.160,-0.001
925,2.200,0.039
926,2.200,0.039
927,2.160,-0.001
928,2.060,-0.102
929,1.960,-0.202
930,1.960,-0.202
931,1.940,-0.222
932,1.900,-0.262
933,2.020,-0.143
934,2.140,-0.023
935,2.180,0.017
936,2.200,0.037
937,2.220,0.057
938,2.200,0.036
939,2.200,0.036
940,2.240,0.076
941,2.200,0.036
942,2.160,-0.004
943,2.180,0.015
944,2.160,-0.005
945,2.160,-0.005
946,1.760,-0.405
947,2.160,-0.005
948,2.120,-0.046
949,2.160,-0.006
950,2.200,0.034
951,2.160,-0.006
952,2.100,-0.066
953,2.040,-0.127
954,1.940,-0.227
955,1.940,-0.227
956,1.860,-0.307
957,2.100,-0.067
958,2.160,-0.008
959,2.180,0.012
960,2.200,0.032
961,2.180,0.012
962,2.140,-0.028
963,2.160,-0.009
964,2.200,0.031
965,2.200,0.031
966,2.200,0.031
967,1.080,-1.089
968,2.180,0.010
969,2.200,0.030
970,0.640,-1.530
971,2.160,-0.010
972,2.180,0.010
973,2.180,0.010
974,2.140,-0.031
975,2.160,-0.011
976,2.180,0.009
977,2.180,0.009
978,2.080,-0.091
979,2.000,-0.172
980,1.960,-0.212
981,1.860,-0.312
982,2.120,-0.052
983,2.140,-0.032
984,2.160,-0.013
985,2.160,-0.013
986,2.160,-0.013
987,2.160,-0.013
988,2.180,0.007
989,2.200,0.026
990,2.200,0.026
991,2.200,0.026
992,2.200,0.026
993,2.180,0.006
994,2.160,-0.015
995,2.160,-0.015
996,2.160,-0.015
997,2.160,-0.015
998,2.160,-0.015
999,2.160,-0.016
1000,2.200,0.024
1001,2.260,0.084
1002,2.260,0.084
1003,2.240,0.064
1004,2.220,0.043
1005,2.180,0.003
1006,1.540,-0.637
1007,2.180,0.003
1008,2.200,0.023
1009,2.180,0.002
1010,2.200,0.022
1011,2.180,0.002
1012,2.160,-0.018
1013,2.180,0.002
1014,2.180,0.001
1015,2.180,0.001
1016,2.180,0.001
1017,1.860,-0.319
1018,1.480,-0.699
1019,1.660,-0.520
1020,2.160,-0.020
1021,2.200,0.020
1022,2.200,0.020
1023,2.180,0.000
1024,2.160,-0.020
1025,2.160,-0.020
1026,0.780,-1.400
1027,2.180,0.000
1028,2.200,0.020
1029,2.200,0.020
1030,2.180,0.000
1031,2.180,0.000
1032,2.100,-0.080
1033,2.200,0.020
1034,2.200,0.020
1035,2.200,0.020
1036,2.200,0.020
1037,2.200,0.020
1038,2.200,0.020
1039,2.200,0.020
1040,2.200,0.020
1041,2.200,0.020
1042,0.580,-1.600
1043,2.180,0.000
1044,2.180,0.000
1045,2.180,0.000
1046,2.180,0.000
1047,2.180,-0.001
1048,2.180,-0.001
1049,2.180,-0.001
1050,2.180,-0.001
1051,2.200,0.019
1052,2.200,0.018
1053,2.220,0.038
1054,2.200,0.018
1055,2.200,0.018
1056,1.420,-0.762
1057,2.160,-0.023
1058,2.160,-0.023
1059,2.200,0.017
1060,2.200,0.017
1061,2.140,-0.043
1062,2.160,-0.024
1063,2.200,0.016
1064,2.120,-0.064
1065,2.060,-0.124
1066,1.960,-0.224
1067,2.160,-0.025
1068,2.180,-0.005
1069,2.160,-0.025
1070,2.240,0.055
1071,2.200,0.015
1072,2.200,0.014
1073,2.200,0.014
1074,2.180,-0.006
1075,2.200,0.014
1076,2.200,0.014
1077,2.140,-0.047
1078,2.160,-0.027
1079,2.200,0.013
1080,2.180,-0.007
1081,2.080,-0.107
1082,2.020,-0.168
1083,1.880,-0.308
1084,2.020,-0.168
1085,2.160,-0.028
1086,2.160,-0.028
1087,2.160,-0.029
1088,2.160,-0.029
1089,2.160,-0.029
1090,2.180,-0.009
1091,2.200,0.011
1092,2.200,0.010
1093,2.220,0.030
1094,2.200,0.010
1095,2.160,-0.030
1096,1.840,-0.350
1097,1.940,-0.250
1098,1.960,-0.231
1099,2.080,-0.111
1100,2.160,-0.031
1101,2.220,0.029
1102,2.200,0.009
1103,2.140,-0.052
1104,2.180,-0.012
1105,1.880,-0.312
1106,2.180,-0.012
1107,2.160,-0.032
1108,2.200,0.007
1109,2.200,0.007
1110,2.240,0.047
1111,2.180,-0.013
1112,2.220,0.027
1113,2.180,-0.014
1114,2.000,-0.194
1115,2.080,-0.114
1116,2.220,0.026
1117,2.140,-0.054
1118,1.940,-0.255
1119,2.180,-0.015
1120,2.200,0.005
1121,2.240,0.045
1122,1.920,-0.275
1123,2.220,0.024
1124,2.200,0.004
1125,1.740,-0.456
1126,2.080,-0.116
1127,2.180,-0.016
1128,2.220,0.023
1129,2.160,-0.037
1130,2.200,0.003
1131,2.200,0.003
1132,2.180,-0.017
1133,2.200,0.002
1134,2.220,0.022
1135,2.200,0.002
1136,2.260,0.062
1137,2.340,0.142
1138,2.360,0.161
1139,1.880,-0.319
1140,2.260,0.061
1141,2.220,0.021
1142,2.200,0.001
1143,2.200,0.000
1144,2.220,0.020
1145,1.720,-0.480
1146,2.280,0.080
1147,2.300,0.100
1148,2.280,0.080
1149,2.220,0.020
1150,2.200,0.000
1151,2.220,0.020
1152,2.200,0.000
1153,2.180,-0.020
1154,2.200,0.000
1155,2.200,0.000
1156,2.160,-0.040
1157,2.200,0.000
1158,2.240,0.040
1159,2.120,-0.080
1160,2.160,-0.040
1161,2.060,-0.140
1162,2.240,0.040
1163,2.240,0.040
1164,2.220,0.020
1165,2.280,0.080
1166,2.220,0.020
1167,2.240,0.040
1168,2.200,0.000
1169,2.240,0.040
1170,2.180,-0.020
1171,2.200,0.000
1172,2.220,0.020
1173,2.000,-0.200
1174,1.920,-0.280
1175,2.160,-0.040
1176,2.200,0.000
1177,2.200,0.000
1178,2.280,0.080
1179,2.240,0.040
1180,2.220,0.020
1181,2.220,0.020
1182,2.200,0.000
1183,2.200,0.000
1184,2.200,0.000
1185,1.360,-0.840
1186,2.220,0.020
1187,2.200,0.000
1188,2.160,-0.040
1189,2.160,-0.040
1190,2.160,-0.040
1191,2.200,0.000
1192,2.220,0.020
1193,2.220,0.020
1194,2.220,0.020
1195,2.220,0.020
1196,2.220,0.020
1197,2.220,0.020
1198,2.220,0.020
1199,2.220,0.020
1200,2.220,0.020
1201,2.220,0.020
1202,2.220,0.020
1203,2.200,0.000
1204,2.200,0.000
1205,2.180,-0.020
1206,2.180,-0.020
1207,2.180,-0.020
1208,2.180,-0.021
1209,2.160,-0.041
1210,2.160,-0.041
1211,2.160,-0.041
1212,2.160,-0.041
1213,2.160,-0.042
1214,2.160,-0.042
1215,2.160,-0.042
1216,2.160,-0.042
1217,2.180,-0.022
1218,2.200,-0.003
1219,2.220,0.017
1220,2.240,0.037
1221,2.240,0.037
1222,2.200,-0.003
1223,2.020,-0.184
1224,2.120,-0.084
1225,2.000,-0.204
1226,1.920,-0.284
1227,2.140,-0.064
1228,2.160,-0.045
1229,2.180,-0.025
1230,2.200,-0.005
1231,2.240,0.035
1232,2.260,0.055
1233,2.260,0.054
1234,2.240,0.034
1235,2.200,-0.006
1236,2.180,-0.026
1237,2.180,-0.026
1238,2.200,-0.007
1239,2.240,0.033
