% ____________________________________________________________________
%         
%                       Data Diskette for
%                   CASE STUDIES IN BIOMETRY
% 
% By Nicholas Lange, Louise Ryan and Lynne Brillard, David Brillinger,
% Loveday Conquest, Joel Greenhouse.
% 
% Published by John Wiley & Sons, Inc., copyright 1994.  
% ____________________________________________________________________
% 
% You have obtained all of the data used by all of the authors in the
% twenty-one chapters of Case Studies in Biometry.  
% 
% Each chapter contains either one or two data sets, except for Chapter 19,
% which has seven data sets. Corresponding to each data set are ASCII files
% with extensions ".dat" (the data), ".txt" (the data description file), and 
% ".sas" (a simple SAS program to read the .dat file). 
% 
% For chapters containing only one data set, the file name prefix is 
% "ch" followed by chapter number, and then the above extensions.
% For instance, for Chapter 2 you will find files "ch2.dat",
% "ch2.txt", and "ch2.sas".
% 
% For chapters containing two data sets, the letters "a" and "b" are
% added after the chapter number. For instance, for Chapter 1, you will
% find the files "ch1a.dat", "ch1a.txt", "ch1a.sas", "ch1b.dat",
% "ch1b.txt", "ch1b.sas".
% 
% For chapter 19, there are seven data sets, ch19a.dat
% through ch19g.dat.  Each one has the same format, but
% refers to different subsets of the whole data
% set.  Details are given in the single text file, ch19.txt.
% 
% Please note permissions and usage information included in
% the .txt file for each subset.
% _______________________________________________________________
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File: ch5.dat
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File specific Information:
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% CASE STUDIES IN BIOMETRY: Chapter 5.
% 
% Estimating Pine Seedling Response to Ozone and Acid Rain
% 
% John O. Rawlings and Susan E. Spruill
% 
% The data set ch5.dat contains the following variables:
% 
% 1.  site: coded 1-6 corresponding to the location code used in Table 1.
% 2.  block: block within site coded 1, 2, ... within sites for the RCB designs;
%     block=1 for all observations for the CRD designs, sites 5 and 6.
% 3.  rep: replication within site coded as missing in sites 1-4;
%     coded as 1, 2, ... for replicates in the CRD design.
% 4.  ozone: target ozone treatment, coded 0.0=charcoal filtered air, 
%     1.0=nonfiltered air, "x.x"=target level of ozone as multiple of 
%     ambient ozone level.
% 5.  rain:  acidic rain treatment, coded as pH of rain solution.
% 6.  fam:  genetic family, coded as 1, 2, ... within sites.
% 7.  ppmhrs:  cumulative ozone exposure (ppm-h) during the two years of
%     the trials.
% 8.  vwpH:  cumulative exposure to acidic rain computed as vwpH 
%     = -log(sum(volume*hydrogen ion concentration)).
% 9.  biomass:  total above ground biomass (g) after two growing seasons.
% 10. diam:  increment of diameter growth (mm) during the two growing seasons.
% 11. DMA:  whole-plot component of the covariate initial diameter (mm)
%     expressed as the deviation of the whole-plot mean from the overall
%     site mean.
% 12. DMB:  sub-plot component of the covariate initial diameter (mm)
%     expressed as the deviation of the subplot mean from the whole-plot mean.
% 13. D2HA: whole-plot component of the covariate initial volume, 
%     approximated as diameter squared times height, and expressed as
%     the deviation of the whole-plot mean from the overall site mean.
% 14. D2HB:  sub-plot component of the covariate initial volume and
%     expressed as the deviation of the subplot mean from the whole-plot mean.
% 15. DMOT:  depth to mottling (cm) of the clay soil; one measurement
%     per whole-plot. 
% 
% Missing data are coded with '.'
% 
% 
% NOTE:  The authors have on file letters of permission from
% each of the principal investigators to use the SCFRC data
% in a chapter in the book entitled CASE STUDIES IN BIOMETRY,
% and for the data used in this case study to
% be made available to the readers. 
% 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation csb-ch5

@attribute site INTEGER
@attribute block INTEGER
@attribute rep {1,2}
@attribute ozone REAL
@attribute rain REAL
@attribute fam INTEGER
@attribute ppmhrs REAL
@attribute vwpH REAL
@attribute biomass REAL
@attribute diam REAL
@attribute DMA REAL
@attribute DMB REAL
@attribute D2HA REAL
@attribute D2HB REAL
@attribute DMOT REAL

@data
1,2,?,1.7,3.3,2,370.00,-0.865,1015.13,42.52,0.44,-0.72,4.52,-5.50,?
1,2,?,1.7,4.3,1,379.00,0.151,1138.54,46.22,-0.44,0.73,-2.39,2.99,?
1,2,?,1.7,4.3,2,379.00,0.151,1140.60,49.67,-0.44,-0.73,-2.39,-2.99,?
1,2,?,1.7,5.3,1,376.00,1.199,838.12,42.12,-0.14,0.39,-2.59,1.59,?
1,2,?,1.7,5.3,2,376.00,1.199,617.49,32.67,-0.14,-0.39,-2.59,-1.59,?
1,2,?,2.5,3.3,1,533.00,-0.852,1341.00,55.61,0.13,0.05,1.07,-0.20,?
1,2,?,2.5,3.3,2,533.00,-0.852,936.41,44.74,0.13,-0.05,1.07,0.20,?
1,2,?,2.5,4.3,1,541.00,0.122,1651.27,54.63,0.20,0.80,0.20,4.93,?
1,2,?,2.5,4.3,2,541.00,0.122,946.71,35.22,0.20,-0.80,0.20,-4.93,?
1,2,?,2.5,5.3,1,536.00,1.221,554.39,34.37,-0.35,0.18,-1.83,0.41,?
1,2,?,2.5,5.3,2,536.00,1.221,878.97,39.73,-0.35,-0.18,-1.83,-0.41,?
2,1,?,1.7,3.3,1,285.14,-1.117,295.80,24.84,-0.07,-0.68,-0.13,-5.20,?
2,1,?,1.7,3.3,2,285.14,-1.117,355.44,27.97,-0.07,0.51,-0.13,4.46,?
2,1,?,1.7,3.3,3,285.14,-1.117,297.53,25.71,-0.07,-0.40,-0.13,-3.56,?
2,1,?,1.7,3.3,4,285.14,-1.117,370.68,25.99,-0.07,0.57,-0.13,4.30,?
2,1,?,1.7,4.3,1,280.21,-0.116,321.71,23.10,0.05,-0.51,1.02,-3.35,?
2,1,?,1.7,4.3,2,280.21,-0.116,355.07,24.25,0.05,0.09,1.02,1.67,?
2,1,?,1.7,4.3,3,280.21,-0.116,310.82,25.33,0.05,-0.06,1.02,-1.51,?
2,1,?,1.7,4.3,4,280.21,-0.116,413.09,25.08,0.05,0.55,1.02,3.64,?
2,1,?,1.7,5.3,1,263.50,0.852,315.22,20.98,-0.21,-0.18,-2.25,-2.15,?
2,1,?,1.7,5.3,2,263.50,0.852,407.78,22.82,-0.21,0.01,-2.25,0.58,?
2,1,?,1.7,5.3,3,263.50,0.852,268.52,24.95,-0.21,-0.09,-2.25,-0.32,?
2,1,?,1.7,5.3,4,263.50,0.852,175.39,20.65,-0.21,0.26,-2.25,1.96,?
2,1,?,2.5,3.3,1,363.32,-1.091,268.55,19.80,-0.81,0.29,-6.02,2.11,?
2,1,?,2.5,3.3,2,363.32,-1.091,161.12,20.86,-0.81,0.36,-6.02,1.70,?
2,1,?,2.5,3.3,3,363.32,-1.091,242.50,21.34,-0.81,-0.51,-6.02,-3.00,?
2,1,?,2.5,3.3,4,363.32,-1.091,155.45,19.08,-0.81,-0.06,-6.02,-0.43,?
2,1,?,2.5,4.3,1,352.19,-0.123,255.52,22.76,-0.08,0.64,-0.79,3.18,?
2,1,?,2.5,4.3,2,352.19,-0.123,191.00,18.16,-0.08,-0.03,-0.79,-0.91,?
2,1,?,2.5,4.3,3,352.19,-0.123,175.67,19.20,-0.08,0.06,-0.79,0.53,?
2,1,?,2.5,4.3,4,352.19,-0.123,201.54,19.80,-0.08,-0.77,-0.79,-3.34,?
2,1,?,2.5,5.3,1,368.29,0.879,349.85,22.39,-0.44,-0.04,-3.70,-1.25,?
2,1,?,2.5,5.3,2,368.29,0.879,207.15,20.72,-0.44,0.31,-3.70,0.91,?
2,1,?,2.5,5.3,3,368.29,0.879,270.43,23.41,-0.44,-0.01,-3.70,1.51,?
2,1,?,2.5,5.3,4,368.29,0.879,175.42,19.66,-0.44,-0.25,-3.70,-1.18,?
2,1,?,1.0,3.3,1,163.08,-1.108,331.17,27.40,0.24,-0.21,0.22,-3.01,?
2,1,?,1.0,3.3,2,163.08,-1.108,392.87,26.80,0.24,0.37,0.22,4.01,?
2,1,?,1.0,3.3,3,163.08,-1.108,350.38,23.55,0.24,-0.62,0.22,-3.98,?
2,1,?,1.0,3.3,4,163.08,-1.108,354.17,26.46,0.24,0.47,0.22,2.98,?
2,1,?,1.0,4.3,1,171.23,-0.099,184.18,19.66,-0.43,-0.54,-2.88,-3.65,?
2,1,?,1.0,4.3,2,171.23,-0.099,229.93,20.13,-0.43,-0.06,-2.88,0.37,?
2,1,?,1.0,4.3,3,171.23,-0.099,262.66,20.21,-0.43,-0.23,-2.88,-1.71,?
2,1,?,1.0,4.3,4,171.23,-0.099,237.01,21.50,-0.43,0.83,-2.88,4.98,?
2,1,?,1.0,5.3,1,166.48,0.891,287.20,22.52,-0.50,-0.08,-3.97,-0.97,?
2,1,?,1.0,5.3,2,166.48,0.891,222.16,21.58,-0.50,-0.23,-3.97,-0.27,?
2,1,?,1.0,5.3,3,166.48,0.891,391.41,24.88,-0.50,-0.02,-3.97,0.27,?
2,1,?,1.0,5.3,4,166.48,0.891,178.70,17.64,-0.50,0.33,-3.97,0.97,?
2,1,?,0.0,3.3,1,32.03,-1.101,444.90,25.35,1.04,-0.42,7.88,-4.79,?
2,1,?,0.0,3.3,2,32.03,-1.101,373.88,25.64,1.04,0.63,7.88,2.64,?
2,1,?,0.0,3.3,3,32.03,-1.101,366.48,26.55,1.04,0.11,7.88,3.12,?
2,1,?,0.0,3.3,4,32.03,-1.101,480.01,23.47,1.04,-0.33,7.88,-0.96,?
2,1,?,0.0,4.3,1,29.93,-0.118,357.79,24.59,0.06,0.69,0.06,3.32,?
2,1,?,0.0,4.3,2,29.93,-0.118,281.30,23.76,0.06,0.02,0.06,-1.08,?
2,1,?,0.0,4.3,3,29.93,-0.118,348.51,25.29,0.06,0.10,0.06,3.52,?
2,1,?,0.0,4.3,4,29.93,-0.118,226.78,23.13,0.06,-0.81,0.06,-5.76,?
2,1,?,0.0,5.3,1,33.93,0.846,158.58,16.89,-1.08,-0.21,-7.01,-2.68,?
2,1,?,0.0,5.3,2,33.93,0.846,136.18,16.54,-1.08,-0.17,-7.01,-0.36,?
2,1,?,0.0,5.3,3,33.93,0.846,233.26,20.45,-1.08,-0.07,-7.01,-0.23,?
2,1,?,0.0,5.3,4,33.93,0.846,178.95,16.73,-1.08,0.45,-7.01,3.75,?
2,2,?,1.7,3.3,1,292.18,-1.114,433.51,22.70,0.78,-0.50,7.02,-5.62,?
2,2,?,1.7,3.3,2,292.18,-1.114,306.76,24.04,0.78,0.19,7.02,-0.57,?
2,2,?,1.7,3.3,3,292.18,-1.114,291.22,23.26,0.78,-0.17,7.02,-2.10,?
2,2,?,1.7,3.3,4,292.18,-1.114,465.59,23.30,0.78,0.57,7.02,9.39,?
2,2,?,1.7,4.3,1,280.14,-0.130,432.10,27.08,1.48,-0.35,10.91,-3.09,?
2,2,?,1.7,4.3,2,280.14,-0.130,497.90,27.87,1.48,0.19,10.91,1.85,?
2,2,?,1.7,4.3,3,280.14,-0.130,574.25,27.18,1.48,-0.25,10.91,-0.24,?
2,2,?,1.7,4.3,4,280.14,-0.130,554.97,26.96,1.48,0.41,10.91,1.49,?
2,2,?,1.7,5.3,1,289.08,0.858,274.72,20.90,0.36,-1.03,2.26,-9.22,?
2,2,?,1.7,5.3,2,289.08,0.858,256.11,20.38,0.36,0.66,2.26,5.24,?
2,2,?,1.7,5.3,3,289.08,0.858,388.97,25.69,0.36,0.67,2.26,7.08,?
2,2,?,1.7,5.3,4,289.08,0.858,207.80,17.71,0.36,-0.30,2.26,-3.10,?
2,2,?,2.5,3.3,1,380.64,-1.087,248.88,21.74,0.01,0.60,-0.32,1.56,?
2,2,?,2.5,3.3,2,380.64,-1.087,191.22,20.33,0.01,-0.26,-0.32,-1.00,?
2,2,?,2.5,3.3,3,380.64,-1.087,236.68,20.26,0.01,0.25,-0.32,1.85,?
2,2,?,2.5,3.3,4,380.64,-1.087,205.86,18.79,0.01,-0.68,-0.32,-2.75,?
2,2,?,2.5,4.3,1,367.73,-0.103,288.50,22.79,-0.59,-0.74,-4.02,-3.47,?
2,2,?,2.5,4.3,2,367.73,-0.103,295.45,23.98,-0.59,0.01,-4.02,0.00,?
2,2,?,2.5,4.3,3,367.73,-0.103,256.70,22.76,-0.59,0.14,-4.02,0.96,?
2,2,?,2.5,4.3,4,367.73,-0.103,222.40,20.90,-0.59,0.58,-4.02,2.52,?
2,2,?,2.5,5.3,1,377.03,0.855,94.10,16.31,-0.84,-0.36,-5.60,-1.27,?
2,2,?,2.5,5.3,2,377.03,0.855,270.70,20.41,-0.84,0.07,-5.60,-0.52,?
2,2,?,2.5,5.3,3,377.03,0.855,209.79,17.80,-0.84,-0.02,-5.60,0.35,?
2,2,?,2.5,5.3,4,377.03,0.855,149.11,17.89,-0.84,0.36,-5.60,1.63,?
2,2,?,1.0,3.3,1,67.77,-1.119,349.00,24.81,-0.72,0.03,-5.30,-1.16,?
2,2,?,1.0,3.3,2,167.77,-1.119,305.88,25.15,-0.72,-0.13,-5.30,0.52,?
2,2,?,1.0,3.3,3,167.77,-1.119,311.03,23.98,-0.72,-0.15,-5.30,-0.73,?
2,2,?,1.0,3.3,4,167.77,-1.119,313.26,22.96,-0.72,0.24,-5.30,1.37,?
2,2,?,1.0,4.3,1,165.71,-0.127,233.90,23.95,0.37,-0.51,1.82,-4.59,?
2,2,?,1.0,4.3,2,165.71,-0.127,330.14,24.75,0.37,0.44,1.82,6.37,?
2,2,?,1.0,4.3,3,165.71,-0.127,301.95,24.58,0.37,-0.52,1.82,-4.19,?
2,2,?,1.0,4.3,4,165.71,-0.127,245.69,21.65,0.37,0.59,1.82,2.42,?
2,2,?,1.0,5.3,1,166.85,0.847,190.93,20.74,-0.12,0.08,-2.21,-0.30,?
2,2,?,1.0,5.3,2,166.85,0.847,187.08,20.30,-0.12,-0.55,-2.21,-3.33,?
2,2,?,1.0,5.3,3,166.85,0.847,291.80,22.27,-0.12,0.57,-2.21,4.35,?
2,2,?,1.0,5.3,4,166.85,0.847,178.84,18.62,-0.12,-0.10,-2.21,-0.72,?
2,2,?,0.0,3.3,1,30.93,-1.105,280.76,28.05,-0.37,-0.02,-1.97,-0.35,?
2,2,?,0.0,3.3,2,30.93,-1.105,387.37,26.71,-0.37,-0.32,-1.97,-2.44,?
2,2,?,0.0,3.3,3,30.93,-1.105,240.38,24.36,-0.37,-0.28,-1.97,-3.07,?
2,2,?,0.0,3.3,4,30.93,-1.105,250.87,24.24,-0.37,0.63,-1.97,5.87,?
2,2,?,0.0,4.3,1,30.89,-0.111,364.62,23.26,1.05,-0.19,9.59,-4.74,?
2,2,?,0.0,4.3,2,30.89,-0.111,445.77,23.61,1.05,0.14,9.59,1.40,?
2,2,?,0.0,4.3,3,30.89,-0.111,286.46,20.85,1.05,-0.14,9.59,-0.33,?
2,2,?,0.0,4.3,4,30.89,-0.111,397.92,24.28,1.05,0.19,9.59,3.67,?
2,2,?,0.0,5.3,1,27.59,0.883,428.78,23.40,0.78,0.64,4.90,1.88,?
2,2,?,0.0,5.3,2,27.59,0.883,283.02,22.46,0.78,-0.40,4.90,-1.23,?
2,2,?,0.0,5.3,3,27.59,0.883,388.08,27.32,0.78,-0.15,4.90,-1.23,?
2,2,?,0.0,5.3,4,27.59,0.883,334.95,23.10,0.78,-0.11,4.90,0.66,?
3,1,?,1.5,3.3,1,392.00,-0.385,697.57,38.30,-0.12,-0.60,-0.79,-3.53,?
3,1,?,1.5,3.3,2,392.00,-0.385,644.62,37.50,-0.12,-0.60,-0.79,-2.99,?
3,1,?,1.5,3.3,3,392.00,-0.385,948.02,42.60,-0.12,1.20,-0.79,6.51,?
3,1,?,1.5,5.3,1,395.00,1.475,575.55,31.60,1.08,-0.30,5.13,1.14,?
3,1,?,1.5,5.3,2,395.00,1.475,833.09,34.00,1.08,0.30,5.13,-0.22,?
3,1,?,1.5,5.3,3,395.00,1.475,1094.49,43.40,1.08,0.00,5.13,-0.92,?
3,1,?,2.2,3.3,1,563.00,-0.385,270.60,22.80,0.44,0.03,2.89,-1.50,?
3,1,?,2.2,3.3,2,563.00,-0.385,1203.95,47.40,0.44,-1.07,2.89,-4.67,?
3,1,?,2.2,3.3,3,563.00,-0.385,1050.52,42.30,0.44,1.03,2.89,6.17,?
3,1,?,2.2,5.3,1,577.00,1.475,239.11,21.70,-0.22,-1.30,-2.36,-6.31,?
3,1,?,2.2,5.3,2,577.00,1.475,255.95,21.00,-0.22,-0.20,-2.36,-0.85,?
3,1,?,2.2,5.3,3,577.00,1.475,883.97,41.10,-0.22,1.50,-2.36,7.15,?
3,1,?,3.0,3.3,1,752.00,-0.385,317.60,21.20,0.88,0.60,3.65,2.71,?
3,1,?,3.0,3.3,2,752.00,-0.385,168.56,16.20,0.88,-0.50,3.65,-3.93,?
3,1,?,3.0,3.3,3,752.00,-0.385,660.42,36.80,0.88,-0.10,3.65,1.22,?
3,1,?,3.0,5.3,1,754.00,1.475,521.89,34.80,-0.72,0.10,-3.51,-0.88,?
3,1,?,3.0,5.3,2,754.00,1.475,253.26,25.30,-0.72,1.20,-3.51,5.41,?
3,1,?,3.0,5.3,3,754.00,1.475,199.74,24.10,-0.72,-1.30,-3.51,-4.54,?
3,1,?,0.0,3.3,1,113.00,-0.385,963.61,43.20,-1.29,1.57,-4.52,6.09,?
3,1,?,0.0,3.3,2,113.00,-0.385,460.47,31.60,-1.29,-0.83,-4.52,-3.22,?
3,1,?,0.0,3.3,3,113.00,-0.385,474.23,30.80,-1.29,-0.73,-4.52,-2.87,?
3,1,?,0.0,5.3,1,124.00,1.475,832.64,39.30,-1.69,1.97,-5.94,6.29,?
3,1,?,0.0,5.3,2,124.00,1.475,540.23,31.00,-1.69,-0.83,-5.94,-3.13,?
3,1,?,0.0,5.3,3,124.00,1.475,244.55,23.00,-1.69,-1.13,-5.94,-3.16,?
3,1,?,1.0,3.3,1,263.00,-0.385,655.77,34.30,0.44,1.73,1.36,4.91,?
3,1,?,1.0,3.3,2,263.00,-0.385,359.68,28.00,0.44,-2.27,1.36,-9.09,?
3,1,?,1.0,3.3,3,263.00,-0.385,670.52,37.30,0.44,0.53,1.36,4.18,?
3,1,?,1.0,5.3,1,254.00,1.475,411.27,26.30,-0.02,-1.00,-0.10,-4.59,?
3,1,?,1.0,5.3,2,254.00,1.475,575.51,28.60,-0.02,0.20,-0.10,-0.66,?
3,1,?,1.0,5.3,3,254.00,1.475,1021.69,35.40,-0.02,0.80,-0.10,5.25,?
3,2,?,1.5,3.3,1,383.00,-0.385,815.40,37.20,0.24,0.53,0.11,1.94,?
3,2,?,1.5,3.3,2,383.00,-0.385,1110.13,45.60,0.24,-1.57,0.11,-5.66,?
3,2,?,1.5,3.3,3,383.00,-0.385,1231.35,43.30,0.24,1.03,0.11,3.72,?
3,2,?,1.5,5.3,1,383.00,1.475,1365.56,47.80,0.34,0.03,1.42,0.32,?
3,2,?,1.5,5.3,2,383.00,1.475,1356.49,45.20,0.34,-0.27,1.42,-0.68,?
3,2,?,1.5,5.3,3,383.00,1.475,663.23,31.80,0.34,0.23,1.42,0.37,?
3,2,?,2.2,3.3,1,578.00,-0.385,986.81,41.40,0.48,1.80,3.65,11.57,?
3,2,?,2.2,3.3,2,578.00,-0.385,562.73,31.00,0.48,-0.50,3.65,-4.88,?
3,2,?,2.2,3.3,3,578.00,-0.385,627.21,34.30,0.48,-1.30,3.65,-6.69,?
3,2,?,2.2,5.3,1,561.00,1.475,787.17,38.20,-0.26,1.63,-0.66,7.54,?
3,2,?,2.2,5.3,2,561.00,1.475,557.60,34.10,-0.26,-1.27,-0.66,-5.30,?
3,2,?,2.2,5.3,3,561.00,1.475,338.20,29.50,-0.26,-0.37,-0.66,-2.24,?
3,2,?,3.0,3.3,1,763.00,-0.385,413.67,22.70,1.41,0.77,5.94,4.30,?
3,2,?,3.0,3.3,2,763.00,-0.385,226.26,20.60,1.41,-1.73,5.94,-8.42,?
3,2,?,3.0,3.3,3,763.00,-0.385,525.34,28.70,1.41,0.97,5.94,4.12,?
3,2,?,3.0,5.3,1,755.00,1.475,212.12,20.90,1.28,0.10,7.45,-1.55,?
