% The data are a subsample of 500 observations from a data set
% that originate in a study where air pollution at a road is
% related to traffic volume and meteorological variables,
% collected by the Norwegian Public Roads Administration. The
% response variable (column 1) consist of hourly values of the
% logarithm of the concentration of NO2 (particles), measured at
% Alnabru in Oslo, Norway, between October 2001 and August 2003.
% The predictor variables (columns 2 to 8) are the logarithm of
% the number of cars per hour, temperature $2$ meter above ground
% (degree C), wind speed (meters/second), the temperature
% difference between $25$ and $2$ meters above ground (degree C),
% wind direction (degrees between 0 and 360), hour of day and day
% number from October 1. 2001. Submitted by Magne Aldrin
% (magne.aldrin@nr.no). [28/Jul/04] (19kbytes)
%
% Note: description of data is from this website
%       http://lib.stat.cmu.edu/datasets/
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation no2

@attribute no2_concentration REAL
@attribute cars_per_hour REAL
@attribute temperature_at_2m REAL
@attribute wind_speed REAL
@attribute temperature_diff_2m_25m REAL
@attribute wind_direction REAL
@attribute hour_of_day INTEGER
@attribute day INTEGER

@data
2.4248,5.64545,0.3,7.1,-0.1,69.5,2,425
3.45632,6.632,4.1,3.9,0.3,212,6,106
4.26127,7.64012,5.9,2.4,2.6,249,16,48
2.57261,6.86589,-6.8,6.9,-0.1,50,10,90
3.79549,6.6896,0.3,0.6,0.7,252,21,104
4.08429,7.36771,1.8,1.7,0.7,91,22,140
5.11259,7.6256,-7.9,1,-0.2,188.9,12,443
3.37417,5.50533,3.4,6.3,0.6,186,2,475
4.13035,8.06778,3.9,2.8,-0.1,43.5,18,576
4.35927,7.76345,9.2,5.7,-0.9,199,14,212
4.27667,8.25713,11,5.5,-1,216,17,193
2.69463,5.57595,-3.5,4.6,-0.1,62.3,5,418
4.04655,7.93487,9.7,1.8,-0.6,255.5,15,529
3.91202,6.32972,1.5,1.6,0.5,275,24,114
3.19458,4.83628,2,1.7,-0.1,63.1,4,549
4.01998,7.78322,3.7,2.2,0,40.5,19,576
3.2068,7.67276,-7.1,1.5,-0.4,53.1,15,517
3.8111,8.22013,2,3.5,-0.2,82,8,64
3.87536,7.53155,-0.7,3.3,-0.2,179.3,20,522
4.43438,7.83992,1,6.9,-0.3,81.7,11,558
2.85647,5.0626,2.4,2.1,0.3,216,4,177
4.2312,8.17245,4.2,5.9,0.3,214,16,108
4.11087,8.24905,0.8,1.3,0.2,215,8,162
3.48124,6.53088,0.5,2.1,0,83,23,58
4.10099,8.18702,-4,0.9,0.9,245.9,16,513
3.32504,7.81682,-3.6,4,0,43.4,18,409
4.75014,7.62462,3.8,2,2.8,283.1,20,543
2.62467,7.23634,5,3.5,-0.1,62,23,196
3.99268,7.98718,-1.6,5.3,0.6,227,18,81
3.95316,7.41156,3.3,6.8,1,197.2,20,472
3.89589,7.91681,-9.1,1.6,0.6,21,14,83
5.115,7.84463,-0.1,1,1.8,174,18,50
2.11626,4.68213,-7.6,4.4,0.1,66.2,3,407
3.71113,8.21311,1.1,9.3,0.1,213.9,17,481
4.3399,6.1506,-0.6,1.3,1.2,337,7,146
2.00148,6.29342,5.6,4.3,0,98,1,211
4.2312,5.8944,-1,1.9,2.7,164,1,397
3.96651,6.57088,5.5,0.8,0.1,89,6,206
4.14155,8.3163,6.3,1.2,1.3,265,17,33
4.21065,7.83003,9.5,0.8,0.1,110.7,19,597
4.54223,8.26178,1,3.4,1.3,248,8,43
3.9279,5.47227,-3.8,3.6,1.9,76.7,6,469
2.93916,6.53088,-4.2,3.8,0.1,64.3,8,503
2.5177,7.0775,4.9,4.9,-0.1,229,11,126
3.39786,4.77912,-3.7,0.9,-0.1,311,2,513
3.19458,5.7462,-6.4,5.1,-0.1,82,6,118
3.82864,4.77912,-1,1.1,2.3,291,3,36
1.335,5.47646,-1,4.4,0.4,5.8,5,553
4.44852,7.87131,5.9,1.3,-0.1,85,9,184
3.71601,7.19519,-2.5,5,0,66.3,22,427
1.79176,4.89035,-4.1,6.3,-0.1,45.1,6,455
4.75617,7.82724,-10.1,1.7,0.6,70.8,7,443
3.88773,5.71043,-2.1,1,0.5,211,6,55
2.95491,4.80402,2.8,5,-0.1,80,4,186
4.31482,7.93164,14.2,8.1,-2.1,209.1,14,577
4.12066,8.17527,-3.9,2.8,0.3,52.4,16,486
3.37759,5.76205,0.1,0.4,0.2,145,2,112
3.99083,7.02909,-16.2,2.6,0.9,73,22,91
4.11087,7.62217,-3.4,2.9,1.7,213,20,81
3.01062,7.17396,-7,7.8,-0.1,49,11,90
4.10759,7.5475,-8,0.3,-0.2,289,14,95
2.54945,5.52943,-1.5,7.5,0.3,3,5,40
1.50408,5.86079,6.5,3.6,0.1,49,2,196
3.57235,7.32778,-4.9,4.6,0.3,359,21,116
4.56331,8.1778,-4.2,1.4,0.2,86,16,101
4.38577,7.73237,-5.2,0.6,0.1,91,7,74
3.44042,6.79571,-4,3.7,-0.2,56.9,11,434
1.72277,6.06146,-4.7,4.8,-0.3,44.8,9,406
4.29729,7.6353,9.5,1.6,-5.4,226.6,11,529
3.35341,7.04925,2.3,3.1,0.7,225,22,120
4.3386,7.67879,4.1,4.4,0.5,297.1,10,473
2.99072,6.93925,4.2,5.5,-0.4,238,9,160
4.237,6.3315,-5.1,1.6,1,251.6,8,468
4.5819,8.26256,3.8,0.7,-0.4,161,8,191
4.17285,7.91498,-3.5,1.8,0.2,222,18,520
3.56105,6.39024,2,0.6,1.1,177,7,139
3.16548,6.34036,-4.1,2.9,-0.1,60.6,8,433
4.39198,7.91206,-5.2,4.5,-0.1,76,9,120
3.01062,7.96728,9.8,2.2,0,44,18,189
4.40672,7.83637,8.9,0.5,-0.6,296,15,184
4.29729,8.21203,2.9,2.2,-0.1,73,17,129
2.64617,5.44674,1.6,2.9,-0.1,220.9,5,545
3.84588,7.66763,0.6,5.8,0,42.1,14,480
4.62399,7.59337,-7.5,3.2,-0.2,59.7,11,435
3.68888,6.52649,-0.3,6.1,-0.2,68.9,6,429
3.79098,8.31899,1.6,2.7,-0.3,209.9,16,523
3.96081,7.32712,9.3,4.3,-0.2,214.1,21,582
4.51196,7.25276,1.1,1.4,1.2,78.9,21,530
3.82647,7.9848,-8.8,2.1,-0.2,48,15,88
4.58802,6.64509,-6.8,1.1,0.1,145.8,24,444
3.02529,7.05531,11.2,3.3,2.3,302.8,23,604
3.66356,7.80344,4.9,2.9,0.4,189,15,133
3.48431,7.61283,20.3,4.2,-3.9,278.9,10,607
2.55723,7.67555,6.8,9.9,-0.2,249,15,160
4.83787,8.19589,-4.2,0.8,0.4,247.2,16,445
4.30271,8.13124,4.1,6.5,0,58.1,9,576
3.25424,6.92756,1.8,4.2,0.3,207,23,130
3.85862,7.52348,3.4,6,0.2,191,14,482
4.21656,7.0076,-3.4,1.5,1.7,76,23,44
4.08261,8.19616,-4.1,0.4,0.4,270.5,17,401
2.5337,4.81218,-6.4,4.7,0.4,75.9,7,451
3.61092,7.61431,0.9,3.9,0.1,107,19,65
3.45947,7.94058,4.3,5.6,-0.9,64,12,174
3.23475,7.4378,2.1,1.6,1,205,20,178
3.84802,8.01334,1.2,2.3,0.1,245,17,168
3.23868,4.54329,6.5,3.7,0,80,4,185
4.23555,7.97488,-1.6,3.5,0.5,34.5,18,480
2.87356,7.23634,1.2,4.3,0,64.3,21,404
4.41764,8.25192,0,3.5,-0.2,77,8,157
4.14155,7.57147,8.4,1.8,-0.9,108,13,191
3.14845,6.74993,-2.8,2,-0.9,231.8,10,504
2.4248,4.56435,-3.9,1.4,-0.1,76.8,4,521
4.02535,6.95559,-7.5,1.3,2.3,236,20,86
4.21656,7.5974,0.3,0.8,1.7,113.3,22,483
3.46574,5.88888,9,1,0.2,151.6,2,601
2.83321,5.64191,4.6,2.5,0.7,229,2,125
2.44235,6.4151,3.6,4,0,68.2,24,573
4.16667,7.85941,1.3,2.2,0.2,227,7,141
4.22244,5.86363,-0.6,0.6,1.7,142,1,79
4.60717,7.82285,3.4,2.3,0.5,8,15,44
1.62924,5.50533,1.5,4.3,0.2,156,4,62
4.3,8.19864,2.4,3.4,0.4,186,16,148
2.73437,6.12249,4.5,2.9,0.6,196,1,125
4.89933,7.98071,-11.6,3.1,0.3,78.8,9,444
4.07414,7.9179,2.7,2.5,0,212,9,131
4.02356,7.71423,-2.1,3.2,-0.1,39.9,7,432
4.25135,7.95893,-1.7,3.7,0,40.8,15,431
3.65325,7.61628,5.1,2.9,1.1,192,20,192
4.26549,5.17615,-2.7,2.2,1.5,219,3,153
4.47506,7.29029,10.8,2.3,0.5,85.5,22,570
3.16969,7.82084,18.1,3.7,-2.1,244,16,568
2.80336,6.87316,5.6,7,0.6,191,21,125
3.69387,7.96207,7.3,2.8,0.7,317,16,35
3.88568,6.92166,6.4,0.5,-2.1,71,9,188
4.35414,7.6834,3.6,2.9,-0.3,74,10,187
4.4128,7.21008,-1.8,1.8,1.1,2,21,135
3.08649,4.84419,7.7,3.5,0.1,81.8,4,589
4.37827,8.19589,-3.2,2,3,211.7,17,400
3.87536,6.86485,0.8,1.5,-0.1,231.5,23,540
4.05352,7.79194,8,4.1,-0.2,207.6,13,585
4.19117,5.77144,-0.4,0.4,1.9,240.4,2,539
3.10459,8.21906,11.6,5.5,-2.5,231.4,8,586
4.19117,7.71244,-9.9,2.7,0.7,78,21,119
4.25561,7.86019,-4.9,2.6,-0.1,243.1,9,481
3.18221,6.8977,-1.4,4.8,-0.1,72,23,57
2.72785,7.18992,7,4.1,0.4,159,22,212
4.28496,7.79975,-0.8,0.8,1.1,80,18,113
3.09558,5.54126,-1.4,2.2,1.7,212,1,142
4.39198,7.94201,-4.2,1.3,-0.2,240,15,74
3.24649,5.20401,6.7,1.5,0,80.5,2,592
4.27528,7.42536,1.1,1.5,2.2,273.1,20,540
2.78501,6.64379,-5.7,1.9,-0.3,74.2,23,517
3.79549,7.83003,6.4,4.3,-0.1,30.4,13,397
4.15261,5.17615,-1.7,0.4,1.1,183.1,5,535
4.07244,6.53669,-0.8,2,0.8,70.6,24,514
4.36055,7.64588,5,1.5,-1.1,243.2,14,527
3.07269,7.61825,8.4,2.8,-1.1,133.1,13,581
2.79728,4.62497,-9.6,2.9,0.8,73,6,86
3.59731,7.46851,-3.5,0.7,0.2,165.1,20,520
4.55703,7.74803,-4.1,2,-0.1,85,15,99
4.70863,7.52726,-6.4,3.3,0,60.5,13,435
4.3108,7.88758,-5,4.7,-0.1,47.2,9,409
3.59182,6.80351,-9.3,3.6,0.3,73,8,83
4.14472,7.80098,8.5,4.5,-0.2,203.2,19,591
3.02042,7.96346,3.6,3.2,1.2,268,18,42
3.17388,6.91473,4.8,4.6,0.2,199,23,109
4.30676,7.80262,-4.6,5.7,-0.2,81,18,122
3.81551,7.51152,0.4,3,-0.8,89.8,11,398
2.83908,7.47022,10.8,2.6,-3.5,262,12,203
3.83945,5.273,-13.8,3.8,0.2,79,5,95
3.85651,8.14989,5.4,3,0.1,234,15,131
4.2485,6.61607,0.1,0.4,2,122.3,22,531
2.96527,6.47851,4.3,3.2,1.1,218,24,138
4.53045,7.5974,2.6,1.3,0.2,233,12,50
3.21487,7.17319,-6,5.6,-0.2,65.5,22,408
3.12676,4.91998,6,3.9,-0.1,72,2,576
3.50255,7.23129,8,3.8,1.7,207.9,22,583
4.51196,7.56631,-5.5,3.5,-0.1,65.1,12,436
3.3673,7.65728,2.5,2.5,-0.2,60.8,10,404
4.42963,6.65028,-3.7,0.5,1.2,325.6,24,445
4.03954,8.08887,15.1,1.9,-5.1,240.7,9,599
4.1463,5.93754,-7.8,0.9,1,111.7,6,447
1.97408,5.43372,7,4.7,0,27.5,2,593
3.76584,7.77317,2.2,3.7,-0.7,211.7,13,523
4.01638,6.39359,-5.8,1.2,1.3,73.7,24,480
3.09104,7.85516,6.5,5.2,-0.2,69,19,196
4.07073,7.33433,-14.7,0.8,0,212,17,457
3.94158,7.64826,4.8,4.4,-0.6,229,13,141
3.43076,7.662,3.4,2.9,0.6,23,18,174
3.627,7.72533,-2.3,4.1,-0.1,61.9,19,417
3.87743,7.46107,-2.8,1.4,-0.1,243,20,102
3.05871,6.2106,5.9,3.3,1.8,248,24,41
3.91202,7.61481,6.9,2.7,0.1,178,19,190
3.96651,5.43808,-0.9,1.6,4.3,96,6,49
4.28496,7.43248,-10.3,4.1,-0.2,61.6,12,459
4.17746,5.20949,-12.9,1.1,1.6,219.5,3,489
4.26549,6.75809,-4.7,1.6,0.7,262.9,9,468
4.01096,6.58203,2.2,1.8,0.1,64.2,6,549
3.15274,5.82305,4.6,4.3,0.3,203,1,127
4.1957,8.12415,5.2,2.8,0.3,209,8,33
3.5293,4.7362,2.9,2.4,0.6,80,3,200
4.38701,7.89283,-3.8,3,0,75.3,15,423
2.93386,7.99564,12.2,5.4,-1.4,234,17,203
3.26576,4.92725,4.4,2.2,0.2,82,2,170
2.83321,5.15329,3.1,1.5,0,179,3,202
4.13357,7.78239,4.8,6.5,-1.1,41.1,10,556
3.80444,7.70841,2.1,3.1,0,79,10,64
4.1239,8.23854,-1.7,5.4,-0.1,58.2,17,417
4.75359,7.82844,3.6,0.8,1.5,87.7,19,529
4.40305,7.68386,0.6,4.7,-1.2,58.2,10,417
2.71469,7.70075,11.5,7.3,-2.1,216,14,210
2.8792,5.2575,4,8.3,0.3,218,5,46
3.3499,7.97728,4.9,2.8,0.3,194,17,126
4.12713,5.42935,-7.7,2.5,0.9,352,2,81
4.49647,7.27586,-7.2,1.3,1,85,21,143
3.84802,7.5761,-5.5,5,-0.1,82,17,118
3.42426,7.82164,16.1,3.1,-1.5,259.3,17,563
4.07244,8.17611,-2,3,1.3,222.5,17,509
4.33336,8.14148,-2.8,4,-0.3,79,8,149
4.26127,7.53636,-2.2,1.7,-0.7,250,13,137
5.23644,8.16934,-1.5,1.9,3.2,83,8,78
4.07414,8.08672,-13.6,3.1,0,77,8,96
4.20469,7.06647,0.2,3,1,90,21,174
3.54385,7.71065,15.8,3.7,-0.3,136.4,16,595
3.81331,5.61313,-4.4,2.9,0.3,74,1,101
3.17388,8.05261,8,6.8,-1.2,280.1,16,546
4.22244,7.46566,6.4,9.6,0.6,264.3,13,471
3.87743,7.78738,7.5,8.1,-0.5,220,15,156
4.00186,7.96555,1.1,3.9,0,78,9,59
3.2308,5.99645,8.6,2.6,0,82,5,600
4.09268,8.27053,-5.1,1.4,-0.7,248.3,16,516
3.13549,4.90527,-8.9,3.9,0.4,78.1,4,450
4.20767,5.97635,-9.7,0.8,0,67.7,1,438
4.237,7.64826,-4.1,2.9,-0.4,85.3,14,519
3.31419,7.02554,-1.6,2.9,0,222.2,22,509
4.18662,7.62071,-0.8,4.7,-0.1,61.4,12,417
3.81331,5.69373,2,1.2,0.4,76,1,141
4.14472,7.74414,-1.3,4.2,-0.2,59,15,149
2.87356,6.40688,-4.1,2.1,-0.1,146.8,24,520
5.02651,7.8808,-6.9,2.2,1,158,7,148
1.70475,5.11199,-4.4,4.2,-0.1,55,4,119
2.8792,7.17855,4.9,5,-0.6,76.2,9,573
3.72086,5.09987,5.8,3,0,78,3,184
3.36038,4.45435,-2.8,5.3,0.4,67,3,508
3.8111,7.6516,7.2,1.5,-0.4,248,16,531
3.91602,5.75257,-7.4,0.9,2.1,293,11,93
3.72569,6.54965,-9.2,4.2,-0.2,78.8,6,408
5.13049,7.26543,-1.7,1.3,1.4,114,21,50
4.90602,8.19699,-10.6,3.4,0.3,81.1,17,438
3.72569,5.07517,-4.8,0.6,0.1,103.7,2,520
3.35341,8.03948,4.9,5.1,-0.7,338,9,172
4.31348,8.1371,6.4,2.2,-2.6,246.6,9,575
2.41591,6.85435,1.2,5,0,65.9,23,404
4.50424,7.51915,3,3.4,0.6,44.1,20,528
2.36085,4.5326,-6.5,2.7,0,77.5,6,451
3.48431,4.85981,-6.3,3.1,0.6,73,2,143
4.08429,7.55538,-4.2,5.3,0,59,15,426
5.37389,6.31355,-13.5,0.9,3,82.5,24,465
4.16044,6.31536,-10.4,2.5,-0.2,62.3,6,460
3.88156,7.52618,-5.5,3,1.6,75,21,98
4.08092,7.74803,6.1,6,0.1,180,15,128
3.23868,6.93049,2.6,2.3,0.6,193,23,163
4.17131,4.76217,1.7,0.3,1.3,112.5,3,563
5.58237,7.70481,-0.2,0.6,1.4,220,12,79
2.4248,5.68698,11,1.2,-4.1,286.6,7,594
4.3108,7.63916,-10.2,4.2,-0.2,58.6,15,459
4.32678,7.67508,3.2,1.7,1.1,249,14,52
2.5096,5.3033,-0.6,2.8,0,76,5,56
4.38203,7.15696,3.3,1.7,0.5,90,22,191
3.71601,7.98582,-2.3,4.2,-0.1,77,18,399
4.2032,7.97384,7.4,1.7,-0.2,165,9,208
4.31749,7.74544,2.2,6.7,0.3,56.6,10,470
3.30689,5.50939,-1.4,5.4,0.5,88,2,167
4.01818,5.70044,2.7,1.2,1.7,185,1,180
3.27714,5.6204,6.2,3.5,0,70.9,5,582
3.27336,7.02909,4.5,2.8,0.2,75.5,21,573
3.92197,7.93057,-8.2,2.6,0.4,50.4,18,407
4.06044,7.59488,4.9,2.9,-0.1,77,11,170
2.99573,7.23346,-2.2,6.1,-0.2,62.9,21,418
4.07923,7.60639,5.5,5.4,-0.6,54.9,11,528
4.17285,7.85671,6.3,3.5,-0.1,77,7,185
4.09101,7.59085,7.5,6.1,-0.5,238,14,162
2.77882,4.86753,2.1,3,0.6,217,2,177
4.2485,8.20303,3.5,3.3,-0.2,51.9,16,576
2.59525,5.90808,-8.1,3.8,-0.1,48.5,1,456
3.13549,5.40268,1.3,0.9,0.7,68.4,5,581
3.06805,6.55393,3.7,2.8,1.1,241,23,132
4.10594,8.00001,4.3,4.6,-0.2,215,17,176
3.2068,7.42476,-3.2,4.9,-0.4,78.9,12,399
4.10099,7.44366,-4.5,5.1,-0.2,47.9,13,409
3.69883,7.58426,10.5,2.1,0.5,214.5,20,598
3.28466,7.7878,0,2.7,-0.1,82,18,70
3.7495,7.99934,4.8,2.6,0.3,194,16,126
3.81551,7.08841,0.7,1.1,0.5,295,22,114
3.97218,7.12125,5.7,1.5,1,65.4,23,593
4.92435,8.05769,2.3,1.3,0.5,152,9,36
2.89037,7.76853,21.1,4.5,-3.6,285.1,11,607
3.79549,7.04141,-0.7,2.7,1.2,73,22,72
2.5416,5.96871,11.1,2,0.2,153.2,3,602
2.4248,6.81892,7.2,3.8,0,58.5,9,578
4.32546,8.18228,4.1,2.1,0.3,177,8,127
3.32504,7.21671,-0.8,3.5,0.3,56.1,23,420
3.97406,7.78489,0.7,2.1,0.6,219.9,7,551
5.32933,4.67283,-14.3,0.5,2.3,257.4,4,466
1.74047,4.31749,1.7,2.3,0,75,3,64
4.50092,8.16138,-2.2,1.7,1.1,69,8,73
4.3412,8.22604,-5.6,2.5,0,87,17,68
3.79098,7.80221,2.5,5,0.1,135,7,128
3.83945,7.17089,-5.3,2.6,0.1,69.4,22,442
4.50314,7.88833,3.8,1.1,2.2,34.9,19,532
4.36691,7.65776,3,1.9,2,265,19,540
3.7013,7.40428,-1.9,3.4,-0.1,43.1,21,431
4.75875,7.6857,1.8,1.8,-1.1,269,10,138
4.56954,8.08364,-7,1.4,-0.1,242.3,15,467
1.22378,6.16331,-3.7,3.9,0.3,30.9,1,406
6.39509,7.57302,-4.6,0.8,1.3,87.2,14,464
4.24133,7.02376,-13.6,2.9,0.1,82.1,22,488
4.57883,7.97281,6.3,4.2,-0.6,81,9,194
3.93769,5.81413,-9.1,2.1,0.6,79,3,83
3.92986,6.608,7.2,0.6,1.3,191.4,24,598
3.33577,7.35628,4.4,2.4,0.3,76.6,20,573
2.95491,7.30586,15.4,1.6,-2.2,279.2,14,565
3.55535,5.11199,0.7,1.1,1.6,48,4,161
2.69463,5.56834,4.8,1.6,0.6,220,2,204
4.32678,6.56386,-1.2,2.1,1.9,192.9,6,446
4.88129,7.84189,0.4,2.9,1.9,279,18,43
4.56539,7.67555,-3.1,1.3,0.3,82.1,14,423
4.20916,8.31066,11.3,3.4,0,200.3,8,603
3.21888,5.52545,-5.8,5,-0.2,70,7,441
2.65324,5.54908,5.5,2,-0.1,75.1,2,582
4.34251,8.06401,3.6,2.3,-0.3,9.4,9,549
3.64545,5.09987,6.7,4.3,0.6,183.8,2,590
1.54756,5.49306,7.1,5.4,1.5,255,6,42
4.18205,7.7411,-5.7,2.7,-0.5,85.4,10,401
4.14946,8.3464,20.8,2.4,-2.4,230,16,605
3.80444,7.91206,1.2,3.3,0.7,219,19,537
4.07923,7.60937,-0.1,3.9,-0.2,74.3,10,430
3.14845,6.76734,-6.8,3.3,0,76.3,24,450
4.24276,7.61727,-4.2,3.7,-0.1,217.8,10,481
2.61007,5.80212,2.2,1,1.3,299,6,140
3.19458,4.55388,2.5,3.9,0.1,195.5,3,548
3.81331,7.57763,-0.2,2.8,-0.1,85,16,111
3.77046,8.06746,19.6,2.6,-2.8,244.4,14,605
2.76632,5.66643,1.3,2.1,1.8,226.8,6,546
3.21084,5.49717,4.2,4.4,1.5,254,5,80
3.37417,8.07527,3.4,5.3,-0.9,10.5,9,550
3.72086,8.02027,-5.2,4.3,-0.1,17,16,116
4.76217,7.6024,-3.9,2.8,0,76,10,68
4.01458,8.25635,8.4,3.1,-0.5,225,17,207
4.30407,7.24708,-10.6,5.5,0,62.5,10,456
3.17805,7.93272,-3.9,4,-0.3,78.4,15,452
1.36098,4.39445,1.3,4.4,0,115,4,59
4.40916,7.66856,-2.9,1.6,0.7,65.3,20,446
4.02892,7.26613,0.9,0.9,0.4,90,21,75
2.89037,7.70616,2.1,6.3,0,44.4,13,574
3.88156,8.11851,0.6,7.1,-0.2,74.6,8,425
4.51852,7.75319,-5.6,1.5,0.1,238.8,10,445
4.01096,7.65207,-4.5,4.2,-0.2,100,19,423
3.74242,7.66011,6.4,3.5,-0.2,90.8,20,571
3.71601,7.59035,11.7,6.4,-0.2,235,13,34
2.85071,6.70564,-5.6,2.4,-0.4,75.5,10,518
4.51305,8.17132,-5.6,3.5,0.6,79,8,101
3.99452,7.76217,12.2,6.2,-2.1,221,14,193
2.40695,7.22621,-6.5,3.8,-0.1,52,21,89
3.91202,7.53423,1.6,1.7,-1.5,336,11,135
4.45899,7.49165,-9.5,2,-0.1,77.3,20,437
3.78872,7.83953,11.5,2.5,-2.7,243.6,15,575
3.92197,7.61874,-12.6,2.1,0.5,81,15,91
3.16969,7.82724,17.8,3.5,-1.7,254.1,17,568
4.46245,7.59589,-2.7,1.3,1.2,159.1,19,400
2.92852,4.81218,2.7,1.9,0.3,204.2,2,479
5.78105,7.87284,1.7,1.2,1.4,97,15,78
1.28093,5.65948,-5.1,3.9,0,46.5,7,406
4.09101,8.04206,6.2,1.2,1.3,261,18,33
3.62966,7.15774,-1.1,1.6,-0.1,65,22,150
3.37759,6.24417,2.7,1.5,0.4,196.9,24,478
5.54713,8.14206,-5.1,1.5,1.5,237,8,152
2.63906,4.49981,3.9,3.6,0.1,68,3,198
3.99268,6.57508,6.2,1.3,1.1,226,24,200
3.66099,4.64439,-3.3,1.9,1.3,88,3,51
2.82731,4.98361,-5.6,4.3,-0.1,78,5,85
4.29592,7.72356,-5.1,0.7,-0.2,216.6,11,445
4.94876,7.76132,0,0.7,0.6,147.7,18,470
2.68785,6.18002,8.9,4.8,1,215,1,34
4.0483,7.21598,8.8,2.1,0.7,90.1,21,579
3.32863,5.50939,10.3,2.2,1.4,37.4,4,608
4.13996,4.99043,1.3,2.3,2.2,277,2,53
3.74242,7.04229,-5.2,2.5,-0.3,73,11,85
