index,postcode,HIER_postcode_1,HIER_postcode_2,HIER_postcode_3,HIER_postcode_4,target_binary,target_non_binary,target_categorical
89,S4 2HB,S,S4,S4 2,S4 2H,0,5,hamster
90,S6 6AZ,S,S6,S6 6,S6 6A,0,5,hamster
91,L8 5YG,L,L8,L8 5,L8 5Y,0,5,hamster
92,L1 5JW,L,L1,L1 5,L1 5J,0,5,hamster
93,S5 8NP,S,S5,S5 8,S5 8N,0,5,hamster
94,S5 5RS,S,S5,S5 5,S5 5R,0,5,hamster
95,L1 9SZ,L,L1,L1 9,L1 9S,0,5,hamster
96,L2 7ZH,L,L2,L2 7,L2 7Z,0,5,hamster
97,L2 4RR,L,L2,L2 4,L2 4R,0,5,hamster
98,S8 3EP,S,S8,S8 3,S8 3E,0,5,hamster
99,L4 6ND,L,L4,L4 6,L4 6N,0,5,hamster
