% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-authorship

@attribute a INTEGER
@attribute all INTEGER
@attribute also INTEGER
@attribute an INTEGER
@attribute and INTEGER
@attribute any INTEGER
@attribute are INTEGER
@attribute as INTEGER
@attribute at INTEGER
@attribute be INTEGER
@attribute been INTEGER
@attribute but INTEGER
@attribute by INTEGER
@attribute can INTEGER
@attribute do INTEGER
@attribute down INTEGER
@attribute even INTEGER
@attribute every INTEGER
@attribute for INTEGER
@attribute from INTEGER
@attribute had INTEGER
@attribute has INTEGER
@attribute have INTEGER
@attribute her INTEGER
@attribute his INTEGER
@attribute if INTEGER
@attribute in INTEGER
@attribute into INTEGER
@attribute is INTEGER
@attribute it INTEGER
@attribute its INTEGER
@attribute may INTEGER
@attribute more INTEGER
@attribute must INTEGER
@attribute my INTEGER
@attribute no INTEGER
@attribute not INTEGER
@attribute now INTEGER
@attribute of INTEGER
@attribute on INTEGER
@attribute one INTEGER
@attribute only INTEGER
@attribute or INTEGER
@attribute our INTEGER
@attribute should INTEGER
@attribute so INTEGER
@attribute some INTEGER
@attribute such INTEGER
@attribute than INTEGER
@attribute that INTEGER
@attribute the INTEGER
@attribute their INTEGER
@attribute then INTEGER
@attribute there INTEGER
@attribute things INTEGER
@attribute this INTEGER
@attribute to INTEGER
@attribute up INTEGER
@attribute upon INTEGER
@attribute was INTEGER
@attribute were INTEGER
@attribute what INTEGER
@attribute when INTEGER
@attribute which INTEGER
@attribute who INTEGER
@attribute will INTEGER
@attribute with INTEGER
@attribute would INTEGER
@attribute your INTEGER
@attribute BookID INTEGER
@attribute Author {Austen,London,Milton,Shakespeare}

@data
33,6,0,5,44,4,9,17,14,15,4,16,8,1,11,3,0,5,18,3,11,1,4,29,4,7,20,4,16,49,2,6,5,4,10,8,24,5,25,12,2,6,3,2,6,12,3,3,3,14,57,2,4,8,1,6,51,9,2,20,5,4,3,3,2,11,10,11,3,1,Austen
30,5,0,5,51,4,2,8,11,18,5,9,12,0,7,2,3,0,15,4,17,2,17,25,9,4,26,2,14,22,4,2,6,3,9,5,29,6,43,17,2,6,3,0,2,15,0,3,7,17,54,10,3,4,1,3,40,6,0,26,10,7,3,5,8,8,8,6,3,1,Austen
35,4,0,4,41,4,1,15,17,18,5,18,12,1,5,1,1,2,16,5,15,1,14,36,19,3,26,3,2,20,2,0,4,2,8,10,29,3,42,6,6,6,3,1,2,5,3,8,5,17,70,4,3,5,0,4,53,2,3,41,12,4,5,6,5,0,13,6,4,1,Austen
34,6,0,2,46,5,6,7,6,18,8,17,13,1,13,0,1,0,10,2,14,2,15,42,7,9,22,4,8,22,1,2,7,6,7,12,36,8,34,7,6,9,1,2,5,13,0,6,4,13,47,3,4,5,0,9,53,1,5,27,9,4,5,4,6,5,11,16,3,1,Austen
20,5,0,6,49,2,6,20,9,19,11,13,15,0,11,0,1,3,10,5,27,3,12,56,7,10,25,3,9,20,0,1,3,4,7,13,38,3,50,7,6,6,0,0,6,4,2,5,0,16,61,4,4,1,1,2,59,0,0,24,2,10,4,3,0,3,15,17,4,1,Austen
30,11,0,5,49,5,14,25,14,24,4,11,4,7,7,2,1,5,15,3,11,1,15,10,2,10,31,5,19,39,1,4,1,6,7,5,21,5,59,11,2,7,9,2,5,7,1,1,2,22,61,8,2,0,1,4,49,1,1,8,6,3,4,9,3,1,17,4,5,1,Austen
34,6,0,10,49,5,3,12,7,17,7,10,9,3,7,1,0,1,7,9,13,3,13,27,6,3,34,2,18,18,3,3,9,5,6,11,17,2,70,9,2,4,4,0,1,7,4,6,8,25,84,4,0,4,0,6,62,1,0,19,3,7,3,5,3,4,11,4,8,1,Austen
19,8,0,8,45,0,5,14,3,20,6,13,8,6,2,2,0,1,18,3,12,1,16,29,5,2,26,2,7,23,2,1,9,6,20,3,18,2,61,6,3,7,2,1,0,16,4,6,4,16,67,12,1,3,1,7,42,3,0,19,8,5,3,2,5,11,16,13,10,1,Austen
35,12,0,2,58,1,5,5,12,19,4,16,9,1,8,1,1,4,14,3,13,1,13,36,12,4,28,1,14,21,3,4,5,2,13,13,25,2,55,13,7,8,2,0,1,13,2,6,5,15,62,4,5,9,1,6,52,0,3,25,5,4,3,5,3,4,18,0,1,1,Austen
21,7,0,5,48,5,4,12,10,24,4,18,8,2,10,5,2,3,16,3,6,3,7,24,15,5,25,1,18,26,0,2,3,4,14,11,30,2,45,8,3,5,3,1,2,9,5,8,2,17,46,3,7,5,2,2,61,2,5,25,3,7,3,5,2,6,12,11,9,1,Austen
33,3,0,7,45,0,4,22,8,17,7,9,15,10,9,2,1,5,16,4,19,8,6,34,7,7,28,2,11,15,2,2,7,3,17,7,13,6,50,13,3,4,1,5,5,9,3,4,5,11,59,9,0,3,1,7,51,1,3,24,2,5,3,5,0,5,16,7,9,1,Austen
34,12,0,10,39,3,9,19,4,28,6,14,6,3,9,1,0,1,22,3,10,1,12,15,11,2,22,2,20,29,7,4,7,6,18,7,22,2,63,7,11,2,7,1,5,15,4,5,7,26,68,4,1,3,2,8,54,1,3,20,10,10,2,4,1,3,11,4,7,1,Austen
25,5,0,3,46,2,7,12,9,26,5,20,7,8,9,1,1,2,23,3,13,2,10,48,18,9,24,3,23,27,0,0,3,8,14,10,26,1,37,6,1,7,6,0,5,16,0,2,1,19,32,6,4,1,3,8,45,4,2,29,2,13,3,5,3,7,14,7,4,1,Austen
33,4,0,1,55,4,4,13,16,21,6,17,12,5,1,2,1,2,19,7,12,3,10,51,28,1,35,3,7,18,2,5,2,2,2,4,22,4,51,5,3,6,5,0,0,14,4,5,0,17,78,9,3,2,0,6,53,0,4,34,7,5,5,7,0,7,16,9,8,1,Austen
46,6,0,9,39,6,2,16,7,18,3,14,9,4,2,0,3,3,12,6,12,3,9,24,4,0,31,12,12,18,5,4,2,4,4,10,20,1,65,12,7,2,8,2,2,10,6,7,3,13,79,3,2,6,0,11,50,1,0,17,2,6,4,6,0,22,16,3,22,1,Austen
37,3,1,7,55,2,0,16,17,19,5,5,11,1,0,0,3,2,15,7,14,1,3,49,9,3,38,6,6,33,4,2,4,2,1,6,17,0,61,14,11,5,2,0,4,10,4,6,4,17,96,3,2,3,0,9,41,2,4,35,7,5,6,8,2,2,18,4,0,1,Austen
46,3,1,4,52,2,1,12,13,10,6,14,10,0,2,1,1,6,9,8,19,0,10,52,1,5,41,3,4,35,6,0,4,5,1,2,22,4,52,13,6,2,2,0,3,13,6,3,6,12,107,1,1,4,0,5,48,2,0,31,6,8,1,7,0,0,26,4,0,1,Austen
44,5,0,9,46,6,3,19,8,18,9,14,11,2,2,0,2,2,14,4,14,2,13,37,16,1,31,2,12,24,5,5,4,0,6,1,16,4,60,6,2,5,4,0,6,8,2,4,3,16,88,0,2,3,0,9,47,2,2,27,1,2,6,7,3,3,15,10,5,1,Austen
40,8,0,4,49,7,2,16,10,9,11,8,12,0,2,0,3,3,19,6,19,0,9,39,18,5,34,3,6,38,2,1,2,4,6,9,21,5,50,2,5,4,4,1,2,8,3,6,2,13,82,2,6,4,0,7,49,0,1,33,9,4,4,10,0,1,20,6,1,1,Austen
30,20,0,9,57,2,0,14,8,20,9,5,15,0,1,0,1,3,9,11,20,1,7,27,10,1,28,4,1,16,5,1,6,4,2,5,12,1,78,8,1,2,6,1,3,7,6,4,5,22,113,7,0,3,0,5,40,2,1,35,13,9,8,14,1,0,16,4,1,1,Austen
29,4,0,8,39,3,1,13,12,29,8,7,15,2,0,2,3,5,17,8,15,0,9,47,10,5,37,3,0,18,4,1,5,8,3,3,14,0,69,5,0,4,8,0,6,7,7,3,2,20,113,3,1,2,1,6,61,4,4,28,8,3,4,20,3,1,12,6,0,1,Austen
36,3,0,6,44,1,3,18,11,16,7,11,8,4,2,1,1,3,12,11,22,2,16,42,7,2,30,3,13,24,1,2,3,3,7,15,26,3,37,13,4,5,3,3,2,8,3,5,3,16,65,2,0,6,0,5,54,5,1,24,7,7,3,14,1,1,9,5,10,1,Austen
20,7,0,8,59,2,3,25,11,17,6,17,7,1,2,3,9,2,14,10,28,1,5,51,10,10,26,3,3,24,0,1,9,4,6,9,19,2,50,8,2,6,5,0,1,6,5,4,8,14,62,7,3,8,0,7,50,1,4,27,12,5,3,8,1,3,14,6,4,1,Austen
28,5,1,5,36,9,4,22,15,24,3,12,11,4,8,0,0,2,14,6,12,7,12,22,24,5,27,2,21,29,1,4,3,6,11,10,24,4,31,9,5,6,5,3,7,20,5,6,7,34,52,3,2,3,1,6,44,1,2,17,5,6,3,9,4,10,15,12,7,1,Austen
44,8,0,6,69,5,7,10,16,24,4,11,9,5,3,1,2,3,16,8,10,1,6,21,10,6,29,3,14,38,2,9,3,4,7,5,18,5,38,11,8,4,9,2,3,14,2,5,4,12,80,2,3,7,0,7,56,4,2,31,5,7,5,6,2,7,20,6,3,1,Austen
27,10,0,4,45,7,4,14,14,10,9,22,11,3,7,1,4,2,18,7,16,8,20,20,17,5,19,4,14,16,1,1,1,4,11,7,33,3,41,10,4,2,10,1,6,11,4,6,4,15,61,5,3,4,0,7,58,1,2,14,5,2,5,3,2,5,14,9,8,1,Austen
30,4,0,7,56,1,6,23,16,27,7,10,11,12,5,3,3,4,15,5,12,3,4,39,11,7,21,1,8,26,2,1,4,7,11,10,23,4,41,13,2,4,2,1,2,15,2,10,1,19,57,7,4,6,0,6,55,3,0,20,11,4,7,3,0,5,11,9,5,1,Austen
23,10,0,6,51,8,3,19,14,16,7,17,9,5,3,1,5,3,17,16,17,1,17,46,3,4,30,2,8,33,1,0,3,8,3,7,19,4,46,6,2,6,9,0,2,9,5,4,2,29,69,1,2,5,0,8,52,0,3,29,5,9,3,7,3,8,15,4,10,1,Austen
37,11,0,8,58,7,0,15,19,13,5,14,11,3,3,0,4,7,21,11,21,0,7,57,13,2,28,2,7,28,2,1,4,3,3,8,16,3,65,12,4,5,9,1,3,15,1,9,3,16,80,6,2,2,0,4,46,0,3,27,9,6,5,14,1,2,10,7,1,1,Austen
33,16,0,4,60,6,4,14,8,15,7,16,6,3,6,2,1,2,16,8,12,2,16,50,7,4,17,1,8,19,0,0,2,6,7,7,24,7,55,10,2,4,7,1,2,10,5,6,5,17,51,5,2,9,0,5,37,2,2,28,9,4,1,8,1,6,20,1,3,1,Austen
41,8,0,8,42,4,4,12,14,15,8,14,8,0,4,0,2,0,24,13,28,0,6,55,37,5,33,3,6,16,0,1,5,4,3,5,18,5,57,10,5,6,6,0,3,6,5,4,5,18,59,4,1,5,0,5,54,1,5,23,2,4,2,11,0,3,12,7,3,1,Austen
31,8,0,7,47,4,1,16,10,18,9,9,14,2,0,0,2,2,17,7,29,0,4,13,52,1,35,2,0,19,4,0,6,7,2,10,13,1,68,12,3,3,6,0,3,1,1,5,3,17,86,18,0,3,1,5,70,1,2,23,12,6,0,14,5,1,9,2,0,1,Austen
50,13,0,4,64,7,4,18,7,16,8,15,8,0,2,0,2,8,18,11,30,0,11,48,12,1,27,1,8,18,2,1,3,5,3,7,13,4,62,2,1,6,4,1,0,4,4,6,4,13,52,4,1,3,1,4,49,2,1,34,6,4,4,5,3,8,14,4,2,4,Austen
50,9,0,2,53,11,4,7,7,21,7,17,6,3,8,0,1,7,20,3,9,5,23,17,9,11,20,2,18,29,0,4,6,11,10,6,22,2,34,6,9,8,5,0,2,16,3,5,3,17,34,3,2,3,2,6,55,3,3,9,7,7,8,4,6,5,10,10,7,4,Austen
40,4,0,10,64,6,0,17,9,11,8,16,6,0,0,0,3,8,12,13,34,1,7,24,45,0,29,0,0,23,2,1,4,3,0,8,12,3,73,7,4,4,4,0,2,8,5,5,7,13,67,4,1,6,0,0,58,3,2,44,6,1,6,7,5,1,13,6,0,4,Austen
57,8,0,12,76,10,2,10,7,15,6,8,8,1,3,0,0,9,17,7,19,0,4,39,12,0,28,5,1,11,2,0,2,3,0,8,12,3,68,6,4,2,6,1,2,10,2,10,1,11,65,3,1,2,2,1,41,1,3,35,10,4,0,10,5,1,19,11,1,4,Austen
45,12,0,4,63,7,4,23,8,18,5,17,3,4,4,0,0,9,9,2,26,4,6,31,18,3,32,2,17,16,1,2,3,2,4,9,18,4,53,6,11,2,5,0,3,10,5,6,1,14,56,7,1,5,0,3,49,2,1,37,7,7,3,4,5,0,17,7,0,4,Austen
33,4,0,4,41,13,6,20,10,42,6,17,6,3,9,0,1,3,12,3,16,4,14,14,13,7,22,1,23,20,1,5,6,9,1,11,35,3,45,5,2,3,5,1,8,13,5,3,1,21,41,2,2,9,0,3,53,4,0,16,3,11,2,6,2,8,19,8,7,4,Austen
48,12,0,5,41,15,3,12,8,24,5,11,8,5,16,0,0,2,14,4,7,4,18,37,3,4,14,0,14,10,2,8,6,4,6,6,30,2,45,7,4,6,10,1,3,7,3,10,4,18,42,2,0,7,0,4,49,1,2,9,6,3,2,5,2,19,17,6,6,4,Austen
37,7,0,5,40,10,5,12,11,22,11,17,2,4,10,0,0,5,17,7,17,8,27,37,4,5,27,0,12,27,0,1,7,1,12,10,29,0,57,8,8,4,7,0,4,14,3,4,6,12,43,0,1,12,0,2,52,2,0,19,4,9,1,11,1,7,9,16,9,4,Austen
47,6,0,8,61,8,2,29,11,20,6,15,3,0,6,1,0,6,12,4,17,3,7,13,9,3,28,0,16,40,4,2,4,10,12,9,21,1,49,11,5,4,1,0,3,14,1,7,4,9,68,0,3,5,0,5,54,1,0,37,4,3,2,3,4,3,12,10,1,4,Austen
45,6,0,1,38,8,7,13,9,17,9,16,3,5,23,2,1,4,13,0,9,0,27,18,8,10,19,1,24,35,1,2,1,11,8,18,34,4,38,0,3,1,4,0,6,11,2,5,2,19,49,0,1,4,0,6,56,4,2,18,5,13,1,5,0,8,19,18,12,4,Austen
30,8,0,9,49,3,8,13,8,20,4,13,6,3,9,1,1,5,16,2,11,5,13,26,19,6,19,0,21,22,0,6,6,1,11,2,18,2,38,2,4,2,4,2,7,7,7,1,6,16,35,2,4,2,0,11,53,3,2,19,1,6,0,0,6,15,11,9,8,4,Austen
49,9,0,2,42,11,11,27,10,31,4,11,6,4,5,0,2,2,19,3,8,8,18,50,7,6,24,3,40,21,0,8,3,4,7,11,30,3,47,6,2,4,4,0,3,14,1,9,5,22,34,1,1,4,0,6,66,2,3,6,2,6,1,3,2,8,14,9,8,4,Austen
34,7,0,4,70,9,5,18,12,12,7,21,4,3,3,1,0,1,11,3,27,3,10,28,18,3,22,2,8,18,2,1,10,3,3,6,25,3,47,10,2,8,4,0,1,11,1,7,13,24,43,1,1,3,0,3,56,2,1,29,5,6,4,8,2,4,23,5,2,4,Austen
38,9,0,6,52,7,5,13,8,28,2,13,6,8,7,0,1,2,15,3,9,1,12,9,12,0,23,3,27,47,6,4,3,6,17,6,15,2,39,4,5,4,10,1,4,17,2,0,2,20,70,4,2,9,2,8,50,0,2,20,2,7,3,12,3,8,4,4,6,4,Austen
32,11,0,2,45,11,10,11,6,31,1,12,7,7,10,4,2,6,13,3,6,5,21,7,10,9,19,3,24,37,3,2,5,9,14,3,27,0,24,8,5,5,7,4,5,10,1,4,4,19,53,2,4,10,2,9,48,2,2,14,4,5,4,6,2,13,7,4,5,4,Austen
35,7,0,8,51,5,12,25,11,26,6,21,3,4,9,3,0,4,8,4,7,0,12,11,19,7,18,1,22,30,0,3,0,9,9,5,29,3,46,4,4,5,5,0,4,19,2,7,0,11,58,7,7,8,0,6,51,5,0,15,7,3,1,5,2,9,14,7,3,4,Austen
30,12,0,4,63,5,4,25,9,16,4,12,6,6,9,1,0,7,15,9,8,4,7,27,6,11,27,7,17,22,0,3,6,3,6,3,14,5,46,12,7,5,7,1,5,7,3,2,2,14,77,5,4,4,0,8,61,2,0,20,11,4,6,6,4,7,15,7,2,4,Austen
35,11,2,3,63,9,3,17,6,24,16,18,8,2,7,0,2,7,20,3,21,2,13,27,19,4,29,1,9,16,0,2,4,7,6,4,26,3,59,1,4,3,12,1,3,10,2,3,3,19,61,6,2,6,0,6,36,1,1,21,10,1,1,7,4,5,8,4,1,4,Austen
40,6,0,4,58,8,4,18,10,10,5,16,6,1,4,1,1,5,11,4,14,3,12,11,21,6,20,2,13,27,1,0,6,6,13,5,23,4,52,11,6,3,8,4,4,3,4,3,4,20,56,2,2,5,1,2,39,5,3,26,11,6,4,1,4,1,17,5,7,4,Austen
31,8,0,8,45,7,9,8,12,21,13,16,2,1,5,0,0,1,10,8,14,7,26,13,6,6,16,0,32,29,1,1,3,4,21,4,32,3,37,3,4,3,3,3,6,15,2,5,3,21,46,3,2,10,0,5,55,0,4,8,5,6,3,3,2,9,10,4,4,4,Austen
40,7,1,3,52,7,0,20,16,12,5,14,8,2,5,0,0,4,10,6,16,2,2,30,19,8,27,2,8,20,1,2,6,4,7,6,22,0,56,8,5,4,4,1,7,9,1,5,10,13,51,8,1,5,0,9,60,2,1,22,10,8,7,4,1,5,19,7,4,4,Austen
40,5,0,4,54,5,11,13,17,13,8,14,8,5,5,2,2,5,14,7,14,4,15,10,15,3,27,5,14,20,1,4,6,8,5,7,25,3,51,4,6,6,4,2,2,11,3,10,6,14,60,4,0,3,1,8,50,5,0,25,4,6,7,9,0,9,18,2,3,4,Austen
28,7,0,5,47,8,7,19,9,27,12,16,8,2,3,0,1,5,12,9,11,9,6,31,18,3,27,1,9,24,0,1,4,5,10,4,20,3,62,6,2,4,4,0,6,16,4,5,2,27,64,7,2,6,0,5,67,1,9,23,3,2,4,8,5,6,13,7,1,4,Austen
29,7,0,9,48,13,3,12,14,35,1,15,6,4,6,1,2,8,18,10,12,0,8,23,25,7,18,5,12,23,4,5,4,9,4,9,20,2,41,15,11,2,5,0,5,7,8,5,2,16,52,3,3,10,0,6,73,0,1,26,4,4,2,5,1,4,23,9,7,4,Austen
16,7,0,4,58,7,3,19,10,19,11,17,3,5,4,0,0,3,19,3,16,2,18,24,18,6,20,1,8,22,1,0,4,3,10,9,21,3,54,8,4,5,5,0,5,6,3,8,2,22,64,4,2,6,0,11,56,2,2,22,10,3,4,5,3,3,8,10,5,4,Austen
26,9,0,4,51,10,2,21,7,10,21,21,3,0,1,2,0,6,16,2,36,1,24,27,28,6,30,4,5,22,3,0,5,4,2,10,17,1,66,1,1,4,9,0,6,15,1,5,4,16,56,4,3,10,2,3,68,1,1,34,3,5,2,4,3,1,11,5,2,4,Austen
24,23,0,7,70,8,2,12,15,19,8,11,4,0,2,0,1,6,23,7,13,0,13,51,15,2,35,1,2,21,1,0,10,5,0,8,18,3,56,9,4,1,8,0,6,12,6,7,6,21,62,4,1,3,0,4,74,3,1,30,4,2,0,7,2,2,20,7,0,4,Austen
34,8,0,8,45,8,10,24,20,27,5,16,10,10,11,0,0,2,18,2,7,5,17,13,20,12,31,2,14,31,1,4,10,5,2,7,23,0,58,8,3,1,9,0,4,9,2,6,7,24,56,9,4,6,0,5,65,4,2,11,2,9,1,2,8,2,9,25,3,4,Austen
29,15,0,2,62,5,3,21,9,22,13,13,5,7,6,1,2,7,15,11,17,4,14,12,18,5,25,1,15,15,1,5,4,5,6,8,19,3,58,7,5,3,5,1,2,6,4,2,2,18,57,7,0,6,0,4,64,2,3,17,5,7,4,5,4,12,11,6,5,4,Austen
18,8,0,1,36,8,10,20,12,18,5,14,3,7,8,0,0,6,12,11,14,4,15,38,4,4,14,1,31,33,1,1,2,8,15,4,23,2,34,3,1,4,6,0,7,29,2,6,3,19,36,4,2,4,2,5,53,0,4,20,4,5,5,5,1,5,11,4,1,4,Austen
23,7,0,9,64,6,0,16,9,26,9,10,8,2,4,0,0,3,17,12,28,3,7,49,10,3,17,1,10,19,1,1,3,8,4,6,19,6,59,8,1,5,4,0,5,16,2,5,6,19,60,7,0,4,0,6,60,2,1,22,3,7,4,6,2,6,17,6,0,4,Austen
29,9,0,7,46,8,5,16,13,16,17,11,8,0,2,0,0,6,14,6,32,1,6,52,7,4,19,4,5,19,3,0,11,5,3,11,20,5,42,11,2,5,14,0,0,14,1,9,11,18,47,4,2,7,0,3,44,2,1,51,10,6,3,13,2,1,13,3,0,4,Austen
50,3,0,4,50,6,9,16,7,17,9,6,1,3,7,4,1,3,12,2,19,5,18,7,7,6,14,2,38,32,0,2,4,3,23,7,25,2,26,6,6,5,6,5,2,14,3,5,5,22,34,2,3,8,0,4,36,0,0,18,4,3,4,4,5,6,8,5,1,4,Austen
21,8,0,5,59,7,1,20,9,16,10,20,11,1,12,1,0,1,11,7,20,2,12,20,1,6,23,1,9,27,2,1,1,7,7,3,30,5,27,8,4,3,4,0,6,15,1,4,2,17,48,2,3,6,0,4,53,5,2,37,2,11,4,5,2,3,9,13,1,4,Austen
34,11,1,5,53,3,1,13,10,27,18,14,14,0,2,0,2,5,18,2,34,0,8,27,20,1,30,1,5,13,1,0,4,5,0,8,12,3,74,4,2,6,12,0,1,12,8,3,4,18,73,2,0,5,0,1,57,0,0,40,2,8,5,3,7,0,8,16,0,4,Austen
