% Datasets for `Pattern Recognition and Neural Networks' by B.D. Ripley
% =====================================================================
% 
% Cambridge University Press (1996)  ISBN  0-521-46086-7
% 
% The background to the datasets is described in section 1.4; this file
% relates the computer-readable files to that description.
% 
% 
% 
% Cushing's syndrome
% ------------------
% 
% Data from Aitchison & Dunsmore (1975, Tables 11.1-3).
% 
% Data file Cushings.dat has four columns, 
% 
% Label of the patient
% Tetrhydrocortisone  (mg/24hr)
% Pregnanetriol  (mg/24hr)
% Type
% 
% The type of the last six patients (u1 to u6) should be
% regarded as unknown.  (The code `o' indicates `other').
% 
% 
% 
% synthetic two-class problem
% ---------------------------
% 
% Data from Ripley (1994a).
% 
% This has two real-valued co-ordinates (xs and ys) and a class (xc)
% which is 0 or 1.
% 
% Data file  synth.tr   has 250 rows of the training set
%            synth.te   has 1000 rows of the test set  (not used here)
% 
% 
% 
% viruses
% -------
% 
% This is a dataset on 61 viruses with rod-shaped particles affecting
% various crops (tobacco, tomato, cucumber and others) described by
% {Fauquet et al. (1988) and analysed by Eslava-G\'omez (1989).  There
% are 18 measurements on each virus,  the number of amino acid residues
% per molecule of coat protein.
% 
% Data file  viruses.dat  has 61 rows of 18 counts
% 	   virus3.dat   has 38 rows corresponding to the distinct
% 	   		Tobamoviruses.
% 
% The whole dataset is in order Hordeviruses (3), Tobraviruses (6),
% Tobamoviruses (39) and `furoviruses' (13).
% 
% 
% 
% Leptograpsus crabs
% ------------------
% 
% Data from Campbell & Mahon (1974) on the morphology of rock crabs of
% genus Leptograpsus.
% 
% There are 50 specimens of each sex of each of two colour forms.
% 
% Data file  crabs.dat has rows
% 
% sp	`species', coded B (blue form) or O (orange form)
% sex	coded M or F
% index	within each group of 50
% FL	frontal lip of carapace (mm)
% RW	rear width of carapace (mm)
% CL	length along the midline of carapace (mm)
% CW	maximum width of carapace (mm)
% BD	body depth (mm)
% 
% 
% 
% Forensic glass
% --------------
% 
% This example comes from forensic testing of glass collected by
% B. German on 214 fragments of glass.  It is also contained in the
% UCI machine-learning database collection (Murphy & Aha, 1995).
% 
% Data file fglass.dat has 214 rows with data for a single glass
% fragment.
% 
% RI	refractive index
% Na	% weight of sodium oxide(s)
% Mg	% weight of magnesium oxide(s)
% Al	% weight of aluminium oxide(s)
% Si	% weight of silicon oxide(s)
% K	% weight of potassium oxide(s)
% Ca	% weight of calcium oxide(s)
% Ba	% weight of barium oxide(s)
% Fe	% weight of iron oxide(s)
% type	coded 1 to 7
% 
% The type codes are:
% 
% 	1 (WinF) window float glass
% 	2 (WinNF) window non-float glass
% 	3 (Veh) vehicle glass
% 	5 (Con)  containers
% 	6 (Tabl) tableware
% 	7 (Head) vehicle headlamp glass
% 
% The ten groups used for the cross-validation experiments (I believe)
% are listed as row numbers in the file fglass.grp,
% 
% 
% 
% Diabetes in Pima Indians
% ------------------------
% 
% A population of women who were at least 21 years old, of Pima Indian heritage
% and living near Phoenix, Arizona,  was tested for diabetes
% according to World Health Organization criteria.  The data
% were collected by the US National Institute of Diabetes and Digestive and
% Kidney Diseases (Smith et al, 1988). This example is also contained in the
% UCI machine-learning database collection (Murphy & Aha, 1995).
% 
% The data files have rows containing
% 
% npreg 	number of pregnancies
% glu 	plasma glucose concentration in an oral glucose tolerance test
% bp 	diastolic blood pressure (mm Hg)
% skin 	triceps skin fold thickness (mm)
% ins	serum insulin (micro U/ml)
% bmi 	body mass index (weight in kg/(height in m)^2)
% ped 	diabetes pedigree function
% age 	in years
% type	No / Yes
% 
% Data file pima.tr   has 200 rows of complete training data.
%           pima.te   has 332 rows of complete test data.
%           pima.tr2  has the 200 rows of pima.tr plus 100 incomplete rows.
% 
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation prnn-synth

@attribute xs REAL
@attribute ys REAL
@attribute yc {0,1}

@data
-0.46223286,0.61661031,1
-0.07331555,0.55821736,1
-0.55405533,0.51253129,1
-0.43761773,0.87811781,1
-0.22237814,0.88850773,1
0.09346162,0.67310494,1
0.53174745,0.54372650,1
0.40207539,0.51638462,1
0.47555171,0.65056336,1
-0.23383266,0.63642580,1
-0.31579316,0.75031340,1
-0.47351720,0.63854125,1
0.59239464,0.89256953,1
-0.22605324,0.79789454,1
-0.43995011,0.52099256,1
-0.54645044,0.74577198,1
0.46404306,0.51065152,1
-0.15194296,0.81218439,1
0.48536395,0.82018093,1
0.34725649,0.70813773,1
0.43897015,0.62817158,1
-0.21415914,0.64363951,1
0.57380231,0.63713466,1
0.38717361,0.58578395,1
0.32038322,0.53529127,1
-0.20781491,0.65132467,1
-0.18651283,0.81754816,1
0.24752692,0.39081936,1
0.66049881,0.89919213,1
-0.28658801,0.73375946,1
-0.32588080,0.39865509,1
-0.25204565,0.67358326,1
0.37259022,0.49785904,1
-0.29096564,1.04372060,1
-0.30469807,0.86858292,1
-0.21389978,1.09317811,1
-0.36830015,0.75639546,1
-0.46928218,0.88775091,1
0.39350146,0.77975197,1
-0.45639966,0.80523454,1
0.51128242,0.76606136,1
0.22550468,0.46451215,1
0.01462984,0.40190926,1
-0.19172785,0.80943313,1
0.38323479,0.75601744,1
0.49791612,0.61334375,1
0.35335230,0.77324337,1
-0.34722575,0.70177856,1
0.58380468,0.76357539,1
-0.13727764,0.71246351,1
0.38827268,0.44977123,1
-0.53172709,0.61934293,1
-0.11684624,0.87851210,1
0.54335864,0.41174865,1
-0.45399302,0.66512988,1
-0.21913200,0.83484947,1
0.30485742,0.98028760,1
0.65676798,0.75766017,1
0.61420447,0.75039019,1
-0.45809964,0.77968606,1
-0.21617465,0.88626305,1
-0.26016108,0.81008591,1
0.31884531,0.84517725,1
-0.23727415,0.80178784,1
0.58310323,0.77709806,1
0.02841337,0.75792620,1
-0.41840136,0.68041440,1
0.67412880,0.60245461,1
-0.25278281,0.70526103,1
0.51609843,0.62092390,1
0.20392294,0.91641482,1
-0.17207124,1.00884096,1
0.27274507,0.29346977,1
0.07634798,0.56222204,1
-0.36653499,0.64831007,1
0.44290673,0.80087721,1
-0.19976385,0.54295162,1
-0.54075738,0.65293033,1
-0.07060266,1.00296912,1
0.50715054,0.35045758,1
-0.06048611,0.62982713,1
0.21532928,0.60260249,1
0.46809108,0.87182416,1
-0.29888511,0.73669866,1
0.86129620,0.47289330,1
0.70120877,0.74572893,1
-0.11342797,0.60067099,1
0.31234354,0.90756345,1
-0.12172541,0.84112851,1
0.36867857,0.37052586,1
0.57311489,0.40949740,1
-0.25841225,0.67192335,1
0.30937186,0.50823318,1
0.43319338,0.77016967,1
-0.30448035,0.57820106,1
0.44276338,0.58023403,1
-0.19442057,0.89876808,1
-0.06105237,0.74184946,1
0.07619347,0.35386246,1
0.85826993,0.95819523,1
0.37039200,0.72342401,1
0.51481515,0.76203996,1
0.43127521,0.54259166,1
0.42286091,0.65242185,1
0.29815001,0.93453682,1
0.37128253,0.70089181,1
-0.51528729,0.76473490,1
0.38525783,0.65528189,1
-0.34825368,0.50529981,1
0.68510504,0.78067440,1
-0.36528923,0.45703265,1
-0.40903577,0.74230433,1
0.43574387,0.44689789,1
0.26887846,0.44559230,1
-0.49254862,1.01443372,1
0.07615960,0.63795180,1
0.49226224,0.46876241,1
-0.40249641,0.71301084,1
