% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-cyyoung8092

@attribute Year INTEGER
@attribute Pitcher {A._Holland,B._Blyleven,B._Harvey,B._James,B._Saberhagen,B._Stanley,B._Sutter,B._Thigpen,B._Welch,D._Aase,D._Drabek,D._Eckersley,D._Erickson,D._Gooden,D._Jackson,D._Quisenberry,D._Righetti,D._Stewart,F._Valenzuela,F._Viola,G._Garber,G._Gossage,G._Maddux,Gott,Gullickson,J._Andujar,J._Denny,J._Franco,J._Morris,J._Niekro,J._Reardon,J._Smiley,J._Tudor,K._Brown,L._Hoyt,L._Smith,M._Boddicker,M._Davis,M._Norris,M._Scott,M._Soto,M._Williams,O._Hershiser,P._Russell,P._Vuckovich,R._Aguilera,R._Clemens,R._Dibble,R._Dotson,R._Guidry,R._Myers,R._Sutcliffe,S._Bedrosian,S._Carlton,S._Rawley,S._Rogers,S._Stone,T._Glavine,T._Henke,T._Hume,T._Worrell,W._Hernandez}
@attribute League {AL,NL}
@attribute Type {Reliever,Starter}
@attribute Wins INTEGER
@attribute Win_pct REAL
@attribute Saves INTEGER
@attribute ERA REAL
@attribute Strikeouts INTEGER
@attribute Innings_pitched INTEGER
@attribute Cy_Young {0,1}

@data
1987,S._Rawley,NL,Starter,17,0.607,1,4.39,123,230,0
1987,S._Bedrosian,NL,Reliever,5,0.625,42,2.83,74,89,1
1987,L._Smith,NL,Reliever,4,0.286,35,3.12,96,84,0
1987,R._Clemens,AL,Starter,20,0.69,1,2.97,256,282,1
1987,D._Stewart,AL,Starter,20,0.606,1,3.68,205,261,0
1987,T._Henke,AL,Reliever,0,0,34,2.49,128,94,0
1987,J._Reardon,AL,Reliever,8,0.5,31,4.48,83,80,0
1988,D._Jackson,NL,Starter,23,0.742,1,2.73,161,260,0
1988,O._Hershiser,NL,Starter,23,0.742,2,2.26,178,267,1
1988,J._Franco,NL,Reliever,6,0.5,39,1.57,46,86,0
1988,Gott,NL,Reliever,6,0.5,34,3.49,76,77,0
1988,F._Viola,AL,Starter,24,0.774,1,2.64,193,255,1
1988,D._Stewart,AL,Starter,21,0.636,1,3.23,192,276,0
1988,D._Eckersley,AL,Reliever,4,0.667,45,2.35,70,73,0
1988,J._Reardon,AL,Reliever,2,0.333,42,2.47,56,73,0
1989,M._Scott,NL,Starter,20,0.667,1,3.1,172,229,0
1989,G._Maddux,NL,Starter,19,0.613,1,2.95,135,238,0
1989,M._Davis,NL,Reliever,6,0.571,44,1.85,92,93,1
1989,M._Williams,NL,Reliever,4,0.5,36,2.76,67,82,0
1989,B._Saberhagen,AL,Starter,23,0.793,1,2.16,193,262,1
1989,D._Stewart,AL,Starter,21,0.7,1,3.32,155,258,0
1989,P._Russell,AL,Reliever,6,0.6,38,1.98,77,73,0
1989,B._Thigpen,AL,Reliever,2,0.25,34,3.76,47,79,0
1990,D._Drabek,NL,Starter,22,0.786,1,2.76,131,231,1
1990,F._Viola,NL,Starter,20,0.625,1,2.67,182,250,0
1990,J._Franco,NL,Reliever,5,0.625,33,2.53,56,68,0
1990,R._Myers,NL,Reliever,4,0.4,31,2.08,98,87,0
1990,B._Welch,AL,Starter,27,0.818,1,2.95,127,238,1
1990,D._Stewart,AL,Starter,22,0.667,1,2.56,166,267,0
1990,B._Thigpen,AL,Reliever,4,0.4,57,1.83,70,89,0
1990,D._Eckersley,AL,Reliever,4,0.667,48,0.61,73,73,0
1991,J._Smiley,NL,Starter,20,0.714,1,3.08,129,208,0
1991,T._Glavine,NL,Starter,20,0.655,1,2.55,192,247,1
1991,L._Smith,NL,Reliever,6,0.667,47,2.34,67,73,0
1991,R._Dibble,NL,Reliever,3,0.375,31,3.17,124,82,0
1991,Gullickson,AL,Starter,20,0.69,1,3.9,91,226,0
1991,D._Erickson,AL,Starter,20,0.714,1,3.18,101,212,0
1991,R._Clemens,AL,Starter,19,0.643,1,2.41,241,271,1
1991,B._Harvey,AL,Reliever,2,0.333,45,1.6,101,78,0
1991,D._Eckersley,AL,Reliever,5,0.556,41,1.91,93,80,0
1992,G._Maddux,NL,Starter,20,0.645,1,2.18,199,268,1
1992,T._Glavine,NL,Starter,20,0.714,1,2.76,129,225,0
1992,L._Smith,NL,Reliever,4,0.308,43,3.12,60,75,0
1992,R._Myers,NL,Reliever,3,0.333,38,4.29,66,80,0
1992,J._Morris,AL,Starter,21,0.778,1,4.04,132,241,0
1992,K._Brown,AL,Starter,21,0.656,1,3.32,173,266,0
1992,D._Eckersley,AL,Reliever,7,0.875,51,1.91,93,80,1
1992,R._Aguilera,AL,Reliever,2,0.25,41,2.84,52,67,0
