% CODING:
% 
% ITEM 1 = BUSINESS CONDIDIONS 6 MONTHS FROM NOW  (CONFERENCE BOARD)
% ITEM 2 = JOBS 6 MONTHS FROM NOW (CONFERENCE BOARD)
% ITEM 3 = FAMILY INCOME 6 MONTHS FROM NOW  (CONFERENCE BOARD)
% ITEM 4 = BUSINESS CONDITIONS A YEAR FROM NOW  (MICHIGAN)
% ITEM 5 = JOBS DURING THE COMING 12 MONTHS  (MICHIGAN)
% ITEM 6 = FAMILY INCOME DURING THE NEXT 12 MONTHS  (MICHIGAN)
% 
% RESPONSE P = PESSIMISTIC
% RESPONSE N = NEUTRAL
% RESPONSE O = OPTIMISTIC
% 
% 
% 1992 DATA:
% 
% 
% 
% 
% I AM GORDON BECHTEL AT E-MAIL BECHTEL AT NERVM.NERDC.UFL.EDU
% I AM WILLING TO HELP THOSE WHO HAVE PROBLEMS WITH THESE DATA.
% 
% 
% (3) THE CONFERENCE BOARD HAS GIVEN ITS PERMISSION TO PLACE ITS THREE
% "6 MONTH" ITEMS IN STATLIB.
% THE SURVEY RESEARCH CENTER AT THE UNIVERSITY OF MICHIGAN HAS GIVEN
% ITS PERMISSION TO PLACE ITS THREE "12 MONTH" ITEMS IN STATLIB.
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: 1
%

@relation confidence

@attribute ITEM {BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,FAMILY_INCOME_6_MONTHS_FROM_NOW,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,JOBS_6_MONTHS_FROM_NOW,JOBS_DURING_THE_COMING_12_MONTHS}
@attribute P REAL
@attribute N REAL
@attribute O REAL

@data
BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,90.2,230.5,165.3
JOBS_DURING_THE_COMING_12_MONTHS,210.4,200.4,80.2
FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,70.1,120.2,305.6
BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,339.0,2256.3,896.9
JOBS_6_MONTHS_FROM_NOW,663.8,2182.2,646.2
FAMILY_INCOME_6_MONTHS_FROM_NOW,349.6,2567.0,589.7
BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,80.0,220.0,190.0
JOBS_DURING_THE_COMING_12_MONTHS,180.0,225.0,90.0
FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,80.0,125.0,285.0
BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,329.2,2283.7,792.1
JOBS_6_MONTHS_FROM_NOW,678.9,2119.1,603.5
FAMILY_INCOME_6_MONTHS_FROM_NOW,370.3,2338.6,692.7
BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,80.0,265.0,140.0
JOBS_DURING_THE_COMING_12_MONTHS,185.0,240.0,70.0
FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,65.0,130.0,295.0
BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,418.2,2167.4,580.9
JOBS_6_MONTHS_FROM_NOW,740.5,2017.3,395.8
FAMILY_INCOME_6_MONTHS_FROM_NOW,383.0,2183.3,587.3
BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,81.1,263.6,147.0
JOBS_DURING_THE_COMING_12_MONTHS,228.1,202.8,65.9
FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,76.1,147.0,273.8
BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,494.4,2333.5,601.5
JOBS_6_MONTHS_FROM_NOW,847.0,2126.1,446.0
FAMILY_INCOME_6_MONTHS_FROM_NOW,421.8,2371.5,632.6
BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,80.2,250.5,150.3
JOBS_DURING_THE_COMING_12_MONTHS,190.4,230.5,75.1
FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,70.1,145.3,280.6
BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,539.2,2220.8,576.3
JOBS_6_MONTHS_FROM_NOW,845.9,2055.7,431.4
FAMILY_INCOME_6_MONTHS_FROM_NOW,401.0,2338.8,596.5
BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,95.9,257.6,131.3
JOBS_DURING_THE_COMING_12_MONTHS,212.1,217.1,75.8
FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,85.9,121.2,297.9
BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,467.5,2167.1,492.8
JOBS_6_MONTHS_FROM_NOW,739.2,1983.9,401.2
FAMILY_INCOME_6_MONTHS_FROM_NOW,388.6,2211.3,527.6
BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,80.0,240.0,150.0
JOBS_DURING_THE_COMING_12_MONTHS,205.0,205.0,80.0
FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,70.0,130.0,290.0
BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,426.9,2102.1,703.9
JOBS_6_MONTHS_FROM_NOW,638.8,2040.1,544.3
FAMILY_INCOME_6_MONTHS_FROM_NOW,400.9,2219.4,612.7
BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,75.6,252.0,156.2
JOBS_DURING_THE_COMING_12_MONTHS,141.1,262.1,95.8
FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,55.4,126.0,312.5
BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,333.6,1915.7,899.1
JOBS_6_MONTHS_FROM_NOW,565.5,1884.0,692.6
FAMILY_INCOME_6_MONTHS_FROM_NOW,339.9,2128.6,689.4
BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,55.4,191.5,236.9
JOBS_DURING_THE_COMING_12_MONTHS,131.0,231.8,136.1
FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,50.4,126.0,322.6
